PLAY	PLYCDE	FIELD	FLDCDE	JURIS	LEASE AREA	HC	DISC	PDEP	WDEP	TRAP	DRIVE	PAY	AREA	POR	PERM	TI	PI	SW	API	SPGR	O-GR	YIELD	CUMO	CUMG	RESO	RESG	RFO	RFG
uplc1	1011	MP299	870299	FEDERAL	MAIN PASS	O	91	1500	209	G	UNK	99	760	0.35		90	713	0.30	30.0	0.00	146	0.0	23122	2849	16878	2991	0.34	
upla1	1411	GRAND ISLE BLOCK 18	4207	LOUISIANA/1	GRAND ISLE 	O	74	2900	50	AH									29.0				1255	2590				
upla1	1411	WEST DELTA BLOCK 53	9539	LOUISIANA/4	WEST DELTA 	G	55	1034	3	H									35.7	0.58			0	12109				
upla1	1411	EC215	824215	FEDERAL	EAST CAMERON	G	77	2949	116	D	WD	23	5859	0.36		103	1366	0.22	0.0	0.56	0	0.1	0	72350	7	4282		0.50
upla1	1411	EC245	826245	FEDERAL	EAST CAMERON	G	63	1911	146	A	WD	16	3581	0.31		95	903	0.19	0.0	0.60	0	0.7	0	20485	15	833		0.54
upla1	1411	EC265	826265	FEDERAL	EAST CAMERON	G	85	1674	172	D	PAR	48	2289	0.36		90	890	0.16	0.0	0.65	0	0.0	0	25784	0	38938		0.70
upla1	1411	EC271	826271	FEDERAL	EAST CAMERON	G	71	2596	175	C	PAR	12	289	0.33		116	1215	0.29	0.0	0.56	0	0.0	0	1975	0	0		0.68
upla1	1411	EI108	829108	FEDERAL	EUGENE ISLAND	G	79	2621	28		WD	8	1305	0.35		96	1193	0.35	0.0	0.56	0	0.0	0	2650	0	0		0.31
upla1	1411	EI245	829245	FEDERAL	EUGENE ISLAND	G	92	3787	150	B	PAR	21	1077	0.32		116	1776	0.18	0.0	0.60	0	11.1	0	8377	255	14571		0.70
upla1	1411	EI266	829266	FEDERAL	EUGENE ISLAND	G	74	2210	163	B	WD	24	5639	0.33		99	1042	0.18	0.0	0.57	0	0.3	13	38321	3	12872		0.43
upla1	1411	EI273	831273	FEDERAL	EUGENE ISLAND	G	63	1780	186	H	PAR	20	4187	0.30		93	838	0.27	0.0	0.57	0	0.0	0	17179	0	9361		0.55
upla1	1411	EI276	831276	FEDERAL	EUGENE ISLAND	B	82	4675	166	G	PAR	10	54	0.33		126	2115	0.36	35.0	0.65	5405	0.0	121	775	102	552	0.50	0.50
upla1	1411	EI292	831292	FEDERAL	EUGENE ISLAND	G	71	2062	217	B	WD	47	461	0.31		106	956	0.20	0.0	0.62	0	0.2	0	6436	2	2859		0.60
upla1	1411	EI296	831296	FEDERAL	EUGENE ISLAND	G	73	1934	213	B	WD	124	933	0.34		99	900	0.28	0.0	0.60	0	2.1	0	35835	126	24807		0.79
upla1	1411	EI306	831306	FEDERAL	EUGENE ISLAND	G	72	2182	223	B	PAR	75	2613	0.33		106	1148	0.23	0.0	0.59	0	0.2	8	104531	18	29947		0.80
upla1	1411	EI321	831321	FEDERAL	EUGENE ISLAND	G	80	4670	247	B	UNK	23	370	0.33		128	2266	0.11	0.0	0.56	0	0.1	1	5703	0	0		0.34
upla1	1411	EI324	831324	FEDERAL	EUGENE ISLAND	G	88	3189	257	H	WD	16	190	0.34		107	1658	0.46	0.0	0.60	0	11.1	0	0	17	1508		0.52
upla1	1411	EI325	831325	FEDERAL	EUGENE ISLAND	G	84	2439	254	H	WD	59	5561	0.33		111	1154	0.37	31.0	0.65	1177	1.4	1130	44731	1085	61768	0.20	0.47
upla1	1411	EI330	831330	FEDERAL	EUGENE ISLAND	B	71	4605	245	C	WD	140	1974	0.31		131	2310	0.27	30.0	0.63	1408	12.8	59641	174735	14811	70533	0.41	0.65
upla1	1411	EI333	831333	FEDERAL	EUGENE ISLAND	G	73	2430	236	H	COM	48	460	0.31		111	1122	0.22	0.0	0.63	0	0.4	4	12465	1	1797		0.78
