NASA Ames Airborne Tracking 14-Channel Sunphotometer, AATS-14
SAFARI-2000  8/29/2000
Date processed: 28-Jan-2002 by Beat Schmid, Version 1.6
NO2 [molec/cm2]: 2e+015
O3 [DU]: 291
Relative Std Dev Filter Aerosol[%]: 3.0
Relative Std Dev Filter H2O [%]: 6.0
Max m_aero: Inf
Max tau_aero: 5.0
Max tau_aero error: Inf
Min Alpha Angstrom: 0.00
H2O coeff.  a: 0.005994 b: 0.6356
aerosol wavelengths [10^-6 m] 0.3535 0.3800 0.4490 0.4994 0.5246 0.6057 0.6751 0.7784 0.8645 1.0191 1.2413 1.5574
UT[h] Lat[deg] Long[deg] GPS_Alt[km] p_Alt[km] p[hPa] H2O[cm] H2O_Err[cm] AOD_flag AOD0354 AOD0380 AOD0449 AOD0499 AOD0525 AOD0606 AOD0675 AOD0778 AOD0865 AOD1019 AOD1241 AOD1557  Err0354 Err0380 Err0449 Err0499 Err0525 Err0606 Err0675 Err0778 Err0865 Err1019 Err1241 Err1557  a2_fit a1_fit a0_fit
08.71667 -23.27944  29.06161   3.647   3.664  662.41  0.1392  0.1031             1  0.1106  0.1037  0.0726  0.0625  0.0612  0.0464  0.0334  0.0255  0.0149  0.0164  0.0089  0.0047  0.0097  0.0197  0.0225  0.0273  0.0472  0.0304  0.0042  0.0023  0.0032  0.0024  0.0033  0.0097 -0.2825 -2.2818 -4.2299
08.71778 -23.27944  29.06161   3.647   3.658  662.89  0.1380  0.1031             1  0.1097  0.1029  0.0731  0.0622  0.0615  0.0462  0.0335  0.0256  0.0152  0.0167  0.0088  0.0046  0.0097  0.0197  0.0225  0.0273  0.0472  0.0304  0.0042  0.0023  0.0032  0.0024  0.0032  0.0097 -0.3250 -2.3109 -4.2264
08.71889 -23.26868  29.05571   3.670   3.672  661.74  0.1335  0.1030             1  0.1063  0.1000  0.0709  0.0607  0.0587  0.0455  0.0327  0.0248  0.0149  0.0162  0.0086  0.0051  0.0097  0.0197  0.0226  0.0273  0.0472  0.0304  0.0042  0.0023  0.0032  0.0024  0.0033  0.0097 -0.2243 -2.1958 -4.2332
08.72000 -23.26623  29.05436   3.679   3.684  660.73  0.1297  0.1030             1  0.1036  0.0976  0.0695  0.0591  0.0578  0.0442  0.0318  0.0242  0.0145  0.0159  0.0084  0.0046  0.0097  0.0197  0.0225  0.0273  0.0472  0.0304  0.0042  0.0023  0.0032  0.0024  0.0032  0.0097 -0.2903 -2.2689 -4.2703
08.72111 -23.25984  29.05091   3.686   3.684  660.73  0.1300  0.1030             1  0.1046  0.0984  0.0708  0.0596  0.0594  0.0443  0.0320  0.0245  0.0149  0.0161  0.0084  0.0042  0.0097  0.0197  0.0225  0.0273  0.0473  0.0304  0.0042  0.0023  0.0032  0.0024  0.0032  0.0097 -0.3914 -2.3718 -4.2708
08.72222 -23.25738  29.04961   3.690   3.697  659.72  0.1278  0.1029             1  0.1020  0.0968  0.0687  0.0591  0.0559  0.0445  0.0319  0.0241  0.0149  0.0158  0.0085  0.0056  0.0099  0.0197  0.0227  0.0274  0.0473  0.0304  0.0043  0.0025  0.0033  0.0026  0.0034  0.0098 -0.1523 -2.0980 -4.2385
08.72333 -23.25738  29.04961   3.703   3.705  659.05  0.1261  0.1029             1  0.1013  0.0956  0.0688  0.0578  0.0576  0.0432  0.0310  0.0238  0.0148  0.0157  0.0083  0.0041  0.0097  0.0197  0.0226  0.0274  0.0473  0.0304  0.0042  0.0023  0.0032  0.0024  0.0033  0.0097 -0.3788 -2.3499 -4.2918
08.72444 -23.25097  29.04622   3.703   3.715  658.24  0.1294  0.1030             1  0.1061  0.0997  0.0726  0.0606  0.0612  0.0447  0.0324  0.0251  0.0159  0.0165  0.0089  0.0040  0.0098  0.0197  0.0226  0.0274  0.0473  0.0304  0.0043  0.0024  0.0032  0.0025  0.0033  0.0098 -0.4428 -2.4070 -4.2462
08.72528 -23.24356  29.04236   3.728   3.741  656.16  0.1279  0.1030             1  0.1061  0.0993  0.0729  0.0602  0.0623  0.0436  0.0318  0.0249  0.0156  0.0162  0.0086  0.0030  0.0098  0.0197  0.0227  0.0274  0.0473  0.0304  0.0043  0.0025  0.0033  0.0025  0.0034  0.0098 -0.6649 -2.6665 -4.3031
08.72667 -23.24113  29.04106   3.749   3.755  655.08  0.1232  0.1029             1  0.1012  0.0952  0.0686  0.0577  0.0568  0.0434  0.0311  0.0239  0.0152  0.0156  0.0084  0.0048  0.0099  0.0197  0.0228  0.0274  0.0474  0.0304  0.0043  0.0025  0.0033  0.0026  0.0034  0.0098 -0.2698 -2.2210 -4.2658
08.72750 -23.23869  29.03973   3.749   3.766  654.20  0.1184  0.1028             1  0.0960  0.0914  0.0650  0.0561  0.0524  0.0426  0.0303  0.0230  0.0147  0.0149  0.0083  0.0058  0.0097  0.0197  0.0226  0.0274  0.0473  0.0304  0.0042  0.0024  0.0032  0.0024  0.0033  0.0098 -0.0984 -2.0184 -4.2672
08.72861 -23.23295  29.03645   3.771   3.777  653.33  0.1157  0.1027             1  0.0944  0.0896  0.0645  0.0543  0.0537  0.0408  0.0292  0.0224  0.0143  0.0147  0.0080  0.0043  0.0097  0.0197  0.0226  0.0274  0.0473  0.0304  0.0042  0.0023  0.0032  0.0024  0.0033  0.0098 -0.3083 -2.2576 -4.3313
08.73000 -23.23057  29.03508   3.778   3.788  652.46  0.1150  0.1027             1  0.0944  0.0896  0.0644  0.0544  0.0532  0.0410  0.0294  0.0225  0.0145  0.0148  0.0081  0.0047  0.0096  0.0197  0.0226  0.0274  0.0473  0.0304  0.0042  0.0023  0.0032  0.0024  0.0032  0.0097 -0.2447 -2.1792 -4.3126
08.73111 -23.22577  29.03239   3.795   3.800  651.45  0.1130  0.1027             1  0.0932  0.0886  0.0636  0.0536  0.0525  0.0405  0.0289  0.0221  0.0144  0.0147  0.0080  0.0047  0.0097  0.0197  0.0226  0.0274  0.0473  0.0304  0.0042  0.0023  0.0032  0.0024  0.0033  0.0098 -0.2374 -2.1700 -4.3233
08.73222 -23.22335  29.03106   3.795   3.793  652.05  0.1123  0.1027             1  0.0913  0.0873  0.0622  0.0533  0.0503  0.0405  0.0288  0.0218  0.0143  0.0143  0.0079  0.0053  0.0098  0.0197  0.0227  0.0274  0.0474  0.0304  0.0043  0.0025  0.0033  0.0025  0.0034  0.0098 -0.1317 -2.0491 -4.3164
08.73306 -23.21697  29.02770   3.795   3.786  652.59  0.1153  0.1027             1  0.0946  0.0902  0.0650  0.0551  0.0532  0.0416  0.0296  0.0226  0.0153  0.0149  0.0083  0.0050  0.0098  0.0197  0.0227  0.0274  0.0474  0.0304  0.0043  0.0024  0.0032  0.0025  0.0033  0.0098 -0.2202 -2.1345 -4.2865
08.73417 -23.21448  29.02645   3.787   3.788  652.46  0.1133  0.1027             1  0.0941  0.0890  0.0650  0.0538  0.0550  0.0399  0.0285  0.0222  0.0147  0.0146  0.0078  0.0032  0.0096  0.0197  0.0226  0.0274  0.0473  0.0304  0.0042  0.0023  0.0032  0.0024  0.0032  0.0098 -0.5502 -2.5164 -4.3744
08.73528 -23.20940  29.02403   3.778   3.779  653.13  0.1122  0.1027             1  0.0922  0.0882  0.0633  0.0538  0.0515  0.0409  0.0290  0.0221  0.0151  0.0146  0.0083  0.0053  0.0098  0.0198  0.0227  0.0274  0.0474  0.0304  0.0043  0.0025  0.0033  0.0025  0.0034  0.0098 -0.1633 -2.0636 -4.2939
08.73667 -23.20430  29.02163   3.782   3.788  652.39  0.1087  0.1026             1  0.0893  0.0856  0.0615  0.0521  0.0502  0.0397  0.0280  0.0214  0.0146  0.0141  0.0080  0.0050  0.0097  0.0197  0.0226  0.0274  0.0474  0.0304  0.0042  0.0023  0.0032  0.0024  0.0033  0.0098 -0.1872 -2.0901 -4.3286
08.73778 -23.20175  29.02044   3.788   3.811  650.57  0.1038  0.1025             1  0.0862  0.0822  0.0593  0.0495  0.0495  0.0375  0.0264  0.0204  0.0137  0.0135  0.0075  0.0038  0.0097  0.0197  0.0226  0.0274  0.0474  0.0304  0.0042  0.0023  0.0032  0.0024  0.0033  0.0098 -0.3542 -2.2917 -4.4146
08.73889 -23.19717  29.01830   3.808   3.833  648.82  0.1016  0.1025             1  0.0855  0.0813  0.0592  0.0489  0.0500  0.0366  0.0259  0.0202  0.0135  0.0134  0.0072  0.0030  0.0097  0.0197  0.0227  0.0274  0.0474  0.0305  0.0042  0.0024  0.0032  0.0024  0.0033  0.0098 -0.5195 -2.4783 -4.4586
08.74000 -23.19266  29.01615   3.833   3.851  647.41  0.1006  0.1025             1  0.0851  0.0810  0.0593  0.0489  0.0505  0.0364  0.0257  0.0201  0.0136  0.0133  0.0072  0.0027  0.0096  0.0197  0.0226  0.0274  0.0474  0.0305  0.0042  0.0023  0.0032  0.0024  0.0033  0.0098 -0.6075 -2.5712 -4.4735
