-----------------------------------------------
3D SITE DISPLACEMENT DUE TO ATMOSPHERIC LOADING
-----------------------------------------------
METEOROLOGICAL CENTER & DEGREE 1 :     NCEP_CME
CMEA : CENTER OF MASS OF THE EARTH + ATMOSPHERE
CME  : CENTER OF MASS OF THE SOLID EARTH  ALONE
SITE COORDINATES ACCORDING TO ITRF2000 SOLUTION
-----------------------------------------------
CREATOR EMAIL : PASCAL.GEGOUT@EOST.U-STRASBG.FR
-----------------------------------------------
SIO3        49718.000    1995     1     1     0
SIO3        52274.750    2001    12    31    18
SIO3     -2455456.521 -4767480.705  3441383.654
SIO3           32.865     -117.250       34.893
SIO3     NORTH_Offset  EAST_Offset    UP_Offset
49718.00     0.430491     0.304595    -1.972087
49718.25     0.492462     0.456392    -2.531322
49718.50     0.436709     0.388182    -2.012110
49718.75     0.501634     0.546937    -3.045466
49719.00     0.465990     0.319037    -2.154690
49719.25     0.440924     0.352102    -2.022361
49719.50     0.385383     0.299191    -1.477721
49719.75     0.394224     0.418089    -2.121048
49720.00     0.254941     0.241300    -1.297974
49720.25     0.289164     0.388287    -1.565570
49720.50     0.204254     0.455879    -1.308853
49720.75     0.152383     0.556137    -1.837641
49721.00     0.085446     0.359089    -1.364632
49721.25     0.128890     0.438000    -1.713816
49721.50    -0.070429     0.410927    -1.132589
49721.75    -0.348380     0.522126    -1.281621
49722.00    -0.769837     0.259694     0.336128
49722.25    -0.986770    -0.013011     1.290387
49722.50    -1.048340    -0.344914     2.032162
49722.75    -0.971568    -0.427803     1.168304
49723.00    -0.855113    -0.589771     1.214105
49723.25    -0.661681    -0.549342     0.615349
49723.50    -0.577290    -0.476095     0.571154
49723.75    -0.447242    -0.298693    -0.577224
49724.00    -0.521092    -0.382466    -0.037670
49724.25    -0.509380    -0.113745    -0.522911
49724.50    -0.650873    -0.115049     0.240028
49724.75    -0.535784     0.112768    -0.932725
49725.00    -0.490849    -0.083515    -0.181630
49725.25    -0.269563     0.164586    -0.982588
49725.50    -0.298128     0.152154    -0.346449
49725.75    -0.085275     0.429199    -1.839343
49726.00    -0.119111     0.277785    -1.095095
49726.25    -0.016698     0.463037    -1.533107
49726.50    -0.162642     0.398020    -0.602659
49726.75    -0.079905     0.515029    -1.323334
49727.00    -0.223492     0.267160    -0.209345
49727.25    -0.221275     0.397808    -0.268541
49727.50    -0.467756     0.342231     0.638034
49727.75    -0.494540     0.405278     0.094980
49728.00    -0.635903     0.097200     1.121692
49728.25    -0.603039     0.100763     0.894108
49728.50    -0.591032    -0.064440     1.393281
49728.75    -0.466576    -0.022240     0.419179
49729.00    -0.487934    -0.264529     1.210454
49729.25    -0.325577    -0.096147     0.463045
49729.50    -0.354199    -0.154326     1.069392
49729.75    -0.200854     0.014372    -0.088022
49730.00    -0.158743    -0.186746     0.551840
49730.25     0.065327    -0.023639    -0.256271
49730.50     0.018697    -0.029565     0.246875
49730.75     0.189520     0.147722    -0.915071
49731.00     0.103347    -0.087233     0.144111
49731.25     0.121625     0.044105    -0.144929
49731.50    -0.001178    -0.060442     0.735528
49731.75     0.007280     0.019300     0.142229
49732.00    -0.213727    -0.268710     1.489544
49732.25    -0.235598    -0.164865     1.153872
49732.50    -0.355367    -0.303060     1.921732
49732.75    -0.337664    -0.265059     1.214571
49733.00    -0.361783    -0.470665     1.858467
49733.25    -0.278225    -0.368323     1.533009
49733.50    -0.345690    -0.417954     2.062455
49733.75    -0.275592    -0.283576     1.142501
49734.00    -0.272726    -0.421912     1.606868
49734.25    -0.203297    -0.309874     1.235757
49734.50    -0.201671    -0.364444     1.564726
49734.75    -0.064539    -0.188750     0.295113
49735.00    -0.115256    -0.280084     0.730445
49735.25     0.044569    -0.022561    -0.218373
49735.50     0.020572     0.078052    -0.130299
49735.75     0.198394     0.304444    -1.582220
49736.00     0.205773     0.083752    -0.822071
49736.25     0.350273     0.184242    -1.311514
49736.50     0.362473     0.085869    -0.709955
49736.75     0.427163     0.170877    -1.227603
49737.00     0.348191    -0.044819    -0.275384
49737.25     0.389074     0.102638    -0.494742
49737.50     0.339172     0.030007     0.252979
49737.75     0.362554     0.196171    -0.666036
49738.00     0.203496    -0.027042     0.242321
49738.25     0.265202     0.122931    -0.270943
49738.50     0.177078     0.014366     0.407429
49738.75     0.245969     0.132626    -0.580763
49739.00     0.165661    -0.093442     0.152235
49739.25     0.208461     0.056634    -0.385464
49739.50     0.202826     0.042219    -0.015550
49739.75     0.276339     0.243059    -1.116434
49740.00     0.169166     0.081974    -0.473428
49740.25     0.216068     0.247338    -0.892360
49740.50     0.125842     0.164682    -0.086648
49740.75     0.157236     0.257293    -0.711417
49741.00     0.070779     0.122885     0.113089
49741.25     0.133678     0.219376    -0.017047
49741.50    -0.017015     0.216393     0.767722
49741.75     0.080343     0.378191    -0.158819
49742.00    -0.000583     0.197529     0.582113
49742.25     0.027814     0.236244     0.586786
49742.50    -0.112021     0.158690     1.432735
49742.75    -0.082977     0.190741     0.842217
49743.00    -0.254669     0.085452     1.042596
49743.25    -0.155495     0.169039     0.385143
49743.50    -0.155934     0.169343     0.470092
49743.75     0.004666     0.284553    -0.779269
49744.00     0.011143     0.060127    -0.174920
49744.25     0.164064     0.111085    -0.549875
49744.50     0.138530     0.006784     0.098804
49744.75     0.291372     0.123011    -0.940929
49745.00     0.354752    -0.050058    -0.539490
49745.25     0.512915     0.184970    -1.289841
49745.50     0.497554     0.230707    -1.098411
49745.75     0.546403     0.448637    -1.975581
49746.00     0.458496     0.302726    -1.391666
49746.25     0.454686     0.456006    -1.770709
49746.50     0.313100     0.451502    -1.378857
49746.75     0.281305     0.598113    -2.248281
49747.00     0.189631     0.361004    -1.656174
49747.25     0.192317     0.492544    -2.205787
49747.50     0.074560     0.385895    -1.559851
49747.75     0.020486     0.413792    -2.191069
49748.00    -0.074002     0.084969    -1.148939
49748.25    -0.130570     0.168263    -1.237140
49748.50    -0.217063     0.047794    -0.455170
49748.75    -0.202731     0.110649    -1.133253
49749.00    -0.274390    -0.138410    -0.351333
49749.25    -0.174977    -0.046500    -0.665870
49749.50    -0.165761    -0.069972    -0.298260
49749.75    -0.093573     0.085802    -1.105317
49750.00    -0.098122    -0.111186    -0.371002
49750.25     0.042567     0.043712    -0.878600
49750.50     0.142269     0.024420    -0.588841
49750.75     0.321273     0.203894    -1.666657
49751.00     0.381729     0.074252    -1.220898
49751.25     0.587112     0.308271    -1.972977
49751.50     0.618179     0.464653    -2.134543
49751.75     0.671817     0.644370    -3.266666
49752.00     0.583357     0.455675    -2.630855
49752.25     0.655745     0.634956    -3.201711
49752.50     0.603576     0.559381    -2.742768
49752.75     0.602080     0.603513    -3.294580
49753.00     0.517897     0.253165    -2.098615
49753.25     0.539526     0.387714    -2.409663
49753.50     0.445710     0.325255    -1.904293
49753.75     0.452174     0.496577    -2.837211
49754.00     0.375550     0.236404    -2.008860
49754.25     0.367941     0.341341    -2.238787
49754.50     0.315190     0.274808    -1.836399
49754.75     0.310882     0.310920    -2.276296
49755.00     0.242914     0.000855    -1.402407
49755.25     0.317996     0.112645    -1.560977
49755.50     0.264866     0.114412    -1.257796
49755.75     0.280846     0.329474    -2.159471
49756.00     0.152910     0.121398    -1.263716
49756.25     0.147702     0.316453    -1.548071
49756.50     0.018925     0.339991    -1.135710
49756.75     0.077268     0.435116    -1.967385
49757.00    -0.002351     0.121147    -1.053467
49757.25     0.058749     0.205727    -1.420429
49757.50    -0.074559     0.074333    -0.721445
49757.75     0.023365     0.124060    -1.580907
49758.00    -0.025972    -0.166830    -0.822428
49758.25     0.057934    -0.080274    -1.026846
49758.50     0.049008    -0.189784    -0.354434
49758.75     0.065890    -0.129942    -0.787077
49759.00     0.003883    -0.461229     0.352109
49759.25     0.082833    -0.291980     0.103281
49759.50     0.052266    -0.246159     0.296786
49759.75     0.040967    -0.097569    -0.175839
49760.00    -0.025187    -0.295371     0.666155
49760.25     0.008508    -0.177128     0.712657
49760.50    -0.076498    -0.163116     1.117568
49760.75    -0.064791    -0.090015     0.652102
49761.00    -0.212941    -0.253984     1.365773
49761.25    -0.209739    -0.131383     1.224258
49761.50    -0.375333    -0.125602     1.797457
49761.75    -0.406366    -0.014264     1.144031
49762.00    -0.583515    -0.288606     2.271063
49762.25    -0.657812    -0.173009     2.152340
49762.50    -0.857934    -0.343505     3.263462
49762.75    -0.844075    -0.386821     2.717730
49763.00    -0.870491    -0.669165     3.416967
49763.25    -0.675767    -0.521228     2.881790
49763.50    -0.605466    -0.474422     2.853237
49763.75    -0.434575    -0.280119     1.533101
49764.00    -0.351153    -0.393884     1.444628
49764.25    -0.097650    -0.100326     0.274737
49764.50    -0.041350     0.006451    -0.100404
49764.75     0.061449     0.363143    -1.611696
49765.00    -0.015315     0.305033    -1.231643
49765.25     0.020845     0.500200    -1.575574
49765.50    -0.037290     0.501566    -1.095729
49765.75     0.044271     0.631652    -1.817118
49766.00    -0.008664     0.356096    -0.961756
49766.25     0.169330     0.372284    -1.033994
49766.50     0.247301     0.322122    -0.738120
49766.75     0.459150     0.528802    -1.874125
49767.00     0.370811     0.354713    -1.227726
49767.25     0.478937     0.573876    -1.935446
49767.50     0.404528     0.551559    -1.836119
49767.75     0.429049     0.680169    -2.751251
49768.00     0.354106     0.385824    -1.732337
49768.25     0.449904     0.492108    -2.126739
49768.50     0.359477     0.455589    -1.597030
49768.75     0.297209     0.555591    -2.077463
49769.00     0.142594     0.242865    -0.964884
49769.25     0.093186     0.383459    -1.118155
49769.50     0.014693     0.310713    -0.503945
49769.75     0.010474     0.440778    -1.248875
49770.00    -0.096555     0.103587    -0.250651
49770.25     0.038108     0.185030    -0.606723
49770.50     0.047991     0.070157     0.004863
49770.75     0.181859     0.183456    -0.851476
49771.00     0.149892    -0.100115     0.019672
49771.25     0.381518     0.111800    -0.871211
49771.50     0.367191     0.146595    -0.630082
49771.75     0.499135     0.403319    -1.922073
49772.00     0.415005     0.243868    -1.178664
49772.25     0.524877     0.480687    -1.820509
49772.50     0.436546     0.492753    -1.401794
49772.75     0.456695     0.598467    -2.108391
49773.00     0.257315     0.273734    -0.889835
49773.25     0.240146     0.344883    -0.972094
49773.50     0.181697     0.249632    -0.460298
49773.75     0.264032     0.337125    -1.172654
49774.00     0.212815     0.000439    -0.139674
49774.25     0.338024     0.190000    -0.728072
49774.50     0.343802     0.211386    -0.320409
49774.75     0.473861     0.374567    -1.276487
49775.00     0.468326     0.144502    -0.537734
49775.25     0.639707     0.305280    -1.139472
49775.50     0.626398     0.288725    -0.800609
49775.75     0.743967     0.442666    -1.899830
49776.00     0.724461     0.202354    -1.160928
49776.25     0.826846     0.432365    -1.872410
49776.50     0.741557     0.343893    -1.124533
49776.75     0.815338     0.529389    -2.189115
49777.00     0.716525     0.277225    -1.286609
49777.25     0.641078     0.381289    -1.217601
49777.50     0.516085     0.302191    -0.423921
49777.75     0.462727     0.408380    -0.910923
49778.00     0.309956     0.124683     0.124838
49778.25     0.299607     0.211614     0.018537
49778.50     0.173460     0.209068     0.442804
49778.75     0.241635     0.367397    -0.510240
49779.00     0.112717     0.144290     0.166646
49779.25     0.274038     0.320786    -0.471991
49779.50     0.209118     0.305249    -0.082938
49779.75     0.282001     0.438342    -1.118112
49780.00     0.218439     0.193252    -0.337733
49780.25     0.321051     0.290182    -0.599661
49780.50     0.291324     0.199914     0.035243
49780.75     0.410070     0.319040    -0.954679
49781.00     0.341262     0.063005    -0.033356
49781.25     0.304008     0.163952    -0.045441
49781.50     0.096955     0.123288     0.679755
49781.75     0.070393     0.203042     0.029057
49782.00    -0.051716    -0.164276     1.238235
49782.25     0.019184    -0.154313     1.332287
49782.50     0.192442    -0.284340     1.648311
49782.75     0.429137    -0.105842     0.421916
49783.00     0.469074    -0.203042     0.658273
49783.25     0.592313     0.052628     0.007155
49783.50     0.589435     0.129267    -0.008320
49783.75     0.656071     0.417148    -1.289286
49784.00     0.504208     0.178513    -0.345573
49784.25     0.509379     0.440292    -0.946425
49784.50     0.304829     0.442580    -0.243830
49784.75     0.334827     0.632945    -1.175634
49785.00     0.050542     0.366805     0.020911
49785.25     0.009090     0.482478    -0.034315
49785.50    -0.237219     0.403183     0.979435
49785.75    -0.281850     0.467540     0.458755
49786.00    -0.519829     0.113721     1.719114
49786.25    -0.466731     0.251833     1.305781
49786.50    -0.679179     0.221554     2.091071
49786.75    -0.694583     0.334808     1.598619
49787.00    -0.922498     0.026023     2.710901
49787.25    -0.941403     0.126622     2.715946
49787.50    -1.067131    -0.096800     3.642590
49787.75    -0.996556    -0.007198     2.594145
49788.00    -0.975845    -0.253073     2.995900
49788.25    -0.719040    -0.126041     2.106978
49788.50    -0.658859    -0.237747     2.409598
49788.75    -0.334792    -0.005924     0.575614
49789.00    -0.233847    -0.132393     0.798109
49789.25     0.073154     0.156034    -0.273321
49789.50     0.108348     0.255856    -0.109376
49789.75     0.318726     0.422470    -1.234093
49790.00     0.383488     0.204315    -0.614137
49790.25     0.562522     0.417867    -1.276150
49790.50     0.500954     0.406349    -0.738654
49790.75     0.607303     0.575641    -1.695551
49791.00     0.496867     0.224274    -0.657105
49791.25     0.478514     0.322490    -1.037155
49791.50     0.379612     0.221302    -0.391168
49791.75     0.462338     0.318751    -1.325978
49792.00     0.350305    -0.013151    -0.198113
49792.25     0.459002     0.105447    -0.621471
49792.50     0.412860     0.092839    -0.130706
49792.75     0.459638     0.188317    -0.829450
49793.00     0.316274    -0.074044     0.137189
49793.25     0.332391     0.164402    -0.497433
49793.50     0.247430     0.187456    -0.219983
49793.75     0.248359     0.364746    -1.427230
49794.00     0.137175     0.102672    -0.664575
49794.25     0.186098     0.344413    -1.699620
49794.50     0.066801     0.319024    -1.220404
49794.75     0.067210     0.417858    -2.220725
49795.00    -0.122440     0.001472    -0.852568
49795.25    -0.165244     0.011397    -0.989482
49795.50    -0.278833    -0.104249    -0.179853
49795.75    -0.235998    -0.065289    -0.889274
49796.00    -0.478789    -0.416743     0.628871
49796.25    -0.523799    -0.308226     0.703243
49796.50    -0.730594    -0.320437     1.468519
49796.75    -0.781458    -0.233239     0.913247
49797.00    -1.021388    -0.566585     2.294948
49797.25    -0.974672    -0.445664     2.131116
49797.50    -1.146183    -0.492015     2.876231
49797.75    -1.062901    -0.438954     2.113653
49798.00    -1.014593    -0.661426     2.554596
49798.25    -0.808819    -0.557468     1.947851
49798.50    -0.820501    -0.459679     1.955655
49798.75    -0.575030    -0.216890     0.654568
49799.00    -0.613169    -0.437531     1.706660
49799.25    -0.557364    -0.251337     1.506721
49799.50    -0.640983    -0.268986     2.056003
49799.75    -0.508160    -0.199011     1.231897
49800.00    -0.481521    -0.480812     1.803394
49800.25    -0.252699    -0.270850     0.888783
49800.50    -0.238855    -0.279634     1.124699
49800.75    -0.118420    -0.296853     0.365590
49801.00    -0.069506    -0.526458     0.984272
49801.25     0.138469    -0.322861     0.257142
49801.50     0.114410    -0.251099     0.457283
49801.75     0.298357    -0.106873    -0.614299
49802.00     0.302532    -0.282544     0.076838
49802.25     0.528316     0.022535    -0.991751
49802.50     0.558305     0.097253    -0.975925
49802.75     0.721896     0.356298    -2.280687
49803.00     0.684549     0.111620    -1.419227
49803.25     0.787101     0.287483    -2.019181
49803.50     0.748258     0.262527    -1.630487
49803.75     0.835840     0.373155    -2.572890
49804.00     0.742438     0.121304    -1.691696
49804.25     0.779755     0.275190    -1.980464
49804.50     0.664748     0.224178    -1.380694
49804.75     0.580678     0.322379    -1.933600
49805.00     0.430141     0.084807    -0.984058
49805.25     0.429573     0.244767    -1.199385
49805.50     0.218267     0.173223    -0.300513
49805.75     0.271622     0.254805    -1.015250
49806.00     0.129358    -0.003017     0.023733
49806.25     0.190966     0.087115    -0.277622
49806.50     0.063078     0.024727     0.269345
49806.75     0.121030     0.084782    -0.465617
49807.00    -0.020417    -0.170012     0.395271
49807.25     0.074018     0.052708    -0.428398
49807.50    -0.004622     0.054845    -0.203220
49807.75     0.032300     0.129905    -1.009558
49808.00    -0.113183    -0.149045    -0.069140
49808.25    -0.096019     0.001880    -0.412784
49808.50    -0.216104    -0.031615     0.100251
49808.75    -0.247854     0.054685    -0.462995
49809.00    -0.311285    -0.307007     0.648037
49809.25    -0.325925    -0.186130     0.522362
49809.50    -0.323441    -0.222261     0.849327
49809.75    -0.139293    -0.154283     0.020844
49810.00    -0.137085    -0.481090     0.898326
49810.25     0.076525    -0.242528    -0.108955
49810.50     0.144322    -0.181628    -0.118369
49810.75     0.261622     0.004959    -1.178019
49811.00     0.194889    -0.201011    -0.418103
49811.25     0.169570     0.035718    -0.861449
49811.50     0.048732     0.002841    -0.355320
49811.75    -0.054154     0.107692    -0.855538
49812.00    -0.210660    -0.225420     0.427606
49812.25    -0.223018    -0.138344     0.366747
49812.50    -0.363340    -0.238123     1.118848
49812.75    -0.343942    -0.192107     0.561232
49813.00    -0.385937    -0.489460     1.520941
49813.25    -0.366506    -0.342562     1.274731
49813.50    -0.436336    -0.328075     1.651631
49813.75    -0.354457    -0.183898     0.691298
49814.00    -0.380542    -0.432818     1.500348
49814.25    -0.296460    -0.205265     0.844083
49814.50    -0.366788    -0.137388     1.171331
49814.75    -0.317810    -0.060365     0.325960
49815.00    -0.374840    -0.328777     1.184837
49815.25    -0.372037    -0.220009     0.851209
49815.50    -0.426437    -0.207440     1.094069
49815.75    -0.374660    -0.238309     0.429428
49816.00    -0.392208    -0.545440     1.338440
49816.25    -0.273240    -0.533723     1.145535
49816.50    -0.333006    -0.643015     1.822910
49816.75    -0.213145    -0.596834     1.097681
49817.00    -0.117910    -0.807615     1.837181
49817.25     0.088199    -0.525195     0.950545
49817.50     0.057000    -0.414453     1.050014
49817.75     0.133711    -0.244780     0.213738
