"TBLID","ORDER","TITLE","estout","CME","CLB","CUB"
"B08406",.,"SEX OF WORKERS BY MEANS OF TRANSPORTATION TO WORK FOR WORKPLACE GEOGRAPHY",,,,
"B08406",.,"Universe:  Workers 16 years and over",,,,
"B08406",1.000,"Total:","460,151","+/-8,600","451,551","468,751"
"B08406",2.000,"Car, truck, or van:","395,205","+/-8,286","386,919","403,491"
"B08406",3.000,"Drove alone","361,489","+/-7,539","353,950","369,028"
"B08406",4.000,"Carpooled:","33,716","+/-3,931","29,785","37,647"
"B08406",5.000,"In 2-person carpool","26,719","+/-3,437","23,282","30,156"
"B08406",6.000,"In 3-person carpool","4,797","+/-1,311","3,486","6,108"
"B08406",7.000,"In 4-or-more-person carpool","2,200","+/-710","1,490","2,910"
"B08406",8.000,"Public transportation (excluding taxicab):","23,300","+/-2,906","20,394","26,206"
"B08406",9.000,"Bus or trolley bus","12,333","+/-2,211","10,122","14,544"
"B08406",10.000,"Streetcar or trolley car (carro publico in Puerto Rico)","0","+/-267","0","267"
"B08406",11.000,"Subway or elevated","1,193","+/-615","578","1,808"
"B08406",12.000,"Railroad","9,774","+/-1,894","7,880","11,668"
"B08406",13.000,"Ferryboat","0","+/-267","0","267"
"B08406",14.000,"Bicycle","696","+/-373","323","1,069"
"B08406",15.000,"Walked","13,803","+/-2,504","11,299","16,307"
"B08406",16.000,"Taxicab, motorcycle, or other means","6,499","+/-1,591","4,908","8,090"
"B08406",17.000,"Worked at home","20,648","+/-2,231","18,417","22,879"
"B08406",18.000,"Male:","248,897","+/-6,399","242,498","255,296"
"B08406",19.000,"Car, truck, or van:","211,451","+/-6,193","205,258","217,644"
"B08406",20.000,"Drove alone","190,140","+/-5,239","184,901","195,379"
"B08406",21.000,"Carpooled:","21,311","+/-2,897","18,414","24,208"
"B08406",22.000,"In 2-person carpool","16,068","+/-2,454","13,614","18,522"
"B08406",23.000,"In 3-person carpool","3,952","+/-1,257","2,695","5,209"
"B08406",24.000,"In 4-or-more-person carpool","1,291","+/-564","727","1,855"
"B08406",25.000,"Public transportation (excluding taxicab):","12,223","+/-2,093","10,130","14,316"
"B08406",26.000,"Bus or trolley bus","6,422","+/-1,617","4,805","8,039"
"B08406",27.000,"Streetcar or trolley car (carro publico in Puerto Rico)","0","+/-267","0","267"
"B08406",28.000,"Subway or elevated","581","+/-445","136","1,026"
"B08406",29.000,"Railroad","5,220","+/-1,389","3,831","6,609"
"B08406",30.000,"Ferryboat","0","+/-267","0","267"
"B08406",31.000,"Bicycle","427","+/-318","109","745"
"B08406",32.000,"Walked","7,834","+/-1,915","5,919","9,749"
"B08406",33.000,"Taxicab, motorcycle, or other means","4,632","+/-1,302","3,330","5,934"
"B08406",34.000,"Worked at home","12,330","+/-1,571","10,759","13,901"
"B08406",35.000,"Female:","211,254","+/-5,253","206,001","216,507"
"B08406",36.000,"Car, truck, or van:","183,754","+/-4,818","178,936","188,572"
"B08406",37.000,"Drove alone","171,349","+/-4,935","166,414","176,284"
"B08406",38.000,"Carpooled:","12,405","+/-1,845","10,560","14,250"
"B08406",39.000,"In 2-person carpool","10,651","+/-1,735","8,916","12,386"
"B08406",40.000,"In 3-person carpool","845","+/-339","506","1,184"
"B08406",41.000,"In 4-or-more-person carpool","909","+/-424","485","1,333"
"B08406",42.000,"Public transportation (excluding taxicab):","11,077","+/-2,053","9,024","13,130"
"B08406",43.000,"Bus or trolley bus","5,911","+/-1,484","4,427","7,395"
"B08406",44.000,"Streetcar or trolley car (carro publico in Puerto Rico)","0","+/-267","0","267"
"B08406",45.000,"Subway or elevated","612","+/-450","162","1,062"
"B08406",46.000,"Railroad","4,554","+/-1,243","3,311","5,797"
"B08406",47.000,"Ferryboat","0","+/-267","0","267"
"B08406",48.000,"Bicycle","269","+/-223","46","492"
"B08406",49.000,"Walked","5,969","+/-1,182","4,787","7,151"
"B08406",50.000,"Taxicab, motorcycle, or other means","1,867","+/-758","1,109","2,625"
"B08406",51.000,"Worked at home","8,318","+/-1,247","7,071","9,565"
"B08412",.,"SEX OF WORKERS BY TRAVEL TIME TO WORK FOR WORKPLACE GEOGRAPHY",,,,
"B08412",.,"Universe: Workers 16 years and over who did not work at home",,,,
"B08412",1.000,"Total:","439,503","+/-8,209","431,294","447,712"
"B08412",2.000,"Less than 5 minutes","11,357","+/-2,216","9,141","13,573"
"B08412",3.000,"5 to 9 minutes","41,792","+/-3,406","38,386","45,198"
"B08412",4.000,"10 to 14 minutes","59,616","+/-3,584","56,032","63,200"
"B08412",5.000,"15 to 19 minutes","69,239","+/-5,084","64,155","74,323"
"B08412",6.000,"20 to 24 minutes","66,873","+/-3,902","62,971","70,775"
"B08412",7.000,"25 to 29 minutes","26,831","+/-2,973","23,858","29,804"
"B08412",8.000,"30 to 34 minutes","51,129","+/-3,676","47,453","54,805"
"B08412",9.000,"35 to 39 minutes","10,418","+/-1,781","8,637","12,199"
"B08412",10.000,"40 to 44 minutes","17,481","+/-2,026","15,455","19,507"
"B08412",11.000,"45 to 59 minutes","35,154","+/-2,985","32,169","38,139"
"B08412",12.000,"60 to 89 minutes","34,225","+/-3,261","30,964","37,486"
"B08412",13.000,"90 or more minutes","15,388","+/-2,243","13,145","17,631"
"B08412",14.000,"Male:","236,567","+/-6,189","230,378","242,756"
"B08412",15.000,"Less than 5 minutes","5,071","+/-1,103","3,968","6,174"
"B08412",16.000,"5 to 9 minutes","20,152","+/-2,167","17,985","22,319"
"B08412",17.000,"10 to 14 minutes","27,765","+/-2,808","24,957","30,573"
"B08412",18.000,"15 to 19 minutes","36,025","+/-3,781","32,244","39,806"
"B08412",19.000,"20 to 24 minutes","35,096","+/-3,027","32,069","38,123"
"B08412",20.000,"25 to 29 minutes","14,760","+/-2,200","12,560","16,960"
"B08412",21.000,"30 to 34 minutes","28,363","+/-2,658","25,705","31,021"
"B08412",22.000,"35 to 39 minutes","6,543","+/-1,330","5,213","7,873"
"B08412",23.000,"40 to 44 minutes","9,803","+/-1,679","8,124","11,482"
"B08412",24.000,"45 to 59 minutes","21,721","+/-2,418","19,303","24,139"
"B08412",25.000,"60 to 89 minutes","22,623","+/-2,572","20,051","25,195"
"B08412",26.000,"90 or more minutes","8,645","+/-1,663","6,982","10,308"
"B08412",27.000,"Female:","202,936","+/-5,101","197,835","208,037"
