                                                           NATIONAL LIST OF VASCULAR PLANT SPECIES THAT OCCUR IN WETLANDS:  1996 SYNONYMY

   SYNONYM                                                                                     ACCEPTED SCIENTIFIC NAME                                                                   SOURCE
-------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
   Abama americana (Ker-Gawl.) Morong                                                          Narthecium americanum Ker-Gawl.                                                            KAR94    
   Abama montana Small                                                                         Narthecium americanum Ker-Gawl.                                                            KAR94    
   Abildgaardia monostachya (L.) Vahl                                                          Abildgaardia ovata (Burm. f.) Kral                                                         KAR94    
   Abutilon abutilon (L.) Rusby                                                                Abutilon theophrasti Medik.                                                                KAR94    
   Abutilon avicennae Gaertn.                                                                  Abutilon theophrasti Medik.                                                                KAR94    
*  Acacia smallii Isely                                                                        Acacia minuta ssp. minuta (M.E. Jones) Beauchamp                                           KAR94    
   Acaena exigua var. glaberrima Bitter                                                        Acaena exigua Gray                                                                         KAR94    
   Acaena exigua var. glabriuscula Bitter                                                      Acaena exigua Gray                                                                         KAR94    
   Acaena exigua var. subtusstrigulosa Bitter                                                  Acaena exigua Gray                                                                         KAR94    
*  Acalypha rhomboidea Raf.                                                                    Acalypha virginica var. rhomboidea (Raf.) Cooperrider                                      KAR94    
   Acanthocereus floridanus Small                                                              Acanthocereus tetragonus (L.) Humm.                                                        KAR94    
   Acanthocereus pentagonus (L.) Britt. & Rose                                                 Acanthocereus tetragonus (L.) Humm.                                                        KAR94    
   Acanthochiton wrightii Torr.                                                                Amaranthus acanthochiton Sauer                                                             KAR94    
   Acanthoxanthium spinosum (L.) Fourr.                                                        Xanthium spinosum L.                                                                       KAR94    
   Acer carolinianum Walt.                                                                     Acer rubrum var. trilobum Torr. & Gray ex K. Koch                                          KAR94    
   Acer dasycarpum Ehrh.                                                                       Acer saccharinum L.                                                                        KAR94    
   Acer drummondii Hook. & Arn. ex Nutt.                                                       Acer rubrum var. drummondii (Hook. & Arn. ex Nutt.) Sarg.                                  KAR94    
   Acer nigrum var. palmeri Sarg.                                                              Acer nigrum Michx. f.                                                                      KAR94    
   Acer platanoides var. schwedleri Nichols.                                                   Acer platanoides L.                                                                        KAR94    
*  Acer rubrum ssp. drummondii (Hook. & Arn. ex Nutt.) E. Murr.                                Acer rubrum var. drummondii (Hook. & Arn. ex Nutt.) Sarg.                                  KAR94    
   Acer rubrum var. tridens Wood                                                               Acer rubrum var. trilobum Torr. & Gray ex K. Koch                                          KAR94    
   Acer saccharinum var. laciniatum Pax                                                        Acer saccharinum L.                                                                        KAR94    
   Acer saccharinum var. wieri Rehd.                                                           Acer saccharinum L.                                                                        KAR94    
*  Acer saccharum ssp. nigrum (Michx. f.) Desmarais                                            Acer nigrum Michx. f.                                                                      KAR94    
   Acer saccharum var. nigrum (Michx. f.) Britt.                                               Acer nigrum Michx. f.                                                                      KAR94    
   Acer saccharum var. viride (Schmidt) E. Murr.                                               Acer nigrum Michx. f.                                                                      KAR94    
   Acerates delticola Small                                                                    Asclepias longifolia Michx.                                                                KAR94    
   Acerates floridana (Lam.) A.S. Hitchc.                                                      Asclepias longifolia Michx.                                                                KAR94    
   Acerates hirtella Pennell                                                                   Asclepias hirtella (Pennell) Woods.                                                        KAR94    
   Acerates longifolia (Michx.) Ell.                                                           Asclepias longifolia Michx.                                                                KAR94    
   Acetosa oblongifolia (L.) A.& D. Löve                                                       Rumex obtusifolius L.                                                                      KAR94    
   Acetosella acetosella (L.) Small                                                            Rumex acetosella L.                                                                        KAR94    
   Acetosella corniculata (L.) Kuntze                                                          Oxalis corniculata L.                                                                      KAR94    
   Acetosella tenuifolia (Wallr.) A. Löve                                                      Rumex acetosella L.                                                                        KAR94    
   Acetosella vulgaris (Koch) Fourr.                                                           Rumex acetosella L.                                                                        KAR94    
   Achras bidentata A.DC.                                                                      Manilkara bidentata (A. DC.) Chev.                                                         NLSPN    
   Achras emarginata (L.) Little                                                               Manilkara jaimiqui ssp. emarginata (L.) Cronq.                                             KAR94    
   Achyranthes altissima Jacq.                                                                 Chamissoa altissima (Jacq.) Kunth                                                          KAR94    
   Achyranthes philoxeroides (Mart.) Standl.                                                   Alternanthera philoxeroides (Mart.) Griseb.                                                KAR94    
   Achyranthes polygonoides (L.)LAM.                                                           Alternanthera sessilis (L.) R. Br. ex DC.                                                  NLSPN    
   Achyranthes prostrata L.                                                                    Cyathula prostrata (L.) Blume                                                              KAR94    
   Achyranthes ramosissima auct. non (Mart.) Standl.                                           Alternanthera flavescens Kunth                                                             KAR94    
   Achyranthes sessilis (L.) Desf. ex Steud.                                                   Alternanthera sessilis (L.) R. Br. ex DC.                                                  KAR94    
   Acisanthera acisanthera (L.) Britt.                                                         Acisanthera quadrata Pers.                                                                 KAR94    
   Acmella repens (Walt.) L.C. Rich.                                                           Acmella oppositifolia var. repens (Walt.) R.K. Jansen                                      KAR94    
   Acmispon americanum (Nutt.) Rydb.                                                           Lotus unifoliolatus var. unifoliolatus (Hook.) Benth.                                      KAR94    
   Acnida alabamensis Standl.                                                                  Amaranthus australis (Gray) Sauer                                                          KAR94    
   Acnida altissima (Riddell) Moq. ex Standl.                                                  Amaranthus tuberculatus (Moq.) Sauer                                                       KAR94    
   Acnida altissima var. prostrata (Uline & Bray) Fern.                                        Amaranthus tuberculatus (Moq.) Sauer                                                       KAR94    
   Acnida altissima var. subnuda (S. Wats.) Fern.                                              Amaranthus tuberculatus (Moq.) Sauer                                                       KAR94    
   Acnida australis Gray                                                                       Amaranthus australis (Gray) Sauer                                                          KAR94    
   Acnida cannabina L.                                                                         Amaranthus cannabinus (L.) Sauer                                                           KAR94    
   Acnida concatenata (Moq.) Small                                                             Amaranthus tuberculatus (Moq.) Sauer                                                       KAR94    
   Acnida cuspidata Bertero ex Spreng.                                                         Amaranthus australis (Gray) Sauer                                                          KAR94    
   Acnida floridana S. Wats.                                                                   Amaranthus floridanus (S. Wats.) Sauer                                                     KAR94    
   Acnida subnuda (S. Wats.) Standl.                                                           Amaranthus tuberculatus (Moq.) Sauer                                                       KAR94    
   Acnida tamariscina auct. non (Nutt.) Wood                                                   Amaranthus rudis Sauer                                                                     KAR94    
   Acnida tamariscina var. prostrata Uline & Bray                                              Amaranthus tuberculatus (Moq.) Sauer                                                       KAR94    
   Acnida tuberculata Moq.                                                                     Amaranthus tuberculatus (Moq.) Sauer                                                       KAR94    
   Acoelorraphe arborescens (Sarg.) Becc.                                                      Acoelorraphe wrightii (Griseb. & H. Wendl.) H. Wendl. ex Becc.                             KAR94    
   Acomastylis calthifolia (Menzies ex Sm.) Bolle                                              Geum calthifolium Menzies ex Sm.                                                           KAR94    
