Classification for Kingdom Plantae Down to Variety Carex macrocephala var. bracteata
Up to the kingdom
"Kingdom","Plantae","Plants"
"Subkingdom","Tracheobionta","Vascular plants"
"Superdivision","Spermatophyta","Seed plants"
"Division","Magnoliophyta","Flowering plants"
"Class","Liliopsida","Monocotyledons"
"Subclass","Commelinidae",""
"Order","Cyperales",""
"Family","Cyperaceae","Sedge family"
"Genus","Carex L.","sedge"
"Species","Carex macrocephala Willd. ex Spreng.","largehead sedge"
"Variety","Carex macrocephala Willd. ex Spreng. var. bracteata T. Holm","largehead sedge"
