Holstein
Changes in May 2006 productive life and Net Merit using formulas to be implemented August 2006
PL diff is NewPL - (1.4 x OldPL) [see: http://aipl.arsusda.gov/reference/changes/eval0608.html]
UNOFFICIAL - NOT TO BE USED FOR ADVERTISING!  

                   ________PL_______ _REL__   ___NM$___
Bull ID             New   Old  Diff  New Old  Old  Diff NAAB Code  Name
=================================================================================================
HOUSA000122358313   5.4   3.9  -0.1  83  85   706     9 007HO06417 O-BEE MANFRED JUSTICE-ET
HOUSA000131184495   1.7   1.3  -0.1  62  65   599   -77 001HO07127 JEWELED-ACRES SHARKY-ET
HOUSA000131102143   2.8   2.1  -0.1  67  71   592   -51 029HO10681 BO-IRISH ALTON-ET
HOUSA000130153294  -0.2   0.2  -0.5  63  66   583  -112 014HO03831 VEAZLAND MARION-ET
HOUSA000130149695  -0.1  -0.1   0.0  57  60   550   -92 006HO01030 MURANDA ADDISON LILYMAN-ET
HOUSA000207641905  -0.3   0.1  -0.4  60  63   547   -86 001HO06959 GG ADDISON SATIRE
HOUSA000130588960   2.1   1.6  -0.1  62  66   541   -78 200HO04779 R-E-W BUCKEYE-ET
HOUSA000124247705   5.7   3.7   0.5  69  72   539    44 100HO09123 MORNINGVIEW JALAPENO-ET
HOUSA000002296354   2.3   1.7  -0.1  97  98   535   -37 007HO05484 RICECREST BOONE-ET
HOUSA000122217650   1.3   0.9   0.0  56  56   531   -39 204HO01010 HIGHLAND-H STORMIN NORMAN
HOUSA000129196732   2.3   2.1  -0.6  61  63   527   -32 007HO07264 RAGGI MTOTO MAN-ET
HOUSA000130977203   1.4   1.0  -0.0  52  52   525   -93 091HO04489 MURANDA BWM LEADER-ET
HOUSA000130558361   3.4   2.6  -0.2  61  65   523   -24 029HO10792 APPLOUIS JET STREAM-ET
HOUSA000124690866   3.9   2.4   0.5  80  83   519    38 011HO05929 CARTERS-CORNER ALLY-ET
HOUSA000131123737   2.0   2.6  -1.6  65  67   516   -73 001HO06905 FREUND-FARM ADDISON ZEUS
HOUSA000060301421   1.8   1.6  -0.4  60  62   506   -76 001HO07154 BDGGENETICS ENCINO-ET
HOUSA000127935119   6.5   3.5   1.6  75  79   505    76 011HO06330 GOLDEN-OAKS GUTHRIE-ET
HOUSA000060046232  -1.2  -0.3  -0.8  65  67   504   -94 076HO00279 SAVAGE-LEIGH MR LEVEL-ET
HOUSA000127928508   4.4   3.0   0.2  67  70   504    -9 001HO02406 HEBRON-RIDGE MANFRED BO-ET
HOUSA000129766502   2.4   1.7   0.0  63  66   504    -3 007HO06838 BARBI-LYN M MATCHES-ET
HOUSA000017193986   2.9   2.1  -0.0  88  91   498   -22 001HO05353 HILMAR RICK LATERAL-ET
HOUSA000017226843   0.9   0.9  -0.4  98  98   497   -83 001HO06158 MCCLOE-POND TRENT
HOUSA000060280179   4.7   3.2   0.2  55  58   497    51 029HO10797 BOMAZ JURASSIC-ET
HOUSA000129572020   1.6   0.4   1.0  69  72   497     2 001HO06680 MR HORSTYLE MERIT-ET
HOUSA000129015307   2.5   1.8  -0.0  70  73   496   -11 029HO10321 EMERALD-ACR-VR DARNELL-ET
HOUSA000127952996   4.2   3.1  -0.1  68  71   495     3 001HO06654 HIDDEN-VIEW PHARISEE-TW
HOUSA000130400172   1.9   1.1   0.4  59  63   495   -27 001HO07135 APPLOUIS JOCKO JARVIS-ETS
HOUSA000207641857  -1.4  -1.0   0.0  59  62   495  -101 029HO10867 GG SNAP SHOT-ET
HOUSA000127728162   2.9   2.3  -0.3  64  66   493   -12 011HO06036 PLUSHANSKI MANDEL FASNACHT
HOUSA000017330159   5.7   4.3  -0.3  74  76   492    35 009HO02501 PLUSHANSKI LABELLE HOOD-ET
HOUSA000129069717   0.4   0.0   0.4  67  70   490   -32 007HO06695 LATUCH CONVINCER FARLEY-ET
HOUSA000127032599   3.0   2.2  -0.1  63  65   488   -10 007HO06546 DIN-A-STE REMINGTON
HOUSA000126310001   4.3   3.3  -0.3  68  70   487    12 091HO04408 MAR-BIL RUDOLPH GUSTO-ET
HOUSA000129901651   0.7   0.4   0.1  68  71   487   -47 029HO10493 LUTZ-BROOKVIEW BURT-ET
HOITA000908017670   2.9   2.2  -0.2  87  90   485    47 210HO00006 OLMO PRELUDE TUGOLO
HOUSA000129245623   4.0   2.9  -0.1  71  74   482     5 029HO10554 LIBRAE MANFRED HOLMAN-ET
HOUSA000130486802  -0.3  -0.1  -0.2  68  71   472   -65 029HO10607 DORDELL CONCORD-ET
HOUSA000130686127   0.5   0.7  -0.5  63  66   471   -90 029HO10726 SANDY-VALLEY FABRIZIO-ET
HOUSA000060180333   2.2   2.6  -1.4  65  67   470   -70 007HO07043 SHADYCREST-H ADDISON 167-ET
HOUSA000128530148   2.5   1.9  -0.2  72  75   469   -20 014HO03614 CARNATION MANFRED VIRGAS-ET
HOITA001600023284   1.0   0.8  -0.1  52  55   468   -60 199HO00023 CERESIO BORMIO-ET
HOUSA000002226004   5.2   3.5   0.3  98  99   467    29 007HO04955 JUNGE CONVERSE FAGAN-ET
HOUSA000122185573   0.3   0.5  -0.4  80  83   467   -86 029HO09685 VISION-GEN OZZIE-ET
HOUSA000060280187   0.3   0.0   0.3  53  54   466   -31 014HO03964 BOMAZ MARSHALL BOB 433-ET
HOUSA000130981549  -0.7   0.0  -0.7  65  68   466   -98 001HO06874 WA-DEL JERICO-ET
HOUSA000131148893   3.5   2.7  -0.3  57  58   466   -21 011HO07494 SANDY-VALLEY BIRDMAN
HOUSA000018059363   3.2   2.2   0.1  63  65   464    10 001HO02312 AMSTUTZ ZEBO COLUMBUS
HOUSA000128950634   3.2   2.7  -0.6  74  78   463   -19 029HO10241 LYNNCREST DECISION HESS-ET
HOUSA000129608932   1.6   1.7  -0.8  74  77   462   -54 011HO06414 CANYON-BREEZE ALLEGRO-ET
HOUSA000131058145  -0.6   0.1  -0.7  60  62   459  -104 001HO06948 SQUARE-ACRES ADDI KNOCK-ET
HOUSA000123721426   1.3   0.7   0.3  79  83   458     6 007HO06382 MAR-RIVER WINCHEST OWEN-ET
HOUSA000128372908  -0.1   0.1  -0.2  57  60   458   -40 007HO07681 HORSTYLE MT DITTO-ET
HOUSA000130312341   1.3   0.5   0.6  65  68   457   -60 029HO10641 PASEN MANGO-ET
HOUSA000130312462  -1.3  -0.8  -0.2  62  64   457   -94 001HO06997 PASEN MEDIC-ET
HOUSA000130402464  -1.7  -1.5   0.4  65  69   455  -110 001HO06924 UECKER EMERSON JACK-ET
HOUSA000060162863   3.9   2.1   1.0  62  65   453     3 001HO05951 CO-OP SAILOR ANXIOUS
HOUSA000130161253   3.2   1.8   0.7  71  74   453    40 001HO06833 KED MTOTO JEWEL TRES-ET
HOUSA000130308890   0.4  -0.1   0.5  65  69   452   -28 029HO10639 PEN-COL BEAU-ET
HOUSA000123586443   5.7   3.9   0.2  73  76   451    34 029HO10124 END-ROAD PVF BOLIVER-ET
HOUSA000128600931   5.7   4.5  -0.6  70  73   451    38 029HO10300 MORNINGVIEW PALMYRA
HOUSA000017215087   2.7   1.8   0.2  63  64   450   -20 044HO00288 COYNE-FARMS ZEBO ECY-ET
HOUSA000127325462   3.1   2.5  -0.4  73  76   450   -29 029HO10350 J-T-WILLOW MANFRED KIMBALL
HOUSA000128920633   2.0   0.8   0.9  72  75   449   -18 001HO06671 RICECREST MURPHY-ET
HOUSA000130313061   3.1   2.6  -0.5  67  70   449   -20 029HO10555 STRIPES MANFRED STRIKER-ET
HOUSA000122985418   4.1   3.1  -0.2  67  71   448     7 001HO05678 CO-OP MNFRD TIGER
HOUSA000130272522   3.2   2.6  -0.4  57  60   448    16 029HO10899 TWO-FINE DOMINATOR-ET
HOUSA000127642675   1.0   1.0  -0.4  67  69   447   -25 091HO04387 EASTVIEW GW GLADIATOR MG-ET
HOUSA000122985548   4.0   2.3   0.8  66  68   445    16 001HO05663 HILLSIDE M SOLO CRI-ET
HOUSA000120745603   5.3   4.0  -0.3  74  77   443    17 009HO02575 PECKENSTEIN FORM BRET-ET
HOUSA000130167754   0.2   0.4  -0.4  65  67   443   -62 029HO10702 POLY-KOW CONVINCER ALLEZ
HOUSA000131265754   0.6   0.7  -0.4  55  57   443   -69 007HO08147 SANDY-VALLEY FOX-ET
HOUSA000060144086   2.2   1.8  -0.3  67  70   442   -13 200HO03210 FUTURALAND ZANE-ET
HOUSA000060044869   3.8   2.2   0.7  65  68   441    19 001HO05875 PEN-COL DECSON DILLY CRI-ET
HOUSA000130920023   2.0   1.0   0.6  58  61   439   -25 200HO04841 DIRIGO JEFFREY-ET
HOUSA000131520543  -0.3  -0.1  -0.2  55  57   439   -98 200HO01584 DIAMOND-OAK FROSTY-ET
HOUSA000126288371   3.4   2.5  -0.1  68  70   438    -9 014HO03510 RABUR MARTY PRESTIGE-ET
HOUSA000127368780   1.3   0.4   0.7  70  72   438    -7 001HO06670 TIDY-BROOK MANFRED MARIO-ET
HOUSA000128367894   5.2   3.3   0.6  70  73   438    42 014HO03597 KEYSTONE POTTER
HOUSA000128825983   4.3   3.0   0.1  75  78   437    62 029HO10382 PEN-COL MTOTO DRAGNET-ET
HONLD000234443376   3.7   2.6   0.1  61  63   436    33 011HO06274 KANTWIJK MANFORD
HOUSA000060056318   0.8   0.8  -0.3  59  61   436   -73 014HO03944 DESTINY-M BW MRSH LOU-ET
HOUSA000128211933   2.8   2.1  -0.1  70  73   436   -29 011HO06313 PENN-DELL RIPKEN-ET
HOUSA000130581712   2.4   1.5   0.3  59  61   436   -17 029HO10741 ZIMMERVIEW ADDISON ARIAT
HOFRA005694028588   1.2   0.8   0.1  73  78   435   -57 180HO09612 JOCKO BESN
HOUSA000060050369   2.1   1.6  -0.1  68  71   435    -9 029HO10646 PARADISE-R ENHANCE-ET
HOUSA000060267745   3.5   2.7  -0.3  63  66   434   -10 007HO07145 SILMARILLION CASIMIR EDDIE
HOUSA000130295341   3.5   2.2   0.4  63  67   434    36 007HO06883 ELMBRINK MILLENIUM-ET
HOUSA000060030334   5.8   3.6   0.8  67  71   433    60 001HO06776 LANGS-TWIN-B T-M TRAVIS-ET
HOUSA000130820547   1.7   1.7  -0.7  69  71   433   -52 001HO06987 HIDDEN-VIEW POMEROY-ET
HOUSA000060180343   1.4   1.2  -0.3  62  64   432   -63 029HO10799 SHADYCREST-H MEGATON-ET
HOUSA000128920446   3.6   2.0   0.8  75  79   432    15 011HO06367 RICECREST FORECAST-ET
HOUSA000129636025   1.8   1.4  -0.2  64  67   432   -56 007HO06967 GOLDEN-OAKS CARSON-ET
HOUSA000131188864   0.6   0.2   0.3  62  64   432   -55 029HO10906 SANDY-VALLEY BURKETT-ET
HOUSA000002294563   1.2   0.9  -0.1  98  99   431   -14 001HO06020 ANDACRES HUNTER ORION
HOUSA000128790577  -1.1  -0.8   0.0  69  72   431   -84 001HO06718 VANTAGE-PT PLATO-ET
HOUSA000125933269   0.4   0.3  -0.0  54  55   430   -74 151HO00365 SANDY-VALLEY BARLEY-ET
HOUSA000131207035   3.2   2.0   0.4  61  63   430   -29 014HO03896 VAN-WAGNER SANSKRIT-ET
HOUSA000060232451   1.5   1.3  -0.3  59  62   429   -50 001HO07117 ATH-MOR ADDISON DUMBELLE
HOUSA000129249047   4.1   2.5   0.6  73  77   428    21 029HO10302 RICECREST TURNER-ET
HOUSA000017367125   2.4   1.6   0.2  80  83   427   -28 007HO06025 DE-MATT RUDOLPH TEAMSTER-ET
HOUSA000130354284   1.6   1.3  -0.2  57  60   427   -44 029HO10734 PEN-COL JOURNEY
HOUSA000002266677   3.3   2.2   0.2  99  99   426    26 001HO05045 KLASSIC MERRILL LYNCH-ET
HOUSA000130629351   1.6   1.4  -0.4  70  74   426   -67 007HO07156 HONEYCREST ELEGANT-ET
HOUSA000060317081  -0.4   0.3  -0.8  59  61   425   -87 006HO01042 SAVAGE-LEIGH LINLEY-ET
HOUSA000129918468   0.6   0.5  -0.1  62  65   425   -53 007HO07309 MOMENTARY MAGIC-ET
HOUSA000017231273   0.5   0.3   0.1  90  93   424   -18 001HO06276 PASEN PATRON MEDIA-ETS
HOUSA000128385579   1.4   1.2  -0.3  69  72   423   -44 014HO03596 SANDY-VALLEY SPICEMASTER-ET
HOUSA000002279740   3.9   2.7   0.1  84  87   422    19 009HO02271 SURE-VIEW MOUNTAIN MIKE-ET
HOUSA000130124155   0.2   0.4  -0.4  65  67   422   -79 014HO03751 CANYON-BREEZE AIR-TIME-ET
HOUSA000131313710   0.8   0.4   0.2  60  63   422   -31 001HO07107 HALO ADDISON DICTATE-ET
HOUSA000017188116   1.3   0.6   0.5  96  97   421   -53 029HO09155 GLEN-TOCTIN PIPPEN-ET
HOUSA000125416843   1.9   0.7   0.9  73  75   421    10 122HO01443 SANDY-VALLEY FROEMMING-TW
HOUSA000121110325   7.0   4.7   0.4  75  79   420    93 001HO06362 CLOVER-VALLEY DUSTER IVAN
HOUSA000128611368   1.1   0.8  -0.0  66  69   420   -41 011HO06350 TIDY-BROOK FLOURISH-ET
HOUSA000017086450   4.5   3.1   0.2  74  77   419    21 076HO00330 HEATHERSTONE-V REDWOOD-ET
HOUSA000121883236   1.2   1.5  -0.9  70  72   419   -61 014HO03300 MIL-JOY WADE VIXEN-ET
HOUSA000130813851   0.6   1.7  -1.8  66  69   419   -94 029HO10705 MOROVILLE ADDISON BANKER-ET
HOCAN000009255051   2.2   1.6  -0.0  59  62   418   -17 011HO07635 ALTA SHADY-ET
HOUSA000050453248   0.3   0.6  -0.5  75  78   418   -57 029HO10377 LEXVOLD HELDOSTAR HALE-ET
HOUSA000125602288   1.9   1.8  -0.6  44  45   418   -44 151HO00328 WELCOME MANOLO-ET
HOUSA000129644392   0.4   0.5  -0.3  68  71   418   -53 014HO03716 LUTZ-BROOKVIEW GLEN L-ETS
HOUSA000017366195   0.6   0.6  -0.2  77  80   417   -33 029HO09419 TIDY-BROOK STEPHEN-ET
HOUSA000121359795   3.8   2.5   0.3  67  70   417    26 007HO06346 OAKLEIGH MANFRED HERMAN-ET
HOUSA000060470862   1.9   1.5  -0.2  53  54   416   -31 029HO10760 LANGS-TWIN-B D-H DELMAR-ET
HOUSA000124036811   0.1   0.2  -0.2  64  66   416   -50 011HO06251 LANGS-TWIN-B MERCURY-ET
HOUSA000128439689   1.9   1.8  -0.6  67  69   416   -27 200HO04570 COOKS-VALLEY CEREMONY-ET
HOUSA000128706141   0.6   0.8  -0.5  74  78   416   -43 007HO06704 HIDDEN-VIEW BARRETT-ET
HOUSA000123253040   4.6   3.3  -0.0  71  73   415    12 001HO05627 CO-OP COMPLETE-CRI
HOUSA000129008769   2.5   1.7   0.1  71  75   414   -12 029HO10446 HICKORYMEA OSWALD-P-ET
HOUSA000129832935  -2.4  -1.8   0.1  62  64   414   -96 001HO07116 WELCOME LEOPOLDE-ET
