Table 1-33,,,,,,,,,,
Long-Distance Travel in the United States by Selected Trip Characteristics: 1995,,,,,,,,,,
"(Roundtrips of 100 miles or more, one way, U.S. destinations only)  ",,,,,,,,,,
,,,,,,,Personal-use,,Personal-use,
,Household trips,,Person trips,,Person-miles,,vehicle trips,,vehicle-miles,
,(thousands),,(thousands),,(millions),,(thousands),,(millions),
,Number,%,Number,%,Number,%,Number,%,Number,%
TOTAL,"656,462",100.0,"1,001,319",100.0,"826,804",100.0,"505,154",100.0,"280,127",100.0
,,,,,,,,,,
Principal means of transportation,,,,,,,,,,
Personal-use vehicle,"505,154",77.0,"813,858",81.3,"451,590",54.6,"505,154",100.0,"280,127",100.0
Airplane,"129,164",19.7,"161,165",16.1,"355,286",43.0,NA,NA,NA,NA
  Commercial airplane,"124,884",19.0,"155,936",15.6,"347,933",42.1,NA,NA,NA,NA
Bus,"17,340",2.6,"20,445",2.0,"13,309",1.6,NA,NA,NA,NA
  Intercity ,"2,755",0.4,"3,244",0.3,"2,723",0.3,NA,NA,NA,NA
  Charter or tour,"11,890",1.8,"14,247",1.4,"9,363",1.1,NA,NA,NA,NA
Train,"4,200",0.6,"4,994",0.5,"4,356",0.5,NA,NA,NA,NA
"Ship, boat, or ferry",391,0.1,614,0.1,"1,834",0.2,NA,NA,NA,NA
Other,213,--,243,--,429,0.1,NA,NA,NA,NA
Roundtrip distance,,,,,,,,,,
Less than 300 miles,"194,098",29.6,"306,433",30.6,"74,658",9.0,"185,418",36.7,"45,159",16.1
300-499 miles,"174,389",26.6,"274,045",27.4,"106,007",12.8,"159,743",31.6,"61,779",22.1
500-999 miles,"140,046",21.3,"214,006",21.4,"146,631",17.7,"106,846",21.2,"72,114",25.7
"1,000-1,999 miles","76,110",11.6,"108,331",10.8,"153,316",18.5,"36,722",7.3,"49,952",17.8
"2,000 miles or more","71,819",10.9,"98,503",9.8,"346,192",41.9,"16,425",3.3,"51,123",18.3
Mean (miles),872,NA,826,NA,NA,NA,555,NA,NA,NA
Median (miles),438,NA,425,NA,NA,NA,368,NA,NA,NA
Calendar quarter,,,,,,,,,,
1st quarter,"130,963",19.9,"200,331",20.0,"155,603",18.8,"99,549",19.7,"50,801",18.1
2nd quarter,"168,669",25.7,"258,400",25.8,"208,256",25.2,"130,135",25.8,"72,421",25.9
3rd quarter,"193,913",29.5,"304,542",30.4,"261,463",31.6,"152,862",30.3,"90,558",32.3
4th quarter,"162,917",24.8,"238,047",23.8,"201,471",24.4,"122,607",24.3,"66,346",23.7
Main purpose of trip,,,,,,,,,,
Business,"192,537",29.3,"224,835",22.5,"212,189",25.7,"125,036",24.8,"61,929",22.1
Pleasure,"372,586",56.8,"630,110",62.9,"506,971",61.3,"305,571",60.5,"177,698",63.4
  Visit relatives or friends,"195,468",29.8,"330,755",33.0,"264,769",32.0,"159,981",31.7,"92,190",32.9
  Leisurea,"177,119",27.0,"299,355",29.9,"242,201",29.3,"145,590",28.8,"85,508",30.5
    Rest or relaxation,"65,017",9.9,"115,154",11.5,"100,838",12.2,"53,780",10.6,"33,598",12.0
    Sightseeing,"24,272",3.7,"42,649",4.3,"50,781",6.1,"18,069",3.6,"14,654",5.2
    Outdoor recreation,"39,899",6.1,"65,418",6.5,"41,620",5.0,"35,987",7.1,"19,407",6.9
    Entertainment,"37,456",5.7,"58,757",5.9,"42,929",5.2,"27,920",5.5,"14,531",5.2
Personal business,"91,319",13.9,"146,338",14.6,"107,621",13.0,"74,532",14.8,"40,490",14.5
Other,19,--,36,--,23,--,16,--,9,--
Vacation or weekend trips,,,,,,,,,,
Vacation trip,"301,197",45.9,"515,383",51.5,"484,144",58.6,"236,055",46.7,"154,167",55.0
Weekend trip,"400,755",61.0,"621,948",62.1,"475,269",57.5,"310,379",61.4,"169,309",60.4
  1 or 2 nights away from home,"240,808",36.7,"377,893",37.7,"222,418",26.9,"199,831",39.6,"94,865",33.9
  3-5 nights away from home,"159,946",24.4,"244,055",24.4,"252,851",30.6,"110,548",21.9,"74,444",26.6
Travel party type,,,,,,,,,,
"One adult, no children under 18","386,479",58.9,"386,510",38.6,"352,350",42.6,"275,034",54.4,"144,795",51.7
"Two or more adults, no children under 18 ","155,147",23.6,"299,485",29.9,"248,762",30.1,"133,163",26.4,"79,273",28.3
