"STATE CODE","","2003","2004","2005","2006","2007"
"US"
"US",""
"ID","Number of Wells Producing at End of Year","0","0","0","0","0"
"US",""
"US","Production (million cubic feet)"
"US","Gross Withdrawals"
"ID","From Gas Wells","0","0","0","0","0"
"ID","From Oil Wells","0","0","0","0","0"
"US",""
"ID","Total","0","0","0","0","0"
"US",""
"ID","Repressuring","0","0","0","0","0"
"ID","Vented and Flared","0","0","0","0","0"
"ID","Nonhydrocarbon Gases Removed","0","0","0","0","0"
"ID","Marketed Production","0","0","0","0","0"
"ID","Extraction Loss","0","0","0","0","0"
"US",""
"ID","Total Dry Production","0","0","0","0","0"
"US",""
"US","Supply (million cubic feet)"
"ID","Dry Production","0","0","0","0","0"
"US","Receipts at U.S. Borders"
"ID","Imports","623652","707885","624468","690781","704429"
"ID","Intransit Receipts","32094","471","10513","*","21936"
"ID","Interstate Receipts","155200","180519","181256","219714","233472"
"US","Withdrawals from Storage"
"ID","Underground Storage","0","0","0","0","0"
"ID","LNG Storage","301","451","189","275","189"
"ID","Supplemental Gas Supplies","0","0","0","0","0"
"ID","Balancing Item","2102","2651","-2484","-11435","3772"
"US",""
"ID","Total Supply","813349","891976","813942","899335","963798"
"US","Disposition (million cubic feet)"
"ID","Consumption","69868","75335","74540","75709","81943"
"US","Deliveries at U.S. Borders"
"ID","Exports","15","48","0","0","0"
"ID","Intransit Deliveries","0","0","0","0","0"
"ID","Interstate Deliveries","743256","816263","739356","823211","881766"
"US","Additions to Storage"
"ID","Underground Storage","0","0","0","0","0"
"ID","LNG Storage","210","330","46","415","89"
"US",""
"ID","Total Disposition","813349","891976","813942","899335","963798"
"US",""
"US","Consumption (million cubic feet)"
"ID","Lease Fuel","0","0","0","0","0"
"ID","Pipeline and Distribution Use","4538","5763","5339","6507","7542"
"ID","Plant Fuel","0","0","0","0","0"
"US","Delivered to Consumers"
"ID","Residential","18940","20682","21603","22450","23419"
"ID","Commercial","12019","12995","13231","13573","14274"
"ID","Industrial","24689","23907","22852","23488","24119"
"ID","Vehicle Fuel","86","96","91","80","85"
"ID","Electric Power","9596","11892","11425","9611","12504"
"US",""
"ID","Total Delivered to Consumers","65329","69572","69202","69202","74401"
"US",""
"ID","Total Consumption","69868","75335","74540","75709","81943"
"US",""
"US","Delivered for the Account of Others"
"US","(million cubic feet)"
"ID","Residential","0","0","0","0","0"
"ID","Commercial","1775","1858","1911","1927","2169"
"ID","Industrial","24166","23343","22332","23002","23647"
"US",""
"US","Number of Consumers"
"ID","Residential","274481","288380","301357","316915","323114"
"ID","Commercial","32274","33104","33362","33625","33767"
"ID","Industrial","191","196","195","192","188"
"US",""
"US","Average Annual Consumption per Consumer"
"US","(thousand cubic feet)"
"ID","Commercial","372","393","397","404","423"
"ID","Industrial","129264","121974","117189","122331","128294"
"US",""
"US","Average Price for Natural Gas"
"US","(nominal dollars per thousand cubic feet)"
"ID","Wellhead (Marketed Production)","--","--","--","--","--"
"ID","Imports","4.72","5.30","7.13","6.22","6.31"
"ID","Exports","4.34","5.36","--","--","--"
"ID","City Gate","4.27","5.69","7.95","7.27","6.68"
"US","Delivered to Consumers"
"ID","Residential","7.59","9.04","10.59","12.25","11.47"
"ID","Commercial","6.93","8.37","9.86","11.49","10.67"
"ID","Industrial","5.90","6.97","8.39","10.05","9.39"
"ID","Vehicle Fuel","--","--","--","11.42","11.42"
"ID","Electric Power","W","W","W","0.00","W"
