"FIPS","Region","State","1948.1","1948.2","1948.3","1948.4","1949.1","1949.2","1949.3","1949.4","1950.1","1950.2","1950.3","1950.4","1951.1","1951.2","1951.3","1951.4","1952.1","1952.2","1952.3","1952.4","1953.1","1953.2","1953.3","1953.4","1954.1","1954.2","1954.3","1954.4","1955.1","1955.2","1955.3","1955.4","1956.1","1956.2","1956.3","1956.4","1957.1","1957.2","1957.3","1957.4","1958.1","1958.2","1958.3","1958.4","1959.1","1959.2","1959.3","1959.4","1960.1","1960.2","1960.3","1960.4","1961.1","1961.2","1961.3","1961.4","1962.1","1962.2","1962.3","1962.4","1963.1","1963.2","1963.3","1963.4","1964.1","1964.2","1964.3","1964.4","1965.1","1965.2","1965.3","1965.4","1966.1","1966.2","1966.3","1966.4","1967.1","1967.2","1967.3","1967.4","1968.1","1968.2","1968.3","1968.4","1969.1","1969.2","1969.3","1969.4","1970.1","1970.2","1970.3","1970.4","1971.1","1971.2","1971.3","1971.4","1972.1","1972.2","1972.3","1972.4","1973.1","1973.2","1973.3","1973.4","1974.1","1974.2","1974.3","1974.4","1975.1","1975.2","1975.3","1975.4","1976.1","1976.2","1976.3","1976.4","1977.1","1977.2","1977.3","1977.4","1978.1","1978.2","1978.3","1978.4","1979.1","1979.2","1979.3","1979.4","1980.1","1980.2","1980.3","1980.4","1981.1","1981.2","1981.3","1981.4","1982.1","1982.2","1982.3","1982.4","1983.1","1983.2","1983.3","1983.4","1984.1","1984.2","1984.3","1984.4","1985.1","1985.2","1985.3","1985.4","1986.1","1986.2","1986.3","1986.4","1987.1","1987.2","1987.3","1987.4","1988.1","1988.2","1988.3","1988.4","1989.1","1989.2","1989.3","1989.4","1990.1","1990.2","1990.3","1990.4","1991.1","1991.2","1991.3","1991.4","1992.1","1992.2","1992.3","1992.4","1993.1","1993.2","1993.3","1993.4","1994.1","1994.2","1994.3","1994.4","1995.1","1995.2","1995.3","1995.4","1996.1","1996.2","1996.3","1996.4","1997.1","1997.2","1997.3","1997.4","1998.1","1998.2","1998.3","1998.4","1999.1","1999.2","1999.3","1999.4","2000.1","2000.2","2000.3","2000.4","2001.1","2001.2","2001.3","2001.4","2002.1","2002.2","2002.3","2002.4","2003.1"
"00","0","United States",202868,208198,213726,213701,207775,206413,205632,206785,222043,222726,231506,241017,249329,256101,259525,264792,266874,270563,277348,283397,287951,292018,292084,292233,291786,290920,293373,299416,304954,312182,319676,324819,329815,336157,341041,348398,352135,356830,361608,361598,360968,363029,371903,377052,383132,392070,394343,400137,404558,409242,411530,413137,416965,422808,429895,438708,444710,452444,457597,463194,467933,472807,480079,489266,498259,506922,516655,525488,535481,545042,559267,572505,584131,593550,606795,620000,629869,636579,649863,660817,680194,699645,717595,732734,747505,765321,784786,799436,810529,831098,843933,852261,871330,894333,907213,924120,951526,968089,995052,1038781,1061320,1091279,1120210,1159160,1176638,1202421,1238900,1262765,1275547,1305389,1342999,1380921,1419014,1447686,1487237,1525072,1563756,1604275,1650037,1705535,1749081,1814354,1872474,1929450,1988885,2032813,2099727,2169931,2238654,2259292,2329051,2428687,2499685,2538606,2641347,2673702,2698065,2742658,2774984,2812109,2840492,2898796,2956512,3044360,3138615,3225497,3312380,3363763,3430816,3472897,3511889,3579046,3635551,3673682,3720802,3759401,3836376,3898884,3974847,4071954,4138590,4210803,4291404,4379203,4499599,4556058,4600372,4673686,4783227,4861785,4933870,4963217,4979681,5043039,5090205,5148739,5259898,5337739,5378309,5530542,5454158,5583206,5619542,5736878,5702306,5850745,5926379,6034018,6101411,6154772,6217275,6295482,6395965,6500055,6587746,6668647,6783568,6870579,6970231,7089802,7246963,7375326,7483312,7568387,7647692,7715362,7801469,7953561,8203951,8340516,8481243,8569774,8651750,8669238,8697083,8691889,8772204,8881691,8927635,8982839,9066660
"01","5","Alabama",2495,2609,2659,2700,2574,2505,2451,2465,2728,2697,2787,2902,3090,3176,3242,3283,3319,3346,3411,3500,3483,3571,3590,3533,3475,3391,3398,3463,3669,3796,3966,4096,4141,4106,4123,4286,4319,4423,4482,4441,4472,4612,4699,4789,4832,4915,4885,4922,5016,5111,5125,5146,5160,5197,5275,5420,5443,5502,5548,5662,5699,5804,5983,6134,6210,6335,6479,6644,6790,6900,7068,7202,7339,7426,7568,7714,7741,7836,7989,8165,8351,8583,8802,8941,9077,9344,9615,9777,9949,10216,10397,10543,10859,11206,11436,11614,12116,12293,12592,13176,13458,13936,14380,14952,15093,15538,16075,16437,16706,17140,17839,18463,19221,19570,20062,20719,21014,21669,22286,23050,23557,24632,25478,26025,26907,27267,28122,29124,30003,29920,30910,32290,33300,33491,34773,34984,35382,35906,36309,36610,37182,38020,38868,39879,41081,42174,43392,44078,45108,45781,46095,47076,48057,48333,49016,49409,50388,51056,52225,53717,53779,55109,56334,57573,58844,59765,60261,61308,62553,63793,64638,65396,66569,67217,67893,68919,70575,71774,72727,74051,74068,75163,75529,76997,77564,79339,80506,81919,82940,83520,84302,84852,85495,86824,88002,88565,90148,90659,91530,92797,94802,95904,97114,98104,98843,99931,100724,102191,103738,105257,105904,107041,108598,109319,109808,109825,111057,112093,113036,114183,115455
"02","8","Alaska",0,0,0,0,0,0,0,0,300,311,331,354,387,429,452,517,447,517,495,494,504,521,518,514,517,489,483,493,488,504,512,520,535,547,559,564,538,551,548,517,520,513,529,550,567,565,549,577,614,665,681,703,678,659,660,664,684,687,711,718,739,757,768,786,815,842,879,910,902,922,945,954,967,983,1018,1057,1076,1102,1126,1154,1173,1199,1235,1248,1325,1384,1432,1482,1550,1593,1604,1634,1677,1737,1794,1858,1866,1868,1948,2075,2167,2218,2306,2375,2412,2655,2893,3219,3547,3771,4036,4376,4428,4773,4898,4845,5143,5013,4686,4782,4978,4985,4982,5107,5158,5227,5379,5549,5768,5846,5977,6414,6532,6743,7010,7322,7672,8168,8517,8696,8978,9167,9384,9679,9826,9874,10003,10130,10673,10707,10807,10838,10840,10724,10678,10644,10363,10401,10422,10522,10589,10709,10808,10997,11271,11749,12120,11974,12227,12472,12667,12900,13091,13101,13308,13473,13873,13924,14098,14260,14667,14737,14789,14962,15002,15077,15222,15370,15495,15464,15529,15566,15657,15661,15811,15921,16182,16492,16586,16692,16984,17043,17157,17368,17376,17513,17537,17974,18489,18694,18942,19099,19332,19673,19793,19842,20091,20273,20607,20898,21136
"04","6","Arizona",874,900,952,928,923,937,923,944,988,983,1052,1109,1167,1223,1309,1398,1412,1440,1473,1455,1553,1502,1524,1559,1548,1555,1592,1636,1670,1719,1731,1795,1859,1910,1990,2031,2076,2100,2165,2178,2142,2212,2273,2368,2412,2485,2483,2576,2644,2703,2749,2782,2850,2915,3018,3052,3101,3197,3201,3253,3309,3305,3357,3436,3504,3572,3619,3680,3746,3775,3834,3929,4050,4109,4213,4327,4406,4495,4568,4663,4828,5116,5353,5505,5745,5934,6168,6397,6621,6859,6952,7156,7444,7778,7962,8257,8660,8723,9103,9565,9804,10299,10690,11111,11400,11741,12082,12193,12137,12380,12826,13215,13629,14039,14465,14916,15295,15845,16303,17044,17784,18622,19604,20389,21469,22075,23156,24109,25133,25808,26272,27808,28595,29378,30646,31180,31292,31532,31566,32127,32861,33998,35215,36330,37643,38903,40378,41163,42704,43413,44286,45425,46692,47353,48169,49179,50273,51443,52306,53990,54433,55186,56275,57453,58839,59600,60275,61329,61987,62939,63962,64389,65022,65961,66161,67166,68386,69617,70260,72217,72580,74415,75365,77239,78310,81042,83330,85375,87047,87812,89521,91102,93241,94957,96838,98112,101032,102579,104489,106706,109515,111710,114206,116148,116941,119696,121062,123358,129117,129404,131811,133853,135545,136991,138663,138125,140528,142215,143274,144881,146119
"05","5","Arkansas",1445,1655,1683,1683,1595,1483,1467,1453,1564,1574,1586,1740,1816,1830,1805,1830,1832,1869,1995,1852,1933,1882,1863,1911,1890,1822,1868,1869,1929,2037,2055,2097,2124,2099,2109,2049,2097,2143,2187,2199,2211,2277,2231,2354,2428,2453,2510,2528,2441,2518,2527,2571,2652,2700,2683,2882,2843,2900,2953,2970,3028,3020,3183,3185,3295,3356,3387,3443,3481,3488,3617,3705,3900,3906,3985,4115,4126,4185,4257,4306,4348,4532,4657,4788,4892,4946,5067,5134,5215,5452,5608,5723,5854,5997,6171,6396,6511,6676,6986,7398,7618,8077,8347,8771,8853,9014,9357,9539,9585,9809,10321,10475,10888,11024,11212,11589,12094,12267,12642,13055,13936,14313,14960,15141,15646,15787,16203,16699,16928,16692,17576,18256,19034,19362,20131,20026,20205,20444,20576,20931,21128,21621,22050,22595,23654,24351,24795,25186,25754,26110,26295,26683,27006,27134,27519,27795,27912,28309,28628,29312,29471,30366,30844,31289,31815,32185,32535,33104,33488,33953,34473,34722,35399,35795,36372,37090,38272,39045,39403,40570,40248,40971,41460,42082,42438,43380,43794,44381,45276,45616,46089,47001,47389,48632,49267,49513,50133,50690,51198,52200,52796,53540,54106,54693,55001,55606,56053,57013,57854,58562,59672,59633,60661,61067,61559,61927,62408,63291,63686,64464,65545
"06","8","California",17328,17590,18098,17943,17910,17941,17978,18276,19357,19395,20202,21191,22131,22876,23466,24144,24660,25261,26175,26631,27246,27539,27624,27792,27800,28081,28377,29278,29995,30961,31878,32157,33051,33918,34559,35312,35959,36644,37181,37340,37426,37928,39188,39967,40801,42058,42866,43807,44065,44647,45056,45407,46334,47027,47836,48850,49713,50797,51805,52791,53672,54077,55088,56409,57869,59063,60005,60751,61843,62711,64070,65388,67136,68502,69752,70952,72739,73380,75041,76313,78609,80676,82809,84264,86416,88642,90454,92427,93891,96285,97336,98171,99600,101603,103098,105362,108202,109816,113212,117614,119185,122731,125422,129069,132558,136821,141330,144228,146740,150387,154614,159144,163981,168589,174197,178880,183263,188298,193290,201293,208758,216370,223031,230537,240735,247183,255853,265081,275038,281567,287968,300581,309486,314875,327531,330870,336211,339966,343931,347378,355473,362580,370209,381757,396067,405915,418307,426175,438339,442346,448855,458871,467329,473507,481890,488324,501384,513069,521113,533828,543319,555048,566559,579558,593915,602767,611025,619097,641647,651754,659838,669030,662472,668195,672158,676544,689377,698024,703109,715776,701951,712633,714901,726945,712794,735330,741196,751098,760705,767626,775396,782152,797150,807880,816511,828075,840123,854808,868638,882661,906815,922972,939960,956511,972894,984690,997381,1026338,1069569,1085862,1122375,1124911,1133205,1130001,1128191,1128075,1138401,1152672,1160385,1169530,1178715
"08","7","Colorado",1780,1827,1873,1864,1817,1849,1863,1880,2005,1947,2002,2105,2261,2348,2415,2501,2536,2524,2602,2605,2587,2625,2588,2574,2594,2635,2638,2719,2777,2846,2930,3005,3027,3158,3225,3329,3373,3445,3575,3613,3520,3529,3647,3686,3733,3848,3866,4018,4037,4105,4162,4251,4347,4415,4502,4563,4638,4677,4707,4745,4802,4868,4939,5050,5134,5149,5230,5278,5358,5454,5661,5762,5864,5924,6031,6124,6261,6366,6506,6673,6824,7069,7275,7506,7679,7878,8084,8292,8647,8879,9183,9364,9733,10146,10261,10524,10932,11137,11677,12333,12543,13035,13436,13995,14351,14672,15165,15417,15587,16081,16648,17071,17521,17878,18306,18888,19286,19947,20643,21724,22203,23183,24120,24994,25903,26569,27882,29014,30235,30438,31660,33436,34421,35192,36940,38063,38635,39630,39607,40655,41179,41927,42936,44050,45069,46322,47487,48170,48675,49312,49622,50258,50943,50917,51159,51230,52333,53156,53807,54815,54789,55904,56881,57975,59460,60284,61241,62053,63654,64620,65733,66370,67471,68571,69405,70521,72232,73500,74650,76446,77610,79560,80708,82971,82397,85262,86680,89100,91025,91892,93722,95148,97009,99005,101077,102958,105287,107539,110085,112149,115508,117089,119336,121719,124766,126958,128454,133367,136641,141846,146085,147601,148921,148426,148132,147475,147880,149421,149961,150665,151774
"09","1","Connecticut",3387,3440,3532,3497,3437,3351,3336,3396,3615,3688,3874,4074,4206,4374,4439,4489,4633,4709,4821,4961,5094,5202,5221,5233,5245,5222,5298,5377,5499,5586,5751,5949,6010,6155,6279,6425,6582,6664,6657,6613,6560,6643,6713,6801,6922,7079,7221,7356,7381,7443,7434,7516,7632,7798,7947,8087,8212,8372,8479,8555,8690,8785,8929,9049,9270,9431,9602,9766,9962,10178,10205,10602,10813,11085,11367,11724,11964,12163,12476,12652,12684,13056,13331,13608,14097,14382,14702,14978,15154,15460,15610,15649,15972,16111,16316,16508,16702,17168,17698,18386,18688,18970,19251,19708,20160,20761,21248,21651,21800,22104,22462,22951,23484,23951,24729,25172,25962,26511,27127,28037,28664,29644,30566,31451,32587,33298,34423,35723,37286,37882,39006,40730,41838,42425,44409,44847,45510,46458,47274,47884,48506,49200,50175,51970,53394,55242,57099,57888,58949,59500,60260,61545,62755,64007,64965,66664,68201,69890,72141,74163,76330,77384,79064,81426,83490,84466,85076,85778,86694,87898,88663,88486,87423,88501,88406,89047,91483,93136,93994,96503,93738,96494,97610,99624,97651,99068,100397,102035,102831,103794,104852,105783,107191,108783,110029,111411,114297,115578,116723,119083,122105,123939,125883,127594,127928,129279,131512,133597,137801,140406,142688,144758,146423,145899,145327,144542,147269,148249,148840,148486,149514
"10","2","Delaware",479,523,544,557,553,570,571,587,635,645,678,706,710,708,711,723,732,753,775,801,811,823,830,823,833,835,849,877,913,955,998,1035,1091,1116,1137,1141,1131,1127,1121,1128,1133,1136,1162,1161,1185,1208,1204,1208,1254,1255,1268,1260,1261,1294,1299,1338,1337,1371,1388,1405,1430,1467,1483,1511,1546,1567,1621,1648,1711,1728,1778,1817,1844,1848,1860,1898,1917,1975,2016,2040,2102,2169,2212,2229,2330,2332,2417,2470,2473,2535,2546,2590,2684,2741,2776,2858,2914,2995,3077,3185,3231,3351,3457,3561,3551,3639,3792,3823,3867,3866,3990,4124,4201,4326,4382,4515,4518,4643,4759,4907,4965,5123,5260,5368,5487,5613,5785,5989,6211,6281,6470,6746,6860,6960,7208,7276,7437,7576,7696,7794,7998,8055,8229,8484,8671,8968,9209,9396,9692,9856,9938,10223,10325,10449,10602,10747,10998,11272,11554,11865,11968,12285,12722,13051,13489,13708,13862,14051,14227,14376,14638,14662,14940,15083,15288,15503,15588,15888,16036,16243,16227,16683,16722,17022,16919,17346,17479,17767,18040,18123,18262,18524,18903,19135,19540,19899,19705,19829,20361,20685,21426,21865,22002,22222,22405,22436,22795,23229,23706,24231,24672,25209,25256,25609,25850,25780,25929,26090,26175,26143,26418
