-----------------------------------------------
3D SITE DISPLACEMENT DUE TO ATMOSPHERIC LOADING
-----------------------------------------------
METEOROLOGICAL CENTER & DEGREE 1 :    NCEP_CMEA
CMEA : CENTER OF MASS OF THE EARTH + ATMOSPHERE
CME  : CENTER OF MASS OF THE SOLID EARTH  ALONE
SITE COORDINATES ACCORDING TO ITRF2000 SOLUTION
-----------------------------------------------
CREATOR EMAIL : PASCAL.GEGOUT@EOST.U-STRASBG.FR
-----------------------------------------------
USNO        49718.000    1995     1     1     0
USNO        52274.750    2001    12    31    18
USNO      1112189.893 -4842955.037  3985352.249
USNO           38.919      -77.066       48.888
USNO     NORTH_Offset  EAST_Offset    UP_Offset
49718.00     0.332715    -0.378048    -2.831700
49718.25     0.145309    -0.301332    -1.103649
49718.50     0.180314    -0.177907     0.561974
49718.75    -0.040742    -0.354495     0.368333
49719.00     0.341975    -0.312946     0.576813
49719.25     0.203764    -0.304713     1.815148
49719.50     0.121540    -0.415222     1.016263
49719.75    -0.161323    -0.600540    -0.536303
49720.00     0.048505    -0.648279    -1.562574
49720.25    -0.223459    -0.649783    -2.492849
49720.50    -0.195193    -0.522190    -3.075664
49720.75    -0.379290    -0.596046    -2.969545
49721.00    -0.084186    -0.612877    -2.500293
49721.25    -0.182004    -0.648473    -1.919859
49721.50     0.112738    -0.559063    -1.561489
49721.75     0.019198    -0.731743    -1.342033
49722.00     0.485855    -0.821310    -1.568429
49722.25     0.442039    -0.841370    -1.971114
49722.50     0.747954    -0.695219    -2.264376
49722.75     0.652282    -0.709728    -2.003595
49723.00     1.019403    -0.560995    -1.154888
49723.25     0.955352    -0.393213    -0.262504
49723.50     1.007948    -0.125685     0.588513
49723.75     0.518296    -0.096217     1.896092
49724.00     0.582893     0.028118     3.742354
49724.25     0.033954     0.077714     6.471001
49724.50    -0.337363    -0.152158     6.603149
49724.75    -0.461412    -0.431489     4.534621
49725.00    -0.408274    -0.622167     2.291163
49725.25    -0.776356    -0.622956     0.189475
49725.50    -0.683920    -0.524455    -0.947197
49725.75    -0.928928    -0.666744    -1.628700
49726.00    -0.438105    -0.671927    -1.847537
49726.25    -0.542179    -0.615305    -2.096864
49726.50    -0.331112    -0.446680    -2.081907
49726.75    -0.458564    -0.558162    -2.848776
49727.00     0.035633    -0.532358    -3.398857
49727.25     0.007874    -0.429956    -4.276501
49727.50     0.237649    -0.190274    -4.502844
49727.75     0.163271    -0.180057    -4.778319
49728.00     0.594360    -0.035286    -4.108285
49728.25     0.522272     0.094074    -3.901385
49728.50     0.728828     0.343732    -3.180086
49728.75     0.475024     0.314128    -3.007342
49729.00     0.618471     0.338850    -2.175489
49729.25     0.162318     0.347854    -1.941490
49729.50     0.086849     0.494216    -1.001575
49729.75    -0.362660     0.295194    -0.734331
49730.00    -0.424773     0.183178    -0.353724
49730.25    -0.747361     0.080776    -0.904079
49730.50    -0.634624     0.132942    -1.116312
49730.75    -0.843028    -0.008119    -1.974189
49731.00    -0.728937    -0.004955    -1.823460
49731.25    -0.825256     0.085466    -1.849981
49731.50    -0.853108     0.319048    -1.112828
49731.75    -1.162332     0.265754    -1.087743
49732.00    -1.066473     0.235461    -0.227989
49732.25    -1.377386     0.185365     0.228305
49732.50    -1.345295     0.313418     1.668420
49732.75    -1.501258     0.074857     1.881982
49733.00    -1.428543    -0.010460     2.492659
49733.25    -1.695576    -0.126752     1.657956
49733.50    -1.477876    -0.064541     1.351958
49733.75    -1.462633    -0.254283     0.258771
