Injected Beam Statistics for Fill number 9954
Started filling RHIC: Tue Feb 26 23:00:35 2008, Fill complete:  Tue Feb 26 23:02:18 2008, Minutes to fill: 1
Newfill time: Tue Feb 26 22:44:11 2008, Minutes from newfill to accramp: 20
Ring	Bunches/Cycles	Avg Bunch in RHIC (10^6 protons)	Avg Efficiency XCBM to RHIC	XCBM to Uxf1	Uxf1 to Wxf	Wxf to Arc	Arc to RHIC
Blue	12/12	   96824	   1.057	   1.092	   0.989	   1.003	   0.977
Yellow	12/12	   96985	   1.034	   1.093	   0.986	   0.988	   0.971

Time	BST_IN	B_EARLY	B_LATE	AGS_other	AGS_CBM	XCBM	bunches	uxf1	Eff2*	uxf3	wxf1	Eff3*	xxf1	bluEff4*	bluChg	bluEff5*	bluEffTotal	bluOld	bluNew	yxf1	yelEff4*	yelChg	yelEff5*	yelEffTotal	yelOld	yelNew
02/26/2008 23:00:35 	  304600 	  227900 	  164600 	  129000 	  126200 	  104700 	1/1 	  111070 	   1.061 	  111384 	  109786 	   0.988 	  110370 	   1.005 	  108359 	   0.982 	   1.035 	     -49 	  108310	    -648 	 -  	      36 	 -  	 -  	     -58 	     -22	
02/26/2008 23:00:39 	  304900 	  230600 	  167700 	  132700 	  129400 	  105600 	1/1 	  113471 	   1.075 	  114072 	  112038 	   0.987 	  112472 	   1.004 	  110401 	   0.982 	   1.045 	  108236 	  218637	    -476 	 -  	      30 	 -  	 -  	     -41 	     -11	
02/26/2008 23:00:43 	  307800 	  231300 	  168800 	  131500 	  126900 	  103700 	1/1 	  111365 	   1.074 	  112014 	  110078 	   0.988 	  110670 	   1.005 	  108554 	   0.981 	   1.047 	  218562 	  327116	      43 	 -  	      23 	 -  	 -  	     -37 	     -14	
02/26/2008 23:00:47 	  305900 	  229800 	  165200 	  125100 	  121700 	   98900 	1/1 	  105890 	   1.071 	  106764 	  104822 	   0.990 	  105134 	   1.003 	  103198 	   0.982 	   1.043 	  327063 	  430260	    -346 	 -  	      23 	 -  	 -  	     -26 	      -2	
02/26/2008 23:00:51 	  301900 	  231300 	  168300 	  136600 	  132800 	  108900 	1/1 	  114651 	   1.053 	  115416 	  113498 	   0.990 	  113931 	   1.004 	  111759 	   0.981 	   1.026 	  430202 	  541961	     130 	 -  	       6 	 -  	 -  	     -14 	      -8	
02/26/2008 23:00:54 	  302100 	  231800 	  166300 	  134400 	  131000 	  105600 	1/1 	  113935 	   1.079 	  114576 	  112205 	   0.985 	  112644 	   1.004 	  110606 	   0.982 	   1.047 	  541894 	  652500	     692 	 -  	      23 	 -  	 -  	     -21 	       2	
02/26/2008 23:00:58 	  304900 	  231500 	  169200 	  127900 	  128500 	   91500 	1/1 	  101256 	   1.107 	  100800 	   99608 	   0.984 	  100200 	   1.006 	   97456 	   0.973 	   1.065 	  652453 	  749909	    -389 	 -  	      38 	 -  	 -  	     -25 	      14	
02/26/2008 23:01:02 	  306800 	  230200 	  149600 	  130500 	  127200 	  105800 	1/1 	  113303 	   1.071 	  113820 	  111621 	   0.985 	  111914 	   1.003 	  110109 	   0.984 	   1.041 	  749824 	  859934	    -692 	 -  	     -11 	 -  	 -  	       2 	     -10	
02/26/2008 23:01:06 	  307100 	  230500 	  169000 	  131500 	  128800 	   99700 	1/1 	  107490 	   1.078 	  107646 	  106074 	   0.987 	  106465 	   1.004 	  104136 	   0.978 	   1.044 	  859856 	  963992	     778 	 -  	      10 	 -  	 -  	     -10 	       0	
02/26/2008 23:01:10 	  309200 	  232300 	  168400 	  132800 	  127100 	   62100 	1/1 	   70214 	   1.131 	   71358 	   70243 	   1.000 	   70032 	   0.997 	   67802 	   0.968 	   1.092 	  963921 	 1031723	     -86 	 -  	      15 	 -  	 -  	      -1 	      14	
02/26/2008 23:01:14 	  304400 	  229200 	  163600 	  131900 	  129600 	   57000 	1/1 	   66255 	   1.162 	   65982 	   65571 	   0.990 	   65570 	   1.000 	   63110 	   0.962 	   1.107 	 1031634 	 1094744	    -216 	 -  	      33 	 -  	 -  	     -14 	      19	
02/26/2008 23:01:18 	  295800 	  224500 	  162700 	  123500 	  121900 	   61000 	1/1 	   69498 	   1.139 	   69846 	   68908 	   0.992 	   68831 	   0.999 	   66393 	   0.965 	   1.088 	 1094662 	 1161055	     130 	 -  	      -7 	 -  	 -  	       2 	      -6	
02/26/2008 23:01:34 	  308100 	  229600 	  166400 	  133200 	  132300 	   66900 	1/1 	   76237 	   1.140 	   76818 	   75415 	   0.989 	    -257 	 -  	     -55 	 -  	 -  	 1160163 	 1160109	   74743 	   0.991 	   71475 	   0.956 	   1.068 	     -10 	   71465	
02/26/2008 23:01:38 	  304200 	  226400 	  164100 	  120800 	  119400 	   82900 	1/1 	   91569 	   1.105 	   91434 	   90098 	   0.984 	    -129 	 -  	     -45 	 -  	 -  	 1159980 	 1159935	   89657 	   0.995 	   86350 	   0.963 	   1.042 	   71406 	  157756	
02/26/2008 23:01:42 	  301600 	  224500 	  162900 	  126900 	  122700 	   98100 	1/1 	  106606 	   1.087 	  106932 	  105031 	   0.985 	    -257 	 -  	     -42 	 -  	 -  	 1159778 	 1159736	  103965 	   0.990 	  100537 	   0.967 	   1.025 	  157669 	  258206	
02/26/2008 23:01:46 	  296600 	  227900 	  163300 	  129600 	  126000 	   88900 	1/1 	   97508 	   1.097 	   97734 	   96146 	   0.986 	    -472 	 -  	     -55 	 -  	 -  	 1159596 	 1159540	   94585 	   0.984 	   92366 	   0.977 	   1.039 	  258079 	  350445	
02/26/2008 23:01:50 	  303600 	  230400 	  165600 	  129500 	  125300 	   91200 	1/1 	   99824 	   1.095 	  100002 	   98399 	   0.986 	    -215 	 -  	     -62 	 -  	 -  	 1159374 	 1159313	   96616 	   0.982 	   94693 	   0.980 	   1.038 	  350255 	  444948	
02/26/2008 23:01:54 	  303500 	  230300 	  149200 	  127800 	  126200 	   92400 	1/1 	  100625 	   1.089 	  100758 	   99108 	   0.985 	    -257 	 -  	     -84 	 -  	 -  	 1159210 	 1159126	   97308 	   0.982 	   95111 	   0.977 	   1.029 	  444827 	  539938	
02/26/2008 23:01:58 	  305600 	  229700 	  166800 	  127300 	  125800 	   90000 	1/1 	   98055 	   1.090 	   98952 	   97231 	   0.992 	    -215 	 -  	     -37 	 -  	 -  	 1158953 	 1158917	   96011 	   0.987 	   92798 	   0.967 	   1.031 	  539768 	  632567	
02/26/2008 23:02:02 	  299100 	  228800 	  166400 	  127500 	  124300 	  103400 	1/1 	  110860 	   1.072 	  112056 	  109744 	   0.990 	    -644 	 -  	     -21 	 -  	 -  	 1158805 	 1158784	  108158 	   0.986 	  106062 	   0.981 	   1.026 	  632296 	  738358	
02/26/2008 23:02:06 	  306800 	  230600 	  166100 	  134300 	  128800 	  103300 	1/1 	  113303 	   1.097 	  113358 	  111413 	   0.983 	    -215 	 -  	     -25 	 -  	 -  	 1158663 	 1158638	  110233 	   0.989 	  107350 	   0.974 	   1.039 	  738249 	  845599	
02/26/2008 23:02:10 	  303300 	  228200 	  165100 	  127300 	  123600 	  102900 	1/1 	  109554 	   1.065 	  109410 	  107867 	   0.985 	    -300 	 -  	     -24 	 -  	 -  	 1158479 	 1158455	  106213 	   0.985 	  104110 	   0.980 	   1.012 	  845427 	  949537	
02/26/2008 23:02:14 	  298800 	  227100 	  165800 	  127200 	  127500 	  104200 	1/1 	  112376 	   1.078 	  112854 	  110996 	   0.988 	    -515 	 -  	     -40 	 -  	 -  	 1158320 	 1158281	  109671 	   0.988 	  107078 	   0.976 	   1.028 	  949405 	 1056483	
02/26/2008 23:02:18 	  308800 	  232100 	  167500 	  132000 	  129100 	  102700 	1/1 	  113008 	   1.100 	  113610 	  111329 	   0.985 	    -386 	 -  	     -67 	 -  	 -  	 1158200 	 1158133	  110622 	   0.994 	  105886 	   0.957 	   1.031 	 1056342 	 1162228	
* Eff2=XCBM to uxf1, Eff3=uxf1 to wxf, Eff4=wxf to end of arc,Eff5=end of arc to RHIC

