UT	Glat	Glon	Radius	Dst	Kp	E26.7-33.8eV	E33.8-43.8eV	E43.8-55.0eV	E55.0-72.9eV	E72.9-94.8eV	E94.8-121.0eV	E121.0-159.0eV	E159.0-207.0eV	E207.0-270.0eV	E270.0-353.0eV	E353.0-468.0eV	E468.0-607.0eV	E607.0-796.0eV	E.796-1.05keV	E1.05-1.39kev	E1.39-1.83keV	E1.83-2.40keV	E2.40-3.10keV	E3.10-4.11keV	E4.11-5.39keV	E5.39-7.08keV	E7.08-9.29keV	E9.29-12.2keV	E12.2-16.0keV	E16.0-21.0keV	E21.0-27.6keV	E27.6-36.2keV	E36.2-47.5keV	E50-75keV	E75-105keV	E105-150keV	E150-225keV	E225-315keV	E315-500keV	E500-750keV	E0.75-1.1MeV	E1.1-1.5MeV	E>1.5MeV	E0.7-1.8MeV	E1.8-3.5MeV	E3.5-6.0MeV	E6.0-7.8MeV	E7.8-10.8	E10.8-25.8	P1.35-1.8eV	P1.8-2.2eV	P2.2-2.9eV	P2.9-3.8eV	P3.8-5.0eV	P5.0-6.8eV	P6.8-9.1eV	P9.1-11.8eV	P11.8-14.8eV	P14.8-18.4eV	P18.4-22.8eV	P22.8-29.3eV	P29.3-35.9eV	P35.9-45.9eV	P45.9-59.1eV	P59.1-75.7eV	P75.7-97.6eV	P97.6-126.0eV	P126.0-163.0eV	P163.0-212.0eV	P212.0-276.0eV	P276.0-362.0eV	P362.0-475.0eV	P475.0-619.0eV	P619.0-811.0eV	P.811-1.070keV	P1.07-1.40keV	P1.40-1.84keV	P1.84-2.38keV	P2.38-3.13keV	P3.13-4.09keV	P4.09-5.37keV	P5.37-7.04keV	P7.04-9.21keV	P9.21-12.1keV	P12.1-15.8keV	P15.8-20.7keV	P20.7-27.1keV	P27.1-35.5keV	P35.5-46.5keV	P50-75keV	P75-113keV	P113-170keV	P170-250keV	P250-400keV	P400-670keV	P0.67-1.2MeV	P1.2-1.9MeV	P1.9-3.1MeV	P3.1-5.0MeV	P5.0-7.7MeV	P7.7-50.0MeV	P11-14MeV	P14-20MeV	P>20Mev	DENLP	DENHP	DENHE	TPARHP	TPERHP	TPARHE	TPERHE	THETA_P	PHI_P	THETA_E	PHI_E	SC_POTEN
0.032000	-0.135700	70.492000	6.620200 -36	2.0	2.4303e+08	1.8585e+08	1.4776e+08	1.0341e+08	7.2832e+07	5.4724e+07	4.4584e+07	3.732e+07	2.8386e+07	2.0074e+07	1.4833e+07	1.1293e+07	8.5519e+06	7.829e+06	9.651e+06	1.1195e+07	1.1699e+07	1.0853e+07	9.3741e+06	8.0368e+06	7.0221e+06	5.9557e+06	4.5962e+06	2.3296e+06	705910	249610	210270	170810	131383	5115.92	1254.71	291.915	113.301	58.2047	20.1893	9.17666	3.81618	1.97375	4.35972	0.189758	0.00695755	0.00317889	0.00278622	0.00170528	1.447e+07	1.7083e+07	1.1071e+07	1.3543e+07	3.8992e+06	9.7248e+06	5.0676e+06	5.9779e+06	1.2617e+06	682110	836000	1.7446e+06	1.0377e+06	1.5403e+06	1.5141e+06	675830	791230	607100	509890	363850	346830	283940	256980	163030	164990	190550	144180	157000	173800	246010	229610	234660	280260	329330	308150	289180	276690	284400	154760	46513	143421	13393.4	3681.2	599.731	121.857	126.671	0.697849	0.158316	0.0913657	-999	0.0512716	0.00273206	-999	-999	-999	0.033025	0.85514	0.84602	7467.5	8971.2	1401.3	1629.4	120.81	-22.209	117.25	-17.687	-69.603	
0.055900	-0.143840	70.492000	6.620200 -36	2.0	2.2565e+08	1.6777e+08	1.2953e+08	9.1915e+07	7.3849e+07	5.6332e+07	4.3743e+07	3.4865e+07	2.6639e+07	2.0783e+07	1.4624e+07	1.1171e+07	8.6923e+06	8.4725e+06	9.7352e+06	1.1324e+07	1.2038e+07	1.1477e+07	9.823e+06	8.1681e+06	7.3303e+06	6.2729e+06	4.7341e+06	2.3015e+06	668420	266260	231090	171140	118594	4950.49	1163.65	287.939	115.89	56.8476	21.0982	8.66226	3.38371	1.66791	3.94903	0.187988	0.00681003	0.0036204	0.00263143	0.00172004	1.8339e+07	1.1336e+07	4.5275e+06	0.49845	9.0024e+06	7.7906e+06	8.6219e+06	8.7515e+06	3.8444e+06	3.4011e+06	2.7485e+06	1.5235e+06	1.7376e+06	973550	1.2948e+06	839520	1.1123e+06	359320	199050	362170	302390	337820	243310	123340	187970	149560	148860	149990	210720	233210	238300	245000	257430	302910	290070	270050	272600	270600	138050	40978	148480	14574.9	3776.46	604.428	118.3	120.735	0.638436	0.197261	0.0920964	-999	0.0597957	0.0031106	-999	-999	-999	0.024793	0.83128	0.8425	7177.4	8811.3	1467.1	1666.3	119.04	-14.711	119.43	-16.73	-69.973	
0.079800	-0.158760	70.492000	6.620300 -36	2.0	2.2921e+08	1.8913e+08	1.4562e+08	1.1123e+08	8.8389e+07	6.8894e+07	5.8884e+07	4.2503e+07	3.3218e+07	2.2852e+07	1.7832e+07	1.2409e+07	9.7173e+06	7.9096e+06	8.7239e+06	1.0435e+07	1.1111e+07	1.1123e+07	9.4455e+06	7.8908e+06	7.2639e+06	6.2726e+06	4.4274e+06	2.2057e+06	653830	297360	269490	183250	107593	4819.42	1171.5	296.304	123.633	60.2088	21.5652	8.15516	3.68036	1.81345	4.01642	0.208144	0.0069937	0.00386453	0.00259923	0.00172398	1.8037e+07	1.3973e+07	1.1133e+07	6.8897e+06	6.4149e+06	3.8416e+06	2.8673e+06	4.3379e+06	4.6737e+06	691590	2.7256e+06	1.7567e+06	1.3998e+06	1.5249e+06	1.5322e+06	765860	719380	712990	509890	361330	92745	266470	107810	237120	204520	142880	188900	194730	171820	181580	243160	255250	313270	291200	304600	273430	277510	259090	116230	37337	154732	15155.6	3639.85	601.457	110.031	116.271	0.498641	0.203695	-999	-999	0.0578948	0.00299219	-999	-999	-999	0.053209	0.84154	0.89577	7050	8697.9	1367.1	1549.9	114.83	-9.8913	121.53	-22.848	-59.696	
0.103700	-0.173690	70.492000	6.620300 -36	2.0	2.3834e+08	2.0608e+08	1.6331e+08	1.3283e+08	1.0026e+08	7.6644e+07	5.4463e+07	3.9707e+07	2.9564e+07	2.4617e+07	1.8725e+07	1.4346e+07	1.0294e+07	7.4969e+06	8.4238e+06	1.0204e+07	1.103e+07	1.1269e+07	9.4089e+06	8.0217e+06	7.2605e+06	5.6816e+06	4.5351e+06	2.1947e+06	655800	337480	277840	193810	100659	4953.25	1253.98	329.954	137.718	63.1525	20.8766	9.07537	4.45971	2.25664	4.59192	0.237352	0.00743502	0.00341263	0.00233743	0.00159497	7.235e+06	0.26449	2.4591e+07	1.536e+07	2.5516e+06	5.7489e+06	4.301e+06	1.516e+07	1.151e+07	2.7285e+06	1.6567e+06	2.1868e+06	1.3853e+06	1.1027e+06	1.7214e+06	837180	1.0441e+06	556980	194690	329890	279520	195110	228900	205570	78628	206970	166730	170350	191870	214990	280050	257650	270630	302190	287530	263240	294290	251470	117230	40008	161147	15763.9	3546.13	639.641	111.557	115.51	0.565814	0.181585	0.090635	0.0530643	0.0463767	0.00263824	-999	-999	-999	0.035638	0.80731	0.9245	7005.1	9004.9	1321	1532.4	123.14	-15.277	116.92	-18.724	-60.35	
0.127500	-0.181830	70.492000	6.620300 -36	2.0	6.5611e+07	4.566e+07	3.6999e+07	2.6302e+07	1.8943e+07	1.4226e+07	1.2305e+07	8.4343e+06	6.6923e+06	5.8165e+06	4.4952e+06	3.4738e+06	2.3211e+06	1.8182e+06	1.7001e+06	1.8e+06	2.1879e+06	2.4054e+06	2.005e+06	1.8761e+06	1.6691e+06	1.3368e+06	958210	523990	158860	82557	75680	45269	95043.7	5175.9	1314.53	365.287	156.027	64.3978	21.457	9.7146	4.41713	2.31615	5.11609	0.252068	0.00788132	0.00310097	0.00220654	0.00150895	3.2708e+07	1.1336e+07	6.6052e+06	5.1673e+06	1.2974e+07	7.7637e+06	7.1285e+06	6.4842e+06	5.0943e+06	4.7653e+06	1.9354e+06	5.2459e+06	2.2758e+06	1.2512e+06	1.1882e+06	675830	1.3851e+06	661450	629320	483730	278880	300910	174620	207000	227720	147910	153170	198100	205310	217100	250420	252720	285970	294700	292390	266690	285180	254200	114820	35506	166037	16500	3447.78	687.979	115.278	115.181	0.576832	0.159204	0.090635	0.0530643	0.0531233	0.00240289	-999	-999	-999	0.90438	0.85355	0.17026	6705.7	8548.9	447.36	1865.8	120.16	-16.009	90.738	0.78677	-0.77739	
0.151400	-0.188620	70.492000	6.620300 -36	2.0	2.4872e+08	1.952e+08	1.6571e+08	1.202e+08	9.502e+07	7.0703e+07	5.1969e+07	4.2379e+07	3.1669e+07	2.536e+07	1.9314e+07	1.3218e+07	9.7646e+06	7.4788e+06	8.0841e+06	9.8882e+06	1.0735e+07	1.0667e+07	9.0767e+06	7.9398e+06	7.5935e+06	6.6002e+06	4.3555e+06	1.9634e+06	676200	393520	353040	192850	89041.2	5465.9	1393.72	410.809	174.574	65.0295	23.8922	10.4096	4.06556	2.09344	5.38704	0.266221	0.0089659	0.00352171	0.00213174	0.00167163	3.2708e+07	1.7083e+07	-999	8.5177e+06	1.1698e+07	6.7832e+06	2.8872e+06	3.2346e+06	4.6856e+06	3.7374e+06	3.5769e+06	1.7446e+06	1.3756e+06	1.2473e+06	1.2918e+06	1.3517e+06	787590	708750	274310	632540	279520	284430	377700	205860	132970	208790	153170	190900	163490	231430	226710	271400	286300	280060	292050	262840	321150	233780	87440	33442	169874	16970.1	3334.58	739.192	114.578	118.902	0.710644	0.211849	0.090635	-999	0.0597319	0.00269297	-999	-999	-999	0.036154	0.8121	0.9195	6620.6	8368.2	1318.5	1566.6	120.23	-20.929	115.76	-12.959	-62.426	
0.175300	-0.196760	70.492000	6.620300 -36	2.0	2.7633e+08	2.2772e+08	1.7302e+08	1.2747e+08	9.7751e+07	6.8319e+07	4.9198e+07	4.1716e+07	3.1662e+07	2.4102e+07	1.9192e+07	1.3522e+07	9.6864e+06	8.0919e+06	9.0209e+06	1.024e+07	1.1126e+07	1.0548e+07	9.0771e+06	8.0347e+06	7.662e+06	6.8853e+06	4.3678e+06	1.788e+06	642920	435520	351280	177390	84551.1	5809.88	1496.32	453.197	195.415	67.1691	24.35	11.2595	4.14368	2.1295	5.42228	0.282057	0.00901528	0.00347323	0.00192501	0.00176595	7.235e+06	1.1257e+07	2.2389e+07	8.4705e+06	3.9352e+06	6.6757e+06	7.8951e+06	4.3379e+06	5.0943e+06	3.7469e+06	3.3058e+06	3.9435e+06	1.9138e+06	2.5023e+06	1.4135e+06	1.527e+06	712110	869000	505530	512660	486590	87346	269520	225850	236100	130670	121250	173050	197850	193090	272250	235980	279620	288750	262770	244350	293790	210630	78183	33868	173026	17318.6	3208.48	799.589	105.875	123.406	0.764983	0.247228	0.136318	-999	0.0597107	0.00261136	-999	-999	-999	0.058838	0.79457	0.92527	6365.8	8237.9	1303.4	1530.4	114.62	-18.166	119.04	-12.548	-55.803	
0.199200	-0.211680	70.492000	6.620300 -36	2.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	80825.1	6143.83	1563.87	487.069	208.146	67.08	22.2804	11.3421	4.37564	2.10652	5.55155	0.291319	0.00808826	0.00330355	0.00168295	0.00178756	2.5473e+07	1.4131e+07	9.055e+06	1.6752e+06	7.7985e+06	5.8564e+06	2.8872e+06	5.5169e+06	6.3679e+06	7.1574e+06	3.0348e+06	1.0995e+06	1.9186e+06	0.049591	764570	761180	913100	665690	315210	481220	442150	390720	175000	225560	149520	154920	188900	159890	200050	250940	213250	239370	286900	283220	263710	260680	306540	185700	65287	32729	176280	17539.8	3059.19	818.156	100.99	126.479	0.709934	0.274009	0.136683	-999	0.0599232	0.00240015	-999	-999	-999	0.77212	0.78767	0	6116.5	7983.9	0	0	118.37	-12.242	0	0	-0.10007	
0.223100	-0.218470	70.492000	6.620300 -36	2.0	5.0135e+07	4.1964e+07	3.6554e+07	2.3221e+07	1.7336e+07	1.1251e+07	9.5179e+06	9.1989e+06	6.5671e+06	6.3017e+06	4.7949e+06	3.1708e+06	2.0287e+06	2.0278e+06	2.0169e+06	2.3465e+06	2.6263e+06	2.6489e+06	2.3742e+06	1.9879e+06	1.9931e+06	1.7472e+06	1.0729e+06	416230	178020	137670	105720	49154	79381.7	6429.47	1609.74	525.479	212.255	65.3718	20.9977	11.1656	4.7449	1.94591	5.61612	0.29471	0.00828398	0.00349054	0.00186995	0.00176138	2.894e+07	2.5546e+07	2.0126e+07	1.6988e+07	1.159e+07	6.7563e+06	2.1206e+06	7.0964e+06	7.2209e+06	4.0358e+06	2.4698e+06	-999	1.2091e+06	2.3616e+06	1.8401e+06	920200	652990	1.4302e+06	546430	635060	302390	211600	201200	194300	180670	184040	184590	125890	192880	232770	251810	271960	270800	270540	286180	265000	291310	178800	64448	34766	178627	17802.5	2928.34	789.34	99.358	127.018	0.655023	0.224324	0.0913657	0.0522222	0.0398425	0.00240399	-999	-999	-999	0.68527	0.79494	0.17492	6170.1	7714.6	670.35	1920.8	122.64	-11.917	92.591	-37.959	-1.5149	
0.247000	-0.226610	70.492000	6.620300 -36	2.0	2.8418e+08	2.2913e+08	1.8314e+08	1.3404e+08	1.0038e+08	7.1191e+07	5.1619e+07	4.0477e+07	3.346e+07	2.4865e+07	1.9485e+07	1.287e+07	9.16e+06	8.088e+06	8.2783e+06	1.0292e+07	1.0761e+07	1.001e+07	8.6707e+06	7.9585e+06	7.1655e+06	6.3777e+06	3.9339e+06	1.4963e+06	686110	550450	387750	149660	79955.4	6671.11	1641.67	564.93	216.986	65.6779	22.0993	11.1802	4.89229	2.04989	5.60565	0.300725	0.00859564	0.00349054	0.00238418	0.0016548	7.235e+06	1.421e+07	-999	1.0146e+07	7.7266e+06	4.8221e+06	5.6749e+06	5.993e+06	4.6856e+06	4.41e+06	1.6644e+06	2.844e+06	2.5992e+06	1.388e+06	752560	1.7621e+06	922190	763110	668040	721830	418640	281970	216360	194580	282930	177850	229950	255720	205100	234560	276820	265310	289980	272310	272820	277990	296680	170880	53970	33021	180498	17945.5	2781.73	768.585	96.1962	128.237	0.612695	0.174554	0.090635	0.0522222	0.0395238	0.00240015	-999	-999	-999	0.064645	0.7992	0.9188	6149.5	7410.2	1259.8	1501	120.71	-21.174	118.17	-18.057	-51.563	
