Time,Speed,Location,County,State,Lat,Lon,Comments
1800,UNK,BLUE GRASS,HIGHLAND,VA,38.5,-79.55,TREES DOWN ALONG RT. 642. (LWX)
1900,UNK,BAYOU SORREL,IBERVILLE,LA,30.16,-91.34,SEVERAL TREES AND POWERLINES DOWN IN THE BAYOU SORREL AND PIGEON AREAS. (LIX)
1904,UNK,CHARLTON,SARATOGA,NY,42.93,-73.97,TWO TREES DOWN. (ALY)
1948,60,NORTON,NORTON,KS,39.84,-99.89,(GLD)
1950,UNK,DAYTON,ROCKINGHAM,VA,38.41,-78.94,1 TREE DOWN. (LWX)
2005,UNK,WEST SAND LAKE,RENSSELAER,NY,42.64,-73.61,TREES DOWN (ALY)
2006,60,NORTON,NORTON,KS,39.84,-99.89,(GLD)
2010,UNK,5 SW EAGLE ROCK,BOTETOURT,VA,37.58,-79.86,TREE DOWN ON SUGAR TREE HOLLOW RD. (RNK)
2015,UNK,STATE COLLEGE,CENTRE,PA,40.79,-77.86,TREES DOWN. (CTP)
2035,UNK,NORTH CHATHAM,COLUMBIA,NY,42.47,-73.63,TREES AND WIRES DOWN ON ROUTE 32 (ALY)
2102,UNK,STOCKBRIDGE,BERKSHIRE,MA,42.29,-73.32,NUMEROUS TREES DOWN. ONE ON A CAR. (ALY)
2115,UNK,SMITH CENTER,SMITH,KS,39.78,-98.78,CORRECTED TIME OF REPORT. POSSIBLE TORNADO. TREE LIMBS DOWN IN NORTHEAST CORNER OF TOWN. SHED BLOWN OVER. SHERIFFS DEPARTMENT IS STILL CONFIRMING DAMAGE. (GID)
2127,UNK,5 NNE PHILLIPSBURG,WARREN,NJ,40.76,-75.15,TREE DOWN ALONG COUNTY ROUTE 519 IN HARMONY TOWNSHIP. (PHI)
2133,UNK,6 E SMITH CENTER,SMITH,KS,39.78,-98.67,POSSIBLE TORNADO. HOME DAMAGED. (GID)
2155,UNK,WINSTED,LITCHFIELD,CT,41.93,-73.07,NUMEROUS TREES DOWN. 2 TREES DOWN ON HOMES. (ALY)
2229,UNK,ROCKY MOUNT,FRANKLIN,VA,37,-79.88,MANY TREES AND POWER LINES DOWN (RNK)
2230,UNK,SUPERIOR,NUCKOLLS,NE,40.02,-98.07,12 INCH DIAMETER TREE LIMB DOWN AT 7TH AND BLOOM. (GID)
