#
#
# Rdb file of RASA References in RASA 1996 bibliography
# WRIR 97-4074
# This bibliography lists 1,093 reports resulting 
# from various studies of the program.
#
#
number	authors	date	title	rest
6s	190s	4n	300s	250s
22.01	Briel, L.I.	1993	Documentation of a multiple-technique computer program for plotting major-ion composition of natural waters	U.S. Geological Survey Open-File Report 93-74, 88 p.
22.02	Briel, L.I.	1997	Water quality in the Appalachian Valley and Ridge, the Blue Ridge, and the Piedmont physiographic provinces, eastern United States	U.S. Geological Survey Professional Paper 1422-D, 115 p.
22.03	Chichester, D.C.	1991	Conceptual hydrogeologic framework of a regolith-mantled carbonate system, Cumberland Valley, Pennsylvania, in Geology of the South Mountain area, Pennsylvania, eds., Sevon, W.D., and Potter, N., Jr.	Pennsylvania Geological Survey, 56th annual field conference of Pennsylvania Geologists, Guidebook, p. 95-108.
22.05	Clarke, J.S., and McFadden, K.W.	1991	An automated approach to evaluate ground-water-development potential in crystalline rock settings	Proceedings of the National Water Well Association FOCUS conference on eastern regional ground-water issues, October 29-31, 1991, p. 221-238.
22.06	Clarke, J.S., and McFadden, K.W.	1992	Locating well sites in the Georgia Piedmont using a geographic information system	Proceedings of symposium on the future availability of ground-water resources, April 12-16, 1992, Raleigh, North Carolina, American Water Resources Association, p. 209-212.
22.07	Daniel, C.C., III	1992	Correlation of well yield to well depth and diameter in fractured crystalline rocks, North Carolina, in Daniel, C.C., III, White, R.K., and Stone, P.A., eds., Ground water in the Piedmont	Clemson, South Carolina, Clemson University, Conference on Ground Water in the Piedmont of the Eastern United States, Proceedings, p. 638-653.
22.08	Daniel, C.C., III, Smith, D.G., and Eimers, J.I.	1997	Hydrogeology and simulation of ground-water flow in the thick regolith-fractured crystalline rock aquifer system of Indian Creek basin, North Carolina	U.S. Geological Survey Water-Supply Paper 2341-C, 137 p.
22.09	Daniel, C.C., III, and Payne, R.A.	1990	Hydrogeologic unit map of the Piedmont and Blue Ridge provinces of North Carolina	U.S. Geological Survey Water-Resources Investigations Report 90-4035, scale 1:500,000.
22.10	Harlow, G.E., Jr., and Nelms, D.L.	1992	Use of a geographic information system to identify hydrogeologic units in the Piedmont and Blue Ridge physiographic provinces, Virginia to New Jersey, in Daniel, C.C., III, White, R.K., and Stone, P.A., eds., Ground water in the Piedmont	Clemson, South Carolina, Clemson University, Conference on Ground Water in the Piedmont of the Eastern United States, Proceedings, p. 312-316.
22.11	Harned, D.A., and Daniel, C.C., III	1992	The transition zone between bedrock and regolith--conduit for contamination?, in Daniel, C.C., III, White, R.K., and Stone, P.A., eds., Ground water in the Piedmont	Clemson, South Carolina, Clemson University, Conference on Ground Water in the Piedmont of the Eastern United States, Proceedings, p. 336-348.
22.12	Hinaman, K.C.	1993	Use of a geographic information system to assemble input-data sets for a finite-difference model of ground-water flow	Water Resources Bulletin, v. 29, no. 3, p. 401-405. Also printed, in Symposium on Geographic Information Systems and Water Resources: American Water Resources Association, Mobile, Ala., 1993, Proceedings: p. 405-412.
22.13	Hollyday, E.F., and Smith, M.A.	1990	Large springs in the Valley and Ridge Province in Tennessee	U.S. Geological Survey Water-Resources Investigations Report 89-4205, 9 p.
22.14	Hollyday, E.F., Hileman, G.E., Smith,M.A., and Pavlicek, D.J.	1996	Hydrogeologic terranes and potential yield of water to wells in the Valley and Ridge Province in Maryland, New Jersey, and Pennsylvania	U.S. Geological Survey Hydrologic Investigations Atlas, HA-732-A, scale 1:500,000, 2 sheets.
22.16	Hollyday, E.F., Knopman, D.S., Smith, M.A., and Hileman, G.E.	1992	Statistical analysis of well records for classifying and mapping hydrogeologic terranes in the Valley and Ridge province, in Hotchkiss, W.R., and Johnson, A.I., eds., Regional Aquifer Systems of the United States, Aquifers of the Southern and Eastern States	American Water Resources Association Monograph Series, no. 17, p. 75-92.
22.17	Knopman, D.S.	1991	Factors controlling water-yielding potential of rocks in the Piedmont, and Valley and Ridge provinces of Pennsylvania	U.S. Geological Survey Water-Resources Investigations Report 90-4174, 52 p.
22.18	Knopman, D.S., and Hollyday, E.F.	1993	Variation in specific capacity in fractured rocks, Pennsylvania	Ground Water, v. 31, no. 1, p. 135-145.
22.19	Lewis, Jean	1992	The effect of anisotropy on ground-water discharge to streams in fractured Mesozoic-basin rocks, in Hotchkiss, W.R., and Johnson, A.I., eds., Regional Aquifer Systems of the United States, Aquifers of the Southern and Eastern States	American Water Resources Association Monograph Series, no. 17, p. 93-106.
22.20	Lewis-Brown, J.C., and Jacobsen, Eric	1995	Hydrology of and ground-water flow in fractured Mesozoic structural-basin rocks in the Stony Brook, Beden Brook, and Jacobs creek drainage basins, west-central New Jersey	U.S. Geological Survey Water-Resources Investigations Report 94-4147, 83 p.
22.21	Nelms, D.L., Harlow, G.E., Jr., and Hayes, D.C.	1997	Base-flow characteristics of streams in the Valley and Ridge, Blue Ridge, and Piedmont Physiographic Provinces of Virginia	U.S. Geological Survey Water-Supply Paper 2457, 48 p.
22.22	Pavlicek, D.J.	1996	Karst hydrogeology and hydrochemistry of the Cave Springs basin near Chattanooga, Tennessee	U.S. Geological Survey Water-Resources Investigations Report 96-4248, 35 p.
22.23	Rutledge, A.T.	1991	A new method for calculating a mathematical expression for streamflow recession, in Ritter, W.F., ed., National Conference on Irrigation and Drainage, 1991	Honolulu, Hawaii, American Society of Civil Engineers, Proceedings, p. 337-343.
22.24	Rutledge, A.T.	1992	Methods of using streamflow records for estimating total and effective recharge in the Appalachian Valley and Ridge, Piedmont, and Blue Ridge physiographic province, in Hotchkiss, W.R., and Johnson, A.I., eds., Regional Aquifer Systems of the United States, Aquifers of the Southern and Eastern States	American Water Resources Association Monograph Series, no. 17, p. 59-74.
22.25	Rutledge, A.T.	1993	Computer programs for describing the recession of ground-water discharge and for estimating mean ground-water recharge and discharge from streamflow records	U.S. Geological Survey Water-Resources Investigations Report 93-4121, 45 p.
22.26	Rutledge, A.T., and Daniel, C.C., III	1994	Testing of an automated method to estimate ground-water recharge from streamflow records	Ground Water, v. 32, no. 2, p. 180-189.
22.27	Rutledge, A.T., and Mesko, T.O.	1996	Estimated hydrologic characteristics of shallow aquifer systems in the Valley and Ridge, the Blue Ridge, and the Piedmont physiographic provinces based on analysis of streamflow recession and base flow	U.S. Geological Survey Professional Paper 1422-B, 58 p.
22.28	Saad, D.A., and Hippe, D.J.	1990	Large springs in the Valley and Ridge physiographic province of Pennsylvania	U.S. Geological Survey Open-File Report 90-164, 17 p.
22.29	Seaber, P.R., Brahana, J.V., and Hollyday, E.F.	1988	Region 20, Appalachian Plateaus and Valley and Ridge, in Back, William, Rosenshein, J.S., and Seaber, P.R., eds., Hydrogeology	Boulder, Colorado, Geological Society of America, Geology of North America, v. O-2, p. 189-200.
22.30	Swain, L.A.	1992	Regional Aquifer-System Analysis of the Piedmont, Blue Ridge, and Appalachian Valley and Ridge physiographic provinces, in Daniel, C.C., III, White, R.K., and Stone, P.A., eds., Ground water in the Piedmont	Clemson, South Carolina, Clemson University, Conference on Ground Water in the Piedmont of the Eastern United States, Proceedings, p. 285-292.
