-----------------------------------------------
3D SITE DISPLACEMENT DUE TO ATMOSPHERIC LOADING
-----------------------------------------------
METEOROLOGICAL CENTER & DEGREE 1 :   ECMWF_CMEA
CMEA : CENTER OF MASS OF THE EARTH + ATMOSPHERE
CME  : CENTER OF MASS OF THE SOLID EARTH  ALONE
SITE COORDINATES ACCORDING TO ITRF2000 SOLUTION
-----------------------------------------------
CREATOR EMAIL : PASCAL.GEGOUT@EOST.U-STRASBG.FR
-----------------------------------------------
NANO        49718.000    1995     1     1     0
NANO        52274.750    2001    12    31    18
NANO     -2335726.738 -3451608.345  4812009.996
NANO           49.295     -124.086        6.587
NANO     NORTH_Offset  EAST_Offset    UP_Offset
49718.00     1.137790     0.747654    -3.260434
49718.25     0.905844     0.712282    -3.028298
49718.50     1.333455     0.337375    -2.669792
49718.75     1.397955     0.571473    -3.364558
49719.00     1.523641     0.443949    -2.978075
49719.25     1.290145     0.290216    -2.958876
49719.50     1.313325     0.039895    -2.677272
49719.75     1.029496     0.351480    -2.961344
49720.00     1.036578     0.362246    -2.083842
49720.25     0.605125     0.261908    -1.617119
49720.50     0.590775    -0.006930    -1.266958
49720.75     0.483640     0.243554    -1.318157
49721.00     0.512609     0.254672    -0.255574
49721.25     0.100017     0.265230     0.154349
49721.50     0.273233    -0.157800     1.449547
49721.75     0.292209     0.094305     2.317175
49722.00     0.319691    -0.024721     4.485272
49722.25     0.027474    -0.152129     6.048615
49722.50     0.365965    -0.499537     7.239241
49722.75     0.370519    -0.138641     6.770628
49723.00     0.561787    -0.148200     7.219676
49723.25     0.123718    -0.032530     6.609743
49723.50     0.171464    -0.160168     6.242126
49723.75    -0.176670     0.285427     5.313689
49724.00    -0.200391     0.512217     5.578988
49724.25    -0.654779     0.598231     5.876156
49724.50    -0.702756     0.352286     6.837954
49724.75    -0.940994     0.648638     6.339900
49725.00    -0.975341     0.662824     6.785885
49725.25    -1.550104     0.702768     5.946053
49725.50    -1.211368     0.439031     6.208184
49725.75    -1.316703     0.677071     5.802902
49726.00    -1.114344     0.530058     5.395224
49726.25    -1.198480     0.408243     4.844513
49726.50    -0.900443     0.029779     6.032045
49726.75    -0.992074     0.191950     5.737743
49727.00    -0.620841     0.084996     6.567776
49727.25    -0.882057    -0.012720     6.969441
49727.50    -0.543721    -0.391584     7.132818
49727.75    -0.491703    -0.224198     6.856673
49728.00    -0.121101    -0.270468     7.413127
49728.25    -0.195906    -0.319196     7.743921
49728.50    -0.006924    -0.644358     8.009653
49728.75    -0.064738    -0.273548     6.662342
49729.00     0.065562    -0.209570     6.275133
49729.25    -0.369948    -0.095281     5.452247
49729.50    -0.195930    -0.398812     5.295243
49729.75    -0.341799    -0.085398     4.415715
49730.00    -0.610116    -0.013766     4.394304
49730.25    -1.104862     0.084485     3.490511
49730.50    -1.009610    -0.151316     3.680350
49730.75    -1.234546     0.203688     3.566405
49731.00    -1.382991     0.267033     4.476378
49731.25    -1.811029     0.313705     4.620493
49731.50    -1.658575    -0.009548     5.329813
49731.75    -1.809404     0.243502     5.324227
49732.00    -1.863377     0.279454     6.301978
49732.25    -2.269755     0.364873     6.055400
49732.50    -1.993986     0.184219     5.666614
49732.75    -1.912382     0.496128     4.537898
49733.00    -1.737616     0.609920     4.202280
49733.25    -2.189800     0.719774     3.442781
49733.50    -1.973240     0.432641     3.174025
49733.75    -2.003358     0.749087     2.167442
49734.00    -1.996260     0.794467     2.460576
49734.25    -2.433524     0.826270     2.556619
49734.50    -2.289261     0.514910     3.367027
49734.75    -2.432072     0.738620     3.398033
49735.00    -2.380254     0.778460     4.325000
49735.25    -2.741475     0.706949     4.980250
49735.50    -2.788922     0.474783     5.253816
49735.75    -2.790247     0.685095     4.131570
49736.00    -2.651185     0.637901     3.314316
49736.25    -2.846479     0.709228     1.606504
49736.50    -2.517756     0.427673     0.734857
49736.75    -2.394786     0.644230    -0.816187
49737.00    -2.315239     0.698199    -0.726528
49737.25    -2.500186     0.668683    -0.628506
49737.50    -2.251498     0.328266    -0.330694
49737.75    -2.170786     0.563981    -0.718941
49738.00    -1.931967     0.669285    -0.319011
49738.25    -2.014070     0.597461    -0.131670
49738.50    -1.720829     0.316110    -0.114444
49738.75    -1.611219     0.593559    -0.811131
49739.00    -1.331942     0.651415    -0.399476
