2005 Colorado River interpolated elevation		
easting (m)	northing (m)	elev (ft)
623744.251	4273885.688	3951.996814
623746.251	4273885.688	3951.760594
623748.251	4273885.688	3951.727785
623750.251	4273885.688	3951.557182
623752.251	4273885.688	3951.711381
623754.251	4273885.688	3952.019779
623756.251	4273885.688	3951.799964
623758.251	4273885.688	3952.088677
623760.251	4273885.688	3952.105081
623762.251	4273885.688	3952.121485
623764.251	4273885.688	3952.147732
623766.251	4273885.688	3952.091958
623996.251	4273885.688	3947.151023
623998.251	4273885.688	3947.311784
624000.251	4273885.688	3947.429894
624002.251	4273885.688	3947.502072
624004.251	4273885.688	3946.645774
624006.251	4273885.688	3946.849186
624008.251	4273885.688	3946.137245
624010.251	4273885.688	3946.101156
624012.251	4273885.688	3945.235016
624014.251	4273885.688	3944.943022
624016.251	4273885.688	3944.506671
624018.251	4273885.688	3945.097221
624020.251	4273885.688	3944.998796
624022.251	4273885.688	3945.143153
624024.251	4273885.688	3945.356407
624026.251	4273885.688	3945.700894
624028.251	4273885.688	3945.48764
624030.251	4273885.688	3945.553257
624032.251	4273885.688	3945.691052
624034.251	4273885.688	3945.953518
624036.251	4273885.688	3946.163492
624038.251	4273885.688	3946.593281
624040.251	4273885.688	3946.412835
624042.251	4273885.688	3946.596562
624044.251	4273885.688	3946.547349
624046.251	4273885.688	3946.101156
624048.251	4273885.688	3945.297352
624050.251	4273885.688	3945.107063
624094.251	4273885.688	3947.843279
624096.251	4273885.688	3947.597216
624098.251	4273885.688	3947.134619
624100.251	4273885.688	3947.698922
624102.251	4273885.688	3947.780943
624104.251	4273885.688	3947.767819
624106.251	4273885.688	3948.253383
624108.251	4273885.688	3948.604432
624110.251	4273885.688	3948.184485
624112.251	4273885.688	3947.380681
624114.251	4273885.688	3947.183831
624116.251	4273885.688	3948.240259
624118.251	4273885.688	3948.860337
624120.251	4273885.688	3949.552593
624122.251	4273885.688	3950.064403
624124.251	4273885.688	3949.788813
624126.251	4273885.688	3950.028314
624128.251	4273885.688	3950.664795
