    1
41.794441 -86.757904  41.792679 -86.760674  41.790298 -86.764366
41.788731 -86.767555  41.787060 -86.771057  41.785633 -86.773293
41.784077 -86.776756  41.782516 -86.780212  41.780323 -86.783730
41.778633 -86.786720  41.776440 -86.790970  41.774548 -86.794258
41.772476 -86.798210  41.770206 -86.803062  41.768013 -86.807480
41.765820 -86.811104  41.763672 -86.815132  41.760780 -86.820381
41.758678 -86.825294  41.756794 -86.828133  41.756317 -86.829781
41.754898 -86.835464  41.752422 -86.839920  41.749866 -86.845116
41.748138 -86.848534  41.745880 -86.853928  41.743393 -86.858818
41.740612 -86.865051  41.739006 -86.870010  41.736446 -86.875351
41.733768 -86.881531  41.731815 -86.886833  41.729565 -86.893440
41.728798 -86.895912  41.727367 -86.901222  41.726940 -86.902679
41.726471 -86.906067  41.726070 -86.908455  41.726070 -86.908478
41.723530 -86.910248  41.722588 -86.911133  41.722157 -86.912781
41.720776 -86.913567  41.718372 -86.914635  41.717236 -86.915123
41.716309 -86.916969  41.714935 -86.919998  41.713619 -86.924583
41.712143 -86.929459  41.709583 -86.935783  41.708031 -86.939957
41.705723 -86.945465  41.703827 -86.949959  41.701595 -86.956261
41.699745 -86.960564  41.697491 -86.965912  41.695007 -86.972198
41.693054 -86.977829  41.691109 -86.982681  41.688793 -86.990349
41.686016 -86.998177  41.684090 -87.002716  41.682323 -87.006935
41.680408 -87.010658  41.677353 -87.021660  41.674976 -87.028175
41.670959 -87.038086  41.668667 -87.044823  41.666004 -87.053749
41.662796 -87.063286  41.660458 -87.070351  41.657223 -87.079895
41.655128 -87.087837  41.652485 -87.096527  41.649574 -87.106163
41.647526 -87.113838  41.645947 -87.119225  41.644516 -87.123825
41.644226 -87.125389  41.644066 -87.126785  41.644863 -87.127632
41.645321 -87.128242  41.645580 -87.128998  41.644573 -87.129303
41.643261 -87.130051  41.643787 -87.131134  41.644760 -87.132370
41.645123 -87.134995  41.645477 -87.138443  41.645592 -87.140862
41.645638 -87.143791  41.645779 -87.146172  41.645779 -87.147194
41.645741 -87.147888  41.644554 -87.148048  41.641495 -87.147987
41.638512 -87.147751  41.636436 -87.147430  41.635723 -87.147415
41.635342 -87.147476  41.635265 -87.149162  41.635311 -87.150047
41.635975 -87.150085  41.638268 -87.150360  41.641308 -87.150536
41.641689 -87.150520  41.641689 -87.150520  41.642441 -87.152763
41.642338 -87.155334  41.641998 -87.157661  41.641914 -87.158577
41.641560 -87.158699  41.639008 -87.159096  41.633842 -87.158951
41.631618 -87.158852  41.630955 -87.158882  41.630814 -87.158852
41.630711 -87.160210  41.630665 -87.161827  41.632702 -87.161568
41.636013 -87.161713  41.636799 -87.162598  41.635994 -87.164543
41.634357 -87.168571  41.632141 -87.176292  41.631039 -87.178688
41.629578 -87.183220  41.628586 -87.188980  41.627556 -87.196838
41.625866 -87.210037  41.624649 -87.218155  41.623684 -87.225197
41.622311 -87.234726  41.621113 -87.244865  41.620728 -87.253204
41.620468 -87.262268  41.620140 -87.268265  41.619682 -87.275772
41.619682 -87.284271  41.619774 -87.287239  41.619549 -87.290596
41.619392 -87.291954  41.619457 -87.292465  41.620167 -87.292366
41.622375 -87.291313  41.623020 -87.294273  41.622177 -87.295990
41.620502 -87.297409  41.619381 -87.297600  41.619186 -87.301277
41.619457 -87.303535  41.619774 -87.304008  41.621441 -87.304497
41.623272 -87.305267  41.623425 -87.305588  41.622349 -87.305878
41.619877 -87.306374  41.619530 -87.306580  41.620007 -87.311951
41.621010 -87.314590  41.622395 -87.314903  41.624226 -87.315865
41.624451 -87.319595  41.624638 -87.322998  41.625050 -87.325188
41.625320 -87.330055  41.625519 -87.334389  41.625443 -87.334724
41.625500 -87.335167  41.625687 -87.335922  41.625771 -87.336769
41.625854 -87.337471  41.625893 -87.338509  41.625931 -87.339218
41.625969 -87.340202  41.626015 -87.340935  41.626118 -87.341957
41.626209 -87.343117  41.626202 -87.343918  41.626278 -87.344826
41.626312 -87.345924  41.626434 -87.347084  41.626556 -87.348083
41.626743 -87.349388  41.626873 -87.350266  41.627014 -87.351707
41.627064 -87.352654  41.627129 -87.353813  41.627167 -87.354576
41.627285 -87.355522  41.627419 -87.356644  41.627651 -87.357681
41.627850 -87.358788  41.628082 -87.359924  41.628307 -87.361137
41.628559 -87.362320  41.628811 -87.363617  41.629082 -87.364914
41.629494 -87.366470  41.629738 -87.367294  41.630009 -87.368401
41.630344 -87.369621  41.630634 -87.370857  41.630886 -87.372108
41.631264 -87.373749  41.631691 -87.375343  41.632095 -87.376907
41.632469 -87.378189  41.632797 -87.379265  41.633171 -87.380470
41.633545 -87.381958  41.633926 -87.383438  41.634369 -87.385323
41.634712 -87.386826  41.635052 -87.388214  41.635464 -87.389748
41.636024 -87.391563  41.636444 -87.392738  41.636978 -87.394363
41.637463 -87.395645  41.637829 -87.396965  41.638306 -87.398384
41.638672 -87.399658  41.638802 -87.400055  41.639027 -87.400734
41.639240 -87.401482  41.639278 -87.401604  41.639511 -87.402199
41.639763 -87.402603  41.640259 -87.403076  41.640568 -87.403511
41.640923 -87.404205  41.641449 -87.405205  41.641869 -87.405945
41.642262 -87.406792  41.642551 -87.407402  41.642860 -87.408035
41.642982 -87.408287  41.643177 -87.408798  41.643215 -87.409019
41.643234 -87.409584  41.643177 -87.409760  41.643009 -87.410156
41.642925 -87.410393  41.643124 -87.410828  41.643318 -87.411232
41.643478 -87.411453  41.643570 -87.411453  41.643646 -87.411453
41.643955 -87.411415  41.644535 -87.411217  41.645153 -87.410606
41.645779 -87.410332  41.645920 -87.410240  41.646263 -87.410179
41.646294 -87.410194  41.646706 -87.411163  41.646694 -87.411491
41.646648 -87.412361  41.646721 -87.413010  41.646694 -87.413651
41.646751 -87.414230  41.646809 -87.414658  41.646835 -87.415131
41.646778 -87.415215  41.646385 -87.415619  41.645638 -87.416504
41.644814 -87.417236  41.644180 -87.417763  41.643589 -87.418259
41.643486 -87.418373  41.642887 -87.418945  41.642551 -87.419319
41.642551 -87.419334  41.642441 -87.419533  41.642422 -87.419792
41.642307 -87.420738  41.642475 -87.421516  41.642662 -87.421959
41.642952 -87.422470  41.643318 -87.423172  41.643589 -87.423744
41.643757 -87.424255  41.643944 -87.424629  41.644337 -87.425613
41.644814 -87.426590  41.645245 -87.427483  41.645714 -87.428398
41.646133 -87.429283  41.646481 -87.429893  41.646824 -87.430443
41.647331 -87.431190  41.647873 -87.431709  41.648537 -87.432411
41.648930 -87.432861  41.649406 -87.433296  41.649536 -87.433372
41.649986 -87.433571  41.650604 -87.433784  41.650959 -87.434692
41.650932 -87.434692  41.650967 -87.434814  41.651119 -87.434967
41.651661 -87.434906  41.652119 -87.434845  41.652557 -87.434875
41.653164 -87.435127  41.653690 -87.435478  41.653831 -87.435738
41.653923 -87.435974  41.653896 -87.436150  41.653812 -87.436378
