UTMX,UTMY,Line,Shot,Lon,Lat,YEAR,DOY:HR:MIN:SEC
659430,3081582,tx710_01,0,-97.38086667,27.84948889,1996,192:17:16:17
659404,3081512,tx710_01,500,-97.38113889,27.84885556,1996,192:17:17:19
659378,3081441,tx710_01,1000,-97.38141111,27.84822222,1996,192:17:18:21
659352,3081371,tx710_01,1500,-97.38168333,27.84759167,1996,192:17:19:23
659326,3081300,tx710_01,2000,-97.38195556,27.84695833,1996,192:17:20:25
659301,3081230,tx710_01,2500,-97.38222222,27.84632778,1996,192:17:21:27
659278,3081160,tx710_01,3000,-97.38246111,27.84570000,1996,192:17:22:29
659256,3081091,tx710_01,3500,-97.38270000,27.84507500,1996,192:17:23:31
659233,3081021,tx710_01,4000,-97.38293889,27.84445000,1996,192:17:24:33
659210,3080952,tx710_01,4500,-97.38318056,27.84382500,1996,192:17:25:35
659194,3080880,tx710_01,5000,-97.38336111,27.84318333,1996,192:17:26:37
659187,3080807,tx710_01,5500,-97.38343611,27.84252222,1996,192:17:27:40
659181,3080733,tx710_01,6000,-97.38351111,27.84185833,1996,192:17:28:42
659174,3080660,tx710_01,6500,-97.38358611,27.84119444,1996,192:17:29:44
659168,3080586,tx710_01,7000,-97.38366111,27.84053056,1996,192:17:30:46
659195,3080524,tx710_01,7500,-97.38339722,27.83997222,1996,192:17:31:48
659251,3080474,tx710_01,8000,-97.38283333,27.83950556,1996,192:17:32:50
659307,3080423,tx710_01,8500,-97.38226944,27.83904167,1996,192:17:33:52
659364,3080372,tx710_01,9000,-97.38170278,27.83857500,1996,192:17:34:54
659420,3080321,tx710_01,9500,-97.38113889,27.83810833,1996,192:17:35:56
659471,3080345,tx710_01,10000,-97.38061944,27.83832222,1996,192:17:36:58
659519,3080402,tx710_01,10500,-97.38011667,27.83882778,1996,192:17:38:00
659568,3080459,tx710_01,11000,-97.37961389,27.83933333,1996,192:17:39:03
659617,3080515,tx710_01,11500,-97.37911389,27.83983889,1996,192:17:40:05
659665,3080572,tx710_01,12000,-97.37861111,27.84034444,1996,192:17:41:07
659719,3080642,tx710_01,12500,-97.37806111,27.84096667,1996,192:17:42:09
659773,3080713,tx710_01,13000,-97.37750556,27.84160833,1996,192:17:43:11
659827,3080785,tx710_01,13500,-97.37694722,27.84225000,1996,192:17:44:13
659881,3080857,tx710_01,14000,-97.37638889,27.84289167,1996,192:17:45:15
659828,3081349,tx710_02,0,-97.37685833,27.84733611,1996,192:17:54:17
659721,3081365,tx710_02,500,-97.37794167,27.84749167,1996,192:17:55:18
