-----------------------------------------------
3D SITE DISPLACEMENT DUE TO ATMOSPHERIC LOADING
-----------------------------------------------
METEOROLOGICAL CENTER & DEGREE 1 :     NCEP_CME
CMEA : CENTER OF MASS OF THE EARTH + ATMOSPHERE
CME  : CENTER OF MASS OF THE SOLID EARTH  ALONE
SITE COORDINATES ACCORDING TO ITRF2000 SOLUTION
-----------------------------------------------
CREATOR EMAIL : PASCAL.GEGOUT@EOST.U-STRASBG.FR
-----------------------------------------------
CME1        49718.000    1995     1     1     0
CME1        52274.750    2001    12    31    18
CME1     -2746197.164 -4011270.648  4115639.284
CME1           40.442     -124.396      305.535
CME1     NORTH_Offset  EAST_Offset    UP_Offset
49718.00     0.383703     0.345271    -1.745185
49718.25     0.383530     0.405048    -1.920196
49718.50     0.348219     0.384283    -1.714242
49718.75     0.325389     0.537122    -2.452134
49719.00     0.389500     0.431421    -2.216682
49719.25     0.409691     0.402856    -1.956309
49719.50     0.423594     0.359011    -1.516047
49719.75     0.356879     0.335396    -1.524869
49720.00     0.331749     0.150769    -0.941598
49720.25     0.295843     0.164076    -0.673682
49720.50     0.213255     0.146196    -0.279106
49720.75     0.127102     0.195014    -0.596725
49721.00     0.077762     0.086939    -0.439410
49721.25     0.028438     0.106490    -0.352590
49721.50    -0.162793    -0.064486     0.484801
49721.75    -0.347480    -0.309686     1.067416
49722.00    -0.436890    -0.726235     2.167954
49722.25    -0.531827    -0.974302     2.815837
49722.50    -0.637239    -1.131052     3.219787
49722.75    -0.642010    -1.093713     2.493704
49723.00    -0.577342    -1.088848     2.190891
49723.25    -0.506384    -0.900986     1.540060
49723.50    -0.505606    -0.785333     1.520885
49723.75    -0.541067    -0.654676     0.975259
49724.00    -0.595282    -0.895844     1.820973
49724.25    -0.672058    -0.974595     2.459644
49724.50    -0.760036    -1.026040     3.032638
49724.75    -0.831476    -0.787703     2.227923
49725.00    -0.682473    -0.731745     2.000388
49725.25    -0.577341    -0.532075     1.768160
49725.50    -0.603231    -0.568670     2.363694
49725.75    -0.565887    -0.257701     1.245925
49726.00    -0.468235    -0.339388     1.523989
49726.25    -0.459347    -0.268311     1.557097
49726.50    -0.482067    -0.362472     2.203858
49726.75    -0.506251    -0.274304     1.890877
49727.00    -0.510874    -0.517452     2.493276
49727.25    -0.430109    -0.472762     2.577927
49727.50    -0.525895    -0.674002     3.426394
49727.75    -0.573269    -0.617026     2.984203
49728.00    -0.567747    -0.851357     3.479532
49728.25    -0.609606    -0.798963     3.210551
49728.50    -0.566831    -0.757108     3.128699
49728.75    -0.554672    -0.585025     2.172307
49729.00    -0.437017    -0.710163     2.379140
49729.25    -0.348470    -0.590992     2.079472
49729.50    -0.347495    -0.650808     2.496328
49729.75    -0.341306    -0.440921     1.507314
49730.00    -0.185427    -0.409040     1.313802
49730.25    -0.098221    -0.238474     0.936250
49730.50    -0.157714    -0.353412     1.670160
49730.75    -0.190963    -0.198744     1.062560
49731.00    -0.176817    -0.370017     1.638949
49731.25    -0.244133    -0.425193     2.016610
49731.50    -0.269707    -0.490352     2.500111
49731.75    -0.295197    -0.436679     2.084579
49732.00    -0.273612    -0.691618     2.734730
49732.25    -0.294143    -0.664940     2.684911
49732.50    -0.288622    -0.709220     2.918697
49732.75    -0.280836    -0.609010     2.207757
49733.00    -0.178296    -0.693881     2.325378
49733.25    -0.075954    -0.578192     2.116934
49733.50    -0.116931    -0.604292     2.486317
49733.75    -0.099886    -0.427120     1.694378
49734.00    -0.096728    -0.497313     1.922970
49734.25    -0.090591    -0.351967     1.599308
49734.50    -0.186108    -0.329116     1.833481
49734.75    -0.274199    -0.166210     1.111340
49735.00    -0.302303    -0.296294     1.440473
49735.25    -0.287645    -0.116533     1.018073
49735.50    -0.333928    -0.101042     1.312218
49735.75    -0.267694     0.181860     0.127173
49736.00    -0.130386     0.052597     0.293218
49736.25     0.026181     0.183776    -0.227537
49736.50     0.142511     0.171729    -0.118877
49736.75     0.203175     0.199717    -0.433911
49737.00     0.252037    -0.018765     0.188806
49737.25     0.305465     0.007696     0.295615
49737.50     0.279698    -0.091806     0.963682
49737.75     0.215921    -0.014135     0.530067
49738.00     0.244219    -0.170529     0.812914
49738.25     0.239526    -0.071689     0.600045
49738.50     0.201091    -0.120752     0.940166
49738.75     0.168090    -0.017372     0.294178
49739.00     0.190569    -0.217397     0.670181
49739.25     0.174910    -0.182724     0.613672
49739.50     0.176617    -0.208473     0.916423
49739.75     0.123731    -0.119134     0.423042
49740.00     0.115741    -0.254831     0.633489
49740.25     0.155906    -0.176333     0.432088
49740.50     0.163391    -0.249230     0.900340
49740.75     0.147105    -0.145439     0.324496
49741.00     0.218816    -0.292155     0.828217
49741.25     0.271739    -0.213322     0.791291
