year          day          dechr          hour          min          sec          rh          esh          clong          clat          HGIlong          br          bt          bn          vp1r          vp1t          vp1n          crot          np1          vp1          Tp1          vaz          vel          Bx          By          Bz          sBx          sBy          sBz          nal          val          Tal          np2          vp2
   1976.0000      22.0000       2.0286       2.0000       1.0000      43.0000       0.9200     336.7100     207.9700      -2.7100      22.5261       0.0100      -5.1300      -3.1600     758.0514      19.4531     -42.6611    1637.0000       2.9100     759.5000  192880.0000       1.4700       3.2200      -0.0100       5.1300      -3.1600       0.0000       0.0000       0.0000       0.1100     739.0000  551562.0000       2.7000     754.7000
   1976.0000      22.0000       2.7486       2.0000      44.0000      55.0000       0.9200     336.7100     207.5600      -2.7200      22.5416      -0.0000      -0.0000       0.0000     701.4163      17.3872      32.8427    1637.0000       2.4700     702.4000  144232.0000       1.4200      -2.6800       0.0000       0.0000       0.0000       0.0000       0.0000       0.0000       0.0700     717.1000  509774.0000       2.0200     702.4000
   1976.0000      22.0000       4.0831       4.0000       4.0000      59.0000       0.9200     336.7000     206.8200      -2.7200      22.5903       2.5800      -4.6900      -2.6600     690.2108      15.0605      13.1353    1637.0000       2.6700     690.5000  219024.0000       1.2500      -1.0900      -2.5800       4.6900      -2.6600       0.6900       0.5800       0.5100       0.0800     707.7000  724744.0000       2.8400     686.5000
   1976.0000      22.0000       4.0889       4.0000       5.0000      20.0000       0.9200     336.7000     206.8200      -2.7200      22.5938       2.2900      -4.1600      -3.2500     690.2108      15.0605      13.1353    1637.0000       2.6700     690.5000  218972.0000       1.2500      -1.0900      -2.2900       4.1600      -3.2500       0.6100       0.9600       0.9500       0.0800     707.7000  723081.0000       2.8500     686.4000
   1976.0000      22.0000       4.0958       4.0000       5.0000      45.0000       0.9200     336.7000     206.8100      -2.7200      22.5879       2.2300      -4.8200      -1.9700     691.2963      19.7927      -5.3111    1637.0000       2.8000     691.6000  211955.0000       1.6400       0.4400      -2.2300       4.8200      -1.9700       0.4600       1.3500       1.5500       0.1400     713.7000 1104164.0000       2.3300     687.6000
   1976.0000      22.0000       4.1014       4.0000       6.0000       5.0000       0.9200     336.7000     206.8100      -2.7200      22.5911       2.0000      -5.6500      -0.6100     698.4536      37.5824     -13.7968    1637.0000       2.8800     699.6000  218037.0000       3.0800       1.1300      -2.0000       5.6500      -0.6100       0.4800       0.5400       0.5400       0.0800     721.4000  555097.0000       2.9100     700.1000
   1976.0000      22.0000       4.1128       4.0000       6.0000      46.0000       0.9200     336.7000     206.8000      -2.7200      22.5879       2.1200      -5.2200      -0.9500     702.7382      21.3478     -27.5005    1637.0000       2.8300     703.6000  166321.0000       1.7400       2.2400      -2.1200       5.2200      -0.9500       0.9400       0.9500       1.3600       0.1300     712.3000 1326826.0000       2.7100     708.4000
   1976.0000      22.0000       4.1239       4.0000       7.0000      26.0000       0.9200     336.7000     206.8000      -2.7200      22.5944       3.6500      -3.0000      -3.6300     680.3463       1.6624      14.3701    1637.0000       2.8100     680.5000  183473.0000       0.1400      -1.2100      -3.6500       3.0000      -3.6300       0.4300       0.8500       0.6700       0.0800     735.9000 1046783.0000       2.6300     667.4000
   1976.0000      22.0000       4.1353       4.0000       8.0000       7.0000       0.9200     336.6900     206.7900      -2.7200      22.5912       3.6700      -3.0600      -3.6000     677.5256      -3.6658       9.3425    1637.0000       2.9800     677.6000  220635.0000      -0.3100      -0.7900      -3.6700       3.0600      -3.6000       0.2700       0.6000       0.4300       0.1100     709.1000 1104787.0000       3.0800     664.4000
   1976.0000      22.0000       4.1464       4.0000       8.0000      47.0000       0.9200     336.6900     206.7800      -2.7200      22.5877       3.3900      -3.3700      -3.5200     687.1969      10.5554      12.9564    1637.0000       2.9500     687.4000  231862.0000       0.8800      -1.0800      -3.3900       3.3700      -3.5200       0.4200       0.4700       0.5000       0.0800     726.4000  737634.0000       2.8300     693.4000
   1976.0000      22.0000       4.1578       4.0000       9.0000      28.0000       0.9200     336.6900     206.7800      -2.7200      22.5945       3.1000      -4.0000      -3.2900     684.1326       3.4627       8.9559    1637.0000       2.6000     684.2000  227808.0000       0.2900      -0.7500      -3.1000       4.0000      -3.2900       0.3000       0.4300       0.4000       0.0900     714.0000  988363.0000       2.8800     680.0000
   1976.0000      22.0000       4.1689       4.0000      10.0000       8.0000       0.9200     336.6900     206.7700      -2.7200      22.5910       2.5800      -4.4500      -3.1100     681.0127       9.5093      12.8396    1637.0000       2.6400     681.2000  178223.0000       0.8000      -1.0800      -2.5800       4.4500      -3.1100       0.6000       0.7400       0.4900       0.1100     711.0000  728486.0000       2.5600     681.1000
   1976.0000      22.0000       4.1803       4.0000      10.0000      49.0000       0.9200     336.6900     206.7600      -2.7200      22.5878       1.9200      -5.0900      -2.5700     701.9625      21.5695       2.9418    1637.0000       2.8200     702.3000  168244.0000       1.7600      -0.2400      -1.9200       5.0900      -2.5700       0.4600       0.6700       0.6200       0.1500     714.0000 1203541.0000       2.9700     701.5000
   1976.0000      22.0000       4.1914       4.0000      11.0000      29.0000       0.9200     336.6900     206.7600      -2.7200      22.5943       2.3000      -4.3000      -3.3600     699.8102      31.0439       1.4671    1637.0000       2.4500     700.5000  197506.0000       2.5400      -0.1200      -2.3000       4.3000      -3.3600       0.4200       0.5100       0.4500       0.0800     716.0000  532643.0000       2.5900     697.8000
