table with row headers in column A and column headers in rows 3 through 4. (leading dots indicate sub-parts),,,,,,
"Annual Estimates of the Population by Sex and Age for Tennessee: April 1, 2000 to July 1, 2003",,,,,,
Sex and age,Population estimates,,,,"April 1, 2000",
,"July 1, 2003","July 1, 2002","July 1, 2001","July 1, 2000",Estimates base,Census
BOTH SEXES,"5,841,748","5,789,796","5,745,808","5,702,670","5,689,262","5,689,283"
.Under 5 years,"382,664","379,834","377,049","375,191","374,878","374,880"
.5 to 9 years,"376,141","379,708","387,052","393,862","395,811","395,813"
.10 to 14 years,"401,506","401,751","399,759","395,908","395,155","395,155"
.15 to 19 years,"392,372","390,509","391,087","394,125","395,178","395,184"
.20 to 24 years,"412,996","409,091","402,237","390,290","386,344","386,345"
.25 to 29 years,"393,764","389,136","392,790","400,866","403,828","403,829"
.30 to 34 years,"426,359","424,601","419,251","414,127","412,071","412,072"
.35 to 39 years,"430,318","437,745","446,411","452,038","453,328","453,327"
.40 to 44 years,"457,102","455,076","453,019","450,539","449,194","449,200"
.45 to 49 years,"442,375","433,491","425,151","415,435","412,702","412,704"
.50 to 54 years,"395,067","392,360","388,170","378,699","374,209","374,212"
.55 to 59 years,"339,076","321,722","306,253","295,594","293,942","293,942"
.60 to 64 years,"265,325","255,451","244,778","240,453","239,310","239,309"
.65 to 69 years,"213,217","208,689","207,883","205,059","204,572","204,571"
.70 to 74 years,"178,104","178,961","178,330","178,309","178,284","178,281"
.75 to 79 years,"144,992","144,858","144,440","145,088","144,848","144,848"
.80 to 84 years,"103,042","101,107","98,099","94,773","94,145","94,146"
.85 years or more,"87,328","85,706","84,049","82,314","81,463","81,465"
,,,,,,
.Under 18 years,"1,394,479","1,394,609","1,396,879","1,397,741","1,398,513","1,398,521"
..Under 5 years,"382,664","379,834","377,049","375,191","374,878","374,880"
..5 to 13 years,"697,470","703,688","709,508","711,979","712,592","712,594"
..14 to 17 years,"314,345","311,087","310,322","310,571","311,043","311,047"
.18 to 64 years,"3,720,586","3,675,866","3,636,128","3,599,386","3,587,437","3,587,451"
..18 to 24 years,"571,200","566,284","560,305","551,635","548,853","548,856"
..25 to 44 years,"1,707,543","1,706,558","1,711,471","1,717,570","1,718,421","1,718,428"
..45 to 64 years,"1,441,843","1,403,024","1,364,352","1,330,181","1,320,163","1,320,167"
.65 years and over,"726,683","719,321","712,801","705,543","703,312","703,311"
,,,,,,
.16 years and over,"4,603,736","4,551,392","4,504,249","4,460,103","4,445,971","4,445,987"
.18 years and over,"4,447,269","4,395,187","4,348,929","4,304,929","4,290,749","4,290,762"
.15 to 44 years,"2,512,911","2,506,158","2,504,795","2,501,985","2,499,943","2,499,957"
,,,,,,
.Median age(years),36.7,36.5,36.2,36.0,35.9,35.9
