Time,Speed,Location,County,State,Lat,Lon,Comments
1424,60,6 SSW JAMESTOWN,CLOUD,KS,39.52,-97.9,(TOP)
1606,75,GARNETT,ANDERSON,KS,38.28,-95.24,(TOP)
1610,70,SILVER LAKE,SHAWNEE,KS,39.1,-95.86,(TOP)
1625,80,AUBURN,SHAWNEE,KS,38.91,-95.82,(TOP)
1626,70,2 NW GRANTVILLE,JEFFERSON,KS,39.1,-95.59,(TOP)
1630,UNK,SILVER LAKE,SHAWNEE,KS,39.1,-95.86,60X80 METAL SHED BLOWN DOWN ALONG WITH TREE DAMAGE. (TOP)
1639,60,SCRANTON,OSAGE,KS,38.78,-95.74,(TOP)
1705,60,8 NW OTTAWA,FRANKLIN,KS,38.7,-95.37,(TOP)
1707,UNK,OTTAWA,FRANKLIN,KS,38.62,-95.27,TREE LIMBS REPORTED DOWN IN OTTAWA UP TO 15 INCHES. TIME ESTIMATED. (TOP)
1709,70,6 W BALDWIN CITY,DOUGLAS,KS,38.78,-95.29,DAMAGE WAS OCCURING AT THE TIME. (TOP)
1718,UNK,7 W BALDWIN CITY,DOUGLAS,KS,38.77,-95.31,4 TO 5 INCH TREE LIMBS DOWN (TOP)
1720,60,5 NW PRINCETON,FRANKLIN,KS,38.54,-95.33,(TOP)
1730,UNK,OSAWATOMIE,MIAMI,KS,38.5,-94.95,MIAMI COUNTY KANSAS SHERIFF OFFICE REPORTED POWER LINES DOWN IN OSAWATOMIE. (EAX)
1754,UNK,4 SE LEE,MADISON,FL,30.38,-83.25,A FEW LIMBS BLOWN OUT OF SOME OLDER TREES AT A TREE FARM NEAR THE SUWANNEE RIVER. A 20 FOOT DOOR WAS BLOWN OFF A STORAGE BUILDING. TIME ESTIMATED BY DOPPLER RADAR. (TAE)
1800,UNK,AMSTERDAM,BATES,MO,38.35,-94.59,10-12 INCH DIAMETER LIMBS DOWN...A FEW TREES UPROOTED. (EAX)
1810,UNK,1 E TRADING POST,LINN,KS,38.25,-94.66,A ROOF WAS BLOWN OFF A HOME,JUST OFF OF HIGHWAY 52. NUMEROUS TREES WERE ALSO REPORTED DOWN. (EAX)
1810,60,AMSTERDAM,BATES,MO,38.35,-94.59,ROCKING FIRE TRUCK (EAX)
1825,UNK,3 W BUTLER,BATES,MO,38.26,-94.39,BUTLER,MISSOURI POLICE DEPARTMENT REPORTS SEVERAL DOWNED TELEPHONE POLES 3 MILES WEST OF BUTLER,MO (EAX)
1830,80,1 E BUTLER,BATES,MO,38.26,-94.34,TRAINED SPOTTER ESTIMATE OF 80 MPH WINDS IN DOWNTOWN BUTLER,MO (EAX)
1840,UNK,11 S NEEDMORE,COLUMBIA,FL,30.52,-82.67,CENTRAL DISPATCH REPORTED A TREE DOWN ON COUNTY ROAD 6 EAST AT HIGHWAY 441. (JAX)
1855,UNK,HARWOOD,VERNON,MO,37.96,-94.15,MULTIPLE 6 TO 8 INCH DIAMETER TREES WERE BLOWN DOWN IN HARWOOD. HARWOOD IS CURRENTLY WITHOUT POWER (SGF)
1902,70,SCHELL CITY,VERNON,MO,38.02,-94.12,(SGF)
1915,70,3 SE CEDAR SPRINGS,CEDAR,MO,37.84,-93.85,TREES AND POWER LINES DOWN. (SGF)
1935,UNK,SSW MACCLENNY,BAKER,FL,30.28,-82.13,CENTRAL DISPATCH REPORTED A TREE DOWN IN MACCLENNY. (JAX)
1941,60,BENNETT SPRINGS,DALLAS,MO,37.73,-92.86,(SGF)
1943,UNK,4 SSW SCHELL CITY,VERNON,MO,37.97,-94.14,MULTIPLY 6 8 INCH DIAMETER TREES BLOWN DOWN IN HARWOOD...WITH NO POWER IN THE CITY OF HARWOOD (SGF)
2002,UNK,BOLIVAR,POLK,MO,37.61,-93.41,SEVERAL TREES DOWN BLOCKING ROADS. TIME OF EVENT ESTIMATED. (SGF)
2015,424,17 NW CORAL SPRINGS,PALM BEACH,FL,26.44,-80.46,SOUTH FLORIDA WATER MANGEMENT MESONET ALONG US 27 AT THE COUNTY LINE OF BROWARD AND MIAMI-DADE MEASURED 56 MPH. (MFL)
2020,60,1 SE PLEASANT HOPE,POLK,MO,37.45,-93.26,TREES BLOCKING ROAD AT KK AND 520 (SGF)
2025,60,4 E LEBANON,LACLEDE,MO,37.68,-92.59,(SGF)
2031,UNK,2 N PLEASANT HOPE,POLK,MO,37.49,-93.27,LARGE AREA OF WIND DAMAGE DEBRIS WITH NUMEROUS LIMBS AND TIN ROOFING FROM BARNS. AREA OF DAMAGE AROUND 1 MILE WIDE. 2 LARGE TREES DOWN ACROSS POWER LINES. TIME OF EVENT (SGF)
2105,UNK,BUCKHEAD RIDGE,GLADES,FL,27.14,-80.89,COUPLE OF HOUSES DAMAGE FROM THUNDERSTORM WIND GUSTS. ONE HOUSE COMPLETELY LOSS THE ROOF. (MFL)
2105,60,DAWSON,WRIGHT,MO,37.26,-92.31,NUMEROUS TREES DOWN (SGF)
2120,UNK,5 W LEBANON,LACLEDE,MO,37.68,-92.76,LARGE TREE DOWN OVER A HOUSE NEAR MOUNTAIN CREEK LANE. SEVERAL POWER OUTAGES REPORTED. (SGF)
2126,UNK,2 E PAISLEY,LAKE,FL,28.98,-81.51,TREE DOWN ON HOUSE AND TREES ON ROAD CEDAR ST REPORTED TO NWS BY WFTV AND VERIFIED BY LAKE COUNTY FIRE/RESCUE. (MLB)
