Table 1-41M:  U.S. Tonne-Kilometers of Freight (Millions),,,,,,,,,,,,,,,,,,
,1960   ,1965   ,1970   ,1975   ,1980   ,1985   ,1990   ,1991   ,1992   ,1993   ,1994   ,1995   ,1996   ,1997   ,1998   ,1999   ,2000    ,2001 
"Air carrier, domestic, all servicesa",807,"1,975","3,955","5,066","6,611","7,528","13,233","12,935","14,337","15,585","17,232","18,279","18,777","19,857","R20,206","20,735","21,875","19,400"
,,,,,,,,,,,,,,,,,,
Intercity truck,"416,092","524,130","601,509","662,827","810,285","890,583","1,073,080","1,106,659","1,189,877","1,257,036","1,325,655","1,344,634","1,419,093","1,454,132","1,499,392","1,595,750",U,U
,,,,,,,,,,,,,,,,,,
Class I railb,"835,555","1,018,883","1,116,600","1,101,187","1,341,653","1,280,372","1,509,566","1,516,729","1,557,471","1,619,560","1,752,990","1,906,268","1,979,686","1,969,395","2,010,093","2,092,813","2,140,261",U
,,,,,,,,,,,,,,,,,,
Domestic water transportation,,,,,,,,,,,,,,,,,,
Coastwise,U,"441,708","525,275","461,126","d921,460","892,009","699,522","733,100","733,360","654,658","668,084","642,891","595,794","510,761","459,693","427,378","414,445",U
Lakewise,U,"110,838","115,946","100,033","90,149","70,347","88,956","80,794","81,444","82,398","85,063","87,166","85,167","90,761","90,013","83,284","84,502",U
Internal,U,"160,161","227,487","263,378","331,914","339,747","426,886","423,332","434,544","414,477","434,725","447,232","433,307","429,265","430,540","444,889","441,727",U
Intraport,U,"2,392","1,721","1,785","2,331","1,609","1,587","1,413","1,387","1,346","1,887","1,971","2,153","2,012","2,016","1,988","2,176",U
   Total domestic water transportationc,U,"715,099","870,428","826,321","R1,345,855","1,303,711","1,216,951","1,238,639","1,250,736","1,152,879","1,189,759","1,179,260","1,116,422","1,032,799","982,262","957,540","942,849",U
,,,,,,,,,,,,,,,,,,
Oil pipeline,"334,334","446,752","629,248","740,206","858,756","823,862","852,770","844,594","859,632","865,618","863,428","877,589","904,015","900,073","904,891","901,825",U,U
TOTAL,"2,280,477","2,706,789","3,222,159","3,336,037","4,363,857","4,305,458","4,666,071","4,720,090","4,871,927","4,911,347","5,149,322","5,325,979","5,438,397","5,375,618","5,416,497","5,568,334",U,U
KEY:  R = revised; U = data are not available.,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
"a Includes freight, express, and mail revenue tonne-kilometers as reported on U.S. DOT Form 41. ",,,,,,,,,,,,,,,,,,
b Revenue tonne-kilometers.,,,,,,,,,,,,,,,,,,
"c  Excludes intraterritorial traffic, for which tonne-kilometers were not compiled.",,,,,,,,,,,,,,,,,,
d  Reflects startup between 1975 and 1980 of Alaska pipeline and consequent water transportation of crude petroleum from Alaskan ports to mainland United States for refining. ,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
NOTES:  Domestic water transportation numbers may not add to totals due to rounding.,,,,,,,,,,,,,,,,,,
Numbers may differ slightly from previous year's metric tables because a higher precision conversion factor was used.,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
SOURCES:  ,,,,,,,,,,,,,,,,,,
"Air carrier, domestic, all services:",,,,,,,,,,,,,,,,,,
"1960-65: Civil Aeronautics Board, Handbook of Airline Statistics, 1969 (Washington, DC: 1970).",,,,,,,,,,,,,,,,,,
"1970-80: Ibid., Air Carrier Traffic Statistics (Washington, DC: Annual issues), p. 2, line 3.",,,,,,,,,,,,,,,,,,
"1985-2001: U.S. Department of Transportation, Bureau of Transportation Statistics, Office of Airline Information, Air Carrier Traffic Statistics (Washington, DC: Annual issues), p. 2, line 3. ",,,,,,,,,,,,,,,,,,
Intercity truck: ,,,,,,,,,,,,,,,,
"1960-98: Eno Transportation Foundation, Inc., Transportation in America, 2000 (Washington, DC: 2001), p. 12.",,,,,,,,,,,,,,,,
Class I rail:,,,,,,,,,,,,,,,,
"1960-99: Association of American Railroads, Railroad Facts (Washington, DC: 2000), p. 27.",,,,,,,,,,,,,,,,
Domestic water transportation:,,,,,,,,,,,,,,,,
"1965-99: U.S. Army Corps of Engineers, Waterborne Commerce of the U.S. (New Orleans, LA: Annual issues), part 5, section 1, table 1-4, and similar tables in earlier editions.",,,,,,,,,,,,,,,,
Oil pipeline:,,,,,,,,,,,,,,,,
"1960-70: Eno Transportation Foundation, Inc., Transportation in America, 1998 (Washington, DC: 1998), p. 44.",,,,,,,,,,,,,,,,
"1975:  Association of Oil Pipe Lines, Shifts in Petroleum Transportation (Washington, DC: Annual issues), table 4.",,,,,,,,,,,,,,,,
"1980-99:  Ibid., Shifts in Petroleum Transportation (Washington, DC: Annual issues), table 1.",,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
