-----------------------------------------------
3D SITE DISPLACEMENT DUE TO ATMOSPHERIC LOADING
-----------------------------------------------
METEOROLOGICAL CENTER & DEGREE 1 :     NCEP_CME
CMEA : CENTER OF MASS OF THE EARTH + ATMOSPHERE
CME  : CENTER OF MASS OF THE SOLID EARTH  ALONE
SITE COORDINATES ACCORDING TO ITRF2000 SOLUTION
-----------------------------------------------
CREATOR EMAIL : PASCAL.GEGOUT@EOST.U-STRASBG.FR
-----------------------------------------------
ATL1        49718.000    1995     1     1     0
ATL1        52274.750    2001    12    31    18
ATL1       505865.080 -5273284.628  3540689.627
ATL1           33.936      -84.520      295.326
ATL1     NORTH_Offset  EAST_Offset    UP_Offset
49718.00     0.338855    -0.084443    -2.484849
49718.25     0.208605    -0.219553    -2.208725
49718.50     0.103047    -0.312592    -1.681401
49718.75     0.074414    -0.512534    -2.088981
49719.00     0.108913    -0.628699    -1.795281
49719.25     0.056469    -0.860892    -2.198181
49719.50     0.135686    -0.844831    -3.006031
49719.75     0.125241    -0.745158    -3.822349
49720.00     0.200700    -0.516766    -3.718025
49720.25     0.199726    -0.474081    -3.811311
49720.50     0.247380    -0.468484    -3.682480
49720.75     0.219891    -0.539626    -4.067809
49721.00     0.238220    -0.531110    -3.770308
49721.25     0.176372    -0.644676    -3.770171
49721.50     0.117605    -0.644287    -3.716643
49721.75    -0.002648    -0.761339    -4.358652
49722.00    -0.065113    -0.642187    -4.431244
49722.25    -0.262195    -0.539398    -4.924869
49722.50    -0.395357    -0.247733    -4.559376
49722.75    -0.519811    -0.037961    -4.510922
49723.00    -0.615286     0.220970    -2.713920
49723.25    -0.724954     0.407722    -1.089523
49723.50    -0.715300     0.542570     0.340380
49723.75    -0.879974     0.550984     2.992336
49724.00    -0.966883     0.344540     5.315295
49724.25    -0.979098    -0.212716     5.463217
49724.50    -0.840994    -0.434944     3.880678
49724.75    -0.754037    -0.590963     1.659834
49725.00    -0.539862    -0.360361     0.508115
49725.25    -0.462152    -0.329139    -1.011445
49725.50    -0.358736    -0.199491    -1.748140
49725.75    -0.261495    -0.266403    -2.809690
49726.00    -0.136808    -0.118437    -2.200680
49726.25    -0.068318    -0.201809    -2.248684
49726.50    -0.001477    -0.183285    -2.105019
49726.75     0.157711    -0.239164    -2.785422
49727.00     0.294647    -0.049073    -2.634203
49727.25     0.290427     0.068507    -2.959031
49727.50     0.241192     0.227384    -2.909446
49727.75     0.195759     0.352851    -3.090653
49728.00     0.151694     0.555336    -2.162348
49728.25     0.004462     0.596946    -2.191978
49728.50    -0.049149     0.702928    -1.562467
49728.75    -0.161232     0.735470    -1.372963
49729.00    -0.171043     0.781943    -0.379257
49729.25    -0.245120     0.674961    -0.400433
49729.50    -0.280014     0.625862    -0.009042
49729.75    -0.257638     0.507814    -0.145396
49730.00    -0.119072     0.509058     0.655322
49730.25    -0.041314     0.505195     0.800777
49730.50     0.099413     0.548048     1.435312
49730.75     0.174949     0.573114     1.848164
49731.00     0.319191     0.577735     3.066065
49731.25     0.199732     0.564465     3.926089
49731.50     0.161745     0.538379     5.176066
49731.75     0.119484     0.362502     5.134255
49732.00     0.044411     0.302777     5.261875
49732.25    -0.082055     0.136334     5.180031
49732.50    -0.113051     0.029947     5.303196
49732.75    -0.198161    -0.143957     4.359268
49733.00    -0.107768    -0.030425     3.972810
49733.25    -0.039566    -0.096693     3.087488
49733.50     0.010631     0.001232     2.717939
49733.75     0.080953     0.043675     1.352739
49734.00     0.155202     0.208058     1.622167
49734.25     0.089308     0.288124     1.299138
49734.50     0.071372     0.287993     1.169900
49734.75     0.022545     0.259818     0.186643
49735.00     0.065011     0.321411     0.777976
49735.25     0.110436     0.317926     0.373357
49735.50     0.165430     0.337803     0.265936
49735.75     0.231281     0.280451    -0.268029
49736.00     0.186526     0.361286     0.768576
49736.25     0.020490     0.380334     1.701828
49736.50    -0.084278     0.243908     3.431482
49736.75    -0.218795    -0.139175     4.176562
49737.00    -0.260560    -0.405028     4.247302
49737.25    -0.383609    -0.544933     4.370920
49737.50    -0.345916    -0.635746     4.896575
49737.75    -0.375896    -0.770045     3.799158
49738.00    -0.255381    -0.658048     3.766073
49738.25    -0.316796    -0.676595     3.230856
49738.50    -0.342512    -0.575436     3.173226
49738.75    -0.343627    -0.640821     2.437520
49739.00    -0.223196    -0.430580     2.145424
49739.25    -0.234556    -0.406192     1.411637
49739.50    -0.223670    -0.311493     1.227447
49739.75    -0.201113    -0.342375     0.438877
49740.00    -0.091306    -0.199220     1.026063
49740.25    -0.030659    -0.309931     0.996812
49740.50     0.061461    -0.330088     1.602353
49740.75     0.056579    -0.513881     1.271510
49741.00     0.055896    -0.543261     0.589204
49741.25    -0.023743    -0.549723    -0.524058
49741.50    -0.009508    -0.486725    -1.262799
49741.75     0.078546    -0.520770    -2.751414
49742.00     0.176846    -0.329107    -2.590234
49742.25     0.163021    -0.274211    -3.122824
49742.50     0.097559    -0.241270    -3.104445
49742.75     0.028092    -0.278929    -3.123123
49743.00     0.060729    -0.228707    -1.779253
49743.25     0.057588    -0.285669    -1.795623
49743.50     0.088207    -0.207011    -1.773943
49743.75     0.130126    -0.148376    -2.207312
49744.00     0.104920     0.053559    -1.007729
49744.25     0.066273     0.157628    -0.458199
49744.50     0.004668     0.313747     0.506161
49744.75     0.005179     0.361031     0.835281
49745.00     0.085917     0.477181     1.876198
49745.25     0.080524     0.435423     2.679289
49745.50     0.120908     0.314365     3.751367
49745.75     0.144663     0.045570     3.280961
49746.00     0.272248    -0.042908     3.496563
49746.25     0.317185    -0.174998     2.291164
49746.50     0.253760    -0.257350     1.563420
49746.75     0.212678    -0.277837     0.054013
49747.00     0.132068    -0.227323     0.200474
49747.25    -0.073707    -0.330447     0.376653
49747.50    -0.274530    -0.404372     1.113083
49747.75    -0.432279    -0.475317     0.744629
49748.00    -0.537341    -0.349207     1.362122
49748.25    -0.732219    -0.315818     1.157667
49748.50    -0.862868    -0.205602     1.639500
49748.75    -0.949900    -0.239177     1.045335
49749.00    -0.955486    -0.080542     2.178099
49749.25    -1.010606    -0.097277     2.402615
49749.50    -1.056615    -0.082981     2.955105
49749.75    -0.941645    -0.111840     2.627095
49750.00    -0.777824    -0.055790     3.372331
49750.25    -0.697450    -0.085014     3.182289
49750.50    -0.594010    -0.084577     3.327679
49750.75    -0.329346    -0.224013     2.896004
49751.00    -0.114286    -0.178111     2.344888
49751.25     0.019106    -0.128640     1.536431
49751.50     0.003825    -0.046351     1.266696
49751.75    -0.127130    -0.174580     1.895235
49752.00    -0.125699    -0.458813     3.043130
49752.25    -0.141118    -0.998548     2.957562
49752.50    -0.264021    -1.089587     2.767007
49752.75    -0.255338    -1.044572     1.791599
49753.00    -0.157573    -0.791678     1.822607
49753.25    -0.260714    -0.759252     1.373486
49753.50    -0.246472    -0.703681     1.386047
49753.75    -0.094027    -0.910933     0.894334
49754.00    -0.040759    -0.839885     0.283088
49754.25    -0.189525    -0.788928    -1.044200
49754.50    -0.341923    -0.628365    -1.004121
49754.75    -0.365752    -0.596758    -1.290616
49755.00    -0.312093    -0.374095    -0.032618
49755.25    -0.271906    -0.318849    -0.186519
49755.50    -0.263571    -0.313765     0.326934
49755.75    -0.252690    -0.502101     0.448307
49756.00    -0.230965    -0.698212     0.835050
49756.25    -0.265253    -0.857367    -0.685170
49756.50    -0.276614    -0.838986    -1.548087
49756.75    -0.201397    -0.857886    -3.563192
49757.00    -0.263367    -0.501751    -3.009834
49757.25    -0.407886    -0.350511    -4.088124
49757.50    -0.627239    -0.176210    -2.912656
49757.75    -0.732769    -0.101358    -2.379800
49758.00    -0.728722     0.117146    -0.144453
49758.25    -0.704490     0.223992     0.805287
49758.50    -0.690485     0.376451     2.809719
49758.75    -0.626141     0.236768     3.313495
49759.00    -0.491948     0.266780     4.901092
49759.25    -0.265016     0.043695     4.813888
49759.50    -0.150595    -0.107869     4.640054
49759.75     0.058163    -0.273397     2.986853
49760.00     0.134886    -0.429918     3.174596
