-----------------------------------------------
3D SITE DISPLACEMENT DUE TO ATMOSPHERIC LOADING
-----------------------------------------------
METEOROLOGICAL CENTER & DEGREE 1 :    ECMWF_CME
CMEA : CENTER OF MASS OF THE EARTH + ATMOSPHERE
CME  : CENTER OF MASS OF THE SOLID EARTH  ALONE
SITE COORDINATES ACCORDING TO ITRF2000 SOLUTION
-----------------------------------------------
CREATOR EMAIL : PASCAL.GEGOUT@EOST.U-STRASBG.FR
-----------------------------------------------
DUBO        49718.000    1995     1     1     0
DUBO        52274.750    2001    12    31    18
DUBO      -417603.554 -4064529.811  4881432.198
DUBO           50.259      -95.866      245.295
DUBO     NORTH_Offset  EAST_Offset    UP_Offset
49718.00    -0.105812    -0.257545    -5.173813
49718.25    -0.201635    -0.266640    -4.217493
49718.50    -0.117462    -0.339496    -2.924264
49718.75    -0.112122    -0.524331    -2.794229
49719.00    -0.017450    -0.668612    -2.395707
49719.25     0.007671    -0.831073    -2.166008
49719.50     0.066003    -0.939679    -2.471412
49719.75    -0.001792    -1.015426    -3.447612
49720.00     0.016607    -0.897811    -3.856453
49720.25    -0.157683    -0.865017    -3.811637
49720.50    -0.224464    -0.714043    -4.284739
49720.75    -0.326663    -0.644329    -4.726744
49721.00    -0.356163    -0.573479    -4.972942
49721.25    -0.664134    -0.543321    -4.957453
49721.50    -1.074674    -0.304017    -4.259035
49721.75    -1.546340    -0.066423    -1.678344
49722.00    -1.549678     0.057061     1.949862
49722.25    -1.373113     0.067649     5.323716
49722.50    -1.080738     0.048531     7.545618
49722.75    -0.744590    -0.129659     8.110130
49723.00    -0.338224    -0.299057     7.737931
49723.25    -0.240108    -0.479617     6.195564
49723.50    -0.208098    -0.564499     5.394059
49723.75    -0.332747    -0.592316     3.993090
49724.00    -0.381304    -0.407801     3.725320
49724.25    -0.585466    -0.196522     4.045164
49724.50    -0.606126     0.013065     5.350357
49724.75    -0.655355    -0.050149     6.112567
49725.00    -0.546004    -0.237840     5.774752
49725.25    -0.626938    -0.320094     4.043419
49725.50    -0.551373    -0.239567     2.893826
49725.75    -0.506468    -0.158611     0.337557
49726.00    -0.355952    -0.085175    -0.909124
49726.25    -0.320066    -0.006837    -1.968291
49726.50    -0.194516     0.258454    -2.947011
49726.75    -0.091491     0.531744    -3.664453
49727.00     0.105668     0.811816    -3.232687
49727.25     0.130204     0.963356    -2.598872
49727.50     0.251372     1.150937    -1.455343
49727.75     0.259565     1.228140    -0.825991
49728.00     0.404624     1.306340     0.370243
49728.25     0.440978     1.334286     1.703286
49728.50     0.565451     1.267134     3.454143
49728.75     0.533982     1.041296     3.921947
49729.00     0.627699     0.856409     4.158703
49729.25     0.600122     0.633503     3.923446
49729.50     0.635602     0.472565     3.804545
49729.75     0.532432     0.299624     2.897892
49730.00     0.571981     0.232182     2.618692
49730.25     0.561940     0.149865     1.766318
49730.50     0.600446     0.123793     1.274013
49730.75     0.526652     0.110243     0.024571
49731.00     0.536900     0.172931    -0.260593
49731.25     0.478290     0.221149    -0.465533
49731.50     0.506486     0.278640     0.106245
49731.75     0.451868     0.272544     0.219829
49732.00     0.506604     0.338486     1.069475
49732.25     0.439020     0.326813     1.491470
49732.50     0.477202     0.351563     1.529742
49732.75     0.463557     0.413157     0.710148
49733.00     0.623933     0.549569     0.677185
49733.25     0.673740     0.610918     0.926181
49733.50     0.775319     0.762698     1.623924
49733.75     0.708462     0.797933     1.622712
49734.00     0.723977     0.788936     2.744240
49734.25     0.569292     0.720335     3.559723
49734.50     0.529583     0.631107     5.214698
49734.75     0.370212     0.458358     6.105244
49735.00     0.190881     0.355390     6.764361
49735.25    -0.188169     0.231080     6.190706
49735.50    -0.310470     0.247997     5.034077
49735.75    -0.434678     0.221177     3.009723
49736.00    -0.246443     0.174887     1.727294
49736.25    -0.123761     0.014630     0.797360
49736.50     0.132427    -0.142057    -0.041107
49736.75     0.213065    -0.349210    -1.213931
49737.00     0.420014    -0.409523    -1.905375
49737.25     0.464410    -0.514119    -2.400484
49737.50     0.572078    -0.564351    -2.703741
49737.75     0.504960    -0.575374    -3.233413
49738.00     0.564344    -0.498259    -2.921641
49738.25     0.549379    -0.512741    -2.481301
49738.50     0.582828    -0.494793    -1.858685
49738.75     0.519274    -0.549877    -2.053759
49739.00     0.545681    -0.485145    -1.636207
49739.25     0.468664    -0.459643    -1.350298
49739.50     0.439242    -0.447020    -1.102376
49739.75     0.310867    -0.419547    -1.511383
49740.00     0.273977    -0.304862    -1.324203
49740.25     0.147159    -0.244860    -1.153374
49740.50     0.109328    -0.187394    -0.789933
49740.75     0.003052    -0.148483    -0.805268
49741.00     0.098309    -0.032530    -0.534945
49741.25     0.151424    -0.040936    -0.775685
49741.50     0.207741    -0.079743    -1.400783
49741.75     0.082042    -0.129773    -3.186348
49742.00     0.030363    -0.059948    -3.472229
49742.25    -0.115262     0.005428    -3.427268
49742.50    -0.144355     0.088772    -3.200479
49742.75    -0.247446     0.108688    -3.394647
49743.00    -0.133224     0.198870    -2.382727
49743.25    -0.126781     0.254028    -1.666383
49743.50    -0.030501     0.336981    -0.732160
49743.75     0.025579     0.361256    -0.715899
49744.00     0.232296     0.350855     0.260485
49744.25     0.352443     0.284657     0.453731
49744.50     0.551451     0.236433     0.765272
49744.75     0.558965     0.174988    -0.389621
49745.00     0.608166     0.132425    -1.231547
49745.25     0.447281     0.066426    -2.171824
49745.50     0.310862     0.012766    -2.594326
49745.75    -0.001489    -0.094799    -3.467387
49746.00    -0.098101    -0.152482    -3.461034
49746.25    -0.367771    -0.172813    -3.917699
49746.50    -0.560737    -0.069674    -3.618046
49746.75    -0.970282     0.057044    -3.625100
49747.00    -1.147560     0.209561    -1.474066
49747.25    -1.326786     0.255171     1.432735
49747.50    -1.392686     0.162864     4.769043
49747.75    -1.307301    -0.136873     7.054861
49748.00    -1.116052    -0.417203     8.729322
49748.25    -1.069164    -0.625521     9.573338
49748.50    -0.778202    -0.782091     9.725438
49748.75    -0.601796    -0.728499     7.925503
49749.00    -0.410487    -0.522672     6.771416
49749.25    -0.365894    -0.360889     5.885627
49749.50    -0.270427    -0.188616     5.431726
49749.75    -0.300613    -0.122568     4.284016
49750.00    -0.270450    -0.024023     3.761415
49750.25    -0.327087    -0.001422     3.414858
49750.50    -0.334406    -0.026850     3.150786
49750.75    -0.427009    -0.190669     2.355719
49751.00    -0.283865    -0.451161     2.021155
49751.25    -0.197154    -0.861881     0.667733
49751.50    -0.133298    -1.051838    -1.317015
49751.75    -0.254211    -1.040093    -3.109160
49752.00    -0.207479    -0.821261    -3.474977
49752.25    -0.095256    -0.687106    -3.339479
49752.50     0.116794    -0.580544    -4.048063
49752.75     0.149713    -0.613407    -4.967689
