 This 5% Public Use Microdata Sample Equivalency (PUMEQ5) file is intended to help users understand the relationships
 between standard Census 2000 geographic concepts (counties, county subdivisions, places, and census tracts) and the
 SuperPUMA and PUMA geographic units of the 5% PUMS data files.

 Each PUMEQ5 file delineates the summary level codes specific to the PUMS geography, and has its own set of summary
 level code and hierarchical sequencing, as described below:

 780 State-SuperPUMA-PUMA
     781 State-SuperPUMA-PUMA-County (or part)
         782 State-SuperPUMA-PUMA-County-County Subdivision (or part) (20 states with functioning county subdivisions)
             783 State-SuperPUMA-PUMA-County-County Subdivision-Place/Remainder (or part)
                 784 State-SuperPUMA-PUMA-County-County Subdivision-Place/Remainder-Census Tract

 Please note that in the New England states, there may be more than one summary level 781 record within a single
 PUMA, since these areas may exist in more than one metropolitan area/nonmetropolitan area.  Please also
 note that county subdivision codes are not used in the 30 states, the District of Columbia, and Puerto Rico,
 that have no functioning county subdivisions. Census tracts are shown only when a place has parts in more than
 one PUMA.

 The fields and content of the PUMEQ5 file is described below:

   FIELD     DESCRIPTION

     A       Summary Level Code (described above)
     B       FIPS State Code
     C       SuperPUMA Code
     D       PUMA Code
     E       FIPS County Code
     F       FIPS County Subdivision Code
     G       FIPS Place Code
     H       Central City Indicator:
               0 = Not in central city
               1 = In central city
     I       Census Tract Code
     J       Metropolitan Statistical Area/Consolidated Statistical Area Code
     K       Primary Metropolitan Statistical Area Code
     L       Census 2000 100% Population Count
     M       Area Name


   A  B     C     D   E     F     G H      I    J    K        L M

 780 17 17010 00101                                      106898 PUMA 00101                                                   
 781 17 17010 00101 015                      9999         16674 Carroll County                                               
 782 17 17010 00101 015 12996                9999          1556 Cherry Grove-Shannon township                                
 783 17 17010 00101 015 12996 68991 0        9999           854 Shannon village                                              
 783 17 17010 00101 015 12996 99999 0        9999           702 Remainder of Cherry Grove-Shannon township                   
 782 17 17010 00101 015 23321                9999           299 Elkhorn Grove township                                       
 783 17 17010 00101 015 23321 99999 0        9999           299 Elkhorn Grove township                                       
 782 17 17010 00101 015 24881                9999           888 Fairhaven township                                           
 783 17 17010 00101 015 24881 12294 0        9999           505 Chadwick village                                             
 783 17 17010 00101 015 24881 99999 0        9999           383 Remainder of Fairhaven township                              
 782 17 17010 00101 015 27832                9999           609 Freedom township                                             
 783 17 17010 00101 015 27832 99999 0        9999           609 Freedom township                                             
 782 17 17010 00101 015 50894                9999          2473 Mount Carroll township                                       
 783 17 17010 00101 015 50894 50881 0        9999          1817 Mount Carroll city (part)                                    
 783 17 17010 00101 015 50894 99999 0        9999           656 Remainder of Mount Carroll township                          
 782 17 17010 00101 015 64892                9999          2171 Rock Creek-Lima township                                     
 783 17 17010 00101 015 64892 41859 0        9999          1584 Lanark city                                                  
 783 17 17010 00101 015 64892 99999 0        9999           587 Remainder of Rock Creek-Lima township                        
 782 17 17010 00101 015 67210                9999           387 Salem township                                               
 783 17 17010 00101 015 67210 50881 0        9999            15 Mount Carroll city (part)                                    
 783 17 17010 00101 015 67210 99999 0        9999           372 Remainder of Salem township                                  
 782 17 17010 00101 015 67834                9999          4214 Savanna township                                             
 783 17 17010 00101 015 67834 67821 0        9999          3542 Savanna city                                                 
 783 17 17010 00101 015 67834 99999 0        9999           672 Remainder of Savanna township                                
 782 17 17010 00101 015 79020                9999           381 Washington township                                          
 783 17 17010 00101 015 79020 99999 0        9999           381 Washington township                                          
 782 17 17010 00101 015 83076                9999           430 Woodland township                                            
 783 17 17010 00101 015 83076 99999 0        9999           430 Woodland township                                            
 782 17 17010 00101 015 83700                9999          1465 Wysox township                                               
 783 17 17010 00101 015 83700 49191 0        9999          1016 Milledgeville village                                        
 783 17 17010 00101 015 83700 99999 0        9999           449 Remainder of Wysox township                                  
 782 17 17010 00101 015 83908                9999          1801 York township                                                
 783 17 17010 00101 015 83908 75172 0        9999           559 Thomson village                                              
 783 17 17010 00101 015 83908 99999 0        9999          1242 Remainder of York township                                   
 781 17 17010 00101 085                      9999         22289 Jo Daviess County                                            
 782 17 17010 00101 085 01686                9999           525 Apple River township                                         
 783 17 17010 00101 085 01686 01673 0        9999           379 Apple River village                                          
 783 17 17010 00101 085 01686 99999 0        9999           146 Remainder of Apple River township                            
 782 17 17010 00101 085 05495                9999           174 Berreman township                                            
 783 17 17010 00101 085 05495 99999 0        9999           174 Berreman township                                            
 782 17 17010 00101 085 16639                9999           179 Council Hill township                                        
 783 17 17010 00101 085 16639 99999 0        9999           179 Council Hill township                                        
 782 17 17010 00101 085 19551                9999           318 Derinda township                                             
 783 17 17010 00101 085 19551 99999 0        9999           318 Derinda township                                             
 782 17 17010 00101 085 21202                9999          3872 Dunleith township                                            
 783 17 17010 00101 085 21202 21683 0        9999          1995 East Dubuque city                                            
 783 17 17010 00101 085 21202 99999 0        9999          1877 Remainder of Dunleith township                               
 782 17 17010 00101 085 21813                9999          1192 East Galena township                                         
 783 17 17010 00101 085 21813 28300 0        9999           464 Galena city (part)                                           
 783 17 17010 00101 085 21813 99999 0        9999           728 Remainder of East Galena township                            
 782 17 17010 00101 085 23178                9999          1063 Elizabeth township                                           
 783 17 17010 00101 085 23178 23165 0        9999           633 Elizabeth village (part)                                     
 783 17 17010 00101 085 23178 99999 0        9999           430 Remainder of Elizabeth township                              
 782 17 17010 00101 085 31979                9999           916 Guilford township                                            
 783 17 17010 00101 085 31979 99999 0        9999           916 Guilford township                                            
 782 17 17010 00101 085 32720                9999          1229 Hanover township                                             
 783 17 17010 00101 085 32720 32707 0        9999           836 Hanover village                                              
 783 17 17010 00101 085 32720 99999 0        9999           393 Remainder of Hanover township                                
 782 17 17010 00101 085 48372                9999          1020 Menominee township                                           
 783 17 17010 00101 085 48372 48359 0        9999           237 Menominee village                                            
 783 17 17010 00101 085 48372 99999 0        9999           783 Remainder of Menominee township                              
 782 17 17010 00101 085 53208                9999           404 Nora township                                                
 783 17 17010 00101 085 53208 53195 0        9999           118 Nora village                                                 
 783 17 17010 00101 085 53208 99999 0        9999           286 Remainder of Nora township                                   
 782 17 17010 00101 085 60664                9999           260 Pleasant Valley township                                     
 783 17 17010 00101 085 60664 99999 0        9999           260 Pleasant Valley township                                     
 782 17 17010 00101 085 62926                9999           360 Rawlins township                                             
 783 17 17010 00101 085 62926 28300 0        9999             0 Galena city (part)                                           
 783 17 17010 00101 085 62926 99999 0        9999           360 Remainder of Rawlins township                                
 782 17 17010 00101 085 63472                9999           306 Rice township                                                
 783 17 17010 00101 085 63472 99999 0        9999           306 Rice township                                                
 782 17 17010 00101 085 66326                9999           427 Rush township                                                
 783 17 17010 00101 085 66326 99999 0        9999           427 Rush township                                                
 782 17 17010 00101 085 67938                9999           635 Scales Mound township                                        
 783 17 17010 00101 085 67938 67925 0        9999           401 Scales Mound village                                         
 783 17 17010 00101 085 67938 99999 0        9999           234 Remainder of Scales Mound township                           
 782 17 17010 00101 085 72793                9999          2555 Stockton township                                            
 783 17 17010 00101 085 72793 72780 0        9999          1926 Stockton village                                             
 783 17 17010 00101 085 72793 99999 0        9999           629 Remainder of Stockton township                               
 782 17 17010 00101 085 75146                9999           708 Thompson township                                            
 783 17 17010 00101 085 75146 99999 0        9999           708 Thompson township                                            
 782 17 17010 00101 085 78084                9999           250 Vinegar Hill township                                        
 783 17 17010 00101 085 78084 99999 0        9999           250 Vinegar Hill township                                        
 782 17 17010 00101 085 78799                9999           280 Wards Grove township                                         
 783 17 17010 00101 085 78799 99999 0        9999           280 Wards Grove township                                         
 782 17 17010 00101 085 78864                9999          1675 Warren township                                              
 783 17 17010 00101 085 78864 78851 0        9999          1496 Warren village                                               
 783 17 17010 00101 085 78864 99999 0        9999           179 Remainder of Warren township                                 
