Bridge Label,Structure ID,Bridge Description,Location Description
1,43000323765,US 20 WB,3.8 MI E JCT ILL 35
2,43000409986,US20 EB,4.8 MI W JCT ILL84
3,43000509987,US20 WB,4.8 MI W JCT ILL84
4,43000709989,US 20 EB,2.0 MI W JCT ILL84
5,43003813018,ILL RT 84,2.0 MI S. HANOVER
6,8001601773,ILL 84,2 MI N SAVANNA
7,98002121471,ILL RT 84,0.9 MI S JCT US 30
8,98005325842,US 30,NW EDGE MORRISON
9,89000319377,US 20,2 MI E OF ELEROY
10,71001016091,ILL 26,1.0 MI S JCT US 52
11,101005200222,US 20 EB,1 MI W OF ILL 2
12,101005100221,US 20 WB,1 MI W OF ILL 2
13,101005400224,US 20 W B,0.8 MI W OF ILL 2
14,101005300223,US 20 E B,0.8 MI W OF ILL 2
15,101005600227,US 20 W B,1 MI S OF ROCKFORD
16,101005500226,US 20 E B,1 MI S OF ROCKFORD
17,101613526070,JEFFERSON ST,0.1 MI E OF N MAIN
18,101006500236,US 20 E B,S EDGE ROCKFORD
19,101006600237,US 20 W B,S EDGE ROCKFORD
20,4000901133,ILL 173,2.0 MI E POPLAR GROV
21,56002813135,ILL 173,2.0 E OF CO LINE
