"Table 1-B
Summary of Federal, State, and Local Transportation Finance by Mode: FY 1985-1999
(Chained 1996 $ millions)",,,,,,,,,,,,,,,,,,
Mode,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,,,
Revenues,,,,,,,,,,,,,,,,,,
Total ," 72,568 "," 74,396 "," 76,638 "," 79,885 "," 83,321 "," 82,229 "," 88,189 "," 89,810 "," 92,341 "," 92,354 "," 95,754 "," 96,419 "," 98,144 "," 106,994 "," 118,888 ",,,
Highway ," 53,112 "," 54,548 "," 55,542 "," 58,455 "," 60,744 "," 58,768 "," 61,256 "," 64,537 "," 65,505 "," 65,661 "," 68,239 "," 71,179 "," 70,114 "," 74,329 "," 83,056 ",,,
Transit," 7,838 "," 7,919 "," 8,287 "," 8,150 "," 8,292 "," 8,466 "," 10,010 "," 8,346 "," 9,288 "," 9,429 "," 9,562 "," 10,171 "," 11,150 "," 11,421 "," 12,354 ",,,
Air," 9,355 "," 9,541 "," 10,234 "," 10,473 "," 11,594 "," 12,038 "," 13,663 "," 13,342 "," 13,837 "," 13,817 "," 14,264 "," 11,298 "," 13,225 "," 17,502 "," 19,766 ",,,
Water," 2,263 "," 2,387 "," 2,562 "," 2,796 "," 2,680 "," 2,946 "," 3,249 "," 3,566 "," 3,684 "," 3,419 "," 3,646 "," 3,733 "," 3,619 "," 3,706 "," 3,675 ",,,
Pipeline, – , – , 12 , 11 , 12 , 12 , 13 , 16 , 16 , 20 , 36 , 31 , 29 , 28 , 28 ,,,
General Support, – , – , – , – , – , – , – , 3 , 10 , 7 , 7 , 7 , 7 , 8 , 8 ,,,
Expenditures,,,,,,,,,,,,,,,,,,
Total ," 107,500 "," 113,736 "," 117,095 "," 115,140 "," 116,407 "," 118,629 "," 123,276 "," 128,064 "," 126,225 "," 132,668 "," 133,464 "," 133,359 "," 135,089 "," 140,025 "," 144,939 ",,,
Highway ," 64,845 "," 68,362 "," 70,605 "," 72,762 "," 73,350 "," 73,532 "," 75,588 "," 76,920 "," 75,808 "," 78,530 "," 81,091 "," 81,550 "," 82,200 "," 85,955 "," 89,361 ",,,
Transit," 22,704 "," 23,797 "," 25,163 "," 21,290 "," 21,522 "," 22,583 "," 23,662 "," 24,844 "," 23,024 "," 26,418 "," 26,753 "," 26,346 "," 26,221 "," 26,990 "," 27,143 ",,,
Rail," 1,501 "," 1,255 "," 1,095 ", 762 , 764 , 659 , 909 ," 1,033 ", 895 , 893 ," 1,066 "," 1,015 "," 1,124 "," 1,063 ", 531 ,,,
Air," 11,025 "," 11,909 "," 12,606 "," 13,359 "," 13,958 "," 15,021 "," 16,045 "," 17,931 "," 18,921 "," 18,932 "," 17,333 "," 17,273 "," 18,354 "," 18,878 "," 20,427 ",,,
Water," 7,153 "," 8,144 "," 7,430 "," 6,744 "," 6,582 "," 6,570 "," 6,726 "," 6,970 "," 7,174 "," 7,438 "," 6,773 "," 6,775 "," 6,841 "," 6,881 "," 7,207 ",,,
Pipeline, 11 , 5 , 5 , 11 , 18 , 31 , 32 , 36 , 36 , 38 , 44 , 33 , 28 , 31 , 28 ,,,
