(CO-99-13) Population Estimates for Counties by Age Group:  July 1, 1994
  
Source:  Population Estimates Program, Population Division, U.S. Census Bureau, Washington, DC  20233
Contact:  Statistical Information Staff, Population Division, U.S. Census Bureau (301-457-2422)
          pop@census.gov (please include a phone number with email correspondence)
  
Internet Release Date:  August 30, 2000

                                        Total      Ages     Ages     Ages     Ages     Ages     Ages     Ages     Ages     Ages
Area Name                          Population       0-4     5-17    18-24    25-44    45-64      16+      21+      65+      85+
                                                                                                                               
    COLORADO                          3653910    269546   692677   346920  1236076   739768  2791440  2545371   368923    39451
Adams County                           293195     24698    61441    27416    98032    58981   215644   195846    22627     1946
Alamosa County                          13973      1202     2970     2024     4028     2476    10238     8776     1273      166
Arapahoe County                        441042     32406    86451    35559   158406    90724   334841   308346    37496     3205
Archuleta County                         6519       515     1395      329     1934     1584     4827     4459      762       40
Baca County                              4322       262      803      219     1067      998     3380     3170      973      118
Bent County                              5409       318     1103      347     1447     1219     4196     3813      975      112
Boulder County                         249030     16712    41256    33483    90242    47570   196997   176244    19767     2441
Chaffee County                          13806       705     2411     1038     4029     3254    11054    10281     2369      245
Cheyenne County                          2315       203      528      131      672      415     1663     1532      366       47
Clear Creek County                       8520       552     1627      447     3298     1987     6562     6138      609       49
Conejos County                           7673       636     1992      528     1851     1551     5334     4788     1115      131
Costilla County                          3285       237      690      248      796      768     2445     2259      546       74
Crowley County                           4125       231      666      365     1534      789     3306     3119      540       73
Custer County                            2503       139      527       87      669      752     1924     1790      329       35
Delta County                            24212      1356     4640     1391     5934     5922    18911    17621     4969      580
Denver County                          491332     36356    75294    46045   173107    96719   390541   362075    63811     8284
Dolores County                           1523        95      315       94      403      385     1159     1072      231       21
Douglas County                          88329      7956    19354     4634    35241    17780    63598    58835     3364      264
Eagle County                            27544      2441     4763     2705    12863     3938    20908    19557      834       50
Elbert County                           13012       890     3155      650     4682     2798     9401     8639      837       94
El Paso County                         453216     36588    89150    52005   151940    85982   340307   306311    37551     3615
Fremont County                          38561      1934     6376     2949    12469     8501    31233    29122     6332      791
Garfield County                         34038      2646     6814     2692    11971     6560    25447    23407     3355      357
Gilpin County                            3411       207      619      150     1455      783     2671     2514      197       18
Grand County                             8703       541     1665      686     3275     1794     6741     6273      742       50
Gunnison County                         11593       743     1747     2496     3888     1984     9348     7743      735       83
Hinsdale County                           591        17       84       27      209      162      497      482       92        5
Huerfano County                          6155       355     1233      335     1463     1468     4755     4409     1301      162
Jackson County                           1645       107      308      111      493      430     1272     1187      196       30
Jefferson County                       476787     33824    90719    36742   165457   105221   365818   336757    44824     4214
Kiowa County                             1661        92      385       64      454      349     1234     1154      317       40
Kit Carson County                        7170       524     1559      389     1922     1590     5301     4922     1186      129
Lake County                              6093       500     1224      579     2104     1208     4541     4119      478       26
La Plata County                         36988      2451     7138     4864    11794     7236    28346    24901     3505      358
Larimer County                         212289     14885    39581    27852    70258    39240   163440   145278    20473     2342
Las Animas County                       13965       883     2717     1089     3495     3073    10810     9790     2708      366
Lincoln County                           5505       325      892      444     1796     1192     4426     4136      856      117
Logan County                            17570      1143     3500     1477     4687     3899    13445    12117     2864      367
Mesa County                            103405      6948    20769     8329    29661    22350    78754    71709    15348     1611
Mineral County                            617        49       77       23      189      161      499      480      118        8
Moffat County                           11909       953     2843      747     3863     2378     8494     7782     1125      115
Montezuma County                        20857      1608     4833     1357     5828     4553    15055    13814     2678      254
Montrose County                         27595      1719     5831     1571     7380     6646    20834    19342     4448      405
Morgan County                           23669      1965     5225     1778     6522     4888    17198    15719     3291      469
Otero County                            20449      1482     4464     1515     5150     4428    15169    13745     3410      459
Ouray County                             2861       155      555      109      861      853     2219     2100      328       26
Park County                              9475       594     1971      362     3577     2283     7146     6722      688       35
Phillips County                          4209       261      844      207     1068      972     3241     3020      857      142
Pitkin County                           13567       723     1530     1213     6419     2950    11525    11074      732       42
Prowers County                          13513      1074     3148     1105     3744     2685     9738     8745     1757      211
Pueblo County                          127449      8623    25087    10888    35330    27615    97571    88684    19906     2079
Rio Blanco County                        6400       440     1442      602     1897     1374     4747     4179      645       71
Rio Grande County                       10926       849     2481      765     2915     2357     7972     7247     1559      206
Routt County                            16130      1105     3020     1553     6874     2743    12372    11364      835       66
Saguache County                          5093       421     1220      389     1493      981     3611     3269      589       64
San Juan County                           546        30      131       31      198      112      408      372       44        0
San Miguel County                        4817       322      779      424     2247      877     3816     3601      168       12
Sedgwick County                          2629       120      510      132      642      623     2076     1943      602       71
Summit County                           16235      1160     2252     2052     7885     2443    13124    12290      443       15
Teller County                           16133      1158     3486      749     6057     3571    11961    11117     1112       72
Washington County                        4657       290      954      256     1167     1135     3548     3309      855      105
Weld County                            144080     11246    30104    17568    43363    27487   107033    94507    14312     1655
Yuma County                              9079       576     2029      504     2381     2021     6768     6255     1568      213


The estimates presented here were produced by a method which is still in a developmental stage.  They
may not be accurate for populations which are very small or have unusual distributions.  These figures
should be used with caution.
