San Martin, Antarctica (Argen ID: 454   Lat: -68.13  Lon:  -67.11  Alt:   30
EarthProbe TOMS V8 Overpass - correction processing epcrsza7_xt5 - Gen: 6-1-07  
  MJD   Year Day sec-UT SCN  LAT     LON  DIS  PT  SZA  OZONE   REF   A.I.   SOI
#
50294.7 1996 212 60501  15 -65.60  -68.35 286 100 83.94 277.4  87.8  -0.35 -999
50295.7 1996 213 59358  12 -65.87  -65.42 262  99 83.95 276.5  74.8   0.24 -999
50296.7 1996 214 58222   5 -65.99  -66.68 239 100 83.93 220.2  81.1   0.35 -999
50297.7 1996 215 62727  27 -66.01  -68.89 248 100 83.97 230.0  91.4   0.99 -999
50298.7 1996 216 61584  24 -66.38  -66.16 199 100 83.94 162.3  79.5   0.35 -999
50299.7 1996 217 60448  14 -66.86  -67.88 145  97 83.92 171.9  91.7   0.35 -999
50300.7 1996 218 59305  10 -67.17  -65.89 119  87 83.94 169.7  93.2  -0.09 -999
50301.7 1996 219 58169   4 -67.17  -67.26 107  90 83.80 223.6  78.3  -0.11 -999
50302.7 1996 220 57026   1 -67.35  -67.37  87  88 83.97 161.8  70.0   0.75 -999
50303.7 1996 221 61531  20 -67.74  -67.44  46  93 83.84 167.1  82.6  -0.31 -999
50304.7 1996 222 60387  14 -68.24  -66.51  28  85 83.92 179.7  87.1  -0.38 -999
50305.7 1996 223 59252   8 -68.22  -66.80  16  89 83.57 198.2  94.0   1.19 -999
50306.7 1996 224 58117   4 -68.01  -66.74  20  88 83.17 197.6  87.8   0.30 -999
50307.7 1996 225 62613  26 -68.26  -66.50  29  85 83.54 208.5  92.8   0.54 -999
50308.7 1996 226 61486  20 -67.99  -66.97  17  92 82.63 224.2  91.2   0.24 -999
50309.7 1996 227 60350  13 -68.09  -67.24   7  96 82.25 227.3  88.9   0.28 -999
50310.7 1996 228 59215   8 -67.94  -66.83  24  90 81.76 235.3  90.0   0.10 -999
50311.7 1996 229 63704  30 -68.20  -66.76  16  88 82.67 233.5  90.5   0.06 -999
50312.7 1996 230 62576  25 -68.06  -67.49  18  97 81.71 241.4  90.3  -0.21 -999
50313.7 1996 231 61441  19 -68.16  -67.33  10  97 81.20 227.5  91.0   0.15 -999
50314.7 1996 232 60305  13 -68.11  -67.04   4  92 80.67 236.7  90.4  -0.68 -999
50315.7 1996 233 59170   7 -68.01  -67.60  24  97 80.22 223.5  90.2   0.69 -999
50316.7 1996 234 63659  30 -68.14  -66.65  19  87 81.01 204.6  92.6   0.16 -999
50317.7 1996 235 62531  25 -67.96  -67.42  23  96 79.98 233.2  90.9  -0.52 -999
50318.7 1996 236 61395  19 -68.02  -67.28  14  96 79.41 229.4  88.7  -1.08 -999
50319.7 1996 237 60260  13 -67.92  -66.98  24  92 78.81 240.2  91.1  -0.34 -999
50320.7 1996 238 59117   7 -68.25  -67.23  14  96 78.76 237.1  90.6   0.03 -999
50321.7 1996 239 63613  29 -68.08  -67.77  28  99 79.15 188.5  91.9   0.31 -999
50322.7 1996 240 62478  25 -68.07  -67.05   7  93 78.40 175.5  90.7  -0.32 -999
50323.7 1996 241 61342  19 -68.06  -67.01   9  92 77.73 176.0  91.6  -0.35 -999
50324.7 1996 242 60207  12 -67.98  -67.48  23  96 77.09 178.6  88.4  -0.54 -999
50325.7 1996 243 59064   7 -68.11  -67.06   3  93 76.85 199.6  86.9  -0.94 -999
50326.7 1996 244 63553  29 -68.31  -67.20  20  96 77.66 196.4  92.8   0.60 -999
50327.7 1996 245 62417  25 -68.20  -66.64  21  86 76.79 195.0  98.4   0.71 -999
50328.7 1996 246 61282  18 -68.20  -67.33  12  98 76.06 202.1  86.8  -0.73 -999
50329.7 1996 247 60146  12 -67.92  -67.25  24  95 75.24 181.7  89.3  -0.53 -999
50330.7 1996 248 59003   7 -67.99  -66.85  19  90 74.89 173.9  92.9   0.29 -999
50331.7 1996 249 63492  29 -68.13  -67.24   5  96 75.69 168.2  92.4  -0.05 -999
50332.7 1996 250 62357  24 -68.08  -67.40  13  97 74.79 164.8  94.8   0.35 -999
50333.7 1996 251 61213  18 -68.34  -66.90  25  91 74.36 161.1  90.0  -0.94 -999
50334.7 1996 252 60078  12 -68.00  -66.89  17  91 73.46 158.6  92.7  -0.22 -999
50335.7 1996 253 58934   6 -68.08  -67.53  18  98 73.12 147.1  90.9  -0.09 -999
50336.7 1996 254 63423  29 -68.09  -67.05   5  93 73.82 162.8  88.2   0.08 -999
50337.7 1996 255 62288  24 -67.98  -67.25  18  95 72.83 169.0  86.2   0.00 -999
50338.7 1996 256 61145  18 -68.16  -66.78  14  88 72.32 162.2  90.3  -0.15 -999
50339.7 1996 257 60001  11 -68.31  -67.10  20  94 71.87 157.6  86.6   0.16 -999
50340.7 1996 258 58858   6 -68.23  -67.08  11  93 71.36 154.7  87.2  -0.53 -999
50341.7 1996 259 63347  29 -68.16  -66.68  18  87 72.04 173.4  89.9  -0.77 -999
50342.7 1996 260 62212  24 -67.98  -66.96  18  92 70.96 164.3  91.9  -0.12 -999
50343.7 1996 261 61068  17 -68.19  -67.14   7  94 70.41 148.9  77.4  -1.51 -999
50344.7 1996 262 59925  11 -68.16  -66.85  11  89 69.81 154.7  83.8  -0.80 -999
50345.7 1996 263 58782   6 -68.02  -66.81  17  89 69.21 153.9  91.7  -0.14 -999
50346.7 1996 264 63271  28 -68.10  -67.58  20  98 69.97 152.9  85.3  -0.06 -999
50347.7 1996 265 62127  23 -68.22  -67.13  10  94 69.25 149.8  90.6   0.30 -999
50348.7 1996 266 60984  17 -68.22  -66.75  18  88 68.54 177.4  87.8  -0.94 -999
50349.7 1996 267 59841  10 -68.20  -67.26  10  96 67.89 209.7  88.3   0.13 -999
50350.7 1996 268 64322  32 -68.07  -66.96   9  91 69.14 197.5  90.2   0.09 -999
50351.7 1996 269 63179  28 -68.31  -66.93  21  91 68.33 188.0  91.9  -0.26 -999
50352.7 1996 270 62043  23 -67.89  -67.17  27  94 67.00 153.9  90.1   0.43 -999
50353.7 1996 271 60892  16 -68.35  -66.94  25  92 66.70 147.3  90.3  -0.29 -999
50354.7 1996 272 59749  10 -68.13  -66.89   9  90 65.88 147.7  91.6  -0.21 -999
50355.7 1996 273 58598   5 -68.27  -66.96  17  92 65.57 200.7  87.0  -0.02 -999
50356.7 1996 274 63087  28 -68.08  -66.91  10  91 66.19 180.3  89.2  -0.20 -999
50357.7 1996 275 61944  22 -68.13  -67.25   6  96 65.29 163.1  74.1  -0.95    0
50358.7 1996 276 60800  15 -68.02  -67.56  22  97 64.41 167.7  78.9  -0.68    0
50359.7 1996 277 59649   9 -68.19  -67.27   9  96 64.00 127.2  86.7   0.58   -2
50360.7 1996 278 64130  31 -68.11  -67.67  23  99 65.24 146.4  79.0   0.44 -999
50361.7 1996 279 62987  27 -68.08  -67.49  17  98 64.20 156.3  78.1   0.08   -1
50362.7 1996 280 61844  22 -67.90  -67.09  26  93 63.16 148.1  89.5  -0.54   -2
50363.7 1996 281 60693  15 -68.18  -66.96   8  91 62.68 199.5  89.8  -0.66    1
50364.7 1996 282 59542   9 -68.29  -66.73  24  88 62.19 214.8  95.1  -0.06    0
50365.7 1996 283 64023  31 -68.15  -67.18   4  95 63.45 170.9  93.8   0.25 -999
50366.7 1996 284 62880  27 -68.06  -67.08   8  93 62.33 148.1  93.3  -0.19    1
