Easter Island (Chile)         ID: 644   Lat: -27.12  Lon: -109.37  Alt:    0
ADEOS TOMS V.7 Archive Overpass.  Generated: 20-December-2000                   
  MJD   Year Day sec-UT SCN  LAT     LON  DIS  PT  SZA  OZONE   REF   A.I.   SOI
#
50337.7 1996 255 60832  36 -27.08 -109.23  15 100 45.99 277.5  11.5   0.30    1
50338.8 1996 256 65220   7 -27.26 -109.64  31 100 35.14 288.4   9.4   0.40    4
50339.7 1996 257 63603  20 -26.97 -109.51  22 100 37.93 296.9  15.6   0.50    1
50340.7 1996 258 61998  32 -27.07 -109.48  12 100 41.79 289.0  21.2   0.80    4
50341.8 1996 259 66393   2 -27.11 -109.25  12 100 31.77 272.8  20.8   0.20    2
50342.7 1996 260 64781   9 -27.34 -109.16  32 100 34.31 284.4  14.2   0.40    5
50345.8 1996 263 65954   3 -27.23 -108.86  52 100 30.81 308.1  27.1  -0.10   -3
50346.7 1996 264 64337  13 -26.96 -109.42  18 100 33.58 313.9  53.5  -0.30   -4
50347.7 1996 265 62733  27 -27.30 -109.26  23 100 37.35 307.7  37.7   0.50   -1
50348.7 1996 266 61128  35 -27.27 -109.03  38 100 41.41 294.1  30.0   1.50    4
50354.7 1996 272 63466  21 -27.29 -109.42  20 100 33.01 266.1  63.1   0.30    2
50355.7 1996 273 61854  33 -26.89 -109.71  42 100 37.17 268.7  13.2   0.60    2
50356.8 1996 274 66248   3 -26.95 -110.04  69 100 26.23 272.5  83.8  -0.50    0
50357.7 1996 275 64638  10 -27.23 -109.13  27 100 28.85 278.4  19.7   0.10    1
50358.7 1996 276 63027  25 -27.16 -109.41   6 100 32.72 280.7   8.5   0.60    2
50359.7 1996 277 61423  34 -27.19 -109.01  36 100 36.87 302.3  16.2   0.90    2
50360.8 1996 278 65810   4 -26.99 -109.39  15 100 25.23 335.7  17.5   0.50    1
50361.7 1996 279 64199  14 -27.12 -109.34   3 100 28.49 327.4  13.6   0.90   -1
50362.7 1996 280 62588  28 -27.03 -109.15  24 100 32.38 313.0  17.2   0.30   -4
50363.7 1996 281 60990  36 -27.11 -109.87  50 100 37.65 309.6   9.5   0.90    0
50364.8 1996 282 65372   6 -26.98 -109.43  17 100 24.63 319.3  13.5   0.20   -5
50365.7 1996 283 63761  18 -27.05 -109.29  11 100 28.19 311.3  11.1   1.10    4
50370.7 1996 288 61719  33 -27.07 -109.18  20 100 32.75 312.5  22.0   1.00    4
50371.8 1996 289 66113   3 -27.16 -109.48  12 100 20.82 311.2  20.3   0.90    5
