hydunit|avgpf|avgrf|avgtmrf|eros|mannit|mannrun|mannlea|comnit|comnrun|comnlea|lbspest|pestrun|pestlea|priorlea|priorrun
01010001|  7.81|   0.35|   0.00|      5024|    36214.72|    11595.29|   304264.05|        0.00|        0.00|        0.00|     8262.91|    163.75|    10.051|     0|     0
01010002|  0.00|   0.00|   0.00|         0|        0.00|        0.00|        0.00|        0.00|        0.00|        0.00|        0.00|      0.00|     0.000|     0|     0
01010003|  5.34|   2.19|   0.00|     67318|    21742.05|    27293.55|   130606.28|        0.00|        0.00|        0.00|    63754.93|   1211.94|    70.236|     0|     0
01010004|  6.24|   1.43|   0.19|    132602|    47515.30|    59865.76|   252756.92|        0.00|        0.00|        0.00|   315737.15|   3949.61|   463.451|     0|     0
01010005|  9.15|   1.59|   0.00|    174084|    15695.25|    23590.60|   137906.15|        0.00|        0.00|        0.00|   332223.51|   5445.24|   453.723|     0|     0
01020001|  0.00|   0.00|   0.00|         0|        0.00|        0.00|        0.00|        0.00|        0.00|        0.00|        0.00|      0.00|     0.000|     0|     0
01020002|  0.00|   0.00|   0.00|         0|        0.00|        0.00|        0.00|        0.00|        0.00|        0.00|        0.00|      0.00|     0.000|     0|     0
01020003|  6.70|   5.13|   0.00|      5194|    22997.67|    49200.78|   232503.48|        0.00|        0.00|        0.00|     1093.50|     27.61|     0.000|     0|     0
01020004|  9.68|   1.99|   0.00|     12764|   102802.82|   157244.34|   903100.19|        0.00|        0.00|        0.00|        0.00|      0.00|     0.000|     0|     0
01020005|  7.40|   3.78|   0.54|     26516|   644410.66|  1872281.03|  6054946.08|        0.00|        0.00|        0.00|    38716.56|   1411.50|    60.115|     0|     0
01030001|  0.00|   0.00|   0.00|         0|        0.00|        0.00|        0.00|        0.00|        0.00|        0.00|        0.00|      0.00|     0.000|     0|     0
01030002|  0.00|   0.00|   0.00|         0|        0.00|        0.00|        0.00|        0.00|        0.00|        0.00|        0.00|      0.00|     0.000|     0|     0
01030003|  6.81|   4.89|   0.64|     70686|  1905087.99|  7156035.57| 15906549.97|        0.00|        0.00|        0.00|    52871.33|   2820.42|    91.514|     2|     2
01040001|  0.00|   0.00|   0.00|         0|        0.00|        0.00|        0.00|        0.00|        0.00|        0.00|        0.00|      0.00|     0.000|     0|     0
01040002| 16.74|   1.74|   0.19|     27700|  3108887.70|  9114384.26| 34295264.91|        0.00|        0.00|        0.00|    14371.83|    740.13|    42.598|     2|     2
01050001|  0.00|   0.00|   0.00|       516|    12678.00|    26320.23|   154249.85|        0.00|        0.00|        0.00|        0.00|      0.00|     0.000|     0|     0
