
 Processing inputs for a 50 channel scanner,
 using 2 visual and 2 IR nadir pixel bands
 The first line of the config.asc file is:
 "50 MAS Configuration for 05-922  20 Jun 2005  TCSP"

 Ch Sb Nb Vi Slp/Emis Intcpt   Left   Peak  Right   Fctr    Ssi
 07 07 16  0 0.054580 0.0000  0.843  0.864  0.884  0.1000  980.98
 15 15 16  0 0.003276 0.0000  1.853  1.878  1.902  0.0100  140.08
 30 30 16  1 0.945000 0.0000  3.671  3.740  3.800  0.0010   11.86
 45 45 16  1 0.957000 0.0000 10.774 11.003 11.274  0.0100    0.16

 Record ScanLine -2005171-  INU_Lat    INU_Lon    Roll   Rad_07  Rad_15  Tmp_30  Tmp_45
 000001 00020105 18.130154 +38.46949 -119.00820  -0.286 0.00000 0.00000   error   error
 000002 00020125 18.131046 +38.47464 -119.01146  -0.352 0.00000 0.00000   error   error
 000003 00020145 18.131941 +38.47996 -119.01455  -0.220 0.00000 0.00000   error   error
 000004 00020165 18.132833 +38.48528 -119.01781  -0.330 0.00000 0.00000   error   error
 000005 00020185 18.133728 +38.49077 -119.02107  -0.286 0.00000 0.00000   error   error
 000006 00020205 18.134623 +38.49798 -119.02537  -0.264 0.00000 0.00000   error   error
 000007 00020225 18.135517 +38.50330 -119.02863  -0.308 0.00000 0.00000   error   error
 000008 00020245 18.136412 +38.50863 -119.03172  -0.264 0.00000 0.00000   error   error
 000009 00020265 18.137306 +38.51395 -119.03498  -0.220 0.00000 0.00000   error   error
 000010 00020285 18.138201 +38.52098 -119.03927  -0.220 0.00000 0.00000   error   error
 000011 00020305 18.139095 +38.52631 -119.04236  -0.308 0.00000 0.00000   error   error
 000012 00020325 18.139988 +38.53146 -119.04545  -0.198 0.00000 0.00000   error   error
 000013 00020345 18.140882 +38.53678 -119.04871  -0.308 0.00000 0.00000   error   error
 000014 00020365 18.141777 +38.54210 -119.05180  -0.242 0.00000 0.00000   error   error
 000015 00020385 18.142672 +38.54931 -119.05627  -0.242 0.00000 0.00000   error   error
 000016 00020405 18.143566 +38.55463 -119.05952  -0.352 0.00000 0.00000   error   error
 000017 00020425 18.144461 +38.56012 -119.06261  -0.374 0.00000 0.00000   error   error
 000018 00020445 18.145355 +38.56544 -119.06588  -0.286 0.00000 0.00000   error   error
 000019 00020465 18.146248 +38.57248 -119.07017  -0.198 0.00000 0.00000   error   error
 000020 00020485 18.147142 +38.57780 -119.07343  -0.286 0.00000 0.00000   error   error
 000021 00020505 18.148037 +38.58330 -119.07669  -0.330 0.00000 0.00000   error   error
 000022 00020525 18.148932 +38.58828 -119.07978  -0.374 0.00000 0.00000   error   error
 000023 00020545 18.149824 +38.59377 -119.08305  -0.176 0.00000 0.00000   error   error
 000024 00020565 18.150719 +38.60098 -119.08733  -0.330 0.00000 0.00000   error   error
 000025 00020585 18.151613 +38.60630 -119.09042  -0.308 0.00000 0.00000   error   error
 000026 00020605 18.152508 +38.61179 -119.09386  -0.352 0.00000 0.00000   error   error
 000027 00020625 18.153402 +38.61712 -119.09712  -0.220 0.00000 0.00000   error   error
 000028 00020645 18.154297 +38.62432 -119.10141  -0.308 0.00000 0.00000   error   error
 000029 00020665 18.155191 +38.62930 -119.10450  -0.220 0.00000 0.00000   error   error
 000030 00020685 18.156086 +38.63480 -119.10777  -0.242 0.00000 0.00000   error   error
 000031 00020705 18.156981 +38.64012 -119.11086  -0.242 0.00000 0.00000   error   error
 000032 00020725 18.157875 +38.64544 -119.11411  -0.396 0.00000 0.00000   error   error
 000033 00020745 18.158766 +38.65248 -119.11841  -0.220 0.00000 0.00000   error   error
 000034 00020765 18.159660 +38.65780 -119.12167  -0.352 0.00000 0.00000   error   error
 000035 00020785 18.160555 +38.66312 -119.12476  -0.352 0.00000 0.00000   error   error
 000036 00020805 18.161449 +38.66861 -119.12819  -0.286 0.00000 0.00000   error   error
 000037 00020825 18.162344 +38.67393 -119.13145  -0.176 0.00000 0.00000   error   error
 000038 00020845 18.163239 +38.68097 -119.13557  -0.352 0.00000 0.00000   error   error
 000039 00020865 18.164133 +38.68612 -119.13866  -0.352 0.00000 0.00000   error   error
 000040 00020885 18.165028 +38.69144 -119.14192  -0.198 0.00000 0.00000   error   error
 000041 00020905 18.165922 +38.69677 -119.14519  -0.308 0.00000 0.00000   error   error
 000042 00020925 18.166817 +38.70380 -119.14931  -0.264 0.00000 0.00000   error   error
 000043 00020945 18.167711 +38.70913 -119.15257  -0.286 0.00000 0.00000   error   error
 000044 00020965 18.168606 +38.71445 -119.15583  -0.176 0.00000 0.00000   error   error
 000045 00020985 18.169497 +38.71977 -119.15892  -0.330 0.00000 0.00000   error   error
 000046 00021005 18.170391 +38.72509 -119.16235  -0.220 0.00000 0.00000   error   error
 000047 00021025 18.171286 +38.73213 -119.16664  -0.242 0.00000 0.00000   error   error
 000048 00021045 18.172180 +38.73745 -119.16973  -0.242 0.00000 0.00000   error   error
 000049 00021065 18.173075 +38.74277 -119.17300  -0.352 0.00000 0.00000   error   error
 000050 00021085 18.173969 +38.74792 -119.17609  -0.220 0.00000 0.00000   error   error
 000051 00021105 18.174866 +38.75496 -119.18037  -0.374 0.00000 0.00000   error   error
 000052 00021125 18.175758 +38.76028 -119.18346  -0.308 0.00000 0.00000   error   error
 000053 00021145 18.176653 +38.76560 -119.18690  -0.308 0.00000 0.00000   error   error
 000054 00021165 18.177547 +38.77092 -119.18999  -0.374 0.00000 0.00000   error   error
 000055 00021185 18.178442 +38.77625 -119.19325  -0.220 0.00000 0.00000   error   error
 000056 00021205 18.179337 +38.78345 -119.19772  -0.352 0.00000 0.00000   error   error
 000057 00021225 18.180231 +38.78878 -119.20081  -0.154 0.00000 0.00000   error   error
 000058 00021245 18.181126 +38.79410 -119.20406  -0.396 0.00000 0.00000   error   error
 000059 00021265 18.182020 +38.79942 -119.20733  -0.264 0.00000 0.00000   error   error
 000060 00021285 18.182915 +38.80629 -119.21145  -0.352 0.00000 0.00000   error   error
 000061 00021305 18.183809 +38.81161 -119.21471  -0.418 0.00000 0.00000   error   error
 000062 00021325 18.184702 +38.81693 -119.21780  -0.264 0.00000 0.00000   error   error
 000063 00021345 18.185596 +38.82242 -119.22123  -0.352 0.00000 0.00000   error   error
 000064 00021365 18.186491 +38.82774 -119.22449  -0.242 0.00000 0.00000   error   error
 000065 00021385 18.187386 +38.83478 -119.22878  -0.286 0.00000 0.00000   error   error
 000066 00021405 18.188280 +38.84027 -119.23187  -0.352 0.00000 0.00000   error   error
 000067 00021425 18.189175 +38.84542 -119.23514  -0.220 0.00000 0.00000   error   error
 000068 00021445 18.190069 +38.85075 -119.23840  -0.418 0.00000 0.00000   error   error
 000069 00021465 18.190964 +38.85796 -119.24269  -0.264 0.00000 0.00000   error   error
 000070 00021485 18.191858 +38.86293 -119.24578  -0.308 0.00000 0.00000   error   error
 000071 00021505 18.192753 +38.86843 -119.24904  -0.286 0.00000 0.00000   error   error
 000072 00021525 18.193647 +38.87375 -119.25230  -0.286 0.00000 0.00000   error   error
 000073 00021545 18.194542 +38.87907 -119.25556  -0.418 0.00000 0.00000   error   error
 000074 00021565 18.195436 +38.88628 -119.26003  -0.242 0.00000 0.00000   error   error
 000075 00021585 18.196331 +38.89160 -119.26329  -0.308 0.00000 0.00000   error   error
 000076 00021605 18.197226 +38.89709 -119.26638  -0.308 0.00000 0.00000   error   error
 000077 00021625 18.198120 +38.90224 -119.26964  -0.264 0.00000 0.00000   error   error
 000078 00021645 18.199015 +38.90757 -119.27290  -0.286 0.00000 0.00000   error   error
 000079 00021665 18.199909 +38.91478 -119.27719  -0.418 0.00000 0.00000   error   error
 000080 00021685 18.200800 +38.91975 -119.28028  -0.286 0.00000 0.00000   error   error
