OS TB 12/05/95 C&D: Source x Race-Cases '94



 Table R56.  Number of nonfatal occupational injuries and illnesses involving days away from work(1) by source of
 injury or illness and race or ethnic origin of worker, 1994
 __________________________________________________________________________________________________________________
                                 |           |         |                                                           
                                 |           |         |                   Race or ethnic origin                   
                                 |           |         |___________________________________________________________
                                 |   Source  | Private |         |         |         |         |         |         
              Source             |  code(2)  | industry|  White, |  Black, |         | Asian or| American|         
                                 |           |         |   non-  |   non-  | Hispanic| Pacific |Indian or|   Not   
                                 |           |         | Hispanic| Hispanic|         | Islander| Alaskan | reported
                                 |           |         |         |         |         |         |  Native |         
 ________________________________|___________|_________|_________|_________|_________|_________|_________|_________
                                 |           |         |         |         |         |         |         |         
      Total......................|           |2,236,639|1,234,065|  197,449|  189,719|   33,915|    7,218|  574,272
                                 |           |         |         |         |         |         |         |         
 Chemicals and chemical products.|        0  |   43,008|   22,729|    4,332|    4,798|      744|      174|   10,232
   Chemicals and chemical        |           |         |         |         |         |         |         |         
    products, unspecified........|       00  |    5,723|    3,319|      610|      500|       85|       37|    1,171
   Acids.........................|       01  |    2,682|    1,873|      153|      230|       40|    -    |      379
     Acids, unspecified..........|      010  |      467|      259|       32|       62|    -    |    -    |      106
     Acid gases--halogen.........|      011  |      273|      227|       18|    -    |       12|    -    |       14
       Acid gases, unspecified...|     0110  |       29|       12|    -    |    -    |    -    |    -    |       11
       Hydrogen chloride.........|     0112  |      199|      181|    -    |    -    |    -    |    -    |    -    
       Hydrogen fluoride.........|     0113  |       26|       19|    -    |    -    |    -    |    -    |    -    
       Acid gases, n.e.c. .......|     0119  |       12|    -    |    -    |    -    |    -    |    -    |    -    
     Inorganic acids--halogens...|      012  |      310|      240|       16|       31|    -    |    -    |    -    
       Hydrobromic acid..........|     0122  |       28|       28|    -    |    -    |    -    |    -    |    -    
       Hydrochloric acid.........|     0123  |      223|      178|       12|    -    |    -    |    -    |    -    
       Hydrofluoric acid.........|     0124  |       53|       31|    -    |    -    |    -    |    -    |    -    
     Inorganic acids--other......|      013  |    1,451|    1,046|       67|      121|       19|    -    |      196
       Chlorine-containing       |           |         |         |         |         |         |         |         
        oxyacids.................|     0131  |       58|    -    |    -    |    -    |    -    |    -    |       26
       Nitric acid...............|     0132  |      116|      100|    -    |    -    |    -    |    -    |    -    
       Phosphoric acid...........|     0133  |      123|      109|    -    |    -    |    -    |    -    |    -    
