SOHO Acronyms

750 SGP/OL-A	750th Space Group/Operating Location-A
AAD	Attitude Anomaly Detector
ACE	Advanced Composition Explorer
ACS	Attitude Control System
ACU	Attitude Control Unit
ADC	Analog to Digital Converter
AFSCF	Air Force Satellite Control Facility
AFSCN	Air Force Satellite Control Network
AFT	Abbreviated Functional Test
AGO	Santiago Ground Station
AGSS	Attitude Ground Support System
AI	Associate Investigator 
AIS	Automated Information Security
AIT	Assembly, Integration and Test
AIT	Atomic International Time 
AIV	Assembly-Integration-Verification 
AN	Analog
ANT	Antenna
ANTS	Antenna Subsystem
AOCE	Attitude and Orbit Control Electronics
AOS	Acquisition of Signal
AOCS	Attitude and Orbit Control System
AOCMS	Attitude and Orbit Control Measurement System
AP	Application Processors
APID	Application Identification
APM	Antenna Pointing Mechanism
APME	Attitude Pointing Mechanism Electronics
ARO	Automatic Reconfiguration Order
ARq	Authentication Request
ARs	Authentication Response
ASE	Airborne Support Equipment
ASW	Address and Synchronization Word
ASW	Application Software
AT	Acceptance Testing
ATSC	AlliedSignal Technical Services Corporation
AUX	Auxiliary
AVD	Alternate Voice/Data

BARM	Block Acceptance Reporting Mechanism
BAS	Block Acquisition Sequence
BCP1	Broadcast Pulse 1
BCP3	Broadcast Pulse 3 (LOBT clock)
BDR	Battery Discharge Regulator
BECO	Booster Engine Cutoff
BER	Bit Error Rate
BI0-L	Biphase - Level
BITNET	Because It is Time NETwork 
BOL	Beginning of Life
BRD	Broadcast (MACS bus transition)
BRML	Block Recorder Mission Log
BRU	Battery Regulation Unit
BSR	Back Surface Reflection

CAE	Control and Actuation Electronic
CAN	Canberra (DSN Station)
CBH	Catalyst Bed Heater
CCAFS	Cape Canaveral Air Force Station
CCAM	Collision and Contamination Avoidance Maneuver
CCB	Configuration Control Board
CCD	Charge Coupled Device
CCL	Close Circuit Loop
CCOM	Control Center Operations Manager
CCR	Configuration Change Requests
CCS	Central Checkout System
CCSDS	Consultive Committee for Space Data Systems
CCSM	Control Center Systems Manager
CCTV	Close Circuit Television
C&DH	Command and Data Handling
CDDI	Copper Distributed Data Interface 
CDF	Common Data Format (SFDU data format) 
CDHF	Central Data Handling Facility
CDMU	Central Data Management Unit
CDR	Critical Design Review
CDS	Coronal Diagnostic Spectrometer 
CE	Communications Engineer
CELIAS	Charge, Element and Isotope Analysis System
CEPAC	COSTEP-ERNE Particle Analysis Collaboration
CfA	Harvard-Smithsonian Center for Astrophysics, USA
CM	Configuration Management
CM	Continuus Memory Format
CMD	Command
CMO	Configuration Management Office
CMP	Configuration Management Plan
CMS	Command Management System
CMSE	Command Management Systems Engineer
CNRS	Centre National de la Recherche Scientifique
COBS	Central On Board Software
COSTEP	Comprehensive Supra Thermal and Energetic Particle Analyzer
COSTR	Collaborative Solar-Terrestrial Research
COTS	Commercial Off the Shelf Software
CPM	Command Pulse Module
CRC	Cyclical Redundancy Coding
CRT	Cathode Ray Tube
CSPAAD	Coarse Sun Pointing Attitude Anomaly Detection
CSO	Computer Security Officials
CSTC	Consolidated Satellite Test Center
CTA	Controlled Thrust Assembly
CTA-21	Compatibility Test Area (JPL)
CTOF	Charge Time-Of-Flight
CTV	Compatibility Test Van
CTU	Central Terminal Unit
Co-I	Co-Investigator 

D/L	Downlink
DAA	Data Availability Acknowledgment
DAN	Data Availability Notice
dB	Decibels
DB	Digital Bilevel acquisition
dBI	Decibels referenced to Isotropic gain
dBm	Decibels referenced to one milliwatt
dBW	Decibels referenced to one watt
DC	Direct Command
DCF	Data Capture Facility
DCN	Document Change Notice
DDA	Data Delivery Acknowledgement
DDF	Data Distribution Facility
DDFM	Data Distribution Facility Manager
DDN	Data Delivery Notice
DEL	Data Evaluation Laboratory
DEM	Demodulator
DFCD	Data Format Control Documents
DFD	Data Flow Diagram
DGIB	DSN/GSFC Interface Blocks
DGS	Diego Garcia Station
DHP	Direct High Power
DHSS	Data Handling Subsystem
DL	Downlink
DM	Data Management
DML	Direct Memory Load
DMR	Detailed Mission Requirements	
DMR1	Detailed Mission Requirements Issue #1
DMR2	Detailed Mission Requirements Issue #2
DMS	Digital Matrix Switch
DOD	Department of Defense
DPE	Data Processing Engineer
DPI	Data Processing Installation
DPS	Data Processing Segment
DQM	Data Quality Message
DR	Discrepancy Report
DRAC	SOI/MDI Data Reduction and Analysis Center 
DS	Data Set
DSCC	Deep Space Communications Complex (NASA/JPL)
DSM	Data Systems Manager
DSN	Deep Space Network
DecNet	Digital Equipment Corporation Network 

EAA	Earth Attitude Angle
EAF	Experimenter's Analysis Facility
EARN	European Academic Research Network 
ECS	EOF Core System
EDL	Ethernet Data Link
EGSE	Electrical Ground Support Equipment 
EHP	Extended High Power
EHPC	Extended High Priority Command
EID	Experiment Interface Document
EIT	Extreme-ultraviolet Imaging Telescope 
