table with row headers in column A and column headers in rows 3 through 4. (leading dots indicate sub-parts),,,,,,,,
"Table 2: Annual Estimates of the Population by Sex and Age for New Mexico: April 1, 2000 to July 1, 2005",,,,,,,,
Sex and Age,Population estimates,,,,,,"April 1, 2000",
,"July 1, 2005","July 1, 2004","July 1, 2003","July 1, 2002","July 1, 2001","July 1, 2000",Estimates base,Census
BOTH SEXES,"1,928,384","1,903,006","1,879,252","1,855,400","1,832,608","1,821,526","1,819,046","1,819,046"
.Under 5 years,"134,401","133,990","133,198","132,570","130,022","130,181","130,628","130,628"
.5 to 9 years,"128,390","129,851","131,516","134,672","136,264","140,053","141,171","141,171"
.10 to 14 years,"138,425","142,429","144,822","146,533","146,009","147,148","147,309","147,309"
.15 to 19 years,"148,717","148,446","148,567","149,021","147,726","146,345","145,751","145,751"
.20 to 24 years,"148,733","145,153","139,981","133,108","127,590","122,475","121,291","121,291"
.25 to 29 years,"123,089","118,304","114,986","112,852","112,739","114,889","115,387","115,387"
.30 to 34 years,"115,925","117,166","117,908","117,693","117,851","118,383","118,704","118,704"
.35 to 39 years,"120,191","120,943","123,864","128,138","133,570","139,199","140,378","140,378"
.40 to 44 years,"142,654","144,286","144,316","143,482","143,261","141,966","141,631","141,631"
.45 to 49 years,"145,747","142,416","139,857","136,457","133,312","131,460","131,000","131,000"
.50 to 54 years,"135,972","131,870","128,135","124,187","122,859","116,246","114,819","114,819"
.55 to 59 years,"120,928","112,578","105,367","99,152","90,663","87,794","87,140","87,140"
.60 to 64 years,"90,310","85,889","81,676","76,888","74,040","72,050","71,612","71,612"
.65 to 69 years,"68,095","66,737","65,178","63,751","63,009","63,155","63,227","63,227"
.70 to 74 years,"60,200","58,719","58,108","57,347","56,283","54,933","54,518","54,518"
.75 to 79 years,"45,394","45,045","44,266","43,971","43,808","43,827","43,729","43,729"
.80 to 84 years,"33,697","32,809","31,488","30,498","28,980","27,776","27,445","27,445"
.85 years and over,"27,516","26,375","26,019","25,080","24,622","23,646","23,306","23,306"
,,,,,,,,
.Under 18 years,"489,482","494,195","497,878","503,032","501,074","506,812","508,574","508,574"
.Under 5 years,"134,401","133,990","133,198","132,570","130,022","130,181","130,628","130,628"
.5 to 13 years,"237,888","242,553","247,236","252,051","253,012","257,630","258,831","258,831"
.14 to 17 years,"117,193","117,652","117,444","118,411","118,040","119,001","119,115","119,115"
.18 to 64 years,"1,204,000","1,179,126","1,156,315","1,131,721","1,114,832","1,101,377","1,098,247","1,098,247"
.18 to 24 years,"209,184","205,674","200,206","192,872","186,537","179,390","177,576","177,576"
.25 to 44 years,"501,859","500,699","501,074","502,165","507,421","514,437","516,100","516,100"
.45 to 64 years,"492,957","472,753","455,035","436,684","420,874","407,550","404,571","404,571"
.65 years and over,"234,902","229,685","225,059","220,647","216,702","213,337","212,225","212,225"
,,,,,,,,
.16 years and over,"1,497,629","1,467,739","1,440,721","1,412,098","1,390,913","1,374,236","1,370,134","1,370,134"
.18 years and over,"1,438,902","1,408,811","1,381,374","1,352,368","1,331,534","1,314,714","1,310,472","1,310,472"
.15 to 44 years,"799,309","794,298","789,622","784,294","782,737","783,257","783,142","783,142"
,,,,,,,,
.Median age (years),36.1,35.7,35.4,35.1,34.9,34.6,34.6,34.6
MALE,"948,404","936,128","924,063","912,343","901,014","895,664","894,317","894,317"
.Under 5 years,"68,108","67,910","67,545","67,220","65,881","65,957","66,191","66,191"
.5 to 9 years,"65,036","65,839","66,680","68,406","69,302","71,209","71,777","71,777"
.10 to 14 years,"70,386","72,421","73,635","74,527","74,424","75,158","75,254","75,254"
.15 to 19 years,"76,092","76,041","76,332","76,633","75,848","75,085","74,747","74,747"
.20 to 24 years,"76,822","74,786","71,768","67,858","64,920","61,986","61,346","61,346"
.25 to 29 years,"62,255","59,725","57,938","56,733","56,334","57,439","57,653","57,653"
.30 to 34 years,"57,875","58,545","58,834","58,700","58,821","58,997","59,140","59,140"
.35 to 39 years,"59,811","60,046","61,404","63,422","66,150","68,858","69,404","69,404"
.40 to 44 years,"70,303","71,084","71,034","70,539","70,278","69,658","69,488","69,488"
.45 to 49 years,"71,162","69,513","68,138","66,398","64,641","63,924","63,689","63,689"
.50 to 54 years,"65,716","64,004","62,337","60,582","60,191","56,930","56,234","56,234"
.55 to 59 years,"58,729","54,490","50,863","47,912","43,671","42,275","41,949","41,949"
.60 to 64 years,"42,914","40,807","38,848","36,513","35,300","34,469","34,246","34,246"
.65 to 69 years,"32,155","31,586","30,981","30,418","30,308","30,157","30,126","30,126"
.70 to 74 years,"27,831","27,146","26,834","26,400","25,813","25,277","25,098","25,098"
.75 to 79 years,"20,035","19,822","19,309","19,260","19,043","19,080","19,028","19,028"
.80 to 84 years,"13,431","13,163","12,676","12,307","11,838","11,436","11,330","11,330"
.85 years and over,"9,743","9,200","8,907","8,515","8,251","7,769","7,617","7,617"
,,,,,,,,
.Under 18 years,"248,544","251,131","253,117","255,882","255,164","258,313","259,250","259,250"
.Under 5 years,"68,108","67,910","67,545","67,220","65,881","65,957","66,191","66,191"
.5 to 13 years,"120,794","123,112","125,532","128,007","128,699","131,260","131,870","131,870"
.14 to 17 years,"59,642","60,109","60,040","60,655","60,584","61,096","61,189","61,189"
