                   ,        YTD         , ,        YTD         , ,        YTD         , ,     September      , ,       August       , ,        July        , ,        June        , ,        May         , ,       April        , ,       March        , ,      February      , ,      January       , ,       Total        , ,      December      , ,      November      , ,      October       , ,     September      , ,       August       , ,        July        , ,        June        , ,        May         , ,       April        , ,       March        , ,      February      , 
State                   ,2007, ,2006, ,2005, ,2007, ,2007, ,2007, ,2007, ,2007, ,2007, ,2007, ,2007, ,2007, ,2006, ,2006, ,2006, ,2006, ,2006, ,2006, ,2006, ,2006, ,2006, ,2006, ,2006, ,2006, 
Alabama                                 ,0,NA,276966,  ,248590,  ,0,NA,44692,,36375,R,31152,R,26034,R,30739,R,29752,R,40239,R,32097,R,357980,R,29753,R,25181,R,26079,R,25386,R,40518,R,39301,R,33451,R,26743,R,25899,R,28943,R,27722,R
Alaska                                  ,0,NA,90267,  ,93053,  ,0,NA,7973,,7964,R,7852,R,8118,R,7482,R,9451,R,8839,R,9936,R,119833,R,9864,R,10679,R,9023,R,8623,R,9365,R,9176,R,9730,R,9042,R,9881,R,11169,R,10846,R
Arizona                                 ,0,NA,249541,  ,227323,  ,0,NA,40354,,42928,R,35349,R,28912,R,20434,R,17193,R,26922,R,33999,R,335440,R,29027,R,24493,R,32378,R,30678,R,36448,R,34718,R,30548,R,22339,R,21814,R,22606,R,24177,R
Arkansas                                ,0,NA,169748,  ,154039,  ,0,NA,22733,,17991,R,18275,R,16416,R,16134,R,17649,R,23370,R,21332,R,221169,R,19004,R,15329,R,17089,R,16961,R,19947,R,19092,R,19182,R,17849,R,17483,R,19376,R,19892,R
California                              ,0,NA,1664431,  ,1653233,  ,0,NA,209797,,193175,R,171411,R,165076,R,0,NA,0,NA,204883,R,236608,R,2239099,R,218721,R,179219,R,176728,R,177931,R,184106,R,203041,R,167537,R,163781,R,174325,R,207878,R,186181,R
Colorado                                ,0,NA,264419,  ,283238,  ,0,NA,28065,,27612,R,24440,R,0,NA,0,NA,33343,R,46238,R,62290,R,382410,R,49231,R,38463,R,30297,R,18874,R,22751,R,23208,R,20057,R,20740,R,26013,R,42523,R,45272,R
Connecticut                             ,0,NA,128499,  ,126397,  ,0,NA,12356,,11593,R,9982,R,12441,R,16210,R,19858,R,20555,R,18706,R,169423,R,15442,R,13047,R,12435,  ,10196,R,11527,R,13076,R,11858,R,12151,R,14202,R,19733,R,17525,R
Delaware                                ,0,NA,32361,  ,35594,  ,0,NA,4283,,3846,R,3179,R,2759,R,3442,R,4741,R,5155,R,4801,R,43166,R,4379,R,3454,R,2972,R,2516,R,3447,R,3812,R,3204,R,2659,R,2549,R,4451,R,4699,R
District of Columbia                    ,0,NA,19797,  ,22031,  ,0,NA,1133,,1115,  ,1270,  ,1426,  ,2720,  ,3581,  ,5623,  ,4723,  ,28520,R,3908,R,2784,R,2031,R,1287,R,1096,R,1184,R,1092,R,1375,R,1795,R,3486,R,4285,R
