"Table with row headers in column A and column headers in row 9 through 10, repeated in row 63 through 64 Leading dots indicate sub-parts.",,,,,,,,,,,,,,,,,
Census 2000 PHC-T-39,,,,,,,,,,,,,,,,,
"Table 7: School Enrollment of the Population 18 Years and Over by Age, Education, Residence in 1995, Labor Force Status,Class of Worker, and Occupation: 2000",,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
Geographic area: Washington,,,,,,,,,,,,,,,,,
"All race and ethnic groups, male",,,,,,,,,,,,,,,,,
"(Data based on a sample.  For information on confidentiality protection, sampling error, nonsampling error and definitions, see www.census.gov/prod/cen2000/doc/sf3.pdf.)",,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,Enrolled in School,,,,,,,,,,,,,,,
,,Total,Age 18 to 29,Age 30 to 44,Age 45 to 59,Age 60 and over,,,,,,,,,,,
..18 years and over ,"2,156,136","209,129","143,809","45,020","16,290","4,010",,,,,,,,,,,
Educational attainment:,,,,,,,,,,,,,,,,,
.Not a high school graduate ,"323,603","38,468","34,390","2,512",892,674,,,,,,,,,,,
.High school graduate ,"540,222","24,960","18,209","4,721","1,454",576,,,,,,,,,,,
".Some college, no degree ","560,882","84,878","64,118","15,033","4,758",969,,,,,,,,,,,
.Associate degree ,"159,908","22,470","13,297","6,657","2,270",246,,,,,,,,,,,
.Bachelor's degree ,"371,693","27,451","11,586","11,104","4,001",760,,,,,,,,,,,
.Advanced degree ,"199,828","10,902","2,209","4,993","2,915",785,,,,,,,,,,,
Residence in 1995:,,,,,,,,,,,,,,,,,
.Remained in same house ,"1,033,233","73,644","47,801","14,291","8,973","2,579",,,,,,,,,,,
.Moved within state ,"793,691","90,740","64,592","20,037","5,069","1,042",,,,,,,,,,,
.Moved-different state ,"329,212","44,745","31,416","10,692","2,248",389,,,,,,,,,,,
Labor force status:,,,,,,,,,,,,,,,,,
.In labor force ,"1,609,926","141,253","92,924","34,818","12,263","1,248",,,,,,,,,,,
..In Armed Forces ,"41,759","4,942","2,742","2,110",90,- ,,,,,,,,,,,
..Civilian ,"1,568,167","136,311","90,182","32,708","12,173","1,248",,,,,,,,,,,
...Civilian employed ,"1,473,826","121,743","78,674","30,704","11,332","1,033",,,,,,,,,,,
...Unemployed ,"94,341","14,568","11,508","2,004",841,215,,,,,,,,,,,
.Not in labor force ,"546,210","67,876","50,885","10,202","4,027","2,762",,,,,,,,,,,
,,,,,,,,,,,,,,,,,
..Employed civilians 18 years and over ,"1,473,826","121,743","78,674","30,704","11,332","1,033",,,,,,,,,,,
Class of worker:,,,,,,,,,,,,,,,,,
.Private for-profit wage and salary workers ,"1,085,689","88,516","61,495","20,418","6,154",449,,,,,,,,,,,
..Employee of private company ,"1,021,605","86,918","61,118","19,783","5,625",392,,,,,,,,,,,
..Self-employed in own incorporated business ,"64,084","1,598",377,635,529,57,,,,,,,,,,,
.Private not-for-profit wage and salary workers ,"62,349","7,469","4,706","1,840",781,142,,,,,,,,,,,
.Local government workers ,"79,281","6,521","2,773","2,373","1,322",53,,,,,,,,,,,
.State government workers ,"76,632","11,749","6,910","3,342","1,370",127,,,,,,,,,,,
.Federal government workers ,"52,642","3,400","1,236","1,429",708,27,,,,,,,,,,,
.Self-employed in own not incorporated business ,"113,580","3,651","1,216","1,270",957,208,,,,,,,,,,,
.Unpaid family workers ,"3,653",437,338,32,40,27,,,,,,,,,,,
Occupation:,,,,,,,,,,,,,,,,,
".Management, professional and related ","508,133","38,422","17,997","13,923","5,962",540,,,,,,,,,,,
"..Management, business and financial operations ","223,367","10,650","3,970","4,482","1,972",226,,,,,,,,,,,
..Professional and related ,"284,766","27,772","14,027","9,441","3,990",314,,,,,,,,,,,
.Service occupations ,"160,781","24,009","19,035","3,819","1,073",82,,,,,,,,,,,
.Sales and office occupations ,"253,888","28,161","21,812","4,630","1,514",205,,,,,,,,,,,
..Sales and related ,"154,611","14,720","11,465","2,268",846,141,,,,,,,,,,,
..Office and administrative support ,"99,277","13,441","10,347","2,362",668,64,,,,,,,,,,,
".Farming, forestry and fishing ","31,246","1,492","1,108",263,113,8,,,,,,,,,,,
".Construction, extraction and maintenance ","249,290","13,132","7,548","4,175","1,312",97,,,,,,,,,,,
".Production, transportation and material moving ","270,488","16,527","11,174","3,894","1,358",101,,,,,,,,,,,
Note:  - Represents zero or rounds to zero.,,,,,,,,,,,,,,,,,
"Internet release date: October, 2006",,,,,,,,,,,,,,,,,
"Source: U.S. Census Bureau, Census 2000",,,,,,,,,,,,,,,,,
Census 2000 PHC-T-39,,,,,,,,,,,,,,,,,
"Table 7: School Enrollment of the Population 18 Years and Over by Age, Education, Residence in 1995, Labor Force Status,Class of Worker, and Occupation: 2000",,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
Geographic area: Washington,,,,,,,,,,,,,,,,,
"All race and ethnic groups, male",,,,,,,,,,,,,,,,,
"(Data based on a sample.  For information on confidentiality protection, sampling error, nonsampling error and definitions, see www.census.gov/prod/cen2000/doc/sf3.pdf.)",,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,Not enrolled in school,,,,,,,,,,,,,,,,
,Total,Age 18 to 29,Age 30 to 44,Age 45 to 59,Age 60 and over,,,,,,,,,,,,
..18 years and over ,"1,947,007","347,893","673,956","543,807","381,351",,,,,,,,,,,,
Educational attainment:,,,,,,,,,,,,,,,,,
.Not a high school graduate ,"285,135","75,269","85,130","47,025","77,711",,,,,,,,,,,,
.High school graduate ,"515,262","121,823","177,190","111,615","104,634",,,,,,,,,,,,
".Some college, no degree ","476,004","77,453","167,229","148,503","82,819",,,,,,,,,,,,
.Associate degree ,"137,438","19,135","55,376","48,516","14,411",,,,,,,,,,,,
.Bachelor's degree ,"344,242","45,955","130,144","110,278","57,865",,,,,,,,,,,,
.Advanced degree ,"188,926","8,258","58,887","77,870","43,911",,,,,,,,,,,,
Residence in 1995:,,,,,,,,,,,,,,,,,
.Remained in same house ,"959,589","69,654","261,197","346,692","282,046",,,,,,,,,,,,
.Moved within state ,"702,951","180,163","297,352","149,294","76,142",,,,,,,,,,,,
.Moved-different state ,"284,467","98,076","115,407","47,821","23,163",,,,,,,,,,,,
Labor force status:,,,,,,,,,,,,,,,,,
.In labor force ,"1,468,673","305,900","603,395","462,851","96,527",,,,,,,,,,,,
..In Armed Forces ,"36,817","20,600","14,573","1,636",8,,,,,,,,,,,,
..Civilian ,"1,431,856","285,300","588,822","461,215","96,519",,,,,,,,,,,,
...Civilian employed ,"1,352,083","259,239","559,974","441,551","91,319",,,,,,,,,,,,
...Unemployed ,"79,773","26,061","28,848","19,664","5,200",,,,,,,,,,,,
.Not in labor force ,"478,334","41,993","70,561","80,956","284,824",,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
