table with row headers in column A and column headers in rows 3 through 4. (leading dots indicate sub-parts),,,,,,,
"Table 3: Annual Estimates of the Population by Sex, Race and Hispanic or Latino Origin for Missouri: April 1, 2000 to July 1, 2004",,,,,,,
"Sex, Race and Hispanic or Latino Origin",Population estimates,,,,,"April 1, 2000",
,"July 1, 2004","July 1, 2003","July 1, 2002","July 1, 2001","July 1, 2000",Estimates base,Census
BOTH SEXES,"5,754,618","5,719,204","5,679,770","5,642,575","5,606,246","5,596,683","5,595,211"
.One race,"5,681,818","5,648,290","5,610,751","5,575,479","5,540,873","5,531,747","5,530,298"
..White,"4,915,696","4,890,618","4,862,356","4,836,850","4,811,132","4,804,781","4,803,820"
..Black,"661,233","656,003","649,850","642,935","636,657","634,766","634,289"
..AIAN,"26,493","26,314","26,272","26,157","25,930","25,795","25,782"
..Asian,"74,585","71,662","68,696","66,065","63,773","63,044","63,046"
..NHPI,"3,811","3,693","3,577","3,472","3,381","3,361","3,361"
.Two or more races,"72,800","70,914","69,019","67,096","65,373","64,936","64,913"
.Race alone or in combination:(1),,,,,,,
..White,"4,981,973","4,955,096","4,925,031","4,897,644","4,870,277","4,863,496","4,862,516"
..Black,"690,392","683,793","676,299","667,962","660,426","658,244","657,761"
..AIAN,"61,244","61,048","61,001","60,879","60,561","60,388","60,361"
..Asian,"90,301","86,820","83,278","80,130","77,403","76,576","76,572"
..NHPI,"7,312","7,136","6,948","6,827","6,733","6,724","6,722"
.NOT HISPANIC OR LATINO ORIGIN,"5,606,417","5,577,927","5,545,736","5,515,486","5,486,368","5,478,066","5,476,619"
..One race,"5,537,178","5,510,465","5,480,003","5,451,564","5,424,014","5,416,121","5,414,694"
...White,"4,781,115","4,762,542","4,741,041","4,722,082","4,703,174","4,697,968","4,697,029"
...Black,"655,083","650,045","644,073","637,353","631,230","629,384","628,907"
...AIAN,"23,979","23,880","23,905","23,839","23,672","23,564","23,551"
...Asian,"73,606","70,706","67,788","65,193","62,911","62,197","62,199"
...NHPI,"3,395","3,292","3,196","3,097","3,027","3,008","3,008"
..Two or more races,"69,239","67,462","65,733","63,922","62,354","61,945","61,925"
..Race alone or in combination:(1),,,,,,,
...White,"4,844,260","4,823,993","4,800,828","4,780,106","4,759,679","4,754,072","4,753,115"
...Black,"682,798","676,445","669,210","661,131","653,808","651,684","651,202"
...AIAN,"56,886","56,783","56,849","56,800","56,606","56,469","56,444"
...Asian,"88,486","85,068","81,620","78,538","75,857","75,050","75,047"
...NHPI,"6,547","6,394","6,244","6,139","6,075","6,068","6,067"
.HISPANIC OR LATINO ORIGIN,"148,201","141,277","134,034","127,089","119,878","118,617","118,592"
..One race,"144,640","137,825","130,748","123,915","116,859","115,626","115,604"
...White,"134,581","128,076","121,315","114,768","107,958","106,813","106,791"
...Black,"6,150","5,958","5,777","5,582","5,427","5,382","5,382"
...AIAN,"2,514","2,434","2,367","2,318","2,258","2,231","2,231"
...Asian,979,956,908,872,862,847,847
...NHPI,416,401,381,375,354,353,353
..Two or more races,"3,561","3,452","3,286","3,174","3,019","2,991","2,988"
..Race alone or in combination:(1),,,,,,,
...White,"137,713","131,103","124,203","117,538","110,598","109,424","109,401"
...Black,"7,594","7,348","7,089","6,831","6,618","6,560","6,559"
...AIAN,"4,358","4,265","4,152","4,079","3,955","3,919","3,917"
...Asian,"1,815","1,752","1,658","1,592","1,546","1,526","1,525"
...NHPI,765,742,704,688,658,656,655
MALE,"2,810,852","2,790,649","2,768,523","2,747,528","2,727,135","2,721,663","2,720,177"
.One race,"2,774,959","2,755,746","2,734,602","2,714,625","2,695,121","2,689,890","2,688,426"
..White,"2,413,120","2,397,707","2,381,075","2,366,156","2,350,940","2,347,090","2,346,118"
..Black,"310,269","308,110","305,208","301,617","298,643","297,698","297,222"
..AIAN,"13,541","13,427","13,372","13,295","13,186","13,115","13,101"
..Asian,"36,076","34,622","33,118","31,783","30,627","30,273","30,271"
..NHPI,"1,953","1,880","1,829","1,774","1,725","1,714","1,714"
.Two or more races,"35,893","34,903","33,921","32,903","32,014","31,773","31,751"
.Race alone or in combination:(1),,,,,,,
..White,"2,445,941","2,429,577","2,412,017","2,396,101","2,380,028","2,375,947","2,374,956"
..Black,"324,553","321,684","318,094","313,749","310,127","309,027","308,546"
..AIAN,"30,382","30,263","30,206","30,103","29,944","29,841","29,813"
..Asian,"43,971","42,234","40,424","38,827","37,454","37,049","37,042"
..NHPI,"3,685","3,583","3,481","3,423","3,385","3,380","3,378"
.NOT HISPANIC OR LATINO ORIGIN,"2,732,360","2,716,108","2,697,891","2,680,381","2,663,905","2,659,130","2,657,668"
..One race,"2,698,237","2,682,909","2,665,590","2,649,039","2,633,364","2,628,817","2,627,375"
...White,"2,341,455","2,329,759","2,316,768","2,305,136","2,293,616","2,290,405","2,289,455"
...Black,"307,221","305,164","302,357","298,862","295,965","295,043","294,567"
...AIAN,"12,242","12,176","12,176","12,114","12,043","11,988","11,974"
...Asian,"35,576","34,121","32,652","31,341","30,194","29,846","29,844"
...NHPI,"1,743","1,689","1,637","1,586","1,546","1,535","1,535"
..Two or more races,"34,123","33,199","32,301","31,342","30,541","30,313","30,293"
..Race alone or in combination:(1),,,,,,,
...White,"2,372,704","2,360,127","2,346,274","2,333,710","2,321,404","2,317,976","2,317,008"
...Black,"320,799","318,058","314,606","310,388","306,873","305,802","305,321"
...AIAN,"28,178","28,131","28,143","28,070","27,986","27,902","27,876"
...Asian,"43,049","41,326","39,580","38,018","36,678","36,277","36,270"
...NHPI,"3,302","3,218","3,131","3,078","3,057","3,049","3,048"
.HISPANIC OR LATINO ORIGIN,"78,492","74,541","70,632","67,147","63,230","62,533","62,509"
..One race,"76,722","72,837","69,012","65,586","61,757","61,073","61,051"
...White,"71,665","67,948","64,307","61,020","57,324","56,685","56,663"
...Black,"3,048","2,946","2,851","2,755","2,678","2,655","2,655"
...AIAN,"1,299","1,251","1,196","1,181","1,143","1,127","1,127"
...Asian,500,501,466,442,433,427,427
...NHPI,210,191,192,188,179,179,179
..Two or more races,"1,770","1,704","1,620","1,561","1,473","1,460","1,458"
..Race alone or in combination:(1),,,,,,,
...White,"73,237","69,450","65,743","62,391","58,624","57,971","57,948"
...Black,"3,754","3,626","3,488","3,361","3,254","3,225","3,225"
...AIAN,"2,204","2,132","2,063","2,033","1,958","1,939","1,937"
...Asian,922,908,844,809,776,772,772
...NHPI,383,365,350,345,328,331,330
FEMALE,"2,943,766","2,928,555","2,911,247","2,895,047","2,879,111","2,875,020","2,875,034"
.One race,"2,906,859","2,892,544","2,876,149","2,860,854","2,845,752","2,841,857","2,841,872"
..White,"2,502,576","2,492,911","2,481,281","2,470,694","2,460,192","2,457,691","2,457,702"
..Black,"350,964","347,893","344,642","341,318","338,014","337,068","337,067"
..AIAN,"12,952","12,887","12,900","12,862","12,744","12,680","12,681"
..Asian,"38,509","37,040","35,578","34,282","33,146","32,771","32,775"
..NHPI,"1,858","1,813","1,748","1,698","1,656","1,647","1,647"
.Two or more races,"36,907","36,011","35,098","34,193","33,359","33,163","33,162"
.Race alone or in combination:(1),,,,,,,
..White,"2,536,032","2,525,519","2,513,014","2,501,543","2,490,249","2,487,549","2,487,560"
..Black,"365,839","362,109","358,205","354,213","350,299","349,217","349,215"
..AIAN,"30,862","30,785","30,795","30,776","30,617","30,547","30,548"
..Asian,"46,330","44,586","42,854","41,303","39,949","39,527","39,530"
..NHPI,"3,627","3,553","3,467","3,404","3,348","3,344","3,344"
.NOT HISPANIC OR LATINO ORIGIN,"2,874,057","2,861,819","2,847,845","2,835,105","2,822,463","2,818,936","2,818,951"
..One race,"2,838,941","2,827,556","2,814,413","2,802,525","2,790,650","2,787,304","2,787,319"
...White,"2,439,660","2,432,783","2,424,273","2,416,946","2,409,558","2,407,563","2,407,574"
...Black,"347,862","344,881","341,716","338,491","335,265","334,341","334,340"
...AIAN,"11,737","11,704","11,729","11,725","11,629","11,576","11,577"
...Asian,"38,030","36,585","35,136","33,852","32,717","32,351","32,355"
...NHPI,"1,652","1,603","1,559","1,511","1,481","1,473","1,473"
..Two or more races,"35,116","34,263","33,432","32,580","31,813","31,632","31,632"
..Race alone or in combination:(1),,,,,,,
...White,"2,471,556","2,463,866","2,454,554","2,446,396","2,438,275","2,436,096","2,436,107"
...Black,"361,999","358,387","354,604","350,743","346,935","345,882","345,881"
...AIAN,"28,708","28,652","28,706","28,730","28,620","28,567","28,568"
...Asian,"45,437","43,742","42,040","40,520","39,179","38,773","38,777"
...NHPI,"3,245","3,176","3,113","3,061","3,018","3,019","3,019"
.HISPANIC OR LATINO ORIGIN,"69,709","66,736","63,402","59,942","56,648","56,084","56,083"
..One race,"67,918","64,988","61,736","58,329","55,102","54,553","54,553"
...White,"62,916","60,128","57,008","53,748","50,634","50,128","50,128"
...Black,"3,102","3,012","2,926","2,827","2,749","2,727","2,727"
...AIAN,"1,215","1,183","1,171","1,137","1,115","1,104","1,104"
...Asian,479,455,442,430,429,420,420
...NHPI,206,210,189,187,175,174,174
..Two or more races,"1,791","1,748","1,666","1,613","1,546","1,531","1,530"
..Race alone or in combination:(1),,,,,,,
...White,"64,476","61,653","58,460","55,147","51,974","51,453","51,453"
...Black,"3,840","3,722","3,601","3,470","3,364","3,335","3,334"
...AIAN,"2,154","2,133","2,089","2,046","1,997","1,980","1,980"
...Asian,893,844,814,783,770,754,753
...NHPI,382,377,354,343,330,325,325
(1) 'In combination' means in combination with one or more other races.  The sum of the five race groups adds to more than the total population because individuals may report more than one race.,,,,,,,
"Note: The April 1, 2000 Population Estimates base reflects changes to the Census 2000 population from the Count Question Resolution program and geographic program revisions.  Dash (-) represents zero or rounds to zero.  (X) Not applicable",,,,,,,
Abbreviations: Black = Black or African American; AIAN = American Indian and Alaska Native; NHPI = Native Hawaiian and Other Pacific Islander,,,,,,,
Suggested Citation:,,,,,,,
"Table 3: Annual Estimates of the Population by Sex, Race and Hispanic or Latino Origin for Missouri: April 1, 2000 to July 1, 2004 (SC-EST2004-03-29)",,,,,,,
"Source: Population Division, U.S. Census Bureau",,,,,,,
"Release Date: August 11, 2005",,,,,,,
