-----------------------------------------------
3D SITE DISPLACEMENT DUE TO ATMOSPHERIC LOADING
-----------------------------------------------
METEOROLOGICAL CENTER & DEGREE 1 :   ECMWF_CMEA
CMEA : CENTER OF MASS OF THE EARTH + ATMOSPHERE
CME  : CENTER OF MASS OF THE SOLID EARTH  ALONE
SITE COORDINATES ACCORDING TO ITRF2000 SOLUTION
-----------------------------------------------
CREATOR EMAIL : PASCAL.GEGOUT@EOST.U-STRASBG.FR
-----------------------------------------------
MATH        49718.000    1995     1     1     0
MATH        52274.750    2001    12    31    18
MATH     -2443215.352 -4706037.477  3533477.600
MATH           33.857     -117.437      396.877
MATH     NORTH_Offset  EAST_Offset    UP_Offset
49718.00     0.996743     0.483500    -1.634992
49718.25     0.931820     0.543298    -1.893575
49718.50     1.306716     0.220028    -1.396250
49718.75     1.409543     0.484311    -2.683370
49719.00     1.442933     0.268267    -1.459637
49719.25     1.249630     0.134231    -1.326279
49719.50     1.107754    -0.196750    -0.473375
49719.75     0.799364     0.125854    -1.358957
49720.00     0.794896     0.087249    -0.488850
49720.25     0.486267     0.131591    -0.635572
49720.50     0.386972    -0.009145    -0.446569
49720.75     0.346043     0.301063    -1.063006
49721.00     0.463396     0.239026    -0.086732
49721.25     0.252809     0.358329    -0.595795
49721.50     0.467809     0.146529     0.209809
49721.75     0.443771     0.609700     0.108092
49722.00     0.276870     0.525808     2.882352
49722.25    -0.039146     0.298904     4.424755
49722.50     0.256940    -0.192446     5.482315
49722.75     0.395832     0.043201     4.270270
49723.00     0.806700    -0.149628     4.896952
49723.25     0.733868     0.018221     3.567218
49723.50     0.865291    -0.079092     3.557122
49723.75     0.600793     0.516680     1.689701
49724.00     0.423952     0.742968     2.048184
49724.25    -0.187505     1.018951     1.535673
49724.50    -0.446303     0.821492     1.999849
49724.75    -0.623201     1.120312     0.649640
49725.00    -0.559192     0.985689     1.256384
49725.25    -0.988772     1.037379     0.245389
49725.50    -0.802878     0.762927     0.425332
49725.75    -0.697229     1.028451    -1.095192
49726.00    -0.419531     0.821417    -0.538676
49726.25    -0.574959     0.801693    -0.965364
49726.50    -0.460830     0.448629    -0.057822
49726.75    -0.574989     0.658749    -0.784175
49727.00    -0.376782     0.508751     0.420848
49727.25    -0.552681     0.522266     0.388120
49727.50    -0.453962     0.185912     1.329065
49727.75    -0.452198     0.447150     0.696844
49728.00    -0.221035     0.271804     2.454188
49728.25    -0.263342     0.216443     2.311602
49728.50     0.014489    -0.154840     2.737497
49728.75     0.081369     0.138248     1.486863
49729.00     0.156566     0.004721     2.378181
49729.25    -0.257630     0.124815     1.633097
49729.50    -0.241248    -0.169131     2.022531
49729.75    -0.384473     0.203866     0.426727
49730.00    -0.506418     0.059686     1.098142
49730.25    -0.813410     0.162980     0.138026
49730.50    -0.877164    -0.071492     0.451888
49730.75    -1.104918     0.343933    -0.912911
49731.00    -1.162702     0.324992    -0.077058
49731.25    -1.546774     0.512296    -0.234114
49731.50    -1.584116     0.246625     0.853782
49731.75    -1.791817     0.509417     0.358005
49732.00    -1.875358     0.465329     1.658127
49732.25    -2.251867     0.531575     1.905689
49732.50    -2.164000     0.251959     2.730462
49732.75    -2.171268     0.520187     1.740598
49733.00    -2.133148     0.420598     2.765270
49733.25    -2.496283     0.507809     2.214396
49733.50    -2.411213     0.184959     2.784243
49733.75    -2.327319     0.490965     1.544924
49734.00    -2.213335     0.394696     2.376057
49734.25    -2.331488     0.475126     2.020085
49734.50    -2.072230     0.220945     2.509169
49734.75    -1.988592     0.591874     0.610538
49735.00    -1.895771     0.578460     1.389605
49735.25    -1.958706     0.786213     0.115030
49735.50    -1.923069     0.497395     0.448330
49735.75    -1.814918     0.808130    -1.246742
49736.00    -1.666763     0.637458    -0.276998
49736.25    -1.881870     0.645699    -0.638346
49736.50    -1.749878     0.235036     0.234671
49736.75    -1.854755     0.410530    -0.559036
49737.00    -2.033694     0.288592     0.416438
