-----------------------------------------------
3D SITE DISPLACEMENT DUE TO ATMOSPHERIC LOADING
-----------------------------------------------
METEOROLOGICAL CENTER & DEGREE 1 :    NCEP_CMEA
CMEA : CENTER OF MASS OF THE EARTH + ATMOSPHERE
CME  : CENTER OF MASS OF THE SOLID EARTH  ALONE
SITE COORDINATES ACCORDING TO ITRF2000 SOLUTION
-----------------------------------------------
CREATOR EMAIL : PASCAL.GEGOUT@EOST.U-STRASBG.FR
-----------------------------------------------
HART        49718.000    1995     1     1     0
HART        52274.750    2001    12    31    18
HART      5084625.444  2670366.597 -2768493.928
HART          -25.887       27.708     1555.382
HART     NORTH_Offset  EAST_Offset    UP_Offset
49718.00     0.409644    -0.822149     2.173708
49718.25     0.146228    -0.677334     0.790821
49718.50     0.507213    -0.000823     2.164011
49718.75     0.499452    -0.230008     2.288845
49719.00     0.788216    -0.294363     0.834810
49719.25     0.538653     0.060978    -0.949798
49719.50     0.415133     0.604857     0.454482
49719.75     0.128544     0.206093     0.889306
49720.00     0.215855    -0.099552     0.113413
49720.25    -0.346432    -0.011286    -0.889766
49720.50    -0.352906     0.625911     0.651378
49720.75    -0.389584     0.233351     1.112524
49721.00    -0.231827    -0.252650     0.292306
49721.25    -0.513125    -0.201327    -0.617290
49721.50    -0.087599     0.253159     0.439403
49721.75     0.049622    -0.359471     0.502087
49722.00     0.440030    -0.776012    -0.635119
49722.25     0.121736    -0.954048    -2.214087
49722.50     0.538167    -0.668714    -0.972232
49722.75     0.549014    -1.244284    -0.571139
49723.00     0.912531    -1.550688    -1.508412
49723.25     0.575267    -1.480067    -2.170674
49723.50     0.530935    -1.081229    -0.208350
49723.75     0.206483    -1.674489     0.539390
49724.00     0.261383    -2.222713     0.237740
49724.25    -0.292148    -2.285423    -0.173007
49724.50    -0.596954    -1.902052     2.079185
49724.75    -0.752900    -2.140894     2.781695
49725.00    -0.971962    -2.371625     1.868653
49725.25    -1.613977    -1.910886     1.237952
49725.50    -1.424477    -1.298089     2.993616
49725.75    -1.473584    -1.330486     3.033735
49726.00    -1.131664    -1.320650     1.809809
49726.25    -1.373923    -0.827013     0.738028
49726.50    -1.140112    -0.150856     2.302281
49726.75    -1.196756    -0.278848     3.037525
49727.00    -0.730388    -0.561422     1.779060
49727.25    -0.923181    -0.180598     1.101141
49727.50    -0.574540     0.324350     2.314399
49727.75    -0.452406    -0.068914     3.210703
49728.00     0.020246    -0.447885     2.357822
49728.25    -0.204752    -0.356476     1.263861
49728.50     0.176025     0.154626     2.268029
49728.75     0.090374    -0.334063     2.407558
49729.00     0.213168    -0.694224     0.870201
49729.25    -0.408749    -0.579950    -0.037116
49729.50    -0.383989    -0.046776     1.109141
49729.75    -0.675360    -0.544272     1.263414
49730.00    -0.825671    -0.795494     0.395726
49730.25    -1.478219    -0.632444    -0.285337
49730.50    -1.492845    -0.159072     1.475775
49730.75    -1.699939    -0.613944     1.713573
49731.00    -1.901396    -1.083922     1.301997
49731.25    -2.316975    -1.048457     0.583401
49731.50    -2.309191    -0.622316     1.866685
49731.75    -2.454059    -1.168752     2.671738
49732.00    -2.330563    -1.679324     1.934783
49732.25    -2.796048    -1.634563     1.378300
49732.50    -2.596359    -1.266547     2.799936
49732.75    -2.486295    -1.719189     3.038558
49733.00    -2.361896    -2.093383     2.349705
49733.25    -2.959938    -1.953785     1.948843
49733.50    -2.771727    -1.397672     3.414984
49733.75    -2.733661    -1.708761     3.834302
49734.00    -2.756186    -2.099700     3.185486
49734.25    -3.106616    -1.831016     2.465809
49734.50    -2.848781    -1.296325     3.420383
49734.75    -2.716122    -1.590613     3.558071
49735.00    -2.507010    -1.925315     2.558111
49735.25    -2.809464    -1.625790     1.592167
49735.50    -2.779046    -1.056551     2.323030
49735.75    -2.859301    -1.184265     2.462636
49736.00    -2.844004    -1.363410     0.490943
49736.25    -3.187654    -1.061683    -0.872614
49736.50    -3.135923    -0.465759    -0.347156
49736.75    -3.217709    -0.646884    -0.105003
49737.00    -3.200606    -0.970944    -1.150080
49737.25    -3.585595    -0.594235    -1.474208
49737.50    -3.498420    -0.092680     0.251805
49737.75    -3.405732    -0.509120     1.306928
49738.00    -3.163654    -1.011765     1.004643
49738.25    -3.254448    -0.772420     0.373924
