SUMLEV,STATE,COUNTY,STNAME,CTYNAME,Sex,Origin,Race,CENSUS2000POP,ESTIMATESBASE2000,POPESTIMATE2000,POPESTIMATE2001,POPESTIMATE2002,POPESTIMATE2003,POPESTIMATE2004,POPESTIMATE2005
050,17,001,Illinois,Adams County,0,0,1,65228,65228,65204,64926,64679,64234,63756,63799
050,17,001,Illinois,Adams County,0,0,2,2119,2119,2135,2174,2186,2204,2182,2216
050,17,001,Illinois,Adams County,0,0,3,114,114,90,113,115,119,115,121
050,17,001,Illinois,Adams County,0,0,4,278,278,287,260,286,287,300,315
050,17,001,Illinois,Adams County,0,0,5,9,9,2,5,4,6,5,6
050,17,001,Illinois,Adams County,0,0,6,529,529,486,504,523,545,566,583
050,17,001,Illinois,Adams County,0,1,1,64713,64713,64667,64375,64097,63658,63226,63224
050,17,001,Illinois,Adams County,0,1,2,2095,2095,2099,2136,2146,2162,2138,2173
050,17,001,Illinois,Adams County,0,1,3,105,105,81,104,106,110,106,112
050,17,001,Illinois,Adams County,0,1,4,274,274,284,257,283,283,296,311
050,17,001,Illinois,Adams County,0,1,5,8,8,0,1,1,1,1,1
050,17,001,Illinois,Adams County,0,1,6,515,515,484,502,519,541,562,582
050,17,001,Illinois,Adams County,0,2,1,515,515,537,551,582,576,530,575
050,17,001,Illinois,Adams County,0,2,2,24,24,36,38,40,42,44,43
050,17,001,Illinois,Adams County,0,2,3,9,9,9,9,9,9,9,9
050,17,001,Illinois,Adams County,0,2,4,4,4,3,3,3,4,4,4
050,17,001,Illinois,Adams County,0,2,5,1,1,2,4,3,5,4,5
050,17,001,Illinois,Adams County,0,2,6,14,14,2,2,4,4,4,1
050,17,001,Illinois,Adams County,1,0,1,31301,31301,31282,31146,31010,30807,30613,30684
050,17,001,Illinois,Adams County,1,0,2,1106,1106,1110,1124,1128,1138,1127,1142
050,17,001,Illinois,Adams County,1,0,3,61,61,46,57,58,57,58,58
050,17,001,Illinois,Adams County,1,0,4,124,124,131,117,132,135,139,148
050,17,001,Illinois,Adams County,1,0,5,2,2,0,3,2,4,3,4
050,17,001,Illinois,Adams County,1,0,6,252,252,235,246,257,268,276,285
050,17,001,Illinois,Adams County,1,1,1,31060,31060,31037,30896,30742,30543,30375,30416
050,17,001,Illinois,Adams County,1,1,2,1095,1095,1096,1110,1113,1123,1111,1126
050,17,001,Illinois,Adams County,1,1,3,56,56,41,52,53,52,53,53
050,17,001,Illinois,Adams County,1,1,4,121,121,130,116,130,133,137,146
050,17,001,Illinois,Adams County,1,1,5,2,2,0,1,1,1,1,1
050,17,001,Illinois,Adams County,1,1,6,245,245,235,246,256,267,275,285
050,17,001,Illinois,Adams County,1,2,1,241,241,245,250,268,264,238,268
050,17,001,Illinois,Adams County,1,2,2,11,11,14,14,15,15,16,16
050,17,001,Illinois,Adams County,1,2,3,5,5,5,5,5,5,5,5
050,17,001,Illinois,Adams County,1,2,4,3,3,1,1,2,2,2,2
050,17,001,Illinois,Adams County,1,2,5,0,0,0,2,1,3,2,3
050,17,001,Illinois,Adams County,1,2,6,7,7,0,0,1,1,1,0
050,17,001,Illinois,Adams County,2,0,1,33927,33927,33922,33780,33669,33427,33143,33115
050,17,001,Illinois,Adams County,2,0,2,1013,1013,1025,1050,1058,1066,1055,1074
050,17,001,Illinois,Adams County,2,0,3,53,53,44,56,57,62,57,63
050,17,001,Illinois,Adams County,2,0,4,154,154,156,143,154,152,161,167
050,17,001,Illinois,Adams County,2,0,5,7,7,2,2,2,2,2,2
050,17,001,Illinois,Adams County,2,0,6,277,277,251,258,266,277,290,298
050,17,001,Illinois,Adams County,2,1,1,33653,33653,33630,33479,33355,33115,32851,32808
050,17,001,Illinois,Adams County,2,1,2,1000,1000,1003,1026,1033,1039,1027,1047
050,17,001,Illinois,Adams County,2,1,3,49,49,40,52,53,58,53,59
050,17,001,Illinois,Adams County,2,1,4,153,153,154,141,153,150,159,165
050,17,001,Illinois,Adams County,2,1,5,6,6,0,0,0,0,0,0
050,17,001,Illinois,Adams County,2,1,6,270,270,249,256,263,274,287,297
050,17,001,Illinois,Adams County,2,2,1,274,274,292,301,314,312,292,307
050,17,001,Illinois,Adams County,2,2,2,13,13,22,24,25,27,28,27
050,17,001,Illinois,Adams County,2,2,3,4,4,4,4,4,4,4,4
050,17,001,Illinois,Adams County,2,2,4,1,1,2,2,1,2,2,2
050,17,001,Illinois,Adams County,2,2,5,1,1,2,2,2,2,2,2
050,17,001,Illinois,Adams County,2,2,6,7,7,2,2,3,3,3,1
050,17,003,Illinois,Alexander County,0,0,1,6095,6095,6144,6067,6072,5922,5873,5706
050,17,003,Illinois,Alexander County,0,0,2,3352,3352,3352,3316,3282,3275,3244,3108
050,17,003,Illinois,Alexander County,0,0,3,27,27,9,8,10,19,20,21
050,17,003,Illinois,Alexander County,0,0,4,36,36,41,43,41,41,41,41
050,17,003,Illinois,Alexander County,0,0,5,2,2,0,0,0,0,0,0
050,17,003,Illinois,Alexander County,0,0,6,78,78,42,44,47,49,50,51
050,17,003,Illinois,Alexander County,0,1,1,5968,5968,6016,5940,5942,5793,5742,5563
050,17,003,Illinois,Alexander County,0,1,2,3342,3342,3342,3306,3270,3263,3232,3096
050,17,003,Illinois,Alexander County,0,1,3,26,26,8,7,9,18,19,20
050,17,003,Illinois,Alexander County,0,1,4,36,36,41,43,41,41,41,41
050,17,003,Illinois,Alexander County,0,1,5,2,2,0,0,0,0,0,0
050,17,003,Illinois,Alexander County,0,1,6,78,78,42,44,47,49,50,51
050,17,003,Illinois,Alexander County,0,2,1,127,127,128,127,130,129,131,143
050,17,003,Illinois,Alexander County,0,2,2,10,10,10,10,12,12,12,12
050,17,003,Illinois,Alexander County,0,2,3,1,1,1,1,1,1,1,1
050,17,003,Illinois,Alexander County,0,2,4,0,0,0,0,0,0,0,0
050,17,003,Illinois,Alexander County,0,2,5,0,0,0,0,0,0,0,0
050,17,003,Illinois,Alexander County,0,2,6,0,0,0,0,0,0,0,0
050,17,003,Illinois,Alexander County,1,0,1,3028,3028,3058,3008,3005,2924,2889,2781
050,17,003,Illinois,Alexander County,1,0,2,1662,1662,1662,1634,1618,1624,1604,1528
050,17,003,Illinois,Alexander County,1,0,3,16,16,5,4,5,10,10,12
050,17,003,Illinois,Alexander County,1,0,4,16,16,18,19,19,19,19,19
050,17,003,Illinois,Alexander County,1,0,5,1,1,0,0,0,0,0,0
050,17,003,Illinois,Alexander County,1,0,6,37,37,23,24,23,24,24,25
050,17,003,Illinois,Alexander County,1,1,1,2931,2931,2960,2911,2906,2825,2789,2675
050,17,003,Illinois,Alexander County,1,1,2,1659,1659,1659,1631,1613,1619,1599,1523
050,17,003,Illinois,Alexander County,1,1,3,16,16,5,4,5,10,10,12
050,17,003,Illinois,Alexander County,1,1,4,16,16,18,19,19,19,19,19
050,17,003,Illinois,Alexander County,1,1,5,1,1,0,0,0,0,0,0
050,17,003,Illinois,Alexander County,1,1,6,37,37,23,24,23,24,24,25
050,17,003,Illinois,Alexander County,1,2,1,97,97,98,97,99,99,100,106
050,17,003,Illinois,Alexander County,1,2,2,3,3,3,3,5,5,5,5
050,17,003,Illinois,Alexander County,1,2,3,0,0,0,0,0,0,0,0
