_LRT_EF_COVERAGE_SRC_SIC_EZ.REGISTRY_ID,V_LRT_EF_COVERAGE_SRC_SIC_EZ.SIC_CODE,V_LRT_EF_COVERAGE_SRC_SIC_EZ.STATE_CODE,V_LRT_EF_COVERAGE_SRC_SIC_EZ.POSTAL_CODE,V_LRT_EF_COVERAGE_SRC_SIC_EZ.BVFLAG,V_LRT_EF_COVERAGE_SRC_SIC_EZ.LATITUDE,V_LRT_EF_COVERAGE_SRC_SIC_EZ.LONGITUDE,V_LRT_EF_COVERAGE_SRC_SIC_EZ.COLLECT_MTH_CODE,V_LRT_EF_COVERAGE_SRC_SIC_EZ.SOURCE_CODE,V_LRT_EF_COVERAGE_SRC_SIC_EZ.REF_POINT_CODE,V_LRT_EF_COVERAGE_SRC_SIC_EZ.HDATUM_CODE
110013844563,2621,OR,970168264,N,46.155556,-123.40777,,,,
110033185700,2436,OR,97479,N,43.38926,-123.318309,,,,
110000486670,3089,OR,97031,N,45.714417,-121.518967,,,,
110014266365,4961,OR,97501,N,42.355013,-122.900521,,,,
110014266365,2436,OR,97501,N,42.355013,-122.900521,,,,
110002058433,2435,OR,97503,N,42.427154,-122.858937,,,,
110000488623,3861,OR,97503,N,42.435408,-122.883313,,,,
110000816840,2421,OR,97601,N,42.25047,-121.80191,,,,
110000488044,4961,OR,97321,N,44.665635,-123.060305,,,,
110000488053,4911,OR,97321,N,44.672121,-123.062589,,,,
110000488053,4961,OR,97321,N,44.672121,-123.062589,,,,
110012367394,2436,OR,97358,N,44.77202,-122.606793,,,,
110000544929,4961,OR,97321,N,44.617276,-123.105358,,,,
110001653336,4961,OR,97305,N,45.03,-122.5739,,,,
110001653504,2951,OR,97302,N,44.918505,-123.018014,,,,
110001653620,2951,OR,97233,N,45.513203,-122.467986,,,,
110027376284,3312,OR,97283,N,45.628216,-122.780104,,,,
110012479683,2911,OR,97210,N,45.50556,-122.7356,,,,
110000488115,3672,OR,97338,N,44.91039,-123.297672,,,,
110001656645,2421,OR,97141,N,45.456061,-123.831846,,,,
110007738403,2038,OR,97838,N,45.804548,-119.36881,,,,
110000486858,3089,OR,970620100,N,45.367,-122.7842,,,,
110000486796,3321,OR,97062,N,45.386916,-122.776665,,,,
110000534100,4911,OR,97838,N,45.82476,-119.347959,,,,
110008062210,2952,OR,97231,N,45.609262,-122.794597,,,,
110004787570,5171,OR,97210,N,45.557566,-122.730159,,,,
110000488142,4961,OR,97348,N,44.381196,-123.155965,021,,003,
110000488160,2493,OR,97355,N,44.516467,-122.897551,001,,003,
110009249358,2421,OR,97836,Y,45.376667,-119.585556,001,,003,
110004817994,3273,OR,97124,N,45.537655,-122.898002,027,,003,
110000487679,2026,OR,972211044,N,45.478887,-122.73978,027,,003,
110001654111,2421,OR,97370,N,44.538538,-123.389147,002,,003,
110002149577,3088,OR,974799012,N,43.381201,-123.333524,027,,003,
110007169928,4922,OR,97814,Y,44.856636,-117.873917,001,,003,
110011639110,2611,OR,970513143,N,45.851101,-122.811955,027,,003,
110011639110,4961,OR,970513143,N,45.851101,-122.811955,027,,003,
110000601493,2631,OR,97459,Y,43.4366,-124.2397,001,,003,
110000771111,3716,OR,97701,N,44.08384,-121.296268,001,,003,
110007739297,4922,OR,97701,Y,43.7831,-121.448158,001,,003,
110000488482,3732,OR,97470,N,43.298687,-123.347171,001,,003,
110000816868,2435,OR,97503,Y,42.436783,-122.859009,001,,003,
110000488678,2511,OR,975263432,N,42.462443,-123.325489,001,,003,
110000816840,2421,OR,97601,N,42.25047,-121.80191,001,,003,
110014206117,2611,OR,97391,Y,44.611942,-123.932777,001,,003,
110000488053,2621,OR,97321,N,44.672121,-123.062589,001,,003,
110012479683,2911,OR,97210,N,45.50556,-122.7356,001,,003,
110000487385,5171,OR,97210,N,45.550084,-122.72812,001,,003,
110000488124,2421,OR,97338,N,44.914975,-123.312804,001,,003,
110000488927,4911,OR,97913,N,43.876944,-116.98944,001,,003,
110000488507,2821,OR,97477,N,44.04905,-122.986732,027,,003,
110000488259,2851,OR,974022791,N,44.048822,-123.129904,027,,003,
110018493646,2435,OR,97402-9656,N,44.117105,-123.183556,027,,003,
110000488552,4961,OR,97478,N,44.052667,-122.963262,027,,003,
110000771200,2439,OR,97477,N,44.045845,-122.989744,027,,003,
110007169642,2421,OR,97432,N,43.087938,-123.415722,001,,003,
110020517635,4961,OR,97470,Y,43.164249,-123.370316,001,,003,
110001653434,4953,OR,97305,N,45.048715,-122.96025,001,,003,
110000486652,4961,OR,970302099,N,45.519112,-122.446956,001,,003,
110001654415,4911,OR,97016,N,46.171204,-123.156577,001,,003,
110013967225,4953,OR,,Y,45.580849,-122.027405,021,,003,
110013968313,4953,OR,97836,N,45.168277,-119.683274,002,,003,
110013968457,4953,OR,,Y,43.220749,-117.564598,021,,003,
110014010060,4953,OR,,Y,44.659851,-123.854347,021,,003,
110013968545,4953,OR,97424,Y,43.863125,-122.973503,021,,003,
110014216552,4953,OR,97632,Y,42.805126,-121.583504,021,,003,
