! Converted to time format with year at start.
!
! 03/20/86 CAROLYN DRS$DATA:[CAROLYN.JON]MELV70BS.200;
! DUA0:[DATA.][CAROLYN.JON]FMTA.EXE;
! (dy,hr,min,sec,tenths,mst_obs)
! (i3.3,3i2.2,i1.1,t12,f7.1)
!  
!*REDUCED MAGNETICS  BERING SEA  MELVILLE-70-BS               LINES M1 - M4  
! DATA: ID,LINE,JD,IH,AM,OBS,REG,RES,LAT,LONG,CSE,SPD  
! FORMAT(A2,2X,I1,I3,I2,I2,T15,I5,T25,F6.0,T32,F6.0,T39,F8.4,T49,F9.4,T60,F5.1,T66,F4.1)  
!      
19702060215000 48250.0
19702060217000 48280.0
19702060220000 48320.0
19702060225000 48370.0
19702060230000 48380.0
19702060233000 48380.0
19702060235000 48380.0
19702060240000 48390.0
19702060243000 48395.0
19702060245000 48400.0
19702060250000 48425.0
19702060254000 48440.0
19702060255000 48438.0
19702060300000 48420.0
19702060305000 48418.0
19702060310000 48400.0
19702060311000 48390.0
19702060316000 48378.0
19702060321000 48369.0
19702060326000 48342.0
19702060330000 48316.0
19702060335000 48308.0
19702060340000 48311.0
19702060345000 48318.0
19702060350000 48330.0
19702060355000 48341.0
19702060400000 48356.0
19702060405000 48371.0
19702060410000 48386.0
19702060415000 48404.0
19702060420000 48420.0
19702060425000 48434.0
19702060430000 48456.0
19702060435000 48474.0
19702060440000 48490.0
19702060445000 48513.0
19702060450000 48546.0
19702060455000 48567.0
19702060500000 48567.0
19702060505000 48576.0
19702060510000 48595.0
19702060515000 48639.0
19702060520000 48683.0
19702060525000 48694.0
19702060530000 48704.0
19702060535000 48714.0
19702060540000 48718.0
19702060545000 48712.0
19702060550000 48723.0
19702060624000 48788.0
19702060629000 48805.0
19702060634000 48816.0
19702060639000 48820.0
19702060644000 48824.0
19702060649000 48828.0
19702060654000 48829.0
19702060659000 48837.0
19702060704000 48841.0
19702060709000 48837.0
19702060714000 48848.0
19702060719000 48849.0
19702060724000 48856.0
19702060729000 48876.0
19702060734000 48889.0
19702060739000 48899.0
19702060744000 48913.0
19702060749000 48922.0
19702060754000 48928.0
19702060759000 48932.0
19702060804000 48934.0
19702060809000 48938.0
19702060814000 48918.0
19702060819000 48901.0
19702060824000 48897.0
19702060829000 48884.0
19702060834000 48873.0
19702060839000 48854.0
19702060844000 48843.0
19702060849000 48836.0
19702060854000 48835.0
19702060859000 48851.0
19702060904000 48874.0
19702060909000 48870.0
19702060914000 48876.0
19702060919000 48899.0
19702060924000 48922.0
19702060929000 48945.0
19702060934000 48975.0
19702060939000 48999.0
19702060944000 49018.0
19702060949000 49033.0
19702060954000 49044.0
19702060959000 49049.0
19702061004000 49062.0
19702061009000 49068.0
19702061014000 49065.0
19702061019000 49063.0
19702061024000 49056.0
19702061029000 49057.0
19702061034000 49036.0
19702061039000 49025.0
19702061045000 49005.0
19702061050000 48987.0
19702061055000 48965.0
19702061100000 48956.0
19702061105000 48940.0
19702061110000 48927.0
19702061115000 48913.0
19702061120000 48902.0
19702061125000 48894.0
19702061130000 48894.0
19702061135000 48880.0
19702061140000 48876.0
19702061145000 48885.0
19702061150000 48879.0
19702061155000 48880.0
19702061200000 48898.0
19702061205000 48900.0
19702061210000 48896.0
19702061215000 48909.0
19702061220000 48929.0
19702061225000 48944.0
19702061230000 48954.0
19702061235000 48957.0
19702061240000 48950.0
19702061245000 48940.0
19702061250000 48948.0
19702061255000 48958.0
19702061300000 48964.0
19702061305000 48975.0
19702061310000 48999.0
19702061316000 49016.0
19702061321000 49031.0
19702061326000 49050.0
19702061331000 49064.0
19702061336000 49075.0
19702061341000 49076.0
19702061346000 49065.0
19702061351000 49056.0
19702061356000 49051.0
19702061401000 49042.0
19702061406000 49037.0
19702061411000 49026.0
19702061416000 49020.0
19702061421000 49015.0
19702061426000 49010.0
19702061431000 49005.0
19702061436000 49001.0
19702061441000 48995.0
19702061446000 48989.0
19702061451000 48981.0
19702061456000 48976.0
19702061501000 48971.0
19702061506000 48966.0
19702061511000 48966.0
19702061516000 48962.0
19702061521000 48960.0
19702061526000 48961.0
19702061531000 48962.0
19702061536000 48962.0
19702061541000 48965.0
19702061546000 48973.0
19702061551000 48988.0
19702061556000 49008.0
19702061601000 49033.0
19702061606000 49050.0
19702061611000 49037.0
19702061616000 49042.0
19702061621000 49094.0
19702061627000 49104.0
19702061632000 49080.0
19702061637000 49040.0
19702061642000 48988.0
19702061647000 48943.0
19702061652000 48921.0
19702061657000 48925.0
19702061702000 48940.0
19702061707000 48942.0
19702061712000 49062.0
19702061717000 49343.0
19702061722000 49544.0
19702061727000 49477.0
19702061732000 49553.0
19702061737000 49395.0
19702061742000 49298.0
19702061747000 49312.0
19702061752000 49586.0
19702061757000 49727.0
19702061802000 49553.0
