tbl	quart	CityName	Origin	Total_CountOfMarket	Totalfaredpax	Total_%LFMkts	Total_Average Hub Fare	Total_%Premium	ShHaul_CountOfMarket	SHPax	ShHaul_%LFMkts	ShHaul_Average Hub Fare	ShHaul_%Premium	LgHaul_CountOfMarket	LHPax	LgHaul_%LFMkts	LgHaul_Average Hub Fare	LgHaul_%Premium
Table 7	200201	"Allentown, PA"	ABE	29	95320	0	203.76	10.9	8	23810	0	248.85	75.93	21	71510	0	188.75	-4.57
Table 7	200201	"Albuquerque, NM"	ABQ	75	869350	0.79	138.71	-14.92	23	476000	0.91	110.41	-19.66	52	393350	0.63	172.96	-10.86
Table 7	200201	"Atlantic City, NJ"	ACY	6	157460	1	116.73	-35.85	1	4660	1	113.52	-42.84	5	152800	1	116.83	-35.62
Table 7	200201	"Albany, NY"	ALB	59	468820	0.65	153.61	-15.49	23	143250	0.52	146.95	-4.04	36	325570	0.71	156.55	-19.46
Table 7	200201	"Amarillo, TX"	AMA	18	113750	0.88	109.1	-17.42	10	89420	0.9	97.1	-19.8	8	24330	0.82	153.22	-11.29
Table 7	200201	"Aspen, CO"	ASE	24	92740	0	243.97	36.45	6	30770	0	194.91	16.93	18	61970	0	268.33	45.19
Table 7	200201	"Atlanta, GA"	ATL	155	4789160	0.48	163.09	9.29	96	3305060	0.57	139.09	3.4	59	1484100	0.27	216.53	18.99
Table 7	200201	"Austin, TX"	AUS	85	1100400	0.74	163.29	0.05	23	348520	0.88	105.34	-13.88	62	751880	0.67	190.16	4.38
Table 7	200201	"Hartford, CT/Springfield, MA"	BDL	86	1168030	0.49	167.24	-3.62	30	259580	0.46	171.73	23.06	56	908450	0.49	165.96	-9.43
Table 7	200201	"Birmingham, AL"	BHM	65	459300	0.73	153.78	-15.93	37	312560	0.77	135.08	-22.08	28	146740	0.64	193.61	-4.77
Table 7	200201	"Nashville, TN"	BNA	93	1157580	0.72	147.66	-12.19	55	722750	0.66	138.13	-11.23	38	434830	0.81	163.49	-13.51
Table 7	200201	"Boise, ID"	BOI	50	433520	0.79	129.07	-16.78	20	351850	0.9	102.17	-26.48	30	81670	0.31	244.94	9.09
Table 7	200201	"Boston, MA"	BOS	120	2972190	0.09	199.15	18.52	35	1022490	0.11	159.95	52.68	85	1949700	0.09	219.71	9.19
Table 7	200201	"Burlington, VT"	BTV	30	145720	0.53	161.54	-8.66	10	51150	0.34	134.31	6.15	20	94570	0.63	176.26	-13.63
Table 7	200201	"Buffalo, NY"	BUF	64	740690	0.64	129.22	-20.59	27	339080	0.59	122.04	-4.16	37	401610	0.68	135.28	-29.77
Table 7	200201	"Glendale/Burbank, CA"	BUR	43	953200	0.91	97.74	-11.9	12	772520	0.94	79.86	-15.28	31	180680	0.79	174.22	-4.41
Table 7	200201	"Baltimore, MD"	BWI	128	3031940	0.83	137.69	-18.22	57	1442610	0.83	102.85	-17.89	71	1589330	0.82	169.32	-18.4
Table 7	200201	"Akron/Canton, OH"	CAK	20	105490	0.89	131.02	-20.53	10	48940	0.8	119.75	-26.69	10	56550	0.97	140.78	-15.28
Table 7	200201	"Charleston, SC"	CHS	49	180520	0	219.06	15.34	29	117160	0	204.36	13.37	20	63360	0	246.23	18.49
Table 7	200201	"Cleveland, OH"	CLE	89	1321360	0.47	173.2	10.85	43	638730	0.51	166.99	35.13	46	682630	0.42	179.02	-4.16
Table 7	200201	"Charlotte, NC"	CLT	88	824760	0	262.65	68.06	58	601740	0	249.59	78.18	30	223020	0	297.87	48.95
Table 7	200201	"Columbus, OH"	CMH	83	1121450	0.47	150.25	-10.28	44	491450	0.37	152.62	12.63	39	630000	0.54	148.4	-22.87
Table 7	200201	"Colorado Springs, CO"	COS	51	276830	0.13	195.8	7.16	9	79210	0.15	157.6	-10.06	42	197620	0.12	211.11	13.67
Table 7	200201	"Corpus Christi, TX"	CRP	31	113910	0.67	136.3	-10.77	11	73240	0.75	105.35	-17.49	20	40670	0.53	192.03	-2.96
Table 7	200201	"Cincinnati, OH"	CVG	90	783580	0	245.2	59.98	55	413080	0	252.25	87.84	35	370500	0	237.35	36.07
Table 7	200201	"Dallas/Ft. Worth, TX"	DAL	121	981430	0.98	95.75	-11.65	45	944110	0.99	90.8	-13.68	76	37320	0.84	220.81	16.95
