Ownership                          Establishments, employment, and wages  1996         1997         1998         1999         2000         2001         2002         2003         2004         2005         
Total covered (UI and UCFE)        Average establishments                 7189168      7369473      7634018      7820860      7879116      7984529      8101872      8228840      8364795      8571144      
Total covered (UI and UCFE)        Annual average employment              117963132    121044432    124183549    127042282    129877063    129635800    128233919    127795827    129278176    131571623    
Total covered (UI and UCFE)        Total annual wages (in thousands)      3414514808   3674031718   3967072423   4235579204   4587708584   4695225123   4714374741   4826251547   5087561796   5351949496   
Total covered (UI and UCFE)        Annual wages per employee              28946        30353        31945        33340        35323        36219        36764        37765        39354        40677        
Total covered (UI and UCFE)        Average weekly wage                    557          584          614          641          679          697          707          726          757          782          
UI covered                         Average establishments                 7137644      7317363      7586767      7771198      7828861      7933536      8051117      8177087      8312729      8518249      
UI covered                         Annual average employment              115081246    118233942    121400660    124255714    127005574    126883182    125475293    125031551    126538579    128837948    
UI covered                         Total annual wages (in thousands)      3298045286   3553933885   3845494089   4112169533   4454966824   4560511280   4570787218   4676319378   4929262369   5188301929   
UI covered                         Annual wages per employee              28658        30058        31676        33094        35077        35943        36428        37401        38955        40270        
UI covered                         Average weekly wage                    551          578          609          636          675          691          701          719          749          774          
Private industry covered           Average establishments                 6946858      7121182      7381518      7560567      7622274      7724965      7839903      7963340      8093142      8294662      
Private industry covered           Annual average employment              99268446     102175161    105082368    107619457    110015333    109304802    107577281    107065553    108490066    110611016    
Private industry covered           Total annual wages (in thousands)      2837334217   3071807287   3337621699   3577738557   3887626769   3952152155   3930767025   4015823311   4245640890   4480311193   
Private industry covered           Annual wages per employee              28582        30064        31762        33244        35337        36157        36539        37508        39134        40505        
Private industry covered           Average weekly wage                    550          578          611          639          680          695          703          721          753          779          
State government covered           Average establishments                 62146        65352        67347        70538        65096        64583        64447        64467        64544        66278        
State government covered           Annual average employment              4191726      4214451      4240779      4296673      4370160      4452237      4485071      4481845      4484997      4527514      
State government covered           Total annual wages (in thousands)      131605800    137057432    142512445    149011194    158618365    168358331    175866492    179528728    184414992    191281126    
State government covered           Annual wages per employee              31397        32521        33605        34681        36296        37814        39212        40057        41118        42249        
State government covered           Average weekly wage                    604          625          646          667          698          727          754          770          791          812          
Local government covered           Average establishments                 128640       130829       137902       140093       141491       143989       146767       149281       155043       157309       
Local government covered           Annual average employment              11621074     11844330     12077513     12339584     12620081     13126143     13412941     13484153     13563517     13699418     
Local government covered           Total annual wages (in thousands)      329105269    345069166    365359945    385419781    408721690    440000795    464153701    480967339    499206488    516709610    
Local government covered           Annual wages per employee              28320        29134        30251        31234        32387        33521        34605        35669        36805        37718        
Local government covered           Average weekly wage                    545          560          582          601          623          645          665          686          708          725          
Federal government covered (UCFE)  Average establishments                 51524        52110        47252        49661        50256        50993        50755        51753        52066        52895        
Federal government covered (UCFE)  Annual average employment              2881887      2810489      2782888      2786567      2871489      2752619      2758627      2764275      2739596      2733675      
Federal government covered (UCFE)  Total annual wages (in thousands)      116469523    120097833    121578334    123409672    132741760    134713843    143587523    149932170    158299427    163647568    
Federal government covered (UCFE)  Annual wages per employee              40414        42732        43688        44287        46228        48940        52050        54239        57782        59864        
Federal government covered (UCFE)  Average weekly wage                    777          822          840          852          889          941          1001         1043         1111         1151         
