Sao Paulo, Brazil             ID: 251   Lat: -23.53  Lon:  -46.62  Alt:  397
ADEOS TOMS V.7 Archive Overpass.  Generated: 20-December-2000                   
  MJD   Year Day sec-UT SCN  LAT     LON  DIS  PT  SZA  OZONE   REF   A.I.   SOI
#
50337.6 1996 255 48627  20 -23.58  -46.48  15  93 35.77 308.2  78.8  -0.30   -2
50338.5 1996 256 47023  32 -23.76  -46.26  45  95 39.81 314.0  51.5   0.60    3
50339.6 1996 257 51417   2 -23.71  -46.56  21  93 29.38 309.9  49.8   0.30    1
50340.6 1996 258 49800  10 -23.51  -46.77  15  91 31.99 294.5  19.3  -0.30   -4
50341.6 1996 259 48189  24 -23.55  -46.39  24  93 35.43 298.3   8.6   0.20    1
50342.5 1996 260 46585  34 -23.62  -46.25  39  94 39.69 293.0  30.6   1.20    5
50345.6 1996 263 47751  28 -23.46  -46.55  11  92 35.33 286.8   6.1   0.00    2
50346.5 1996 264 46147  36 -23.31  -46.93  40  91 40.13 290.3  13.2  -0.20    1
50347.6 1996 265 50534   5 -23.52  -46.35  28  93 27.57 293.6   4.3   0.20    4
50348.6 1996 266 48923  17 -23.58  -46.43  20  93 31.05 289.1   3.6   0.50    2
50349.5 1996 267 47313  31 -23.41  -46.60  13  91 35.30 285.3   8.4   0.20   -1
50354.6 1996 272 51267   3 -23.28  -47.26  71  91 23.67 282.1  46.7   0.20    4
50355.6 1996 273 49656  11 -23.45  -46.68  11  91 26.71 287.2  10.8  -0.30    3
50356.6 1996 274 48046  26 -23.39  -46.69  17  91 30.83 298.2  23.6   0.00   -1
50357.5 1996 275 46441  35 -23.31  -46.72  27  91 35.63 300.1  35.2   0.30    1
50358.6 1996 276 50835   4 -23.66  -46.63  14  92 23.02 304.0  12.2  -0.40    0
50359.6 1996 277 49217  15 -23.34  -46.74  24  91 26.42 288.3  89.5   0.20    1
50360.6 1996 278 47613  29 -23.60  -46.57   9  92 30.94 299.3   4.4   0.30    1
50361.5 1996 279 46009  36 -23.51  -46.39  24  92 35.77 288.0   2.2   0.30    3
50362.6 1996 280 50397   6 -23.62  -46.62  10  92 22.49 288.1  34.2   0.40    1
50363.6 1996 281 48786  19 -23.67  -46.70  18  92 26.55 296.5  58.7   0.10   -2
50364.5 1996 282 47175  32 -23.42  -46.79  21  91 31.25 287.0  51.9   0.10    0
50365.6 1996 283 51569   2 -23.35  -47.13  56  91 18.95 289.3  17.5  -0.60    1
50370.6 1996 288 49520  12 -23.55  -46.63   2  92 22.09 306.2  71.0   0.20    4
50371.6 1996 289 47910  27 -23.50  -46.65   5  92 26.84 299.8  56.4   0.20   -2
50372.5 1996 290 46305  35 -23.54  -46.21  42  93 31.78 299.6  47.0   0.10   -1
50373.6 1996 291 50693   5 -23.42  -46.97  38  91 18.08 289.1   3.1   0.00   -1
50374.6 1996 292 49082  16 -23.55  -46.63   2  92 22.27 289.1   3.6   0.50   -3
50375.5 1996 293 47471  30 -23.39  -46.55  17  91 27.23 285.2   8.4   0.40   -4
50381.6 1996 299 49816  10 -23.45  -46.79  19  91 18.24 277.4  44.1   0.10    2
50382.6 1996 300 48206  24 -23.51  -46.41  22  92 23.11 283.0  53.5   0.00    0
50383.6 1996 301 52606   1 -23.20  -49.67 313  94 11.89 285.1  55.0  -0.30   -1
50384.6 1996 302 50995   3 -23.78  -46.14  56  95 13.84 308.6  35.9   0.30    4
50386.6 1996 304 47767  28 -23.40  -46.56  16  91 24.06 293.1   3.0   0.50   -3
50387.5 1996 305 46168  36 -23.55  -47.06  45  91 30.28 284.3   2.7   0.30   -1
50388.6 1996 306 50551   5 -23.45  -46.36  28  92 14.07 280.8  39.8   0.00    2
50389.6 1996 307 48940  17 -23.54  -46.46  16  92 19.37 283.3  10.7  -0.30   -4
50390.5 1996 308 47329  31 -23.34  -46.63  21  91 25.16 272.6  50.6   0.40   -1
50391.5 1996 309 45730  37 -23.40  -46.99  40  91 31.39 277.5  62.4   0.00   -1
50392.6 1996 310 50113   8 -23.49  -46.82  21  91 15.14 288.4   4.9  -0.10    2
50393.6 1996 311 48501  22 -23.47  -46.74  14  91 20.64 285.2   2.9   0.60   -1
50394.5 1996 312 46897  33 -23.62  -46.52  14  93 26.33 300.7   3.7   0.50    1
50395.6 1996 313 51286   3 -23.35  -47.29  71  92 11.12 307.4   9.6  -0.40   -1
50396.6 1996 314 49674  11 -23.53  -46.73  11  91 16.09 295.8   3.0   0.40    0
50397.6 1996 315 48063  26 -23.49  -46.76  15  91 21.92 282.0   3.2   0.70   -2
50398.5 1996 316 46459  35 -23.47  -46.82  21  91 27.95 276.5  46.1   0.30   -1
50399.6 1996 317 50847   4 -23.50  -46.62   3  92 11.56 286.5  33.5  -0.50    3
50400.6 1996 318 49236  15 -23.59  -46.82  21  92 17.45 283.5  25.5  -0.60   -5
50401.6 1996 319 47626  29 -23.51  -46.58   5  92 23.18 281.4  30.8   0.30   -3
50402.5 1996 320 46021  36 -23.46  -46.42  22  92 29.09 284.2  38.0   0.40    1
50403.6 1996 321 50409   6 -23.59  -46.62   7  92 12.81 282.4  49.8   0.00    0
50404.6 1996 322 48797  19 -23.62  -46.71  14  92 18.82 290.2  37.4   0.00    0
50406.6 1996 324 51581   2 -23.42  -47.14  54  91  8.86 285.0  40.4  -0.60   -1
50407.6 1996 325 49970   9 -23.65  -46.86  28  92 14.51 279.4  66.0  -0.10   -2
50408.6 1996 326 48360  23 -23.71  -46.62  20  93 20.36 290.6  81.2  -0.10   -1
50409.5 1996 327 46749  34 -23.37  -46.83  28  91 26.67 291.8  69.2  -0.20    1
50410.6 1996 328 51143   3 -23.60  -46.71  12  92 10.00 295.3  53.4  -0.40   -3
50411.6 1996 329 49525  12 -23.37  -46.59  18  91 15.92 284.8   2.3   0.50    0
50412.6 1996 330 47916  27 -23.38  -46.62  17  91 22.11 284.0  11.1   0.00    1
50413.5 1996 331 46318  35 -23.82  -46.32  44  95 27.97 302.9  11.3   0.20   -1
50414.6 1996 332 50699   5 -23.39  -46.95  37  91 11.89 306.0   5.9  -0.30   -3
50415.6 1996 333 49088  16 -23.55  -46.63   2  92 17.78 288.1   3.8   0.70    4
50417.6 1996 335 51876   1 -23.59  -46.63   7  92  7.33 286.1  30.1  -0.10    1
50418.6 1996 336 50260   7 -23.50  -46.74  13  91 13.57 289.5  39.7  -0.10   -1
50419.6 1996 337 48647  20 -23.52  -46.48  14  92 19.56 282.2  39.9   0.40    0
50420.5 1996 338 47039  32 -23.48  -46.20  43  93 25.51 276.9  46.0   0.50   -1
50421.6 1996 339 51433   2 -23.49  -46.52  11  92  9.12 290.8  38.8  -0.20    1
50422.6 1996 340 49816  10 -23.33  -46.74  25  91 15.56 289.6  20.2   0.00    0
50423.6 1996 341 48205  24 -23.39  -46.36  31  92 21.44 277.3  10.9   0.50    3
50424.5 1996 342 46601  34 -23.50  -46.24  39  93 27.52 273.6  19.3   0.80    1
50425.6 1996 343 50989   4 -23.29  -47.17  62  91 11.73 281.6  29.5   0.10    1
50426.6 1996 344 49378  13 -23.50  -46.47  16  92 17.33 274.5   3.2   0.50   -4
50427.6 1996 345 47767  28 -23.41  -46.55  15  92 23.64 272.6  14.5   0.40    0
50428.5 1996 346 46168  36 -23.59  -47.05  44  91 30.26 278.7  36.3   0.50   -1
50429.6 1996 347 50550   5 -23.55  -46.35  28  93 13.04 279.9  49.3  -0.20   -3
50430.6 1996 348 48939  17 -23.65  -46.45  22  93 19.37 276.0  41.2   0.20   -2
50431.5 1996 349 47329  31 -23.48  -46.64   6  92 25.78 271.1  27.5   0.20    0
50432.5 1996 350 45724  37 -23.27  -46.91  41  91 32.25 263.0  15.3  -0.10   -1
50433.6 1996 351 50106   8 -23.33  -46.75  26  91 15.54 266.4  22.6  -0.10    3
50434.6 1996 352 48494  22 -23.35  -46.66  20  91 21.70 272.4  29.9   0.40    5
50435.5 1996 353 46890  33 -23.53  -46.45  17  92 27.70 276.4  66.5   0.00    0
50436.6 1996 354 51279   3 -23.30  -47.25  69  91 11.85 272.9  12.8  -0.30   -4
50437.6 1996 355 49667  11 -23.50  -46.68   7  92 17.58 264.6   4.8   0.40    1
50438.6 1996 356 48056  26 -23.50  -46.71  10  91 23.85 264.0  10.7   0.50    3
50439.5 1996 357 46452  35 -23.52  -46.78  16  91 30.11 250.7  64.8  -0.10   -4
50440.6 1996 358 50840   4 -23.56  -46.58   5  92 13.37 283.3  64.7  -0.50   -3
50441.6 1996 359 49228  15 -23.66  -46.79  23  92 19.80 273.4  30.9   0.10    0
50442.6 1996 360 47618  29 -23.61  -46.55  11  92 25.82 270.3  20.9   0.50    1
50443.5 1996 361 46013  36 -23.59  -46.39  24  93 31.88 268.3   3.8   0.20    0
50444.6 1996 362 50395   6 -23.41  -46.54  16  92 15.48 275.7  11.6  -0.40   -4
50445.6 1996 363 48785  19 -23.47  -46.62   7  92 21.81 271.5  67.1   0.30    2
50446.5 1996 364 47180  32 -23.54  -46.79  17  91 28.18 269.0  81.7  -0.10   -1
50447.6 1996 365 51575   2 -23.56  -47.13  52  91 11.87 263.9  60.8  -0.30    1
50448.6 1996 366 49957   9 -23.37  -46.76  23  91 17.82 265.8  21.6   0.00   -3
50449.6 1997 001 48346  23 -23.41  -46.49  19  92 23.84 256.1  11.1   0.40   -2
50450.5 1997 002 46742  34 -23.42  -46.79  21  91 30.33 257.9  31.3   0.40   -4
50451.6 1997 003 51136   3 -23.66  -46.69  16  92 13.61 264.8  21.3   0.20    5
50452.6 1997 004 49519  12 -23.43  -46.56  13  92 19.78 291.8  55.9   0.10   -1
50453.6 1997 005 47914  27 -23.67  -46.66  16  92 26.09 277.2  41.4   0.90   -1
50454.5 1997 006 46310  35 -23.77  -46.25  46  95 31.92 273.3  13.9   0.20    0
50455.6 1997 007 50697   5 -23.65  -46.98  39  92 16.01 276.5   7.0  -0.30    4
50456.6 1997 008 49081  16 -23.45  -46.58  10  92 21.92 271.0  12.3  -0.10   -4
50457.5 1997 009 47476  30 -23.62  -46.58  11  92 28.16 265.8  34.6   0.80   -5
50458.6 1997 010 51870   1 -23.50  -46.61   3  92 11.55 263.3  55.5  -0.60   -4
50459.6 1997 011 50253   7 -23.37  -46.69  19  91 17.90 266.4  57.7   0.00    0
50460.6 1997 012 48642  20 -23.43  -46.44  21  92 23.93 266.5  28.9   0.20   -4
50461.5 1997 013 47038  32 -23.62  -46.21  43  94 29.95 265.9  55.7   0.40    2
50462.6 1997 014 51432   2 -23.63  -46.55  13  93 13.65 273.1  44.9  -0.90   -4
50463.6 1997 015 49815  10 -23.41  -46.75  19  91 20.08 272.3  36.6   0.00   -2
50464.6 1997 016 48204  25 -23.39  -46.82  26  91 26.40 270.2  63.5   0.00   -2
50465.5 1997 017 46600  34 -23.53  -46.23  40  93 32.10 266.9  48.0   0.30   -3
50466.6 1997 018 50988   4 -23.29  -47.18  63  91 16.35 264.0   7.3  -0.60    1
50467.6 1997 019 49377  13 -23.51  -46.47  15  92 21.96 269.7  21.5   0.20   -2
50468.6 1997 020 47765  28 -23.37  -46.52  21  91 28.26 254.6  40.4   0.80    3
50469.5 1997 021 46162  36 -23.27  -46.91  41  91 34.86 256.8  43.6   0.70    0
50470.6 1997 022 50550   5 -23.47  -46.35  28  92 17.76 261.2  40.8  -0.30   -3
50471.6 1997 023 48938  17 -23.52  -46.42  20  92 24.05 260.8  42.5   0.00   -5
50472.5 1997 024 47334  31 -23.69  -46.70  20  92 30.54 271.8  51.0   0.10   -2
50473.5 1997 025 45729  37 -23.45  -46.97  37  91 37.01 263.1  34.4   0.50    0
50474.6 1997 026 50111   8 -23.47  -46.79  19  91 20.31 265.5  52.2  -0.40   -5
50475.6 1997 027 48500  22 -23.53  -46.72  10  92 26.45 257.9  57.3   0.30   -5
50476.5 1997 028 46895  33 -23.61  -46.48  17  93 32.46 258.6  55.2   0.30   -2
50477.6 1997 029 51283   3 -23.31  -47.27  71  92 16.73 264.4  12.1  -0.40   -2
50478.6 1997 030 49672  11 -23.52  -46.71   9  92 22.39 267.0  15.3   0.00    0
50479.6 1997 031 48061  26 -23.49  -46.73  12  91 28.59 271.8  29.5   0.30    2
50480.5 1997 032 46457  35 -23.47  -46.79  19  91 34.85 262.8  29.4   0.50    0
50481.6 1997 033 50845   4 -23.50  -46.61   3  92 18.37 261.5  42.8  -0.30    0
50482.6 1997 034 49234  15 -23.60  -46.80  20  92 24.64 275.9  42.3   0.20    0
50483.6 1997 035 47623  29 -23.53  -46.55   7  92 30.57 264.8   7.2   0.30   -1
50484.5 1997 036 46019  36 -23.47  -46.38  25  92 36.60 259.4   2.2   0.30   -1
50485.6 1997 037 50407   6 -23.61  -46.62   9  92 20.59 269.1   9.6  -0.40    1
50486.6 1997 038 48796  19 -23.69  -46.71  20  92 26.72 275.4  11.9  -0.20   -4
50487.5 1997 039 47185  32 -23.41  -46.78  21  91 32.89 269.2   6.8   0.20   -3
50488.6 1997 040 51579   2 -23.42  -47.14  54  91 17.36 274.5  12.5  -0.50   -2
50489.6 1997 041 49968   9 -23.65  -46.85  27  92 22.99 271.5   3.6   0.00   -4
50490.6 1997 042 48357  23 -23.71  -46.60  20  93 28.79 268.4   6.6   0.40    4
50491.5 1997 043 46747  34 -23.37  -46.80  26  91 35.03 268.1   3.4   0.10    0
50492.6 1997 044 51141   3 -23.63  -46.72  15  92 19.32 271.4   7.0  -0.20   -1
50493.6 1997 045 49524  12 -23.42  -46.59  13  91 24.89 268.6   6.8   0.00    0
50494.6 1997 046 47913  27 -23.38  -46.61  17  91 30.88 263.3  45.3   0.60    3
