Header:
Instrument	ASRC_U111
Source	Sun
Location	TMTF
Environment	Outdoors
Year	2004
Day	86
Date	2004MAR26
Operation	Discrete
Measurement_purpose	Irradiance
Number_of_scans	1
Number_of_columns	4
Number_of_rows	701
Start_time	18.99984	[UTC]
Stop_time	19.28262	[UTC]
Start_wavelength	290.00	[nm]
Stop_wavelength	360.00	[nm]
Increment_wavelength	0.10	[nm]
Dark_signal	0.36310	[p_s^-1]
ForeOptic_temperature	32.97	[ns]
Front_temperature	32.97	[ns]
Back_temperature	24.90	[ns]
Inside_temperature	24.30	[ns]
Shelter_temperature	22.33	[ns]
PSUnit_temperature	25.36	[ns]
AirCond_temperature	18.97	[ns]
Outside_temperature	26.49	[ns]
Comments	none
Formatted_file	2004086f12.u11
Responsivity_file	03352Rsm.u11
Analysis_program	Calc_Irrad.c
Labels:
Wavelength	Irradiance	dE(R)/E	dE(S)/E
[nm]	[mW_m^-2_nm^-1]
Data:
290.076	0.00099	0.1253	0.0000
290.176	-0.00056	0.1660	-0.0000
290.276	0.00099	0.1253	-0.0000
290.376	0.00099	0.1253	-0.0000
290.476	0.00099	0.1253	-0.0000
290.576	0.00099	0.1253	-0.0000
290.676	0.00253	0.0782	-0.0000
290.776	-0.00056	0.1660	-0.0000
290.876	0.00098	0.1253	-0.0000
290.976	0.00098	0.1253	-0.0000
291.076	-0.00056	0.1660	-0.0000
291.176	-0.00056	0.1660	0.0000
291.276	0.00098	0.1253	0.0000
291.376	0.00252	0.0782	0.0000
291.476	0.00098	0.1253	0.0000
291.576	0.00406	0.0616	0.0000
291.676	0.00252	0.0782	0.0000
291.776	0.00405	0.0616	0.0000
291.875	0.00405	0.0616	0.0000
291.975	0.00405	0.0616	0.0000
292.075	0.00404	0.0616	0.0000
292.175	0.00711	0.0464	-0.0000
292.275	0.00557	0.0524	-0.0000
292.375	0.00251	0.0782	-0.0000
292.475	0.00710	0.0464	-0.0000
292.575	0.00403	0.0616	-0.0000
292.675	0.00556	0.0524	-0.0000
292.775	0.00708	0.0464	-0.0000
292.875	0.00403	0.0616	-0.0000
292.975	0.01318	0.0340	-0.0000
293.075	0.01469	0.0322	-0.0000
293.175	0.01773	0.0293	0.0000
293.275	0.02077	0.0271	0.0000
293.375	0.02380	0.0253	0.0000
293.475	0.03139	0.0220	0.0000
293.575	0.04202	0.0190	0.0000
293.675	0.01616	0.0307	0.0000
293.775	0.02830	0.0232	0.0000
293.874	0.02981	0.0226	0.0000
293.974	0.04041	0.0194	0.0000
294.074	0.04190	0.0190	0.0000
294.174	0.04188	0.0190	-0.0000
294.274	0.06155	0.0157	-0.0000
294.374	0.06000	0.0159	-0.0000
294.474	0.05392	0.0168	-0.0000
294.574	0.08414	0.0134	-0.0000
294.674	0.10677	0.0119	-0.0000
294.774	0.04477	0.0184	-0.0000
294.874	0.05079	0.0172	-0.0000
294.974	0.07793	0.0139	-0.0000
295.074	0.12164	0.0111	-0.0000
295.174	0.15927	0.0097	0.0000
295.274	0.20591	0.0086	0.0000
295.374	0.11995	0.0112	0.0000
295.474	0.24636	0.0078	0.0000
295.574	0.30644	0.0070	0.0000
295.674	0.24011	0.0079	0.0000
295.773	0.22347	0.0082	0.0000
295.873	0.37063	0.0064	0.0000
295.973	0.33892	0.0067	0.0000
296.073	0.35978	0.0065	0.0000
296.173	0.44066	0.0058	-0.0000
296.273	0.61897	0.0049	-0.0000
