Heiss Island, Russia          ID: 114   Lat:  80.62  Lon:   58.05  Alt:   20
ADEOS TOMS V.7 Archive Overpass.  Generated: 20-December-2000                   
  MJD   Year Day sec-UT SCN  LAT     LON  DIS  PT  SZA  OZONE   REF   A.I.   SOI
#
50337.5 1996 255 46756  19  81.08   39.72 327 100 80.67 272.8  45.6  -1.00    1
50338.5 1996 256 45139  17  80.24   45.48 236 100 80.44 286.9  41.4  -1.20    4
50339.6 1996 257 49533  19  81.40   39.86 326 100 83.18 257.7  34.0  -1.00    3
50340.6 1996 258 47928  17  80.49   39.82 332 100 82.22 262.6  52.9  -1.80    1
50341.5 1996 259 46318  20  81.40   39.59 331 100 82.16 251.3  32.9   0.70    1
50342.5 1996 260 44701  17  80.18   46.07 227 100 81.81 260.6  24.6  -0.30   -2
50345.5 1996 263 45880  15  79.49   43.65 303 100 82.98 245.8  10.8  -0.40   -2
50346.5 1996 264 44250  17  80.33   51.02 133 100 83.90 260.7  41.8  -0.80   -2
50347.5 1996 265 42626  14  79.17   59.26 163 100 83.90 262.3  22.3   0.00    1
50348.5 1996 266 41004  12  78.31   66.55 309 100 83.95 289.7  49.6  -0.60 -999
50349.4 1996 267 33407  26  80.47   57.89  17  99 81.25 298.2  44.1  -1.00    5
50354.4 1996 272 31351  28  80.47   59.52  32 100 82.89 269.1  64.3  -1.40   -1
50355.3 1996 273 29733  30  80.63   59.26  22 100 83.24 265.2  67.5  -0.90   -2
50356.3 1996 274 28116  32  80.66   57.52  11  99 83.62 270.5  51.9  -0.50    1
50357.3 1996 275 26499  33  80.43   59.11  29 100 83.85 274.5  43.1  -0.50    3
50358.4 1996 276 30919  28  80.05   59.90  72 100 83.99 264.9  41.9  -0.40    2
50359.3 1996 277 29307  30  79.83   59.07  90 100 83.97 260.7  46.4   0.20   -2
50360.3 1996 278 27697  32  79.46   57.47 129 100 83.99 240.5  17.5   1.10   -5
50361.4 1996 279 32116  25  78.63   59.03 222 100 83.96 228.7  14.2   0.40   -2
50362.4 1996 280 30506  28  78.60   57.55 225 100 83.97 246.7  27.0   0.30   -2
50363.3 1996 281 28894  30  78.29   57.77 259 100 83.95 256.0  20.5   0.40    3
50364.3 1996 282 27284  32  77.87   57.33 306 100 83.96 263.4  52.0   0.00   -1
50512.3 1997 064 29052  29  77.99   59.43 294 100 83.98 297.7  64.3  -0.70 -999
50513.3 1997 065 27428  31  78.25   60.55 268 100 83.98 287.2  66.3  -0.60 -999
50514.4 1997 066 31836  27  78.72   55.04 220 100 83.96 295.9  73.8  -1.40 -999
50515.3 1997 067 30212  29  79.11   56.94 169 100 83.93 288.1  76.5  -1.20 -999
50516.3 1997 068 28589  31  79.42   57.51 134 100 83.92 290.6  78.2  -0.90    2
50517.4 1997 069 32989  25  79.65   59.08 110 100 83.97 288.8  78.9  -1.20 -999
50518.4 1997 070 31371  28  80.04   57.85  65 100 83.73 310.6  73.7  -1.80 -999
50519.3 1997 071 29742  30  80.70   59.31  24 100 83.95 313.2  77.3  -1.60 -999
50520.4 1997 072 34149  25  80.59   58.72  13 100 83.92 285.3  80.2  -1.30   -1
50521.4 1997 073 32537  27  80.50   58.08  13 100 83.14 283.1  79.8  -1.60    3
50522.4 1997 074 36932  22  80.61   58.22   3 100 83.90 273.1  79.1  -1.70    2
50523.4 1997 075 35322  24  80.64   57.69   7  99 83.02 274.2  80.3  -1.60    7
50524.4 1997 076 33711  26  80.57   56.94  21  99 82.16 277.1  79.9  -1.60    3
50525.4 1997 077 38104  21  80.60   57.37  13  99 83.07 293.7  81.0  -1.40    3
50526.5 1997 078 42492  13  78.74   59.53 211 100 83.94 276.5  69.2  -0.80   -1
50527.5 1997 079 40868  16  79.91   64.25 141 100 83.94 283.8  75.0  -1.70    2
50528.5 1997 080 45294  17  80.35   46.44 215 100 83.89 269.6  63.2  -1.30   -1
50529.5 1997 081 43677  16  79.84   51.19 156 100 82.94 257.8  64.3  -1.50   -2
50530.6 1997 082 48083  16  80.17   41.06 318 100 83.90 248.5  79.3  -1.10   -3
50531.5 1997 083 46479  17  80.28   40.15 331 100 82.52 250.7  75.9  -1.60    0
50532.5 1997 084 44855  16  79.88   47.03 223 100 81.92 261.0  64.5  -1.50   -3
50533.6 1997 085 49249  19  81.41   40.20 321 100 83.90 288.1  77.5  -1.90    6
50534.6 1997 086 47645  18  80.86   39.51 331 100 82.27 280.8  73.3  -1.80   -1
50535.5 1997 087 46034  17  80.27   41.82 301 100 80.98 321.0  79.2  -1.80   -2
50536.5 1997 088 44411  17  80.24   47.99 190 100 80.51 293.1  83.3  -1.10    1
50537.6 1997 089 48812  18  80.99   39.68 328 100 81.89 283.3  75.6  -1.40    2
50538.5 1997 090 47201  20  81.58   39.87 329 100 80.98 271.7  77.3  -1.80    0
50539.5 1997 091 45590  17  80.27   43.45 272 100 79.45 269.2  72.2  -1.30    3
50540.6 1997 092 49978  19  81.44   39.95 325 100 81.68 266.7  78.7  -1.60    1
50541.6 1997 093 48367  20  81.74   40.53 322 100 80.62 278.2  75.8  -1.80    1
50542.5 1997 094 46763  19  81.11   39.71 327 100 78.98 281.1  78.7  -1.70    2
50543.5 1997 095 45146  17  80.25   45.02 244 100 77.93 283.7  50.8  -1.60    0
50544.6 1997 096 49539  18  81.03   39.49 331 100 79.73 267.6  78.7  -1.70   -1
50545.6 1997 097 47928  18  80.93   40.83 308 100 78.58 278.1  79.8  -1.40    0
50546.5 1997 098 46324  17  80.28   40.75 320 100 76.94 268.8  78.5  -1.40    0
50547.5 1997 099 44700  17  80.27   47.22 203 100 76.54 278.4  58.2  -1.30    0
50548.6 1997 100 49095  20  81.79   40.38 326 100 78.47 309.4  73.7  -1.60    2
