NASA Ames Airborne Tracking 14-Channel Sunphotometer, AATS-14
SAFARI-2000  9/ 1/2000
Date processed: 29-Jan-2002 by Beat Schmid, Version 1.6
NO2 [molec/cm2]: 2e+015
O3 [DU]: 295
Relative Std Dev Filter Aerosol[%]: 5.0
Relative Std Dev Filter H2O [%]: 10.0
Max m_aero: Inf
Max tau_aero: 5.0
Max tau_aero error: Inf
Min Alpha Angstrom: 0.00
AOD smoothing parameter 0.99
aerosol wavelengths [10^-6 m]  0.353  0.380  0.449  0.499  0.525  0.606  0.675  0.778  0.865  1.019  1.241  1.557
UT[h]     Lat[deg]  Lon[deg]  GPS_Alt p_Alt[km] p[hPa]  AOD0354 AOD0380 AOD0449 AOD0499 AOD0525 AOD0606 AOD0675 AOD0778 AOD0865 AOD1019 AOD1241 AOD1557 Err0354 Err0380 Err0449 Err0499 Err0525 Err0606 Err0675 Err0778 Err0865 Err1019 Err1241 Err1557 a2_fit  a1_fit  a0_fit  Ext0354 Ext0380 Ext0449 Ext0499 Ext0525 Ext0606 Ext0675 Ext0778 Ext0865 Ext1019 Ext1241 Ext1557 a2_fit  a1_fit  a0_fit
10.98333 -17.68321  25.11382  2.121   2.072     800.57  0.3832  0.3514  0.2650  0.2124  0.2029  0.1485  0.1162  0.0895  0.0811  0.0765  0.0413  0.0269  0.0119  0.0224  0.0260  0.0310  0.0535  0.0342  0.0050  0.0032  0.0040  0.0032  0.0041  0.0111 -0.0333 -1.7793 -2.7609  0.1254  0.1104  0.0839  0.0666  0.0613  0.0394  0.0317  0.0228  0.0180  0.0110  0.0082  0.0036 -0.2900 -2.5478 -4.3792
10.98222 -17.68321  25.11382  2.121   2.090     798.82  0.3720  0.3431  0.2543  0.2067  0.1904  0.1478  0.1145  0.0871  0.0803  0.0735  0.0417  0.0302  0.0120  0.0224  0.0261  0.0311  0.0535  0.0342  0.0051  0.0033  0.0041  0.0034  0.0042  0.0111  0.0831 -1.6395 -2.7600  0.1249  0.1100  0.0837  0.0664  0.0613  0.0392  0.0315  0.0227  0.0180  0.0111  0.0082  0.0036 -0.3075 -2.5619 -4.3814
10.98111 -17.67598  25.11247  2.164   2.113     796.73  0.3603  0.3350  0.2447  0.2003  0.1793  0.1446  0.1127  0.0832  0.0793  0.0683  0.0412  0.0320  0.0123  0.0224  0.0264  0.0312  0.0537  0.0342  0.0053  0.0036  0.0043  0.0036  0.0044  0.0112  0.1660 -1.5544 -2.7818  0.1244  0.1095  0.0836  0.0660  0.0614  0.0390  0.0315  0.0227  0.0180  0.0112  0.0083  0.0035 -0.3189 -2.5663 -4.3804
10.98000 -17.67598  25.11247  2.164   2.139     794.24  0.3656  0.3349  0.2539  0.2022  0.1958  0.1409  0.1105  0.0859  0.0778  0.0749  0.0396  0.0242  0.0113  0.0223  0.0254  0.0308  0.0532  0.0342  0.0047  0.0026  0.0036  0.0027  0.0037  0.0110 -0.0868 -1.8271 -2.8083  0.1246  0.1096  0.0841  0.0662  0.0623  0.0389  0.0316  0.0230  0.0183  0.0116  0.0084  0.0035 -0.3538 -2.5880 -4.3697
10.97889 -17.66781  25.11115  2.164   2.160     792.29  0.3680  0.3371  0.2556  0.2050  0.1966  0.1419  0.1115  0.0864  0.0782  0.0747  0.0396  0.0246  0.0163  0.0231  0.0310  0.0330  0.0561  0.0347  0.0075  0.0065  0.0069  0.0065  0.0070  0.0125 -0.0788 -1.8230 -2.8032  0.1261  0.1107  0.0856  0.0670  0.0640  0.0393  0.0321  0.0235  0.0187  0.0122  0.0087  0.0034 -0.3900 -2.6077 -4.3463
10.97593 -17.66401  25.11050  2.185   2.180     790.49  0.3618  0.3358  0.2479  0.2039  0.1836  0.1459  0.1144  0.0860  0.0810  0.0717  0.0425  0.0343  0.0128  0.0225  0.0271  0.0314  0.0541  0.0343  0.0056  0.0040  0.0047  0.0040  0.0048  0.0114  0.1744 -1.5176 -2.7473  0.1287  0.1130  0.0878  0.0685  0.0661  0.0402  0.0330  0.0244  0.0194  0.0130  0.0091  0.0036 -0.3837 -2.5780 -4.3033
10.97204 -17.65107  25.10867  2.194   2.190     789.50  0.3759  0.3471  0.2580  0.2100  0.1933  0.1494  0.1169  0.0887  0.0825  0.0742  0.0428  0.0322  0.0129  0.0226  0.0272  0.0315  0.0542  0.0343  0.0056  0.0040  0.0047  0.0040  0.0048  0.0115  0.1038 -1.6087 -2.7365  0.1308  0.1148  0.0894  0.0696  0.0675  0.0410  0.0337  0.0250  0.0199  0.0135  0.0094  0.0038 -0.3638 -2.5420 -4.2704
10.96667 -17.63212  25.10730  2.225   2.210     787.67  0.3732  0.3440  0.2563  0.2072  0.1931  0.1475  0.1150  0.0876  0.0806  0.0742  0.0417  0.0293  0.0131  0.0226  0.0274  0.0316  0.0543  0.0344  0.0058  0.0042  0.0049  0.0043  0.0050  0.0115  0.0505 -1.6734 -2.7600  0.1357  0.1191  0.0931  0.0723  0.0707  0.0428  0.0353  0.0264  0.0211  0.0146  0.0100  0.0043 -0.3325 -2.4814 -4.2032
10.96444 -17.62654  25.10711  2.246   2.242     784.75  0.3792  0.3490  0.2611  0.2121  0.1977  0.1495  0.1167  0.0896  0.0816  0.0757  0.0422  0.0291  0.0120  0.0224  0.0263  0.0311  0.0537  0.0343  0.0052  0.0034  0.0042  0.0035  0.0043  0.0112  0.0278 -1.6977 -2.7462  0.1460  0.1281  0.1006  0.0778  0.0771  0.0468  0.0385  0.0291  0.0232  0.0168  0.0113  0.0050 -0.3059 -2.4125 -4.0883
10.96167 -17.61552  25.10727  2.260   2.250     783.94  0.3747  0.3451  0.2575  0.2070  0.1948  0.1477  0.1149  0.0877  0.0805  0.0748  0.0415  0.0285  0.0114  0.0223  0.0256  0.0309  0.0534  0.0342  0.0048  0.0028  0.0037  0.0029  0.0038  0.0110  0.0266 -1.7020 -2.7632  0.1492  0.1310  0.1029  0.0796  0.0791  0.0481  0.0395  0.0299  0.0239  0.0175  0.0116  0.0052 -0.3020 -2.3981 -4.0560
