"Table with row headers in column A and column headers in row 8 through 9, repeated in row 65 through 66, row 122 and row 178 Leading dots indicate sub-parts.",,,,,,,,,
Census 2000 PHC-T-39,,,,,,,,,
"Table 5: School Enrollment of the Population 3 Years and Over by Age, Nativity, and Type of School: 2000",,,,,,,,,
Geographic area: United States,,,,,,,,,
"Black or African American alone or in combination, both sexes",,,,,,,,,
"(Data based on a sample.  For information on confidentiality protection, sampling error, nonsampling error and definitions, see www.census.gov/prod/cen2000/doc/sf3.pdf.)",,,,,,,,,
,,,,,,,,,
,Total,Enrolled in school,,,,,,,
,,Total,"Nursery school, preschool",Kindergarten,Grade              1 to 4,Grade              5 to 8,Grade              9 to 12,,
..Total ,"34,352,737","12,229,236","875,816","707,821","2,888,836","2,717,896","2,683,875",,
3 years ,"615,955","280,345","270,695","9,650",- ,- ,- ,,
4 years ,"638,715","439,332","392,665","46,667",- ,- ,- ,,
5 years ,"661,730","586,373","212,456","334,606","39,300",- ,- ,,
6 years ,"679,024","663,318",- ,"296,690","366,616",- ,- ,,
7 years ,"703,020","691,876",- ,"20,208","671,668",- ,- ,,
8 years ,"707,279","697,252",- ,- ,"687,152","10,100",- ,,
9 years ,"720,771","712,117",- ,- ,"675,403","36,714",- ,,
10 years ,"718,026","709,484",- ,- ,"376,143","333,341",- ,,
11 years ,"679,319","670,956",- ,- ,"62,309","608,647",- ,,
12 years ,"654,958","647,187",- ,- ,"10,245","629,315","7,627",,
13 years ,"642,708","634,060",- ,- ,- ,"605,431","28,629",,
14 years ,"641,958","631,809",- ,- ,- ,"356,671","275,138",,
15 years ,"608,956","595,520",- ,- ,- ,"77,814","516,960",,
16 years ,"599,725","573,694",- ,- ,- ,"15,337","556,417",,
17 years ,"601,892","545,692",- ,- ,- ,"5,289","530,692",,
18 years ,"609,561","437,875",- ,- ,- ,"3,121","307,876",,
19 years ,"608,161","321,235",- ,- ,- ,"3,099","96,484",,
20 years ,"604,955","253,133",- ,- ,- ,"1,795","43,581",,
21 years ,"566,815","206,714",- ,- ,- ,"1,586","24,848",,
22 years ,"539,956","164,442",- ,- ,- ,"1,193","17,168",,
23 years ,"521,436","131,178",- ,- ,- ,924,"14,319",,
24 years ,"510,451","109,486",- ,- ,- ,866,"14,151",,
25 years and over ,"20,517,366","1,526,158",- ,- ,- ,"26,653","249,965",,
.25 to 29 years ,"2,593,561","410,550",- ,- ,- ,,"51,892* ",,
.30 to 34 years ,"2,673,638","303,118",- ,- ,- ,,"45,324* ",,
.35 to 39 years ,"2,964,064","270,091",- ,- ,- ,,"48,232* ",,
.40 to 44 years ,"2,843,728","214,145",- ,- ,- ,,"39,437* ",,
.45 to 49 years ,"2,351,874","143,229",- ,- ,- ,,"26,561* ",,
.50 to 54 years ,"1,816,556","81,477",- ,- ,- ,,"17,404* ",,
.55 to 59 years ,"1,319,697","37,923",- ,- ,- ,,"12,147* ",,
.60 to 64 years ,"1,079,301","22,697",- ,- ,- ,,"9,501* ",,
.65 to 74 years ,"1,656,692","25,536",- ,- ,- ,,"14,423* ",,
.75 years and over ,"1,218,255","17,392",- ,- ,- ,,"11,697* ",,
..Native ,"31,943,576","11,631,467","868,044","699,109","2,839,952","2,639,230","2,533,125",,
3 to 5 years ,"1,895,374","1,292,423","868,044","385,872","38,496",- ,- ,,
6 to 13 years ,"5,389,569","5,314,447",- ,"313,237","2,801,456","2,165,383","34,371",,
14 to 17 years ,"2,350,240","2,249,857",- ,- ,- ,"439,833","1,799,411",,
18 to 24 years ,"3,689,407","1,482,551",- ,- ,- ,"11,567","480,189",,
25 years and over ,"18,618,986","1,292,189",- ,- ,- ,"22,447","219,146",,
..Foreign born ,"2,409,161","597,769","7,772","8,712","48,884","78,666","150,750",,
3 to 5 years ,"21,026","13,627","7,772","5,051",804,- ,- ,,
6 to 13 years ,"115,536","111,803",- ,"3,661","48,080","58,165","1,897",,
14 to 17 years ,"102,291","96,858",- ,- ,- ,"15,278","79,796",,
18 to 24 years ,"271,928","141,512",- ,- ,- ,"1,017","38,238",,
25 years and over ,"1,898,380","233,969",- ,- ,- ,"4,206","30,819",,
"Note:  - Represents zero or rounds to zero.  * To allow disclosure, grades 5-8 and 9-12 were combined for age groups 25 and over.",,,,,,,,,
"Internet release date: October, 2006",,,,,,,,,
"Source: U.S. Census Bureau, Census 2000",,,,,,,,,
Census 2000 PHC-T-39,,,,,,,,,
"Table 5: School Enrollment of the Population 3 Years and Over by Age, Nativity, and Type of School: 2000 (Continued)",,,,,,,,,
Geographic area: United States,,,,,,,,,
"Black or African American alone or in combination, both sexes",,,,,,,,,
"(Data based on a sample.  For information on confidentiality protection, sampling error, nonsampling error and definitions, see www.census.gov/prod/cen2000/doc/sf3.pdf.)",,,,,,,,,
,,,,,,,,,
,Enrolled in school,,Not enrolled in school,,,,,,
,College,"Graduate, professional   school",Total,Not high school graduate,,,,,
..Total ,"2,034,386","320,606","22,123,501","7,059,991",,,,,
3 years ,- ,- ,"335,610","335,610",,,,,
4 years ,- ,- ,"199,383","199,383",,,,,
5 years ,- ,- ,"75,357","75,357",,,,,
6 years ,- ,- ,"15,706","15,706",,,,,
7 years ,- ,- ,"11,144","11,144",,,,,
8 years ,- ,- ,"10,027","10,027",,,,,
9 years ,- ,- ,"8,654","8,654",,,,,
10 years ,- ,- ,"8,542","8,542",,,,,
11 years ,- ,- ,"8,363","8,363",,,,,
12 years ,- ,- ,"7,771","7,771",,,,,
13 years ,- ,- ,"8,648","8,648",,,,,
14 years ,- ,- ,"10,149","10,139",,,,,
15 years ,746,- ,"13,436","11,993",,,,,
