   yr mo da hr mn sc                S_40                T_28
 2004  2  5 16 57 30           32.663174            2.118267
 2004  2  5 17 57 30           32.676075            1.973108
 2004  2  5 18 57 30           32.706882            1.918333
 2004  2  5 19 57 30           32.705692            1.961433
 2004  2  5 20 57 30           32.699936            1.967317
 2004  2  5 21 57 30           32.704338            2.018850
 2004  2  5 22 57 30           32.707817            1.975383
 2004  2  5 23 57 30           32.713112            1.889692
 2004  2  6  0 57 30           32.711597            1.897558
 2004  2  6  1 57 30           32.711815            1.903967
 2004  2  6  2 57 30           32.681301            1.990258
 2004  2  6  3 57 30           32.694176            2.006392
 2004  2  6  4 57 30           32.691174            1.972058
 2004  2  6  5 57 30           32.674034            1.888667
 2004  2  6  6 57 30           32.707794            1.872933
 2004  2  6  7 57 30           32.699505            1.937633
 2004  2  6  8 57 30           32.699005            2.191967
 2004  2  6  9 57 30           32.710548            2.215875
 2004  2  6 10 57 30           32.705719            2.130917
 2004  2  6 11 57 30           32.701252            1.984825
 2004  2  6 12 57 30           32.702728            1.978483
 2004  2  6 13 57 30           32.695892            1.881325
 2004  2  6 14 57 30           32.693321            2.051592
 2004  2  6 15 57 30           32.733192            2.028783
 2004  2  6 16 57 30           32.721397            2.094417
 2004  2  6 17 57 30           32.689400            2.109983
 2004  2  6 18 57 30           32.688450            2.144158
 2004  2  6 19 57 30           32.678169            1.924525
 2004  2  6 20 57 30           32.651108            1.912975
 2004  2  6 21 57 30           32.647610            1.984133
 2004  2  6 22 57 30           32.696304            1.975950
 2004  2  6 23 57 30           32.685478            1.965725
 2004  2  7  0 57 30           32.752079            2.381783
 2004  2  7  1 57 30           32.786163            2.424475
 2004  2  7  2 57 30           32.803440            2.516117
 2004  2  7  3 57 30           32.791538            2.533000
 2004  2  7  4 57 30           32.797302            2.556700
 2004  2  7  5 57 30           32.753181            2.281875
 2004  2  7  6 57 30           32.703804            2.038892
 2004  2  7  7 57 30           32.679024            1.889075
 2004  2  7  8 57 30           32.690918            1.881542
 2004  2  7  9 57 30           32.676601            1.917500
 2004  2  7 10 57 30           32.684566            1.926350
 2004  2  7 11 57 30           32.678497            1.953900
 2004  2  7 12 57 30           32.659893            1.942633
 2004  2  7 13 57 30           32.605431            1.917417
 2004  2  7 14 57 30           32.609882            1.949067
 2004  2  7 15 57 30           32.614788            1.974042
 2004  2  7 16 57 30           32.643177            2.017167
 2004  2  7 17 57 30           32.656593            1.974342
 2004  2  7 18 57 30           32.645996            2.030450
 2004  2  7 19 57 30           32.695564            2.115942
 2004  2  7 20 57 30           32.687851            2.167650
 2004  2  7 21 57 30           32.676952            2.184092
 2004  2  7 22 57 30           32.648270            2.176258
 2004  2  7 23 57 30           32.709507            2.120742
