                                                       01 Apr 2008 21:39:24
Satellite-CALIPSO-Sensor-LIDAR_3deg


       Time (UTCG)          Latitude (deg)    Longitude (deg)    Range (km)
------------------------    --------------    ---------------    ----------
 2 Apr 2008 00:30:32.721           54.5482            30.0190    712.082260
 2 Apr 2008 00:30:42.000           54.0024            29.7453    711.966827
 2 Apr 2008 00:30:52.000           53.4135            29.4572    711.841807
 2 Apr 2008 00:31:02.000           52.8241            29.1757    711.716222
 2 Apr 2008 00:31:12.000           52.2342            28.9007    711.590144
 2 Apr 2008 00:31:22.000           51.6438            28.6317    711.463649
 2 Apr 2008 00:31:32.000           51.0529            28.3686    711.336811
 2 Apr 2008 00:31:42.000           50.4615            28.1110    711.209708
 2 Apr 2008 00:31:52.000           49.8696            27.8588    711.082414
 2 Apr 2008 00:32:02.000           49.2773            27.6116    710.955005
 2 Apr 2008 00:32:12.000           48.6846            27.3693    710.827560
 2 Apr 2008 00:32:22.000           48.0915            27.1316    710.700154
 2 Apr 2008 00:32:32.000           47.4980            26.8984    710.572865
 2 Apr 2008 00:32:42.000           46.9041            26.6694    710.445770
 2 Apr 2008 00:32:52.000           46.3098            26.4446    710.318947
 2 Apr 2008 00:33:02.000           45.7152            26.2236    710.192473
 2 Apr 2008 00:33:12.000           45.1202            26.0064    710.066426
 2 Apr 2008 00:33:22.000           44.5250            25.7928    709.940885
 2 Apr 2008 00:33:32.000           43.9294            25.5827    709.815928
 2 Apr 2008 00:33:42.000           43.3334            25.3759    709.691632
 2 Apr 2008 00:33:52.000           42.7372            25.1722    709.568077
 2 Apr 2008 00:34:02.000           42.1407            24.9717    709.445339
 2 Apr 2008 00:34:12.000           41.5439            24.7741    709.323498
 2 Apr 2008 00:34:22.000           40.9469            24.5793    709.202630
 2 Apr 2008 00:34:31.776           40.3629            24.3915    709.085481

       Time (UTCG)          Latitude (deg)    Longitude (deg)    Range (km)
------------------------    --------------    ---------------    ----------
 2 Apr 2008 02:03:05.223           75.8602            30.0452    715.723348
 2 Apr 2008 02:03:15.000           75.3757            28.6397    715.670751
 2 Apr 2008 02:03:25.000           74.8725            27.2913    715.614210
 2 Apr 2008 02:03:35.000           74.3622            26.0256    715.554925
 2 Apr 2008 02:03:45.000           73.8456            24.8358    715.492932
 2 Apr 2008 02:03:55.000           73.3231            23.7157    715.428265
 2 Apr 2008 02:04:05.000           72.7954            22.6595    715.360960
 2 Apr 2008 02:04:15.000           72.2628            21.6621    715.291057
 2 Apr 2008 02:04:25.000           71.7259            20.7189    715.218595
 2 Apr 2008 02:04:35.000           71.1849            19.8256    715.143615
 2 Apr 2008 02:04:45.000           70.6402            18.9783    715.066160
 2 Apr 2008 02:04:55.000           70.0922            18.1735    714.986274
 2 Apr 2008 02:05:05.000           69.5410            17.4081    714.904003
 2 Apr 2008 02:05:15.000           68.9869            16.6791    714.819393
 2 Apr 2008 02:05:25.000           68.4302            15.9838    714.732493
 2 Apr 2008 02:05:35.000           67.8710            15.3200    714.643352
 2 Apr 2008 02:05:45.000           67.3095            14.6853    714.552021
 2 Apr 2008 02:05:55.000           66.7459            14.0779    714.458553
 2 Apr 2008 02:06:05.000           66.1803            13.4957    714.363000
 2 Apr 2008 02:06:15.000           65.6129            12.9372    714.265418
 2 Apr 2008 02:06:25.000           65.0437            12.4007    714.165862
 2 Apr 2008 02:06:35.000           64.4730            11.8850    714.064390
 2 Apr 2008 02:06:45.000           63.9007            11.3886    713.961059
 2 Apr 2008 02:06:55.000           63.3270            10.9103    713.855929
 2 Apr 2008 02:07:05.000           62.7520            10.4491    713.749060
 2 Apr 2008 02:07:15.000           62.1757            10.0040    713.640514
 2 Apr 2008 02:07:25.000           61.5982             9.5739    713.530354
 2 Apr 2008 02:07:35.000           61.0196             9.1580    713.418642
 2 Apr 2008 02:07:45.000           60.4400             8.7554    713.305443
 2 Apr 2008 02:07:55.000           59.8593             8.3655    713.190823
 2 Apr 2008 02:08:05.000           59.2778             7.9875    713.074848
 2 Apr 2008 02:08:15.000           58.6953             7.6208    712.957586
 2 Apr 2008 02:08:25.000           58.1120             7.2648    712.839103
 2 Apr 2008 02:08:35.000           57.5278             6.9189    712.719470
 2 Apr 2008 02:08:45.000           56.9429             6.5825    712.598755
 2 Apr 2008 02:08:55.000           56.3573             6.2552    712.477029
 2 Apr 2008 02:09:05.000           55.7710             5.9365    712.354364
 2 Apr 2008 02:09:15.000           55.1840             5.6260    712.230830
 2 Apr 2008 02:09:25.000           54.5964             5.3233    712.106501
 2 Apr 2008 02:09:35.000           54.0081             5.0280    711.981449
 2 Apr 2008 02:09:45.000           53.4193             4.7398    711.855749
 2 Apr 2008 02:09:55.000           52.8299             4.4583    711.729474
 2 Apr 2008 02:10:05.000           52.2400             4.1831    711.602699
 2 Apr 2008 02:10:15.000           51.6496             3.9141    711.475499
 2 Apr 2008 02:10:25.000           51.0587             3.6509    711.347950
 2 Apr 2008 02:10:35.000           50.4673             3.3932    711.220129
 2 Apr 2008 02:10:45.000           49.8754             3.1409    711.092110
 2 Apr 2008 02:10:55.000           49.2831             2.8936    710.963972
 2 Apr 2008 02:11:05.000           48.6904             2.6512    710.835792
 2 Apr 2008 02:11:15.000           48.0973             2.4135    710.707646
 2 Apr 2008 02:11:25.000           47.5038             2.1802    710.579613
 2 Apr 2008 02:11:35.000           46.9099             1.9512    710.451770
 2 Apr 2008 02:11:45.000           46.3157             1.7263    710.324195
 2 Apr 2008 02:11:55.000           45.7211             1.5052    710.196967
 2 Apr 2008 02:12:05.000           45.1261             1.2880    710.070163
 2 Apr 2008 02:12:15.000           44.5309             1.0743    709.943862
 2 Apr 2008 02:12:25.000           43.9353             0.8641    709.818143
 2 Apr 2008 02:12:35.000           43.3394             0.6573    709.693084
 2 Apr 2008 02:12:45.000           42.7431             0.4536    709.568762
 2 Apr 2008 02:12:55.000           42.1467             0.2530    709.445257
 2 Apr 2008 02:13:05.000           41.5499             0.0553    709.322645
 2 Apr 2008 02:13:15.000           40.9528            -0.1395    709.201006
 2 Apr 2008 02:13:23.250           40.4600            -0.2982    709.101434

       Time (UTCG)          Latitude (deg)    Longitude (deg)    Range (km)
------------------------    --------------    ---------------    ----------
 2 Apr 2008 03:40:07.491           80.4839            30.0664    716.129314
 2 Apr 2008 03:40:17.000           80.1793            27.1234    716.108284
 2 Apr 2008 03:40:27.000           79.8339            24.2218    716.083211
 2 Apr 2008 03:40:37.000           79.4654            21.5121    716.055123
 2 Apr 2008 03:40:47.000           79.0761            18.9855    716.024034
 2 Apr 2008 03:40:57.000           78.6680            16.6318    715.989963
 2 Apr 2008 03:41:07.000           78.2433            14.4398    715.952928
 2 Apr 2008 03:41:17.000           77.8035            12.3982    715.912951
 2 Apr 2008 03:41:27.000           77.3503            10.4956    715.870054
 2 Apr 2008 03:41:37.000           76.8851             8.7213    715.824261
 2 Apr 2008 03:41:47.000           76.4091             7.0650    715.775597
 2 Apr 2008 03:41:57.000           75.9233             5.5169    715.724091
 2 Apr 2008 03:42:07.000           75.4288             4.0681    715.669771
 2 Apr 2008 03:42:17.000           74.9264             2.7105    715.612668
 2 Apr 2008 03:42:27.000           74.4168             1.4363    715.552812
 2 Apr 2008 03:42:37.000           73.9008             0.2387    715.490239
 2 Apr 2008 03:42:47.000           73.3789            -0.8886    715.424984
 2 Apr 2008 03:42:57.000           72.8517            -1.9514    715.357081
 2 Apr 2008 03:43:07.000           72.3197            -2.9548    715.286571
 2 Apr 2008 03:43:17.000           71.7832            -3.9036    715.213492
 2 Apr 2008 03:43:27.000           71.2426            -4.8021    715.137886
 2 Apr 2008 03:43:37.000           70.6983            -5.6542    715.059794
 2 Apr 2008 03:43:47.000           70.1506            -6.4633    714.979261
 2 Apr 2008 03:43:57.000           69.5998            -7.2328    714.896332
 2 Apr 2008 03:44:07.000           69.0460            -7.9656    714.811054
 2 Apr 2008 03:44:17.000           68.4895            -8.6643    714.723475
 2 Apr 2008 03:44:27.000           67.9306            -9.3314    714.633643
 2 Apr 2008 03:44:37.000           67.3694            -9.9691    714.541611
 2 Apr 2008 03:44:47.000           66.8060           -10.5794    714.447429
 2 Apr 2008 03:44:57.000           66.2406           -11.1642    714.351151
 2 Apr 2008 03:45:07.000           65.6734           -11.7252    714.252832
 2 Apr 2008 03:45:17.000           65.1044           -12.2640    714.152526
 2 Apr 2008 03:45:27.000           64.5338           -12.7819    714.050292
 2 Apr 2008 03:45:37.000           63.9616           -13.2803    713.946187
 2 Apr 2008 03:45:47.000           63.3881           -13.7604    713.840271
 2 Apr 2008 03:45:57.000           62.8132           -14.2234    713.732604
 2 Apr 2008 03:46:07.000           62.2370           -14.6702    713.623246
 2 Apr 2008 03:46:17.000           61.6597           -15.1019    713.512262
 2 Apr 2008 03:46:27.000           61.0812           -15.5193    713.399714
 2 Apr 2008 03:46:37.000           60.5017           -15.9232    713.285667
 2 Apr 2008 03:46:47.000           59.9211           -16.3145    713.170187
 2 Apr 2008 03:46:57.000           59.3396           -16.6937    713.053339
 2 Apr 2008 03:47:07.000           58.7572           -17.0616    712.935192
 2 Apr 2008 03:47:17.000           58.1740           -17.4187    712.815813
 2 Apr 2008 03:47:27.000           57.5900           -17.7657    712.695271
 2 Apr 2008 03:47:37.000           57.0051           -18.1031    712.573637
 2 Apr 2008 03:47:47.000           56.4196           -18.4314    712.450980
 2 Apr 2008 03:47:57.000           55.8333           -18.7509    712.327373
 2 Apr 2008 03:48:07.000           55.2464           -19.0623    712.202887
 2 Apr 2008 03:48:17.000           54.6588           -19.3658    712.077595
 2 Apr 2008 03:48:27.000           54.0706           -19.6619    711.951569
 2 Apr 2008 03:48:37.000           53.4819           -19.9509    711.824885
 2 Apr 2008 03:48:47.000           52.8925           -20.2331    711.697616
 2 Apr 2008 03:48:57.000           52.3027           -20.5089    711.569837
 2 Apr 2008 03:49:07.000           51.7123           -20.7786    711.441623
 2 Apr 2008 03:49:17.000           51.1214           -21.0424    711.313051
 2 Apr 2008 03:49:27.000           50.5301           -21.3007    711.184196
 2 Apr 2008 03:49:37.000           49.9383           -21.5536    711.055136
 2 Apr 2008 03:49:47.000           49.3460           -21.8013    710.925947
 2 Apr 2008 03:49:57.000           48.7534           -22.0443    710.796706
