_EF_PROGRAM_FACILITY_EZ.PGM_SYS_ACRNM,V_EF_PROGRAM_FACILITY_EZ.PGM_SYS_ID,V_EF_PROGRAM_FACILITY_EZ.REGISTRY_ID,V_EF_PROGRAM_FACILITY_EZ.STANDZED_PRIM_NAME,V_EF_PROGRAM_FACILITY_EZ.PRIMARY_NAME,V_EF_PROGRAM_FACILITY_EZ.CITY_NAME,V_EF_PROGRAM_FACILITY_EZ.COUNTY_NAME,V_EF_PROGRAM_FACILITY_EZ.STATE_CODE,V_EF_PROGRAM_FACILITY_EZ.POSTAL_CODE
TRIS,77304TSKRM13235,110031018100,TASKER MFG,TASKER MANUFACTURING CORP,CONROE,MONTGOMERY,TX,77304
TRIS,75831RDLYB125IN,110031020231,RIDLEY BLOCK OPR,RIDLEY BLOCK OPERATIONS,BUFFALO,LEON,TX,75831
TRIS,77982MDSTR3653W,110022524080,TESORO MARINE SVC PORT OCONNOR NO 1 FACLTY,TESORO MARINE SERVICES PORT OCONNOR NO 1 FACILITY,PORT O'CONNOR,CALHOUN,TX,77982
TRIS,78247JHNSN12915,110022478987,JOHNSON CONTROLS BATT GROUP ; SAN ANTONIO DC,JOHNSON CONTROLS BATTERY GROUP INC. SAN ANTONIO DC,SAN ANTONIO,BEXAR,TX,78247
TRIS,76801PTTRSCRSSP,110022523893,POTTERS IND,POTTERS INDUSTRIES,BROWNWOOD,BROWN,TX,76801
TRIS,77039NLRND4714W,110022523900,NAILOR IND OF TX,NAILOR INDUSTRIES OF TEXAS  INC.,HOUSTON,HARRIS,TX,77039
TRIS,77705FNNTT16151,110015780966,FANNETT TERML,FANNETT TERMINAL,BEAUMONT,JEFFERSON,TX,77705
TRIS,76179MTRPL451SA,110024887283,METRO POOL CHEM,METRO POOL CHEMICAL INC,SAGINAW,TARRANT,TX,76179
TRIS,75455RDCLPRT9BX,110020055090,ROADCLIPPER ENTRPRS ; DBA DIAMOND C TRAILER MFG,ROADCLIPPER ENTERPRISES INC. (DBA DIAMOND C TRAILER MFG.),MOUNT PLEASANT,TITUS,TX,75455
TRIS,79905LPSRF6500T,110033026286,WESTERN RFNRY EL PASO MKTG TERML,WESTERN REFINING EL PASO MARKETING TERMINAL,EL PASO,EL PASO,TX,79905
TRIS,75228CNCSY11839,110024422720,OCEANIC SYS,OCEANIC SYSTEMS INC,DALLAS,DALLAS,TX,75228
TRIS,78942LFMFGHWY29,110024423881,LF MFG MAIN PLT,LF MANUFACTURING MAIN PLANT,GIDDINGS,LEE,TX,78942
TRIS,77083QFRMN85HWY,110022904945,AQUAFORM,AQUAFORM,HOUSTON,HARRIS,TX,77083
TRIS,76108SRFRCGRANT,110027376293,LOCKHEED MARTIN AERONAUTICS,LOCKHEED MARTIN AERONAUTICS,FORT WORTH,TARRANT,TX,76108
TRIS,75208DNSBL2327L,110022810494,BONSAL AMER,BONSAL AMERICAN,DALLAS,DALLAS,TX,75208
TRIS,78418SNTLPMALAQ,110022810653,US DEPT OF INTERIOR,US DEPT OF THE INTERIOR,CORPUS CHRISTI,NUECES,TX,78418
TRIS,75098HRDCS903WE,110000456701,CARLISLE COTG AND WATERPROOFING,CARLISLE COATING AND WATERPROOFING,WYLIE,COLLIN,TX,75098
TRIS,75115BRRCD315SE,110000456747,DIAB,DIAB,DESOTO,DALLAS,TX,751152496
