"Table with row headers in column A and column headers in row 8 through 9, repeated in row 65 through 66, row 122 and row 178 Leading dots indicate sub-parts.",,,,,,,,,,,,,,,,,
Census 2000 PHC-T-39,,,,,,,,,,,,,,,,,
"Table 5: School Enrollment of the Population 3 Years and Over by Age, Nativity, and Type of School: 2000",,,,,,,,,,,,,,,,,
Geographic area: Texas,,,,,,,,,,,,,,,,,
"All race and ethnic groups, both sexes",,,,,,,,,,,,,,,,,
"(Data based on a sample.  For information on confidentiality protection, sampling error, nonsampling error and definitions, see www.census.gov/prod/cen2000/doc/sf3.pdf.)",,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,Total,Enrolled in school,,,,,,,,,,,,,,,
,,Total,"Nursery school, preschool",Kindergarten,Grade              1 to 4,Grade              5 to 8,Grade              9 to 12,,,,,,,,,,
..Total ,"19,883,225","5,948,260","390,094","348,203","1,360,466","1,346,815","1,299,792",,,,,,,,,,
3 years ,"318,870","105,978","102,802","3,176",- ,- ,- ,,,,,,,,,,
4 years ,"322,837","183,463","164,625","18,838",- ,- ,- ,,,,,,,,,,
5 years ,"325,232","274,878","122,667","140,145","12,066",- ,- ,,,,,,,,,,
6 years ,"329,728","322,165",- ,"177,618","144,547",- ,- ,,,,,,,,,,
7 years ,"332,571","327,723",- ,"8,426","319,297",- ,- ,,,,,,,,,,
8 years ,"335,314","331,175",- ,- ,"328,429","2,746",- ,,,,,,,,,,
9 years ,"338,057","334,093",- ,- ,"323,091","11,002",- ,,,,,,,,,,
10 years ,"337,774","334,566",- ,- ,"206,403","128,163",- ,,,,,,,,,,
11 years ,"327,771","324,294",- ,- ,"23,476","300,818",- ,,,,,,,,,,
12 years ,"325,138","321,698",- ,- ,"3,143","316,281","2,274",,,,,,,,,,
13 years ,"324,107","320,349",- ,- ,14,"310,981","9,354",,,,,,,,,,
14 years ,"328,183","323,359",- ,- ,- ,"210,452","112,907",,,,,,,,,,
15 years ,"320,270","313,226",- ,- ,- ,"36,137","276,809",,,,,,,,,,
16 years ,"313,047","297,308",- ,- ,- ,"5,837","290,604",,,,,,,,,,
17 years ,"326,436","288,748",- ,- ,- ,"2,004","281,664",,,,,,,,,,
18 years ,"326,950","230,976",- ,- ,- ,"1,542","172,583",,,,,,,,,,
19 years ,"322,752","170,191",- ,- ,- ,"1,440","39,870",,,,,,,,,,
20 years ,"323,260","139,598",- ,- ,- ,870,"14,960",,,,,,,,,,
21 years ,"302,653","114,609",- ,- ,- ,803,"8,076",,,,,,,,,,
22 years ,"300,628","93,224",- ,- ,- ,660,"5,488",,,,,,,,,,
23 years ,"301,237","73,428",- ,- ,- ,572,"4,323",,,,,,,,,,
24 years ,"309,517","63,192",- ,- ,- ,694,"4,434",,,,,,,,,,
25 years and over ,"12,790,893","660,019",- ,- ,- ,"15,813","76,446",,,,,,,,,,
.25 to 29 years ,"1,575,680","209,367",- ,- ,- ,,"18,240* ",,,,,,,,,,
.30 to 34 years ,"1,557,149","128,458",- ,- ,- ,,"15,651* ",,,,,,,,,,
.35 to 39 years ,"1,730,381","108,223",- ,- ,- ,,"15,456* ",,,,,,,,,,
.40 to 44 years ,"1,674,199","82,432",- ,- ,- ,,"12,867* ",,,,,,,,,,
.45 to 49 years ,"1,422,217","57,205",- ,- ,- ,,"8,761* ",,,,,,,,,,
.50 to 54 years ,"1,178,135","32,202",- ,- ,- ,,"5,605* ",,,,,,,,,,
