SITE_ID,EPA_FACIL_ID,SITE_NAME,ADDRESS,CITY,COUNTY,STATE,ZIP,SITE_SMSA,FED_FACIL,NPL_STATUS,LATITUDE,LONGITUDE
0405789,AL7690307999,"FORT MORGAN DRUM","BALDWIN COUNTY",FORT MORGAN,BALDWIN,AL,36542,5160,NON-FEDERAL,NOT ON NPL,,
0406437,AL0001197409,"HANSEL HODGES PROPERTY","17989 HANSEL HODGES RD",ELBERTA,BALDWIN,AL,36530,5160,NON-FEDERAL,NOT ON NPL,,
0404345,ALD980728703,"PERDIDO GROUND WATER CONTAMINATION","COUNTY RD 47 S",PERDIDO,BALDWIN,AL,36562,5160,NON-FEDERAL,ON FINAL NPL, 31.012500, -87.625000
0406677,AL0001911213,"SAIA MOTOR PLATE DRUM RESPONSE","HWY #10, TRADE STOP",MOBILE,BALDWIN,AL,36601,,NON-FEDERAL,NOT ON NPL,,
0405688,AL2170024630,"US NAVAL OUTLYING BARIN FIELD","NAS WHITING FIELD",FOLEY,BALDWIN,AL,36535,5160,FEDERAL,NOT ON NPL,,
0406552,AL0001412048,"BRENT PLUME","OLD SCOTTSVILLE RD.",BRENT,BIBB,AL,35034,,NON-FEDERAL,NOT ON NPL,,
0407362,ALN000407362,"SHIRLY RESIDENTIAL INCIDENT","3960 COVERED BRIDGE ROAD",CLEVELAND,BLOUNT,AL,35049-5713,,NON-FEDERAL,NOT ON NPL,,
0406675,AL0001909852,"GREENVILLE FERTILIZER","100 LONG STREET",GREENVILLE,BUTLER,AL,36037,,NON-FEDERAL,NOT ON NPL,,
0404343,ALD031618069,"MOWBRAY ENGINEERING CO.","JCT OF 2ND & BEELAND STS",GREENVILLE,BUTLER,AL,36037,,NON-FEDERAL,DELETED FROM NPL, 31.831669, -86.613050
0407407,ALD063690903,"WESTPOINT STEVENS-GREENVILLE","591 GLENDALE ROAD",GREENVILLE,BUTLER,AL,36037-1334,,NON-FEDERAL,NOT ON NPL,,
0407148,ALSFN0407148,"ALABAMA PIPE AND FOUNDRY","WEST 20TH ST. & MCCOY AVE",ANNISTON,CALHOUN,AL,36201,,NON-FEDERAL,NOT ON NPL,,
0406476,ALD061143350,"ANCHOR METALS","1008 GLEN ADDIE AVE",ANNISTON,CALHOUN,AL,36202,0450,NON-FEDERAL,NOT ON NPL,,
0400443,AL3210020027,"ANNISTON ARMY DEPOT (SOUTHEAST INDUSTRIAL AREA)","OFF AL HWY 202",ANNISTON,CALHOUN,AL,36253,0450,FEDERAL,ON FINAL NPL, 33.659439, -85.969439
0407149,ALSFN0407149,"ANNISTON CONCRETE","600 WEST 21ST STREET",ANNISTON,CALHOUN,AL,36201,,NON-FEDERAL,NOT ON NPL,,
0407061,ALSFN0407061,"ANNISTON GAS & LIGHT CO.","SW CORNER OF W. 4TH ST & NOBLE",ANNISTON,CALHOUN,AL,36201,,NON-FEDERAL,NOT ON NPL,,
0407242,ALN000407242,"ANNISTON LEAD SITE","",ANNISTON,CALHOUN,AL,36201,,NON-FEDERAL,NOT ON NPL,,
0400123,ALD000400123,"ANNISTON PCB SITE (MONSANTO CO)","HWY 202 W",ANNISTON,CALHOUN,AL,36202,0450,NON-FEDERAL,NOT ON NPL,,
0407150,ALSFN0407150,"ANNISTON SCRAP","10TH ST. & GURNEE AVE.",ANNISTON,CALHOUN,AL,36201,,NON-FEDERAL,NOT ON NPL,,
0407336,ALN000407336,"BROCK MOUNTAIN DRUMS","228 DEMPSEY LANE",OXFORD,CALHOUN,AL,36203,,NON-FEDERAL,NOT ON NPL,,
0406945,ALSFN0406945,"CENTER STAR MFG. SITE","207 HAMRIC DRIVE",OXFORD,CALHOUN,AL,36203,,NON-FEDERAL,NOT ON NPL,,
0405260,ALD983166992,"COMMERCE BLVD. METHYL AMINE DUMP","END OF COMMERCE DRIVE",ANNISTON,CALHOUN,AL,36201,0450,NON-FEDERAL,NOT ON NPL,,
0407130,ALSFN0407130,"COOPERS LAKE FISH KILL","",COLDWATER,CALHOUN,AL,,,NON-FEDERAL,NOT ON NPL,,
0407153,ALSFN0407153,"DEFENSE RESEARCH","1205 FRONT STREET",ANNISTON,CALHOUN,AL,36201,,NON-FEDERAL,NOT ON NPL,,
0400121,ALD004018354,"DRESSER INDUSTRIES INC","605 W 23RD ST",ANNISTON,CALHOUN,AL,36201,0450,NON-FEDERAL,NOT ON NPL,,
0407151,ALSFN0407151,"FORMER CENTRAL FOUNDRY","",ANNISTON,CALHOUN,AL,36202,,NON-FEDERAL,NOT ON NPL,,
0407154,ALSFN0407154,"FORMER DONOHO FOUNDRY","900-1100 BLK OF WEST 10TH STREET",ANNISTON,CALHOUN,AL,36202,,NON-FEDERAL,NOT ON NPL,,
0406385,ALD094472651,"HAGER HINGE","U.S. HWY 78",OXFORD,CALHOUN,AL,36203,0450,NON-FEDERAL,NOT ON NPL,,
0407157,ALSFN0407157,"L & N RAILROAD DEPOT","11TH ST. & WALNUT AVE.",ANNISTON,CALHOUN,AL,36201,,NON-FEDERAL,NOT ON NPL,,
