,Table 16-1D.  Occupation of the Employed Foreign-Born Population 16 Years and Over by Region of Birth and Sex: 2000,,,,,,,,,,,,,
,,,,,,,,,,, ,,,
,                              (Numbers in thousands.  Data are for civilian noninstitutional population),,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,Latin America,,,,,,,
,,Total,,,,,,,Central America,,,,,
,,foreign-,,,,,,,,,Other,,,
,,born,,,,,,,,,Central,South,Northern,Other
,Occupation and sex,population,Europe,Asia,Africa,Oceania,Total,Caribbean,Total,Mexico,America,America,America,reported
,TOTAL POPULATION,,,,,,,,,,,,,
,Number:,,,,,,,,,,,,,
,          Total...................................................,"16,532","2,323","4,304",435,90,"8,527","1,588","5,770","4,510","1,260","1,169",402,453
,Managerial and professional specialty.........................................,"4,085",885,"1,666",159,31,"1,031",358,401,283,118,271,186,127
,"    Executive, administrative, and", , , , , , , , , , , , , 
,      managerial........................................................,"1,760",367,677,52,15,498,148,229,169,59,122,84,66
,    Professional specialty.........................................,"2,325",519,989,107,16,533,210,173,114,59,149,101,61
,"Technical, sales, and administrative", , , , , , , , , , , , , 
,  support........................................................................,"3,448",555,"1,184",96,28,"1,409",399,730,507,224,280,100,75
,    Technicians and related support.........................................,495,86,235,22,1,125,49,43,27,17,33,9,17
,    Sales occupations.........................................,"1,558",221,537,44,9,659,188,343,247,96,128,55,33
,"    Administrative support, including", , , , , , , , , , , , , 
,       clerical.....................................................................,"1,396",248,412,31,17,625,162,343,232,111,119,36,26
,Service occupations.........................................,"3,174",348,647,85,15,"1,950",359,"1,321",985,336,269,33,95
,    Private household.........................................,312,34,36,5,-,231,28,159,91,68,44,3,2
,    Protective service.........................................,131,26,23,17,-,58,19,21,11,10,18,2,6
,"    Service, except private household", , , , , , , , , , , , , 
,       and protective.........................................,"2,730",288,588,64,15,"1,661",313,"1,141",883,258,207,28,87
,"Precision production, craft, and repair.........................................","1,996",283,256,18,4,"1,358",143,"1,056",865,191,160,37,39
,    Mechanics and repairers.........................................,463,81,72,7,2,282,52,171,134,37,60,11,9
,    Construction trades.........................................,925,121,53,7,-,714,62,593,487,106,60,19,11
,"    Other precision production, craft,", , , , , , , , , , , , , 
,      and repair.................................................................,608,82,131,4,2,362,29,292,244,48,40,8,20
,"Operators, fabricators, and laborers.........................................","3,088",238,516,74,11,"2,115",316,"1,622","1,288",334,177,38,95
,"    Machine operators, assemblers, ", , , , , , , , , , , , , 
,      and inspectors..................................................,"1,507",129,290,26,9,977,131,778,645,133,67,11,65
,    Transportation and material moving, , , , , , , , , , , , , 
,      occupations............................................................,628,42,95,37,-,427,88,285,198,87,54,17,10
,"    Handlers, equipment cleaners,", , , , , , , , , , , , , 
,"      helpers, and laborers.........................................",953,66,132,11,2,711,96,559,445,114,56,10,21
,"Farming, forestry, and fishing.........................................",742,14,34,2,-,663,13,639,583,57,11,7,21
,    Farm operators and managers.........................................,23,2,4,-,-,17,5,10,10,-,2,0,-
,"    Other farming, forestry, and fishing", , , , , , , , , , , , , 
,      occupations.............................................................,718,12,30,2,-,647,8,630,573,57,9,7,21

,Table 16-1D.  Occupation of the Employed Foreign-Born Population 16 Years and Over by Region of Birth and Sex: 2000-con.,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,                              (Numbers in thousands.  Data are for civilian noninstitutional population),,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,Latin America,,,,,,,
,,Total,,,,,,,Central America,,,,,
,,foreign-,,,,,,,,,Other,,,
,,born,,,,,,,,,Central,South,Northern,Other
,Occupation and sex,population,Europe,Asia,Africa,Oceania,Total,Caribbean,Total,Mexico,America,America,America,reported
,TOTAL POPULATION-CON.,,,,,,,,,,,,,
,Percent distribution:,,,,,,,,,,,,,
,          Total...................................................,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
,Managerial and professional specialty.........................................,24.7,38.1,38.7,36.5,34.8,12.1,22.6,7.0,6.3,9.4,23.2,46.3,28.1
,"    Executive, administrative, and", , , , , , , , , , , , , 
,      managerial........................................................,10.6,15.8,15.7,11.9,17.1,5.8,9.3,4.0,3.8,4.7,10.4,21.0,14.7
,    Professional specialty.........................................,14.1,22.3,23.0,24.6,17.6,6.2,13.2,3.0,2.5,4.6,12.8,25.2,13.5
,"Technical, sales, and administrative", , , , , , , , , , , , , 
,  support........................................................................,20.9,23.9,27.5,22.1,31.2,16.5,25.1,12.7,11.2,17.7,24.0,24.9,16.6
,    Technicians and related support.........................................,3.0,3.7,5.5,4.9,1.3,1.5,3.1,0.8,0.6,1.3,2.8,2.2,3.7
,    Sales occupations.........................................,9.4,9.5,12.5,10.1,10.4,7.7,11.8,6.0,5.5,7.6,11.0,13.6,7.3
,"    Administrative support, including", , , , , , , , , , , , , 
,       clerical.....................................................................,8.4,10.7,9.6,7.1,19.5,7.3,10.2,6.0,5.2,8.8,10.2,9.1,5.7
,Service occupations.........................................,19.2,15.0,15.0,19.6,16.8,22.9,22.6,22.9,21.8,26.7,23.0,8.3,21.0
,    Private household.........................................,1.9,1.5,0.8,1.0,-,2.7,1.8,2.8,2.0,5.4,3.8,0.9,0.5
,    Protective service.........................................,0.8,1.1,0.5,3.9,-,0.7,1.2,0.4,0.3,0.8,1.5,0.5,1.2
,"    Service, except private household", , , , , , , , , , , , , 
,       and protective.........................................,16.5,12.4,13.7,14.6,16.8,19.5,19.7,19.8,19.6,20.5,17.7,7.0,19.2
,"Precision production, craft, and repair.........................................",12.1,12.2,5.9,4.2,4.4,15.9,9.0,18.3,19.2,15.2,13.7,9.3,8.7
,    Mechanics and repairers.........................................,2.8,3.5,1.7,1.6,2.4,3.3,3.3,3.0,3.0,2.9,5.1,2.7,1.9
,    Construction trades.........................................,5.6,5.2,1.2,1.7,-,8.4,3.9,10.3,10.8,8.4,5.1,4.6,2.4
,"    Other precision production, craft,", , , , , , , , , , , , , 
,      and repair.................................................................,3.7,3.5,3.1,0.9,2.0,4.2,1.8,5.1,5.4,3.8,3.4,2.0,4.3
,"Operators, fabricators, and laborers.........................................",18.7,10.2,12.0,17.1,12.8,24.8,19.9,28.1,28.6,26.5,15.2,9.5,21.0
,"    Machine operators, assemblers, ", , , , , , , , , , , , , 
,      and inspectors..................................................,9.1,5.6,6.7,6.0,10.3,11.5,8.3,13.5,14.3,10.6,5.8,2.7,14.3
,    Transportation and material moving, , , , , , , , , , , , , 
,      occupations............................................................,3.8,1.8,2.2,8.5,-,5.0,5.5,4.9,4.4,6.9,4.6,4.3,2.1
,"    Handlers, equipment cleaners,", , , , , , , , , , , , , 
,"      helpers, and laborers.........................................",5.8,2.9,3.1,2.6,2.5,8.3,6.1,9.7,9.9,9.1,4.8,2.4,4.5
,"Farming, forestry, and fishing.........................................",4.5,0.6,0.8,0.5,-,7.8,0.8,11.1,12.9,4.5,0.9,1.7,4.6
,    Farm operators and managers.........................................,0.1,0.1,0.1,-,-,0.2,0.3,0.2,0.2,-,0.2,0.1,-
,"    Other farming, forestry, and fishing", , , , , , , , , , , , , 
,      occupations.............................................................,4.3,0.5,0.7,0.5,-,7.6,0.5,10.9,12.7,4.5,0.7,1.6,4.6
,,,,,,,,,,,,,,
,Table 16-1D.  Occupation of the Employed Foreign-Born Population 16 Years and Over by Region of Birth and Sex: 2000-con.,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,                              (Numbers in thousands.  Data are for civilian noninstitutional population),,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,Latin America,,,,,,,
,,Total,,,,,,,Central America,,,,,
,,foreign-,,,,,,,,,Other,,,
,,born,,,,,,,,,Central,South,Northern,Other
,Occupation and sex,population,Europe,Asia,Africa,Oceania,Total,Caribbean,Total,Mexico,America,America,America,reported
,MALES,,,,,,,,,,,,,
,Number:,,,,,,,,,,,,,
,          Total...................................................,"9,873","1,306","2,370",314,49,"5,323",834,"3,858","3,132",726,631,220,290
,Managerial and professional specialty.........................................,"2,385",554,950,120,17,560,189,222,165,57,149,100,84
,"    Executive, administrative, and", , , , , , , , , , , , , 
,      managerial........................................................,"1,036",252,359,37,10,298,93,133,106,28,72,40,40
,    Professional specialty.........................................,"1,349",302,592,83,7,262,96,89,59,30,77,60,44
,"Technical, sales, and administrative", , , , , , , , , , , , , 
,  support........................................................................,"1,563",236,572,63,10,599,168,333,239,93,99,48,34
,    Technicians and related support.........................................,272,43,141,17,1,53,24,18,11,6,11,7,10
,    Sales occupations.........................................,874,142,284,29,5,361,111,185,133,52,64,35,19
,"    Administrative support, including", , , , , , , , , , , , , 
,       clerical.....................................................................,417,51,147,18,4,185,33,130,95,35,23,7,5
,Service occupations.........................................,"1,341",105,290,47,10,825,116,607,486,121,102,5,58
,    Private household.........................................,7,-,3,-,-,4,-,2,1,1,2,-,-
,    Protective service.........................................,112,19,23,17,-,46,15,15,7,8,16,2,5
,"    Service, except private household", , , , , , , , , , , , , 
,       and protective.........................................,"1,222",86,264,30,10,776,101,590,478,112,85,3,53
,"Precision production, craft, and repair.........................................","1,737",246,192,18,4,"1,216",126,948,777,171,142,29,31
,    Mechanics and repairers.........................................,422,74,56,7,2,266,43,166,129,37,57,8,9
,    Construction trades.........................................,917,121,51,7,-,708,62,588,485,103,58,19,11
,"    Other precision production, craft,", , , , , , , , , , , , , 
,      and repair.................................................................,397,51,85,4,2,242,21,193,162,31,27,2,12
,"Operators, fabricators, and laborers.........................................","2,211",156,338,64,8,"1,541",224,"1,189",952,237,128,34,70
,"    Machine operators, assemblers, ", , , , , , , , , , , , , 
,      and inspectors..................................................,845,67,152,23,6,544,68,442,374,68,34,10,43
,    Transportation and material moving, , , , , , , , , , , , , 
,      occupations............................................................,595,39,88,37,-,406,83,277,191,86,46,15,10
,"    Handlers, equipment cleaners,", , , , , , , , , , , , , 
,"      helpers, and laborers.........................................",772,49,98,4,2,591,73,471,387,83,47,10,18
,"Farming, forestry, and fishing.........................................",637,9,28,2,-,581,11,559,513,47,11,4,13
,    Farm operators and managers.........................................,20,1,4,-,-,14,2,10,10,-,2,0,-
,"    Other farming, forestry, and fishing", , , , , , , , , , , , , 
,      occupations.............................................................,617,8,24,2,-,567,8,550,503,47,9,3,13
,,,,,,,,,,,,,,
,Table 16-1D.  Occupation of the Employed Foreign-Born Population 16 Years and Over by Region of Birth and Sex: 2000-con.,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,                              (Numbers in thousands.  Data are for civilian noninstitutional population),,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,Latin America,,,,,,,
,,Total,,,,,,,Central America,,,,,
,,foreign-,,,,,,,,,Other,,,
,,born,,,,,,,,,Central,South,Northern,Other
,Occupation and sex,population,Europe,Asia,Africa,Oceania,Total,Caribbean,Total,Mexico,America,America,America,reported
,MALES-CON.,,,,,,,,,,,,,
,Percent distribution:,,,,,,,,,,,,,
