


1993 PUBLIC EMPLOYMENT DATA
ARIZONA STATE GOVERNMENT

STATE POPULATION (JULY 1, 1993 EST.)   3936000

                                     Full-Time     Total
                                     Equivalent   October    Full-Time  Part-Time   Full-Time   Part-Time   Part-Time
                                     Employees    Payroll    Employees  Employees    Payroll     Payroll      Hours
TOTAL STATE OF ARIZONA                   56683    130575538      48418      21585    117373535    13202003    1462510

              FUNCTION
Financial Administration                  2673      5499435       2656         27      5464483       34952       2874
Other Government Administration            604      1515008        561        115      1371533      143475       7671
Judicial and Legal                        1097      3518554       1079         47      3471952       46602       3189
Police Protection-Officers                 895      2931889        895          0      2931889           0          0
Police Protection-Other                    682      1732426        678          9      1723047        9379        733
Correction                                6350     12749726       6341         18     12735379       14347       1594
Highways                                  3308      7317693       3300         15      7310741        6952       1328
Air Transportation                           0            0          0          0            0           0          0
Water Transport & Terminals                  0            0          0          0            0           0          0
Public Welfare                            5535     10088069       5027        270      9778013      310056      89814
Health                                    1931      4237018       1857        126      4060049      176969      13069
Hospitals                                  888      1766674        854         93      1693641       73033       6049
Social Insurance Administration           2254      4711427       2152        225      4490625      220802      17933
Solid Waste Management                       0            0          0          0            0           0          0
Sewerage                                     0            0          0          0            0           0          0
Parks and Recreation                      1096      2207919        315       1787       759802     1448117     138185
Natural Resources                         2419      5541033       2121        684      5099604      441429      52488
Water Supply                                 0            0          0          0            0           0          0
Electric Power                               9        26968          9          5        26818         150         20
Transit                                      0            0          0          0            0           0          0
Elem & Sec School Instructional              0            0          0          0            0           0          0
Elem & Sec Sch.-Other (Sub-Total)            0            0          0          0            0           0          0
  Elem & Sec Admin-Clerical                  0            0          0          0            0           0          0
  Elem & Sec Oper & Maintenance              0            0          0          0            0           0          0
  Elem & Sec Cafeteria                       0            0          0          0            0           0          0
  Elem & Sec Bus Transportation              0            0          0          0            0           0          0
  Elem & Sec Health & Recreation             0            0          0          0            0           0          0
  Elem & Sec Student Employees               0            0          0          0            0           0          0
  Elem & Sec Unallocable                     0            0          0          0            0           0          0
Higher Educ Instructional                 6181     24394161       4002       4991     19517981     4876180     385599
Higher Education-Other                   15078     30159276      11053      12822     25044381     5114895     712660
Other Education                           2548      5165557       2419        231      4953938      211619      22965
Local Libraries                              0            0          0          0            0           0          0
State Liquor Stores                          0            0          0          0            0           0          0
Other and Unallocable                     3135      7012705       3099        120      6939659       73046       6339
