-----------------------------------------------
3D SITE DISPLACEMENT DUE TO ATMOSPHERIC LOADING
-----------------------------------------------
METEOROLOGICAL CENTER & DEGREE 1 :    NCEP_CMEA
CMEA : CENTER OF MASS OF THE EARTH + ATMOSPHERE
CME  : CENTER OF MASS OF THE SOLID EARTH  ALONE
SITE COORDINATES ACCORDING TO ITRF2000 SOLUTION
-----------------------------------------------
CREATOR EMAIL : PASCAL.GEGOUT@EOST.U-STRASBG.FR
-----------------------------------------------
CHT1        49718.000    1995     1     1     0
CHT1        52274.750    2001    12    31    18
CHT1      1635806.118 -4482177.303  4218387.494
CHT1           41.671      -69.950      -10.611
CHT1     NORTH_Offset  EAST_Offset    UP_Offset
49718.00     0.250701    -0.658816    -1.467487
49718.25     0.157682    -0.460790    -0.980252
49718.50     0.239046    -0.023728     0.062162
49718.75    -0.133017    -0.087981     0.314020
49719.00     0.147923    -0.149144     0.518152
49719.25     0.122054     0.051128     0.895596
49719.50    -0.030304     0.250115     1.165892
49719.75    -0.408869    -0.040525     0.692032
49720.00    -0.229502    -0.287166     0.366461
49720.25    -0.381753    -0.390833    -0.194734
49720.50    -0.319943    -0.272959    -0.404072
49720.75    -0.445533    -0.436932    -0.747203
49721.00    -0.118805    -0.500278    -0.798466
49721.25    -0.188248    -0.445471    -0.684779
49721.50     0.002100    -0.233890    -0.132667
49721.75    -0.168454    -0.400896     0.120937
49722.00     0.327910    -0.568852     0.343018
49722.25     0.398105    -0.626452     0.518095
49722.50     0.760964    -0.480035     0.967517
49722.75     0.698164    -0.621903     1.063432
49723.00     1.085802    -0.598270     1.572613
49723.25     1.084514    -0.486822     1.862650
49723.50     1.133337    -0.317639     2.088118
49723.75     0.676913    -0.409908     2.134490
49724.00     0.651195    -0.465163     2.371614
49724.25     0.223227    -0.277502     2.632799
49724.50    -0.274510     0.008638     3.072946
49724.75    -0.672323    -0.362519     2.464935
49725.00    -0.420054    -0.700218     1.202854
49725.25    -0.610983    -0.697445     0.089234
49725.50    -0.495107    -0.558173    -0.238849
49725.75    -0.757504    -0.650824    -0.620895
49726.00    -0.319095    -0.720797    -0.738401
49726.25    -0.428894    -0.621825    -0.884960
