Injected Beam Statistics for Fill number 7850
Injection start time: Fri May 12 13:57:41 2006
Injection complete time:  Fri May 12 14:11:52 2006
Ring	Bunches/Cycles	Avg Bunch in RHIC (10^6_protons)	Avg Efficiency - XCBM to RHIC	Bunching Eff	XCBM to Uxf1	Uxf1 to Wxf	Wxf to Arc	Arc to RHIC
Blue	111/111	  144190	   0.978	NA	   1.057	   0.949	   0.983	   0.992
Yellow	110/110	  144814	   0.957	NA	   1.048	   0.948	   0.998	   0.972

Time	BST_IN	B_EARLY	B_LATE	AGS_other	AGS_CBM	XCBM	Eff1*	bunches	uxf1	Eff2*	uxf3	wxf1	Eff3*	xxf1	bluEff4*	bluChg	bluEff5*	bluEffTotal	bluOld	bluNew	yxf1	yelEff4*	yelChg	yelEff5*	yelEffTotal	yelOld	yelNew
05/12/2006 13:57:41 	  483800 	  353900 	  186800 	 	  170200 	  147200 	   0.000 	1 	  154621 	   1.050 	 	  146743 	   0.949 	  144230 	   0.983 	  144822 	   1.004 	   0.984 	    -269 	  144553	   -2940 	 -  	      23 	 -  	 -  	     120 	     143	
05/12/2006 13:57:45 	  481300 	  715300 	  374800 	 	  168400 	  147100 	   0.000 	1 	  155925 	   1.060 	  152153 	  148495 	   0.952 	  145989 	   0.983 	  145897 	   0.999 	   0.992 	  144482 	  290378	      43 	 -  	      48 	 -  	 -  	     118 	     165	
05/12/2006 13:57:48 	  485700 	  355100 	  184400 	 	  165800 	  144500 	   0.000 	1 	  152142 	   1.053 	  148625 	  144407 	   0.949 	  143372 	   0.993 	  142092 	   0.991 	   0.983 	  290280 	  432372	   -3545 	 -  	      -1 	 -  	 -  	     165 	     164	
05/12/2006 13:57:52 	  490400 	  356200 	  185500 	 	  168800 	  148700 	   0.000 	1 	  156708 	   1.054 	  153329 	  148703 	   0.949 	  147019 	   0.989 	  146542 	   0.997 	   0.985 	  432272 	  578815	  -20447 	 -  	      26 	 -  	 -  	     123 	     150	
05/12/2006 13:57:56 	  478600 	  354100 	  187300 	 	  169200 	  147600 	   0.000 	1 	  155708 	   1.055 	  150725 	  147452 	   0.947 	  145646 	   0.988 	  144405 	   0.991 	   0.978 	  578477 	  722882	     389 	 -  	      25 	 -  	 -  	     136 	     160	
05/12/2006 13:58:00 	  478500 	  350400 	  185400 	 	  166000 	  146000 	   0.000 	1 	  153838 	   1.054 	  148751 	  146659 	   0.953 	  143801 	   0.981 	  143851 	   1.000 	   0.985 	  722702 	  866553	   -1599 	 -  	      18 	 -  	 -  	     145 	     163	
05/12/2006 13:58:04 	  483600 	  355900 	  186300 	 	  156500 	  138500 	   0.000 	1 	  147446 	   1.065 	  143376 	  140861 	   0.955 	  140411 	   0.997 	  137924 	   0.982 	   0.996 	  866336 	 1004259	   -1081 	 -  	       2 	 -  	 -  	     162 	     164	
05/12/2006 13:58:07 	  473600 	  352100 	  186100 	 	  166000 	  147500 	   0.000 	1 	  154838 	   1.050 	  150767 	  143740 	   0.928 	  143672 	   1.000 	  144797 	   1.008 	   0.982 	 1004076 	 1148874	     994 	 -  	      26 	 -  	 -  	     119 	     146	
05/12/2006 13:58:11 	  479000 	  351900 	  181700 	 	  165400 	  141100 	   0.000 	1 	  151664 	   1.075 	  147449 	  143865 	   0.949 	  141097 	   0.981 	  141304 	   1.001 	   1.001 	 1148454 	 1289758	  -18588 	 -  	       1 	 -  	 -  	     133 	     134	
05/12/2006 13:58:15 	  487400 	  357600 	  188200 	 	  168400 	  145200 	   0.000 	1 	  154055 	   1.061 	  148037 	  146201 	   0.949 	  146719 	   1.004 	  143427 	   0.978 	   0.988 	 1289348 	 1432775	  -10245 	 -  	      18 	 -  	 -  	     124 	     141	
