Rec ID	Name of Recipient	City	St	Cst Ctr	DBE Appr Date	CFY Pending	CFY Reserved	Total Available	CFY Obligations	Percent
         1000	ALABAMA  DEPARTMENT OF TRANSPORTATION                                 	MONTGOMERY          	AL	        78400	30-mar-2000              	          $298140.00	         $8231301.00	         $8529441.00	         $8231301.00	           97
         1001	FLORIDA DEPARTMENT OF TRANSPORTATION                                  	TALLAHASSEE         	FL	        78400	11-may-2000              	               $0.00	               $0.00	               $0.00	               $0.00	            0
         1002	GEORGIA DEPT. OF TRANSPORTATION - OFFICE OF INTERMODAL PROGRAMS       	ATLANTA             	GA	        78400	29-mar-2000              	               $0.00	        $12527945.00	        $12527945.00	        $12527945.00	          100
         1003	KENTUCKY TRANSPORTATION CABINET                                       	FRANKFORT           	KY	        78400	30-sep-1999              	               $0.00	        $16234339.00	        $16234339.00	        $15693790.00	           97
         1005	NORTH CAROLINA DEPARTMENT OF TRANSPORTATION                           	RALEIGH             	NC	        78400	27-jul-2000              	               $0.00	          $802769.00	          $802769.00	          $802769.00	          100
         1006	SOUTH CAROLINA DEPARTMENT OF TRANSPORTATION                           	COLUMBIA            	SC	        78400	01-may-2000              	        $62937400.00	         $8628970.00	        $71566370.00	         $8628970.00	           12
         1007	TENNESSEE DEPARTMENT OF TRANSPORTATION                                	NASHVILLE           	TN	        78400	18-may-2000              	               $0.00	         $3096643.00	         $3096643.00	         $3096643.00	          100
         1024	ST. LUCIE COUNTY BOARD OF COUNTY COMMISSIONERS                        	FT. PIERCE          	FL	        78400	23-may-2000              	               $0.00	          $921264.00	          $921264.00	          $921264.00	          100
         1029	BREVARD COUNTY COMMISSIONERS - SPACE COAST AREA TRANSIT               	COCOA               	FL	        78400	02-jun-2000              	         $4639834.00	         $3636091.00	         $8275925.00	         $3636091.00	           44
         1032	COLLIER COUNTY BOARD OF COUNTY COMMISSIONERS                          	NAPLES              	FL	        78400	                         	               $0.00	               $0.00	               $0.00	               $0.00	            0
         1034	City of Ocala                                                         	OCALA               	FL	        78400	                         	               $0.00	               $0.00	               $0.00	               $0.00	            0
         1046	CONSOLIDATED GOVERNMENT OF COLUMBUS                                   	COLUMBUS            	GA	        78400	07-sep-2000              	               $0.00	          $992753.00	          $992753.00	          $992753.00	          100
         1057	CITY OF ASHEVILLE                                                     	ASHEVILLE           	NC	        78400	07-sep-2003              	          $101353.00	               $0.00	          $101353.00	               $0.00	            0
         1060	CITY OF DURHAM                                                        	DURHAM              	NC	        78400	07-sep-2000              	               $0.00	         $7352428.00	         $7352428.00	         $7352428.00	          100
         1062	CITY OF GREENSBORO                                                    	GREENSBORO          	NC	        78400	07-aug-2000              	               $0.00	         $1932408.00	         $1932408.00	         $1932408.00	          100
         1063	CITY OF GASTONIA TRANSIT                                              	GASTONIA            	NC	        78400	07-sep-2000              	               $0.00	          $991000.00	          $991000.00	          $991000.00	          100
         1064	CITY OF HIGH POINT                                                    	HIGH POINT          	NC	        78400	07-aug-2000              	          $-10336.00	          $600000.00	          $589664.00	          $600000.00	          102
         1065	CITY OF RALEIGH                                                       	RALEIGH             	NC	        78400	20-mar-2002              	               $0.00	          $145632.00	          $145632.00	          $145632.00	          100
         1069	CENTRAL MIDLANDS COUNCIL OF GOVERNMENTS                               	COLUMBIA            	SC	        78400	25-sep-2001              	               $0.00	         $2817040.00	         $2817040.00	         $2817040.00	          100
         1073	BIRMINGHAM-JEFFERSON COUNTY TRANSIT AUTHORITY                         	BIRMINGHAM          	AL	        78400	30-sep-1999              	         $6470000.00	         $4885920.00	        $11355920.00	               $0.00	            0
         1076	CITY OF MOBILE                                                        	MOBILE              	AL	        78400	31-aug-2000              	          $837388.00	         $4951648.00	         $5789036.00	         $4951648.00	           86
         1079	MANATEE COUNTY BOARD OF COUNTY COMMISSIONERS                          	BRADENTON           	FL	        78400	                         	               $0.00	               $0.00	               $0.00	               $0.00	            0
         1080	PINELLAS SUNCOAST TRANSIT AUTHORITY                                   	CLEARWATER          	FL	        78400	07-sep-2003              	               $0.00	         $4788589.00	         $4788589.00	         $1008134.00	           21
         1081	VOLUSIA TRANSPORTATION AUTHORITY                                      	S. DAYTONA BEACH    	FL	        78400	07-sep-2000              	         $4881153.00	         $1551438.00	         $6432591.00	         $1551438.00	           24
         1082	BROWARD CO BD OF CO COMMISSIONERS - BROWARD CO MASS TRANSIT DIVISION  	POMPANO BEACH       	FL	        78400	07-sep-2000              	               $0.00	        $16586261.00	        $16586261.00	        $16586261.00	          100
         1083	LEE COUNTY TRANSIT                                                    	Fort Myers          	FL	        78400	07-sep-2000              	               $0.00	         $3509361.00	         $3509361.00	         $3509361.00	          100
         1084	CITY OF GAINESVILLE                                                   	GAINESVILLE         	FL	        78400	07-sep-2000              	               $0.00	         $3464479.00	         $3464479.00	         $3464479.00	          100
         1085	JACKSONVILLE TRANSPORTATION AUTHORITY                                 	JACKSONVILLE        	FL	        78400	04-jan-2000              	               $0.00	         $8502157.00	         $8502157.00	         $8502157.00	          100
         1086	LAKELAND AREA MASS TRANSIT DISTRICT                                   	LAKELAND            	FL	        78400	07-sep-2000              	               $0.00	         $5035709.00	         $5035709.00	         $5035709.00	          100
         1089	MIAMI-DADE TRANSIT AGENCY                                             	MIAMI               	FL	        78400	04-jan-2001              	       $310000000.00	        $30248107.00	       $340248107.00	        $30248107.00	            9
         1091	LYNX / CENTRAL FLORIDA REGIONAL TRANSPORTATION AUTHORITY              	ORLANDO             	FL	        78400	07-sep-2000              	               $0.00	        $19237359.00	        $19237359.00	        $19237359.00	          100
         1092	ESCAMBIA CO BD OF COMMISSIONERS                                       	PENSACOLA           	FL	        78400	07-sep-2000              	               $0.00	          $884996.00	          $884996.00	          $574086.00	           65
         1094	SARASOTA COUNTY TRANSPORTATION AUTHORITY                              	SARASOTA            	FL	        78400	06-mar-2001              	          $780394.00	               $0.00	          $780394.00	               $0.00	            0
         1096	HILLSBOROUGH AREA REGIONAL TRANSIT AUTHORITY                          	TAMPA               	FL	        78400	02-jun-2000              	         $2062326.00	          $804628.00	         $2866954.00	          $804628.00	           28
         1098	PALM BEACH CO BD OF COMMISSIONERS - PALM BEACH CO TRANSIT AUTHORITY   	WEST PALM BEACH     	FL	        78400	07-aug-2000              	               $0.00	        $14184617.00	        $14184617.00	        $14184617.00	          100
         1101	METROPOLITAN ATLANTA RAPID TRANSIT AUTHORITY                          	ATLANTA             	GA	        78400	28-mar-2000              	         $1057526.00	        $39164680.00	        $40222206.00	        $33556613.00	           83
         1104	TRANSIT AUTHORITY OF LEXINGTON-FAYETTE URBAN COUNTY GOVT.             	LEXINGTON           	KY	        78400	07-aug-2000              	               $0.00	         $1999999.00	         $1999999.00	         $1999999.00	          100
         1105	TRANSIT AUTHORITY OF RIVER CITY                                       	LOUISVILLE          	KY	        78400	21-apr-2000              	               $0.00	         $7966843.00	         $7966843.00	         $7966843.00	          100
         1106	CITY OF OWENSBORO                                                     	OWENSBORO           	KY	        78400	23-may-2000              	               $0.00	          $706669.00	          $706669.00	          $706669.00	          100
         1110	TOWN OF CHAPEL HILL                                                   	CHAPEL HILL         	NC	        78400	07-aug-2000              	               $0.00	         $7488530.00	         $7488530.00	         $7488530.00	          100
         1111	CITY OF CHARLOTTE                                                     	Charlotte           	NC	        78400	07-sep-2000              	               $0.00	        $51137632.00	        $51137632.00	        $50293025.00	           98
         1112	CITY OF FAYETTEVILLE                                                  	FAYETTEVILLE        	NC	        78400	07-sep-2000              	               $0.00	         $1616183.00	         $1616183.00	         $1616183.00	          100
         1114	CITY OF WINSTON-SALEM                                                 	WINSTON-SALEM       	NC	        78400	07-aug-2000              	               $0.00	         $1037256.00	         $1037256.00	         $1037256.00	          100
         1115	CHARLESTON AREA REGIONAL TRANSPORTATION AUTHORITY                     	CHARLESTON          	SC	        78400	10-nov-2000              	               $0.00	         $3648990.00	         $3648990.00	         $3648990.00	          100
         1117	PEE DEE REGIONAL TRANSPORTATION AUTHORITY                             	FLORENCE            	SC	        78400	07-aug-2000              	               $0.00	         $1129444.00	         $1129444.00	         $1129444.00	          100
         1120	CHATTANOOGA AREA REGIONAL TRANSPORTATION AUTHORITY                    	CHATTANOOGA         	TN	        78400	04-jan-2000              	               $0.00	         $1492978.00	         $1492978.00	         $1492978.00	          100
         1121	CITY OF CLARKSVILLE                                                   	CLARKSVILLE         	TN	        78400	01-sep-2000              	               $0.00	         $1352867.00	         $1352867.00	         $1352867.00	          100
         1122	JACKSON TRANSIT AUTHORITY                                             	JACKSON             	TN	        78400	07-sep-2000              	               $0.00	          $514750.00	          $514750.00	          $514750.00	          100
         1123	CITY OF JOHNSON CITY                                                  	JOHNSON CITY        	TN	        78400	07-sep-2000              	           $42000.00	         $1481996.00	         $1523996.00	         $1481996.00	           97
         1125	MEMPHIS AREA TRANSIT AUTHORITY                                        	MEMPHIS             	TN	        78400	02-feb-2000              	               $0.00	         $8110600.00	         $8110600.00	         $8110600.00	          100
         1128	CITY OF NILES                                                         	NILES               	MI	        78500	                         	               $0.00	          $178394.00	          $178394.00	          $178394.00	          100
         1130	COLORADO DEPARTMENT OF TRANSPORTATION                                 	DENVER              	CO	        78800	21-may-2004              	               $0.00	         $3203591.00	         $3203591.00	         $3203591.00	          100
         1135	PITKIN COUNTY                                                         	PITKIN COUNTY       	CO	        78800	03-apr-2000              	               $0.00	               $0.00	               $0.00	               $0.00	            0
         1136	REGIONAL TRANSPORTATION DISTRICT                                      	DENVER              	CO	        78800	12-may-2004              	               $0.00	        $51553544.00	        $51553544.00	        $24327932.00	           47
         1137	CITY OF COLORADO SPRINGS                                              	COLORADO SPRINGS    	CO	        78800	07-jul-2004              	         $1357302.00	          $777612.00	         $2134914.00	          $777612.00	           36
         1138	CITY OF FORT COLLINS                                                  	FORT COLLINS        	CO	        78800	26-apr-2004              	               $0.00	         $4334890.00	         $4334890.00	         $2215386.00	           51
