_EF_ZIP_CODE_REF_EZ.CITY_NAME,V_EF_ZIP_CODE_REF_EZ.COUNTY_NAME,V_EF_ZIP_CODE_REF_EZ.STATE_ABBR,V_EF_ZIP_CODE_REF_EZ.ZIP_CODE
ABBYVILLE,RENO,KS,67510
ADA,BIENVILLE,LA,71080
ADEL,OWEN,IN,47460
ADRIAN,HANCOCK,IL,62310
AGRA,PHILLIPS,KS,67621
ALBANY,WHITESIDE,IL,61230
ALBERT,BARTON,KS,67511
ALEXANDRIA,RAPIDES,LA,71301
ALEXIS,MERCER,IL,61412
ALGIERS,PIKE,IN,47567
ALLEN,FLOYD,KY,41601
ALLEN,LYON,KS,66833
ALLENVILLE,MOULTRIE,IL,61951
ALLIN,MCLEAN,IL,61774
ALLISON,LAWRENCE,IL,62439
ALOHA,GRANT,LA,71417
ALTON,OSBORNE,KS,67623
AMERICA,PULASKI,IL,62996
AMERITECH,COOK,IL,60665
AMO,HENDRICKS,IN,46103
ANCHOR,MCLEAN,IL,61720
ANDALUSIA,ROCK ISLAND,IL,61232
ANDERSON,MADISON,IN,46014
ANDERSON,MADISON,IN,46017
ANDREW,SANGAMON,IL,62707
ANTIVILLE,JAY,IN,47371
ARGENTA,MACON,IL,62501
ARGOS,MARSHALL,IN,46501
ARKANSAS CITY,COWLEY,KS,67005
ARKLA GAS,CADDO,LA,71151
ARLINGTON,RUSH,IN,46104
ARLINGTON HTS,COOK,IL,60006
ARMY FINANCE CENTER,MARION,IN,46249
ARNEY,OWEN,IN,47431
ARTEMUS,KNOX,KY,40903
ARY,PERRY,KY,41712
ASHLAND,BOYD,KY,41114
ASHLAND,CASS,IL,62612
ASSARIA,SALINE,KS,67416
ATHERTON,PARKE,IN,47874
ATWOOD,KENTON,KY,41063
AVOCA,LAWRENCE,IN,47420
AVON,HENDRICKS,IN,46123
BADGER,CHEROKEE,KS,66739
BAILEY CREEK,HARLAN,KY,40828
BANK ONE,MARION,IN,46277
BARCLAY,SANGAMON,IL,62684
BARGERSVILLE,JOHNSON,IN,46106
BARKSDALE AFB,BOSSIER,LA,71110
BARNETT,MONTGOMERY,IL,62056
BARNETT TOWNSHIP,DEWITT,IL,61727
BARNHART TOWN,VIGO,IN,47885
BARR,MACOUPIN,IL,62674
BARREN,FRANKLIN,IL,62812
BARRON,RAPIDES,LA,71328
BARTLEY,VIGO,IN,47805
BASCO,HANCOCK,IL,62313
BATESVILLE,RIPLEY,IN,47006
BATON ROUGE,EAST BATON ROUGE,LA,70805
BATON ROUGE,EAST BATON ROUGE,LA,70820
BATON ROUGE,EAST BATON ROUGE,LA,70894
BAWCOMVILLE,OUACHITA,LA,71292
BAYLE,FAYETTE,IL,62080
BAYOU VISTA,SAINT MARY,LA,70380
BEACH PARK,LAKE,IL,60099
BEAVERLICK,BOONE,KY,41094
BEDFORD HTS,LAWRENCE,IN,47421
BEECHER CITY,SHELBY,IL,62444
BELLE PRAIRIE CITY,HAMILTON,IL,62828
BELLE ROSE,ASSUMPTION,LA,70341
BELLEVILLE,SAINT CLAIR,IL,62226
BELLEVUE,PEORIA,IL,61604
BELLVIEW,PEORIA,IL,61604
BELMONT,KINGMAN,KS,67068
BELPRE,EDWARDS,KS,67519
BENGAL,JOHNSON,IN,46131
BENSENVILLE,DU PAGE,IL,60105
BERLIEN,STEUBEN,IN,46703
BERNADOTTE,FULTON,IL,61441
BETHANNA,MAGOFFIN,KY,41465
BETHANY,MOULTRIE,IL,61914
BETSY LAYNE,FLOYD,KY,41605
BEULAH,CRAWFORD,KS,66743
BIGGS,PIKE,KY,41524
BIRDSEYE,DUBOIS,IN,47513
BLACK,EDWARDS,IL,62806
BLACKFORD,WEBSTER,KY,42403
BLADESTON,BRACKEN,KY,41004
BLAIRSVILLE,POSEY,IN,47638
BLANCHARD,CADDO,LA,71009
BLANCHARD,CADDO,LA,71107
