Dataset:              Fish Species Abundance Data
File Name:            CB93_4_2.txt
Date Created:         12/17/96
# Variables:          4
# Header Records:     14
# Data Records:       462
Missing Value Symbol: .

Variables:    SITE         Station name
              MONTH        Month (JUN,AUG,SEP) of data collection
              SPECIES      Common name of species collected
              ABUN         No. of individuals collected of the species

SITE    MONTH   SPECIES                         ABUN
STN_1   AUG     Atlantic silverside                9
STN_1   JUL     Atlantic silverside               29
STN_1   SEP     Atlantic silverside                7
STN_1   JUL     Banded killifish                   4
STN_1   SEP     Bay anchovy                       16
STN_1   AUG     Bluegill                           2
STN_1   JUL     Bluegill                           2
STN_1   SEP     Bluegill                           1
STN_1   AUG     Inland silverside                 20
STN_1   SEP     Inland silverside                  3
STN_1   AUG     Mojara sp.                         7
STN_1   SEP     Mullet white                      16
STN_1   AUG     Mummichog                         83
STN_1   JUL     Mummichog                         19
STN_1   SEP     Mummichog                          4
STN_1   AUG     Pumpkinseed                        1
STN_1   AUG     Sheepshead minnow                  1
STN_1   SEP     Silver perch                       1
STN_1   JUL     Spot                               4
STN_1   AUG     Striped bass                      48
STN_1   JUL     Striped bass                      17
STN_1   SEP     Striped bass                       2
STN_1   AUG     Striped killifish                 52
STN_1   SEP     Summer flounder                    1
STN_1   JUL     Yellow perch                       2
STN_1   SEP     Yellow perch                       1
STN_10  AUG     Atlantic silverside              830
STN_10  JUL     Atlantic silverside             1388
STN_10  SEP     Atlantic silverside               14
STN_10  SEP     Black-checked tonguefish           9
STN_10  AUG     Mummichog                          2
STN_10  SEP     Mummichog                         10
STN_10  SEP     Naked goby                        10
STN_10  SEP     Northern kingfish                  1
STN_10  SEP     Oyster toadfish                    8
STN_10  SEP     Silver perch                      10
STN_10  AUG     Spot                               1
STN_10  JUL     Spot                              25
STN_10  JUL     Striped bass                       2
STN_10  SEP     Striped blenny                     6
STN_10  AUG     Striped killifish                  1
STN_10  JUL     Striped killifish                 31
STN_10  SEP     Striped killifish                 10
STN_11  AUG     Atlantic silverside              152
STN_11  JUL     Atlantic silverside               93
STN_11  SEP     Atlantic silverside              237
STN_11  AUG     Inshore lizardfish                 1
STN_11  AUG     Mullet sp.                         2
STN_11  JUL     Mullet sp.                         3
STN_11  AUG     Mummichog                          1
STN_11  JUL     Mummichog                        123
STN_11  SEP     Mummichog                        335
STN_11  JUL     Spot                              22
STN_11  AUG     Striped bass                       2
STN_11  JUL     Striped bass                      18
STN_11  AUG     Striped killifish                  9
STN_11  JUL     Striped killifish                271
STN_11  SEP     Striped killifish                203
STN_12  SEP     Atlantic silverside               23
STN_12  AUG     Hogchoker                          1
STN_12  AUG     Inshore lizardfish                 1
STN_12  AUG     Mullet sp.                         2
STN_12  JUL     Mummichog                          4
STN_12  SEP     Mummichog                         45
STN_12  SEP     Naked goby                         1
STN_12  SEP     Silver perch                       1
STN_12  AUG     Southern stingray                  1
STN_12  AUG     Spot                              26
STN_12  JUL     Spot                              10
STN_12  JUL     Striped bass                       1
STN_12  JUL     Striped killifish                 18
STN_12  SEP     Striped killifish                116
STN_12  AUG     Summer flounder                    2
STN_13  AUG     Mullet sp.                         2
STN_13  SEP     Mullet white                       3
STN_13  AUG     Mummichog                         16
STN_13  SEP     Mummichog                        166
STN_13  SEP     Northern kingfish                  1
STN_13  SEP     Silver perch                      17
STN_13  AUG     Spot                               4
STN_13  JUL     Spot                              14
STN_13  AUG     Striped bass                       2
STN_13  SEP     Striped bass                      10
STN_13  SEP     Striped blenny                     1
STN_13  AUG     Striped killifish                  1
STN_13  JUL     Striped killifish                  6
STN_13  SEP     Striped killifish                 14
STN_14  JUL     Bay anchovy                        7
STN_14  SEP     Bay anchovy                       21
STN_14  SEP     Bluefish                           1
STN_14  AUG     Mullet sp.                         5
STN_14  SEP     Mullet white                      26
STN_14  AUG     Mummichog                          4
STN_14  JUL     Mummichog                         54
STN_14  SEP     Mummichog                          3
STN_14  AUG     Northern kingfish                  1
STN_14  SEP     Northern kingfish                  4
STN_14  SEP     Permit                             9
STN_14  AUG     Spot                               2
STN_14  JUL     Striped bass                       3
STN_14  SEP     Striped bass                       8
STN_14  AUG     Striped killifish                  8
STN_14  JUL     Striped killifish                 50
STN_14  SEP     Striped killifish                  6
STN_14  AUG     Summer flounder                    1
STN_15  SEP     American eel                       1
STN_15  JUL     Bluefish                           2
STN_15  SEP     Bluefish                           1
STN_15  SEP     Croaker                          114
STN_15  AUG     Inshore lizardfish                 2
STN_15  AUG     Mullet sp.                         3
STN_15  SEP     Naked goby                        14
STN_15  AUG     Northern kingfish                  1
STN_15  JUL     Northern pipefish                  1
STN_15  SEP     Northern pipefish                  1
STN_15  AUG     Permit                            11
STN_15  SEP     Permit                             2
STN_15  AUG     Spot                               5
STN_15  JUL     Spot                               2
STN_15  JUL     Striped killifish                 15
STN_15  SEP     Striped killifish                  2
STN_15  SEP     Summer flounder                    2
STN_15  SEP     Tautog                             2
STN_16  SEP     Bluefish                           3
STN_16  AUG     Mullet sp.                         3
STN_16  SEP     Mullet white                      29
STN_16  AUG     Mummichog                         16
STN_16  JUL     Mummichog                         11
STN_16  SEP     Mummichog                          2
STN_16  SEP     Northern kingfish                 13
STN_16  SEP     Northern pipefish                  1
STN_16  AUG     Sheepshead minnow                  1
STN_16  JUL     Sheepshead minnow                  3
STN_16  JUL     Spot                               7
STN_16  AUG     Striped killifish                  1
STN_16  JUL     Striped killifish                272
STN_16  SEP     Striped killifish                  1
STN_16  SEP     Winter flounder                    3
STN_18  AUG     Atlantic silverside             1199
STN_18  JUL     Atlantic silverside             1695
STN_18  SEP     Atlantic silverside             5240
STN_18  SEP     Black seabass                      1
STN_18  SEP     Mullet white                       3
STN_18  AUG     Mummichog                         54
STN_18  JUL     Mummichog                        227
STN_18  SEP     Mummichog                         40
STN_18  SEP     Naked goby                        11
STN_18  AUG     Northern kingfish                  1
STN_18  SEP     Northern kingfish                 23
STN_18  SEP     Northern pipefish                  1
STN_18  SEP     Northern sea robin                 1
STN_18  SEP     Sheepshead minnow                  1
STN_18  AUG     Spot                               1
STN_18  SEP     Spot                               1
STN_18  AUG     Striped killifish                 21
STN_18  JUL     Striped killifish                 14
STN_18  SEP     Striped killifish                 22
STN_18  AUG     Winter flounder                    1
STN_18  JUL     Winter flounder                    1
STN_18  SEP     Winter flounder                    5
STN_19  SEP     Atlantic silverside                1
STN_19  SEP     Etropis sp.                        2
STN_19  SEP     Inshore lizardfish                 1
STN_19  SEP     Mojara sp.                         2
STN_19  AUG     Mullet sp.                        17
STN_19  SEP     Mullet white                      47
STN_19  AUG     Mummichog                        906
STN_19  JUL     Mummichog                         19
STN_19  SEP     Mummichog                         95
STN_19  SEP     Northern kingfish                  4
STN_19  SEP     Northern pipefish                  1
STN_19  SEP     Northern sea robin                 1
STN_19  AUG     Sheepshead minnow                  1
STN_19  SEP     Sheepshead minnow                 38
STN_19  AUG     Spot                               6
STN_19  SEP     Spot                               2
STN_19  AUG     Striped killifish                462
STN_19  JUL     Striped killifish                  2
STN_19  SEP     Striped killifish               1266
STN_19  AUG     Striped sea robin                  1
STN_19  AUG     Winter flounder                   19
STN_19  JUL     Winter flounder                    1
STN_19  SEP     Winter flounder                    8
STN_2   AUG     Atlantic silverside               58
STN_2   JUL     Atlantic silverside                7
STN_2   SEP     Atlantic silverside               40
STN_2   AUG     Bay anchovy                        3
STN_2   JUL     Bay anchovy                        2
STN_2   SEP     Bay anchovy                        9
STN_2   AUG     Inland silverside                  1
STN_2   SEP     Inland silverside                  1
STN_2   AUG     Mullet sp.                         1
STN_2   JUL     Mullet sp.                        26
STN_2   AUG     Mummichog                        602
STN_2   JUL     Mummichog                         30
STN_2   SEP     Mummichog                         85
STN_2   AUG     Naked goby                         1
STN_2   SEP     Silver perch                       8
STN_2   JUL     Spot                               2
STN_2   AUG     Striped bass                       1
STN_2   JUL     Striped bass                       1
STN_2   SEP     Striped bass                       7
STN_2   AUG     Striped killifish                  4
STN_2   JUL     Striped killifish                  1
STN_2   SEP     Striped killifish                  1
